"County_Code","Place_Code","City","Population","County"
1,23140,"Elkhart",1312,"Anderson"
1,27300,"Frankston",1150,"Anderson"
1,54708,"Palestine",17885,"Anderson"
3,3216,"Andrews",13605,"Andrews"
5,11380,"Burke",728,"Angelina"
5,20308,"Diboll",5215,"Angelina"
5,35228,"Hudson",4969,"Angelina"
5,35492,"Huntington",2113,"Angelina"
5,45072,"Lufkin",35131,"Angelina"
5,80728,"Zavalla",711,"Angelina"
7,3600,"Aransas Pass",774,"Aransas"
7,17000,"Corpus Christi",0,"Aransas"
7,27888,"Fulton",1500,"Aransas"
7,62804,"Rockport",10513,"Aransas"
9,3696,"Archer City",1740,"Archer"
9,34532,"Holliday",1693,"Archer"
9,40756,"Lakeside City",959,"Archer"
9,47460,"Megargel",192,"Archer"
9,66284,"Scotland",482,"Archer"
9,79696,"Windthorst",370,"Archer"
11,15196,"Claude",1199,"Armstrong"
13,14404,"Charlotte",1874,"Atascosa"
13,14860,"Christine",419,"Atascosa"
13,38116,"Jourdanton",4352,"Atascosa"
13,45288,"Lytle",2411,"Atascosa"
13,58280,"Pleasanton",10696,"Atascosa"
13,59084,"Poteet",3459,"Atascosa"
15,7432,"Bellville",4262,"Austin"
15,10090,"Brazos Country",481,"Austin"
15,35984,"Industry",321,"Austin"
15,65372,"San Felipe",829,"Austin"
15,66464,"Sealy",6523,"Austin"
15,76240,"Wallis",1309,"Austin"
17,49968,"Muleshoe",5034,"Bailey"
19,5528,"Bandera",895,"Bandera"
21,5000,"Austin",0,"Bastrop"
21,5864,"Bastrop",9105,"Bastrop"
21,23044,"Elgin",9150,"Bastrop"
21,50200,"Mustang Ridge",0,"Bastrop"
21,68456,"Smithville",4490,"Bastrop"
23,66968,"Seymour",2600,"Baylor"
25,7192,"Beeville",12775,"Bee"
27,5732,"Bartlett",712,"Bell"
27,7492,"Belton",22341,"Bell"
27,16624,"Copperas Cove",0,"Bell"
27,32312,"Harker Heights",31644,"Bell"
27,34508,"Holland",1160,"Bell"
27,39148,"Killeen",148683,"Bell"
27,43066,"Little River-Academy",2024,"Bell"
27,49392,"Morgan's Point Resort",4554,"Bell"
27,51708,"Nolanville",5673,"Bell"
27,62924,"Rogers",1243,"Bell"
27,64268,"Salado village",2349,"Bell"
27,72176,"Temple",76165,"Bell"
27,73748,"Troy",1994,"Bell"
29,1600,"Alamo Heights",8605,"Bexar"
29,5384,"Balcones Heights",3296,"Bexar"
29,13276,"Castle Hills",4465,"Bexar"
29,14716,"China Grove",1317,"Bexar"
29,14920,"Cibolo",0,"Bexar"
29,16468,"Converse",27641,"Bexar"
29,23272,"Elmendorf",2047,"Bexar"
29,25168,"Fair Oaks Ranch",6979,"Bexar"
29,31100,"Grey Forest",560,"Bexar"
29,33146,"Helotes",9508,"Bexar"
29,33968,"Hill Country Village",1108,"Bexar"
29,34628,"Hollywood Park",3340,"Bexar"
29,39448,"Kirby",8709,"Bexar"
29,42388,"Leon Valley",12279,"Bexar"
29,43096,"Live Oak",15874,"Bexar"
29,45288,"Lytle",36,"Bexar"
29,53988,"Olmos Park",2454,"Bexar"
29,64172,"St. Hedwig",2461,"Bexar"
29,65000,"San Antonio",1529988,"Bexar"
29,65344,"Sandy Oaks",4573,"Bexar"
29,66128,"Schertz",1976,"Bexar"
29,66704,"Selma",8378,"Bexar"
29,67268,"Shavano Park",3919,"Bexar"
29,68708,"Somerset",1934,"Bexar"
29,72296,"Terrell Hills",5418,"Bexar"
29,74408,"Universal City",20699,"Bexar"
29,75764,"Von Ormy",1276,"Bexar"
29,79672,"Windcrest",5871,"Bexar"
31,8536,"Blanco",2023,"Blanco"
31,37780,"Johnson City",2079,"Blanco"
31,63476,"Round Mountain",164,"Blanco"
35,15472,"Clifton",3452,"Bosque"
35,17540,"Cranfills Gap",281,"Bosque"
35,36140,"Iredell",342,"Bosque"
35,47760,"Meridian",1516,"Bosque"
35,49356,"Morgan",514,"Bosque"
35,74732,"Valley Mills",1164,"Bosque"
35,76348,"Walnut Springs",860,"Bosque"
37,19648,"De Kalb",1612,"Bowie"
37,34736,"Hooks",2732,"Bowie"
37,42028,"Leary",503,"Bowie"
37,47088,"Maud",1052,"Bowie"
37,50352,"Nash",3639,"Bowie"
37,50808,"New Boston",4646,"Bowie"
37,61172,"Red Lick",1017,"Bowie"
37,61340,"Redwater",1107,"Bowie"
37,72368,"Texarkana",36661,"Bowie"
37,76096,"Wake Village",5376,"Bowie"
39,2272,"Alvin",26639,"Brazoria"
39,3264,"Angleton",19500,"Brazoria"
39,5288,"Bailey's Prairie village",775,"Brazoria"
39,9388,"Bonney village",365,"Brazoria"
39,10072,"Brazoria",3080,"Brazoria"
39,10648,"Brookside Village",1571,"Brazoria"
39,15652,"Clute",11704,"Brazoria"
39,19120,"Danbury",1765,"Brazoria"
39,27420,"Freeport",12209,"Brazoria"
39,33980,"Hillcrest village",719,"Brazoria"
39,34502,"Holiday Lakes",1245,"Brazoria"
39,36092,"Iowa Colony village",1855,"Brazoria"
39,37984,"Jones Creek village",2086,"Brazoria"
39,40588,"Lake Jackson",27420,"Brazoria"
39,43120,"Liverpool",539,"Brazoria"
39,46500,"Manvel",11451,"Brazoria"
39,54528,"Oyster Creek",1182,"Brazoria"
39,56348,"Pearland",115189,"Brazoria"
39,60164,"Quintana",95,"Brazoria"
39,61904,"Richwood",3956,"Brazoria"
39,65345,"Sandy Point",230,"Brazoria"
39,71384,"Surfside Beach",577,"Brazoria"
39,71492,"Sweeny",3732,"Brazoria"
39,77416,"West Columbia",3872,"Brazoria"
41,10912,"Bryan",84817,"Brazos"
41,15976,"College Station",116035,"Brazos"
41,39940,"Kurten",408,"Brazos"
41,48516,"Millican",244,"Brazos"
41,50472,"Navasota",0,"Brazos"
41,79919,"Wixon Valley",251,"Brazos"
43,2104,"Alpine",6027,"Brewster"
45,60176,"Quitaque",380,"Briscoe"
45,67904,"Silverton",671,"Briscoe"
47,25368,"Falfurrias",4822,"Brooks"
49,5552,"Bangs",1536,"Brown"
49,8596,"Blanket",371,"Brown"
49,10780,"Brownwood",18588,"Brown"
49,21904,"Early",3038,"Brown"
51,11836,"Caldwell",4362,"Burleson"
51,68576,"Snook",539,"Burleson"
51,68720,"Somerville",1462,"Burleson"
53,7864,"Bertram",1449,"Burnet"
53,11464,"Burnet",6344,"Burnet"
53,17208,"Cottonwood Shores",1186,"Burnet"
53,30584,"Granite Shoals",5133,"Burnet"
53,33794,"Highland Haven",444,"Burnet"
53,34862,"Horseshoe Bay",817,"Burnet"
53,46584,"Marble Falls",6885,"Burnet"
53,47330,"Meadowlakes",1709,"Burnet"
55,43240,"Lockhart",13794,"Caldwell"
55,45096,"Luling",5930,"Caldwell"
55,46848,"Martindale",1252,"Caldwell"
55,50200,"Mustang Ridge",483,"Caldwell"
55,51492,"Niederwald",120,"Caldwell"
55,65600,"San Marcos",3,"Caldwell"
55,74216,"Uhland",603,"Caldwell"
57,58568,"Point Comfort",689,"Calhoun"
57,58916,"Port Lavaca",12021,"Calhoun"
57,66416,"Seadrift",1497,"Calhoun"
59,5336,"Baird",1499,"Callahan"
59,15676,"Clyde",3829,"Callahan"
59,17816,"Cross Plains",987,"Callahan"
59,59984,"Putnam",96,"Callahan"
61,6140,"Bayview",384,"Cameron"
61,10768,"Brownsville",182333,"Cameron"
61,16204,"Combes",2970,"Cameron"
61,32372,"Harlingen",64996,"Cameron"
61,35918,"Indian Lake",848,"Cameron"
61,40204,"La Feria",7251,"Cameron"
61,40336,"Laguna Vista",3145,"Cameron"
61,44116,"Los Fresnos",7791,"Cameron"
61,44128,"Los Indios",1060,"Cameron"
61,54798,"Palm Valley",1251,"Cameron"
61,58892,"Port Isabel",6277,"Cameron"
61,59540,"Primera",4950,"Cameron"
61,60544,"Rancho Viejo",2461,"Cameron"
61,62180,"Rio Hondo",2723,"Cameron"
61,65036,"San Benito",24286,"Cameron"
61,65768,"Santa Rosa",2752,"Cameron"
61,69140,"South Padre Island",2793,"Cameron"
63,57908,"Pittsburg",4659,"Camp"
