"County","AGEGRP","TOT_POP","TOT_MALE","TOT_FEMALE","WA_MALE","WA_FEMALE","BA_MALE","BA_FEMALE","IA_MALE","IA_FEMALE","AA_MALE","AA_FEMALE","NA_MALE","NA_FEMALE","TOM_MALE","TOM_FEMALE","WAC_MALE","WAC_FEMALE","BAC_MALE","BAC_FEMALE","IAC_MALE","IAC_FEMALE","AAC_MALE","AAC_FEMALE","NAC_MALE","NAC_FEMALE","NH_MALE","NH_FEMALE","NHWA_MALE","NHWA_FEMALE","NHBA_MALE","NHBA_FEMALE","NHIA_MALE","NHIA_FEMALE","NHAA_MALE","NHAA_FEMALE","NHNA_MALE","NHNA_FEMALE","NHTOM_MALE","NHTOM_FEMALE","NHWAC_MALE","NHWAC_FEMALE","NHBAC_MALE","NHBAC_FEMALE","NHIAC_MALE","NHIAC_FEMALE","NHAAC_MALE","NHAAC_FEMALE","NHNAC_MALE","NHNAC_FEMALE","H_MALE","H_FEMALE","HWA_MALE","HWA_FEMALE","HBA_MALE","HBA_FEMALE","HIA_MALE","HIA_FEMALE","HAA_MALE","HAA_FEMALE","HNA_MALE","HNA_FEMALE","HTOM_MALE","HTOM_FEMALE","HWAC_MALE","HWAC_FEMALE","HBAC_MALE","HBAC_FEMALE","HIAC_MALE","HIAC_FEMALE","HAAC_MALE","HAAC_FEMALE","HNAC_MALE","HNAC_FEMALE"
"Anderson","0-4",3016,1575,1441,1203,1074,269,264,16,11,10,16,6,3,71,73,1272,1142,329,326,22,18,17,22,7,8,1180,1058,845,748,253,236,7,5,6,13,3,0,66,56,909,801,309,286,12,7,13,18,4,2,395,383,358,326,16,28,9,6,4,3,3,3,5,17,363,341,20,40,10,11,4,4,3,6
"Anderson","5-9",3009,1554,1455,1206,1147,235,211,19,10,20,15,3,0,71,72,1272,1216,294,268,29,18,29,24,4,3,1179,1110,872,835,214,191,10,6,17,12,0,0,66,66,933,899,270,246,18,11,26,20,1,2,375,345,334,312,21,20,9,4,3,3,3,0,5,6,339,317,24,22,11,7,3,4,3,1
"Anderson","10-14",3140,1624,1516,1296,1213,226,229,10,6,14,13,3,2,75,53,1366,1259,283,268,23,17,31,20,10,5,1201,1152,913,885,209,212,5,5,8,10,1,0,65,40,973,921,260,244,14,11,24,15,8,1,423,364,383,328,17,17,5,1,6,3,2,2,10,13,393,338,23,24,9,6,7,5,2,4
"Anderson","15-19",3091,1712,1379,1342,1076,282,237,18,9,23,15,8,8,39,34,1375,1105,313,262,25,13,27,23,11,10,1260,1056,926,783,270,226,9,7,23,11,0,2,32,27,953,805,298,248,13,8,26,18,2,4,452,323,416,293,12,11,9,2,0,4,8,6,7,7,422,300,15,14,12,5,1,5,9,6
"Anderson","20-24",3410,2192,1218,1493,939,619,206,10,12,26,14,1,4,43,43,1530,976,642,239,25,22,38,19,9,6,1591,932,939,683,602,193,9,3,16,11,0,2,25,40,961,717,620,225,16,13,18,15,4,3,601,286,554,256,17,13,1,9,10,3,1,2,18,3,569,259,22,14,9,9,20,4,5,3
"Anderson","25-29",4493,3140,1353,2004,1068,1039,228,8,15,47,13,2,2,40,27,2042,1090,1051,245,25,23,71,17,13,5,2264,1084,1218,819,1003,220,2,8,19,12,1,1,21,24,1237,838,1014,235,10,15,25,16,3,4,876,269,786,249,36,8,6,7,28,1,1,1,19,3,805,252,37,10,15,8,46,1,10,1
"Anderson","30-34",4836,3545,1291,2188,1018,1256,233,9,6,42,19,10,3,40,12,2226,1028,1264,238,29,12,70,21,24,4,2621,1061,1381,815,1193,218,3,3,24,16,3,0,17,9,1396,822,1201,223,9,7,30,17,4,1,924,230,807,203,63,15,6,3,18,3,7,3,23,3,830,206,63,15,20,5,40,4,20,3
"Anderson","35-39",4679,3379,1300,2089,1055,1191,194,30,9,38,20,5,4,26,18,2102,1068,1201,202,42,18,48,25,14,8,2624,1082,1439,858,1143,188,11,4,18,18,3,0,10,14,1448,867,1148,195,15,11,21,23,4,3,755,218,650,197,48,6,19,5,20,2,2,4,16,4,654,201,53,7,27,7,27,2,10,5
"Anderson","40-44",4599,3348,1251,2106,1050,1152,169,21,8,27,17,7,2,35,5,2120,1055,1167,170,42,11,40,18,15,2,2677,998,1515,812,1128,162,5,5,14,13,1,1,14,5,1525,817,1132,163,16,8,17,14,1,1,671,253,591,238,24,7,16,3,13,4,6,1,21,0,595,238,35,7,26,3,23,4,14,1
"Anderson","45-49",4440,3076,1364,1966,1091,1013,218,32,13,37,21,2,2,26,19,1976,1106,1025,224,42,24,51,27,8,2,2551,1151,1517,898,988,210,12,8,22,19,2,1,10,15,1526,910,991,214,15,18,27,23,2,1,525,213,449,193,25,8,20,5,15,2,0,1,16,4,450,196,34,10,27,6,24,4,6,1
"Anderson","50-54",3896,2546,1350,1755,1111,754,206,13,7,9,11,1,7,14,8,1767,1119,757,207,23,12,12,13,3,7,2190,1193,1431,960,738,204,8,6,4,11,0,4,9,8,1440,968,739,205,16,11,6,13,0,4,356,157,324,151,16,2,5,1,5,0,1,3,5,0,327,151,18,2,7,1,6,0,3,3
"Anderson","55-59",3576,2122,1454,1575,1198,504,214,12,13,12,12,2,2,17,15,1592,1211,506,215,24,24,15,15,3,4,1899,1312,1364,1066,501,211,5,8,12,12,0,1,17,14,1381,1078,503,212,17,19,15,14,1,3,223,142,211,132,3,3,7,5,0,0,2,1,0,1,211,133,3,3,7,5,0,1,2,1
"Anderson","60-64",3281,1717,1564,1381,1320,292,204,18,16,10,13,0,0,16,11,1393,1330,294,206,30,26,15,13,2,0,1573,1466,1241,1231,290,201,16,12,10,12,0,0,16,10,1253,1240,292,203,28,21,15,12,2,0,144,98,140,89,2,3,2,4,0,1,0,0,0,1,140,90,2,3,2,5,0,1,0,0
"Anderson","65-69",2776,1412,1364,1197,1180,178,158,14,7,4,3,2,0,17,16,1213,1195,180,160,28,19,6,5,2,1,1311,1278,1107,1103,174,155,9,4,3,2,1,0,17,14,1123,1116,176,157,23,14,5,4,1,1,101,86,90,77,4,3,5,3,1,1,1,0,0,2,90,79,4,3,5,5,1,1,1,0
"Anderson","70-74",2246,1104,1142,980,1024,107,102,5,4,3,5,0,0,9,7,989,1031,107,104,14,7,3,7,0,0,1048,1098,927,984,107,101,3,3,3,4,0,0,8,6,935,990,107,102,11,6,3,6,0,0,56,44,53,40,0,1,2,1,0,1,0,0,1,1,54,41,0,2,3,1,0,1,0,0
