"Demo_Group","Demo_Count","Demo_PCT","Demographic","Source","Type","Investigation_Type","Date"
"<1 year",38,0.003,"Age","DSHS","Current","Case",2020-06-02
"1-9 years",173,0.012,"Age","DSHS","Current","Case",2020-06-02
"10-19 years",445,0.03,"Age","DSHS","Current","Case",2020-06-02
"20-29 years",2317,0.155,"Age","DSHS","Current","Case",2020-06-02
"30-39 years",2749,0.183,"Age","DSHS","Current","Case",2020-06-02
"40-49 years",2806,0.1871789740511,"Age","DSHS","Current","Case",2020-06-02
"50-59 years",2759,0.184,"Age","DSHS","Current","Case",2020-06-02
"60-64 years",1164,0.078,"Age","DSHS","Current","Case",2020-06-02
"65-69 years",846,0.056,"Age","DSHS","Current","Case",2020-06-02
"70-74 years",552,0.037,"Age","DSHS","Current","Case",2020-06-02
"75-79 years",367,0.024,"Age","DSHS","Current","Case",2020-06-02
"80+ years",652,0.043,"Age","DSHS","Current","Case",2020-06-02
"Unknown",123,0.008,"Age","DSHS","Current","Case",2020-06-02
"Female",6760,0.451,"Gender","DSHS","Current","Case",2020-06-02
"Male",7948,0.53,"Gender","DSHS","Current","Case",2020-06-02
"Unknown",283,0.019,"Gender","DSHS","Current","Case",2020-06-02
"Asian",500,0.033,"Race","DSHS","Current","Case",2020-06-02
"Black",2369,0.158,"Race","DSHS","Current","Case",2020-06-02
"Hispanic",5963,0.398,"Race","DSHS","Current","Case",2020-06-02
"Other",96,0.006,"Race","DSHS","Current","Case",2020-06-02
"White",4121,0.275,"Race","DSHS","Current","Case",2020-06-02
"Unknown",1942,0.13,"Race","DSHS","Current","Case",2020-06-02
"<1 year",0,0,"Age","DSHS","Current","Death",2020-06-02
"1-9 years",0,0,"Age","DSHS","Current","Death",2020-06-02
"10-19 years",2,0.0040404040404,"Age","DSHS","Current","Death",2020-06-02
"20-29 years",11,0.022,"Age","DSHS","Current","Death",2020-06-02
"30-39 years",9,0.018,"Age","DSHS","Current","Death",2020-06-02
"40-49 years",21,0.042,"Age","DSHS","Current","Death",2020-06-02
"50-59 years",54,0.109,"Age","DSHS","Current","Death",2020-06-02
"60-64 years",45,0.091,"Age","DSHS","Current","Death",2020-06-02
"65-69 years",58,0.117,"Age","DSHS","Current","Death",2020-06-02
"70-74 years",47,0.095,"Age","DSHS","Current","Death",2020-06-02
"75-79 years",46,0.093,"Age","DSHS","Current","Death",2020-06-02
"80+ years",199,0.4020202020202,"Age","DSHS","Current","Death",2020-06-02
"Unknown",3,0.006,"Age","DSHS","Current","Death",2020-06-02
"Female",193,0.39,"Gender","DSHS","Current","Death",2020-06-02
"Male",271,0.547,"Gender","DSHS","Current","Death",2020-06-02
"Unknown",31,0.063,"Gender","DSHS","Current","Death",2020-06-02
"Asian",6,0.012,"Race","DSHS","Current","Death",2020-06-02
"Black",67,0.135,"Race","DSHS","Current","Death",2020-06-02
"Hispanic",123,0.248,"Race","DSHS","Current","Death",2020-06-02
"Other",1,0.0020202020202,"Race","DSHS","Current","Death",2020-06-02
"White",183,0.37,"Race","DSHS","Current","Death",2020-06-02
"Unknown",115,0.232,"Race","DSHS","Current","Death",2020-06-02
