"Date","HHSC","ALF_Fac_Outbreak_Active","ALF_Fac_Outbreak_Recovered","ALF_Fac_Outbreak_Cumulative","ALF_Cases_Active","ALF_Recovered_Cumulative","ALF_Deaths_Cumulative","ALF_Cases_Cumulative","ALF_Discharges_Cumulative","NURSING_Fac_Outbreak_Active","NURSING_Fac_Outbreak_Recovered","NURSING_Fac_Outbreak_Cumulative","NURSING_Cases_Active","NURSING_Recovered_Cumulative","NURSING_Deaths_Cumulative","NURSING_Cases_Cumulative","NURSING_Discharges_Cumulative"
2020-07-29,"1","12","13","25","14","36","2","54",NA,"31","27","58","180","333","105","636",NA
2020-07-29,"2","23","12","35","108","19","9","150",NA,"54","38","92","588","603","195","1542",NA
2020-07-29,"3","96","39","135","134","224","108","487",NA,"121","62","183","609","1090","330","2221",NA
2020-07-29,"4","21","16","37","25","40","13","80",NA,"102","40","142","565","814","186","1674",NA
2020-07-29,"5","42","5","47","91","101","35","227",NA,"102","10","112","609","621","227","1475",NA
2020-07-29,"6","115","28","143","342","166","65","609",NA,"142","19","161","1348","1368","441","3738",NA
2020-07-29,"7","49","21","70","108","39","40","204",NA,"171","31","202","1927","1017","524","3990",NA
2020-07-30,"1","12","13","25","14","36","2","54",NA,"31","27","58","162","353","105","638",NA
2020-07-30,"2","22","13","35","107","17","10","149",NA,"57","37","94","541","661","201","1574",NA
2020-07-30,"3","99","40","139","126","235","109","492",NA,"122","61","183","613","1159","335","2325",NA
2020-07-30,"4","19","18","37","25","42","13","82",NA,"106","37","143","570","794","195","1686",NA
2020-07-30,"5","44","6","50","89","103","40","232",NA,"103","10","113","608","642","231","1499",NA
2020-07-30,"6","112","30","142","348","187","70","641",NA,"135","26","161","1283","1499","464","3836",NA
2020-07-30,"7","49","21","70","108","35","41","207",NA,"169","33","202","1998","1034","551","4136",NA
2020-07-31,"1","12","13","25","13","36","3","54",NA,"32","27","59","156","355","108","640",NA
2020-07-31,"2","18","17","35","102","17","10","145",NA,"58","37","95","516","590","205","1624",NA
2020-07-31,"3","100","42","142","110","234","111","477",NA,"123","60","183","634","1188","337","2417",NA
2020-07-31,"4","20","18","38","33","40","13","88",NA,"108","37","145","567","823","196","1713",NA
2020-07-31,"5","45","6","51","90","103","40","233",NA,"104","10","114","650","649","240","1557",NA
2020-07-31,"6","109","36","145","327","218","83","668",NA,"136","27","163","1285","1584","472","3964",NA
2020-07-31,"7","48","22","70","108","43","42","216",NA,"166","37","203","1904","1223","583","4296",NA
2020-08-03,"1","12","13","25","13","36","3","54",NA,"32","27","59","156","355","108","640",NA
2020-08-03,"2","18","18","36","106","17","11","150",NA,"57","38","95","553","700","223","1881",NA
2020-08-03,"3","94","48","142","118","239","116","494",NA,"127","58","185","624","1229","339","2455",NA
2020-08-03,"4","18","20","38","32","40","14","89",NA,"107","40","147","642","872","218","1876",NA
2020-08-03,"5","45","6","51","91","103","40","234",NA,"106","11","117","669","650","241","1578",NA
2020-08-03,"6","108","38","146","314","246","88","679",NA,"139","25","164","1324","1651","495","4084",NA
2020-08-03,"7","49","22","71","110","43","42","214",NA,"170","33","203","1956","1397","628","4609",NA
2020-08-04,"1","12","13","25","13","36","3","54",NA,"31","28","59","153","358","108","640",NA
2020-08-04,"2","20","17","37","107","17","11","151",NA,"58","37","95","538","708","227","1901",NA
