County,Date,cases_cumulative,deaths_cumulative,cases_daily,deaths_daily
Bexar,2020-02-18,0,0,0,0
Bexar,2020-02-25,0,0,0,0
Bexar,2020-03-03,0,0,0,0
Bexar,2020-03-10,0,0,0,0
Bexar,2020-03-17,0,0,0,0
Bexar,2020-03-24,72,0,72,0
Bexar,2020-03-31,206,4,134,4
Bexar,2020-04-07,503,11,297,7
Bexar,2020-04-14,815,31,312,20
Bexar,2020-04-21,1080,37,265,6
Bexar,2020-04-28,1307,42,227,5
Bexar,2020-05-05,1677,50,370,8
Bexar,2020-05-12,1942,55,265,5
Bexar,2020-05-19,2278,60,336,5
Bexar,2020-05-26,2480,67,202,7
Bexar,2020-06-02,2882,73,402,6
Bexar,2020-06-09,3513,78,631,5
Bexar,2020-06-16,4876,87,1363,9
Bexar,2020-06-23,7467,98,2591,11
Bexar,2020-06-30,12065,108,4598,10
Bexar,2020-07-07,15880,135,3815,27
Bexar,2020-07-14,21067,199,5187,64
Bexar,2020-07-21,31867,272,10800,73
Bexar,2020-07-28,37984,333,6117,61
Bexar,2020-08-04,41274,378,3290,45
Bexar,2020-08-11,43164,517,1890,139
Bexar,2020-08-18,44265,635,1101,118
Bexar,2020-08-25,45488,739,1223,104
Bexar,2020-09-01,46663,820,1175,81
Bexar,2020-09-08,47736,977,1073,157
Bexar,2020-09-15,50131,1017,2395,40
Bexar,2020-09-22,53639,1066,3508,49
Bexar,2020-09-29,57677,1133,4038,67
Bexar,2020-10-06,58939,1166,1262,33
Bexar,2020-10-13,59902,1205,963,39
Bexar,2020-10-20,63594,1228,3692,23
Bexar,2020-10-27,64941,1245,1347,17
Bexar,2020-11-03,66529,1258,1588,13
Bexar,2020-11-10,68376,1283,1847,25
Bexar,2020-11-17,70528,1302,2152,19
Bexar,2020-11-24,75718,1335,5190,33
Bexar,2020-12-01,81626,1360,5908,25
Bexar,2020-12-08,89490,1404,7864,44
Bexar,2020-12-15,96140,1433,6650,29
Bexar,2020-12-22,105164,1469,9024,36
Bexar,2020-12-29,114362,1519,9198,50
Bexar,2021-01-05,124800,1572,10438,53
Bexar,2021-01-12,137407,1658,12607,86
Bexar,2021-01-19,152231,1820,14824,162
Bexar,2021-01-26,162929,1996,10698,176
Bexar,2021-02-02,176790,2165,13861,169
Bexar,2021-02-09,184784,2360,7994,195
Bexar,2021-02-16,189258,2395,4474,35
Bexar,2021-02-23,193961,2499,4703,104
Bexar,2021-03-02,197065,2668,3104,169
Bexar,2021-03-09,198969,2851,1904,183
Bexar,2021-03-16,201010,2989,2041,138
Bexar,2021-03-23,202849,3071,1839,82
Bexar,2021-03-30,205406,3146,2557,75
Bexar,2021-04-06,208172,3210,2766,64
Bexar,2021-04-13,211069,3279,2897,69
Bexar,2021-04-20,214071,3322,3002,43
Bexar,2021-04-27,216476,3349,2405,27
