County,Date,cases_daily,deaths_daily
Randall,2020-03-18,2,
Randall,2020-03-25,1,
Randall,2020-03-26,1,
Randall,2020-03-28,2,
Randall,2020-03-30,1,
Randall,2020-03-31,9,
Randall,2020-04-01,6,
Randall,2020-04-02,5,3
Randall,2020-04-03,10,
Randall,2020-04-04,4,
Randall,2020-04-05,3,
Randall,2020-04-06,3,
Randall,2020-04-07,8,
Randall,2020-04-08,7,
Randall,2020-04-09,4,
Randall,2020-04-10,2,
Randall,2020-04-11,4,
Randall,2020-04-12,4,
Randall,2020-04-13,3,
Randall,2020-04-14,10,
Randall,2020-04-15,6,
Randall,2020-04-16,8,
Randall,2020-04-17,11,
Randall,2020-04-18,5,
Randall,2020-04-19,4,
Randall,2020-04-20,3,
Randall,2020-04-21,9,
Randall,2020-04-22,12,
Randall,2020-04-23,16,
Randall,2020-04-24,17,
Randall,2020-04-25,20,
Randall,2020-04-26,9,
Randall,2020-04-27,3,
Randall,2020-04-28,26,
Randall,2020-04-29,22,
Randall,2020-04-30,9,
Randall,2020-05-01,19,
Randall,2020-05-02,22,3
Randall,2020-05-03,2,
Randall,2020-05-04,9,
Randall,2020-05-05,30,
Randall,2020-05-06,9,
Randall,2020-05-07,147,
Randall,2020-05-08,38,
Randall,2020-05-09,37,
Randall,2020-05-10,6,
Randall,2020-05-11,2,
Randall,2020-05-12,18,
Randall,2020-05-13,7,
Randall,2020-05-14,9,
Randall,2020-05-15,10,
Randall,2020-05-16,9,
Randall,2020-05-17,3,
Randall,2020-05-18,4,
Randall,2020-05-19,11,
Randall,2020-05-20,7,
Randall,2020-05-21,4,
Randall,2020-05-22,24,
Randall,2020-05-23,16,
Randall,2020-05-24,3,
Randall,2020-05-25,2,
Randall,2020-05-26,1,
Randall,2020-05-27,11,
Randall,2020-05-28,7,
Randall,2020-05-29,3,
Randall,2020-05-30,2,
Randall,2020-05-31,1,
Randall,2020-06-02,6,3
Randall,2020-06-03,4,
Randall,2020-06-04,5,
Randall,2020-06-05,4,
Randall,2020-06-06,4,
Randall,2020-06-08,1,
Randall,2020-06-09,9,
Randall,2020-06-10,2,
Randall,2020-06-11,5,
Randall,2020-06-12,4,
Randall,2020-06-13,4,
Randall,2020-06-14,3,
Randall,2020-06-15,1,
Randall,2020-06-16,6,
Randall,2020-06-17,1,
Randall,2020-06-18,3,
Randall,2020-06-19,15,
Randall,2020-06-20,6,
Randall,2020-06-21,5,
Randall,2020-06-22,4,
Randall,2020-06-23,21,
Randall,2020-06-24,12,
Randall,2020-06-25,23,
Randall,2020-06-26,15,
Randall,2020-06-27,18,
Randall,2020-06-28,3,
Randall,2020-06-29,8,
Randall,2020-06-30,33,
Randall,2020-07-01,39,
Randall,2020-07-02,28,14
Randall,2020-07-03,24,
Randall,2020-07-04,10,
