County,Plant_Name,Date,viral_load_log10,viral_load,viral_load_pct
Harris,69TH STREET,2020-07-06,12.71516848,5190013410195.789,100.0
Harris,69TH STREET,2020-07-13,12.6241648371733,4208863461656.4175,81.0
Harris,69TH STREET,2020-07-20,12.5446150436309,3504411070679.0073,68.0
Harris,69TH STREET,2020-07-27,12.4765042603512,2995740979967.1235,58.0
Harris,69TH STREET,2020-08-03,12.4255519924655,2664109017018.1963,51.0
Harris,69TH STREET,2020-08-10,12.3970215415273,2494718464902.78,48.0
Harris,69TH STREET,2020-08-17,12.3893131345289,2450829699473.4995,47.0
Harris,69TH STREET,2020-08-24,12.3955248448944,2486135785732.016,48.0
Harris,69TH STREET,2020-08-31,12.4086172574434,2562224959252.463,49.0
Harris,69TH STREET,2020-09-07,12.4215512312884,2639679692233.727,51.0
Harris,69TH STREET,2020-09-14,12.4292815175414,2687085698812.387,52.0
Harris,69TH STREET,2020-09-21,12.4335404758865,2713566542523.2524,52.0
Harris,69TH STREET,2020-09-28,12.4374992309575,2738414785114.0566,53.0
Harris,69TH STREET,2020-10-05,12.4443289073884,2781819245526.951,54.0
Harris,69TH STREET,2020-10-12,12.4572093974453,2865559281861.388,55.0
Harris,69TH STREET,2020-10-19,12.4797376798228,3018128176463.1294,58.0
Harris,69TH STREET,2020-10-26,12.5161013096181,3281718381475.474,63.0
Harris,69TH STREET,2020-11-02,12.5705326287137,3719911679535.5493,72.0
Harris,69TH STREET,2020-11-09,12.647263978992,4438783663535.867,86.0
Harris,69TH STREET,2020-11-16,12.7483648886369,5602281002569.502,108.0
Harris,69TH STREET,2020-11-23,12.8663235825026,7350613409224.039,142.0
Harris,69TH STREET,2020-11-30,12.9909759832499,9794358205119.596,189.0
Harris,69TH STREET,2020-12-07,13.1121579191197,12946665253735.938,249.0
Harris,69TH STREET,2020-12-14,13.2196912581747,16584075191939.203,320.0
Harris,69TH STREET,2020-12-21,13.3029189543186,20087179215828.05,387.0
Harris,69TH STREET,2020-12-28,13.350596410215,22417976533150.836,432.0
Harris,69TH STREET,2021-01-04,13.3514430558576,22461722414234.36,433.0
Harris,69TH STREET,2021-01-11,13.2941783212405,19686944693909.965,379.0
Harris,69TH STREET,2021-01-18,13.1750061642661,14962568934358.496,288.0
Harris,69TH STREET,2021-01-25,13.0200686544716,10472940941095.053,202.0
Harris,69TH STREET,2021-02-01,12.8629923893025,7294447271499.315,141.0
Harris,69TH STREET,2021-02-08,12.7374039662045,5462657429745.717,105.0
Harris,69TH STREET,2021-02-15,12.6768458111066,4751664961830.7295,92.0
Harris,69TH STREET,2021-02-22,12.6946473493007,4950480444609.106,95.0
Harris,69TH STREET,2021-03-01,12.7578173682729,5725552065219.269,110.0
Harris,69TH STREET,2021-03-08,12.8269031764199,6712791782196.385,129.0
Harris,69TH STREET,2021-03-15,12.862452082138,7285377868947.925,140.0
Harris,69TH STREET,2021-03-22,12.8283745961165,6735573755990.054,130.0
Harris,69TH STREET,2021-03-29,12.7307224646437,5379259117583.803,104.0
Harris,69TH STREET,2021-04-05,12.6042542146262,4020260682723.469,77.0
Harris,69TH STREET,2021-04-12,12.4842799322626,3049860198050.492,59.0
Harris,69TH STREET,2021-04-19,12.4060984253371,2547407513047.8154,49.0
Harris,69TH STREET,2021-04-26,12.3908460612621,2459495664063.4424,47.0
Harris,69TH STREET,2021-05-03,12.4178279291466,2617145869211.331,50.0
Harris,69TH STREET,2021-05-10,12.4586631944446,2875167789849.6353,55.0
Harris,69TH STREET,2021-05-17,12.4849710226099,3054717286799.796,59.0
Harris,69TH STREET,2021-05-24,12.4719268957955,2964332365455.7705,57.0
Harris,69TH STREET,2021-05-31,12.4313331163158,2699809469702.3613,52.0
Harris,69TH STREET,2021-06-07,12.3965602197844,2492069900645.326,48.0
Harris,69TH STREET,2021-06-14,12.4012559760023,2519161300379.59,49.0
Harris,69TH STREET,2021-06-21,12.4790187631232,3013136199969.682,58.0
Harris,69TH STREET,2021-06-28,12.6437003191702,4402509676215.1455,85.0
Harris,69TH STREET,2021-07-05,12.8593181910711,7232995436208.312,139.0
Harris,69TH STREET,2021-07-12,13.0821500309455,12082311573686.242,233.0
Harris,69TH STREET,2021-07-19,13.2684734909129,18555535440483.73,358.0
Harris,69TH STREET,2021-07-26,13.3792626392662,23947635500680.21,461.0
Harris,69TH STREET,2021-08-02,13.4156793596658,26042301326415.055,502.0
Harris,69TH STREET,2021-08-09,13.3992897687069,25077819299498.195,483.0
Harris,69TH STREET,2021-08-16,13.35182019871,22481236724738.043,433.0
Harris,69TH STREET,2021-08-23,13.2949601701844,19722418504836.445,380.0
Harris,69TH STREET,2021-08-30,13.243577584866,17521754249537.443,338.0
Harris,69TH STREET,2021-09-06,13.1977767420375,15768004747747.107,304.0
Harris,69TH STREET,2021-09-13,13.1557331903745,14313083021833.918,276.0
Harris,69TH STREET,2021-09-20,13.1156224785525,13050359594511.637,251.0
Harris,69TH STREET,2021-09-27,13.0752393595062,11891574457906.994,229.0
Harris,69TH STREET,2021-10-04,13.0279518356816,10664778396752.31,205.0
Harris,69TH STREET,2021-10-11,12.9642719414674,9210261086460.102,177.0
Harris,69TH STREET,2021-10-18,12.8746641117849,7493144569767.73,144.0
Harris,69TH STREET,2021-10-25,12.749610952919,5618377975205.43,108.0
Harris,69TH STREET,2021-11-01,12.5935189626352,3922102710676.7534,76.0
Harris,69TH STREET,2021-11-08,12.4495484366313,2815454003702.776,54.0
Harris,69TH STREET,2021-11-15,12.3675483308145,2331032511696.9956,45.0
Harris,69TH STREET,2021-11-22,12.3973676010922,2496707127606.7183,48.0
Harris,69TH STREET,2021-11-29,12.5811829155252,3812263539527.8843,73.0
Harris,69TH STREET,2021-12-06,12.887539786687,7718622243675.374,149.0
Harris,69TH STREET,2021-12-13,13.2439559750241,17537027177885.29,338.0
Harris,69TH STREET,2021-12-20,13.5775052656286,37801172049902.625,728.0
Harris,69TH STREET,2021-12-27,13.8152621257129,65352487952767.484,1259.0
Harris,69TH STREET,2022-01-03,13.9034620990395,80068574946275.61,1543.0
Harris,69TH STREET,2022-01-10,13.8575591189661,72037580676549.34,1388.0
Harris,69TH STREET,2022-01-17,13.7086319744748,51124841485940.46,985.0
Harris,69TH STREET,2022-01-24,13.4877594545478,30743935091496.48,592.0
Harris,69TH STREET,2022-01-31,13.2258000047654,16818993578835.746,324.0
Harris,69TH STREET,2022-02-07,12.9507065347884,8927020555499.65,172.0
Harris,69TH STREET,2022-02-14,12.688379959659,4879552102736.377,94.0
Harris,69TH STREET,2022-02-21,12.4646780591533,2915265137852.421,56.0
Harris,69TH STREET,2022-02-28,12.3054542038694,2020478362350.3254,39.0
Harris,69TH STREET,2022-03-07,12.2283591037736,1691839279502.385,33.0
Harris,69TH STREET,2022-03-14,12.2258294226369,1682013288815.3103,32.0
Harris,69TH STREET,2022-03-21,12.2854729935859,1929625339543.4253,37.0
Harris,69TH STREET,2022-03-28,12.3948976497471,2482547973854.701,48.0
Harris,69TH STREET,2022-04-04,12.5419946230437,3483330023334.4634,67.0
Harris,69TH STREET,2022-04-11,12.7177171004252,5220560107501.746,101.0
Harris,69TH STREET,2022-04-18,12.9148886256424,8220318137302.436,158.0
Harris,69TH STREET,2022-04-25,12.9130272482715,8185161414246.13,158.0
Harris,69TH STREET,2022-05-02,12.9044622896562,8025318729809.778,155.0
Harris,69TH STREET,2022-05-09,13.03884566,10935676640557.908,211.0
Harris,69TH STREET,2022-05-16,12.98851778,9739076562558.389,188.0
Harris,69TH STREET,2022-05-23,12.80564868,6392175349630.625,123.0
Harris,69TH STREET,2022-05-30,13.174731960145,14953124874397.77,288.0
Harris,69TH STREET,2022-06-06,13.15338237,14235816129526.703,274.0
Harris,69TH STREET,2022-06-13,13.02205185,10520874740358.709,203.0
Harris,69TH STREET,2022-06-20,13.56874926,37046677096704.28,714.0
Harris,69TH STREET,2022-06-27,13.61846984,41540320216332.44,800.0
Harris,69TH STREET,2022-07-04,13.86550953,73368481395416.81,1414.0
Harris,69TH STREET,2022-07-11,13.9062794,80589674190215.1,1553.0
Harris,69TH STREET,2022-07-18,13.77674453,59805968809093.695,1152.0
Harris,69TH STREET,2022-07-25,13.78464094,60903316099849.32,1173.0
Harris,69TH STREET,2022-07-25,13.78464094,60903316099849.32,1173.0
Harris,69TH STREET,2022-08-01,13.63835796,43486850962867.59,838.0
Harris,69TH STREET,2022-08-08,13.5159158,32803168892976.312,632.0
Harris,69TH STREET,2022-08-15,13.38824654,24448180314944.207,471.0
Harris,69TH STREET,2022-08-22,13.11373565,12993784207415.307,250.0
Harris,69TH STREET,2022-08-29,13.35594134,22695582827564.53,437.0
Harris,69TH STREET,2022-09-05,13.46175569,28957141611713.117,558.0
Harris,69TH STREET,2022-09-12,13.23787686,17293259560444.46,333.0
Harris,69TH STREET,2022-09-19,12.6580263,4550156141458.089,88.0
Harris,69TH STREET,2022-09-26,12.47075354,2956334285130.832,57.0
Harris,69TH STREET,2022-10-03,12.50332498,3186581129664.7407,61.0
Harris,69TH STREET,2022-10-10,12.30224821,2005617959964.0515,39.0
Harris,69TH STREET,2022-10-17,12.36822774,2334682026945.37,45.0
Harris,69TH STREET,2022-10-24,12.7226848037118,5280618631755.689,102.0
Harris,69TH STREET,2022-10-31,12.85574643,7173753175536.015,138.0
Harris,69TH STREET,2022-11-07,12.77362388,5937776957058.457,114.0
Harris,69TH STREET,2022-11-14,13.06826207,11702053249216.924,225.0
Harris,69TH STREET,2022-11-21,13.13591171,13674508011004.072,263.0
Harris,69TH STREET,2022-11-21,13.13591171,13674508011004.072,263.0
Harris,69TH STREET,2022-11-28,13.11598546,13061271588016.477,252.0
Harris,69TH STREET,2022-12-05,13.35091205,22434275559703.24,432.0
Harris,69TH STREET,2022-12-05,13.35091205,22434275559703.24,432.0
Harris,69TH STREET,2022-12-12,13.45533182,28531974026650.34,550.0
Harris,69TH STREET,2022-12-19,13.67968898,47828744408295.94,922.0
Harris,69TH STREET,2022-12-26,13.86384559,73087917891759.22,1408.0
Harris,69TH STREET,2023-01-02,13.88289061,76364341301417.48,1471.0
Harris,69TH STREET,2023-01-09,13.81643481,65529191551551.9,1263.0
Harris,69TH STREET,2023-01-16,13.53597544,34353851973541.01,662.0
Harris,69TH STREET,2023-01-16,13.53597544,34353851973541.01,662.0
Harris,69TH STREET,2023-01-23,13.34842271,22306051984824.54,430.0
Harris,69TH STREET,2023-01-23,13.34842271,22306051984824.54,430.0
Harris,69TH STREET,2023-01-30,13.28665149,19348686591282.605,373.0
Harris,69TH STREET,2023-01-30,13.28665149,19348686591282.605,373.0
Harris,69TH STREET,2023-02-06,13.12662852,13385312657463.605,258.0
Harris,69TH STREET,2023-02-13,13.21721505,16489787157135.531,318.0
Harris,69TH STREET,2023-02-20,13.26307055,18326121012232.87,353.0
Harris,69TH STREET,2023-02-27,13.2845469,19255149726014.96,371.0
Harris,69TH STREET,2023-03-06,13.24878047,17732928786786.88,342.0
Harris,69TH STREET,2023-03-13,13.20673473,16096621423488.898,310.0
Harris,69TH STREET,2023-03-20,13.13854495,13757671964622.68,265.0
Harris,69TH STREET,2023-03-27,13.04129416,10997504794878.252,212.0
Harris,69TH STREET,2023-04-03,12.91439727,8211023025727.3955,158.0
Harris,69TH STREET,2023-04-10,12.85771658,7206370389242.193,139.0
Harris,69TH STREET,2023-04-17,12.69615439,4967688894728.763,96.0
Harris,69TH STREET,2023-04-24,12.66306419,4603246058823.2295,89.0
Harris,69TH STREET,2023-04-24,12.66306419,4603246058823.2295,89.0
Harris,69TH STREET,2023-05-01,12.67480837,4729425296806.223,91.0
Harris,69TH STREET,2023-05-01,12.67480837,4729425296806.223,91.0
Harris,69TH STREET,2023-05-08,12.5830503,3828690846579.0454,74.0
Harris,69TH STREET,2023-05-15,12.6429259344882,4394666614602.132,85.0
Harris,ALMEDA SIMS,2020-07-06,11.90787341,808860094837.8184,100.0
Harris,ALMEDA SIMS,2020-07-13,11.8788959352604,756651566024.02,94.0
Harris,ALMEDA SIMS,2020-07-20,11.7976274739619,627519858360.7672,78.0
Harris,ALMEDA SIMS,2020-07-27,11.717530718228,521832012808.0155,65.0
