"demo_group","AGEGRP","total","pct"
"Asian","0-9",39200,0.112361482942266
"Asian","10-19",39126,0.112149371979569
"Asian","20-29",53938,0.154605960891325
"Asian","30-39",61707,0.176874745610163
"Asian","40-49",52742,0.151177789115841
"Asian","50-59",42759,0.122562873702254
"Asian","60-69",33690,0.0965678153144115
"Asian","70-79",17936,0.0514111111748081
"Asian","80+",7776,0.0222888492693637
"Black","0-9",137979,0.147776112960974
"Black","10-19",134768,0.144337117905801
"Black","20-29",152450,0.163274617303361
"Black","30-39",147350,0.157812494979667
"Black","40-49",118901,0.12734349145285
"Black","50-59",106805,0.1143886225063
"Black","60-69",81633,0.0874293003235504
"Black","70-79",37160,0.0397985226565621
"Black","80+",16657,0.0178397199109353
"Hispanic","0-9",374757,0.184128086882267
"Hispanic","10-19",357840,0.175816314598395
"Hispanic","20-29",322940,0.158669015862971
"Hispanic","30-39",318693,0.156582351744652
"Hispanic","40-49",279451,0.137301712862832
"Hispanic","50-59",199867,0.0981999758267307
"Hispanic","60-69",113774,0.0559001938774808
"Hispanic","70-79",46553,0.0228727277372542
"Hispanic","80+",21431,0.0105296206074173
"American Indian & Alaska Native","0-9",6040,0.120988742438204
"American Indian & Alaska Native","10-19",8894,0.17815792636513
"American Indian & Alaska Native","20-29",8567,0.171607708024518
"American Indian & Alaska Native","30-39",8570,0.171667801770762
"American Indian & Alaska Native","40-49",7420,0.148631865710508
"American Indian & Alaska Native","50-59",5586,0.11189455550659
"American Indian & Alaska Native","60-69",3171,0.0635190897800569
"American Indian & Alaska Native","70-79",1270,0.0254396859100196
"American Indian & Alaska Native","80+",404,0.00809262449421097
"Native Hawaiian & Pacific Islander","0-9",1179,0.201023017902813
"Native Hawaiian & Pacific Islander","10-19",953,0.162489343563512
"Native Hawaiian & Pacific Islander","20-29",885,0.150895140664962
"Native Hawaiian & Pacific Islander","30-39",1146,0.19539641943734
"Native Hawaiian & Pacific Islander","40-49",823,0.140323955669224
"Native Hawaiian & Pacific Islander","50-59",548,0.0934356351236147
"Native Hawaiian & Pacific Islander","60-69",239,0.0407502131287297
"Native Hawaiian & Pacific Islander","70-79",74,0.012617220801364
"Native Hawaiian & Pacific Islander","80+",18,0.0030690537084399
"Not Hispanic","0-9",328049,0.123173280797263
"Not Hispanic","10-19",311928,0.117120293408998
"Not Hispanic","20-29",375495,0.140987934951694
"Not Hispanic","30-39",409471,0.153744978528622
"Not Hispanic","40-49",344416,0.129318634347521
"Not Hispanic","50-59",345446,0.129705370716848
"Not Hispanic","60-69",302828,0.113703496359609
"Not Hispanic","70-79",164335,0.0617032245177341
"Not Hispanic","80+",81345,0.0305427863717107
"White","0-9",491893,0.150474403386043
"White","10-19",468435,0.14329839446819
"White","20-29",467824,0.143111484183903
"White","30-39",497273,0.15212019279597
"White","40-49",435438,0.133204321390245
"White","50-59",383903,0.117439310750737
"White","60-69",294115,0.0899723703160772
"White","70-79",152836,0.0467538792296482
"White","80+",77231,0.0236256434791866
