Date,Level_Type,Level,Cases
8/2/2022,PHR,PHR 1,1
8/2/2022,PHR,PHR 2/3,218
8/2/2022,PHR,PHR 4/5N,0
8/2/2022,PHR,PHR 6/5S,161
8/2/2022,PHR,PHR 7,58
8/2/2022,PHR,PHR 8,15
8/2/2022,PHR,PHR 9/10,1
8/2/2022,PHR,11,0
8/2/2022,State,Texas,454
7/26/2022,PHR,PHR 1 ,1
7/26/2022,PHR,PHR 2/3,113
7/26/2022,PHR,PHR 4/5N ,0
7/26/2022,PHR,PHR 6/5S ,67
7/26/2022,PHR,PHR 7 ,41
7/26/2022,PHR,PHR 8 ,9
7/26/2022,PHR,PHR 9/10 ,0
7/26/2022,PHR,PHR 11 ,0
7/29/2022,PHR,PHR 1 ,1
7/29/2022,PHR,PHR 2/3,162
7/29/2022,PHR,PHR 4/5N ,0
7/29/2022,PHR,PHR 6/5S ,105
7/29/2022,PHR,PHR 7 ,55
7/29/2022,PHR,PHR 8 ,14
7/29/2022,PHR,PHR 9/10 ,1
7/29/2022,PHR,PHR 11 ,0
7/26/2022,State,Texas,231
7/29/2022,State,Texas,338
