"date","state","positive","negative","pending","hospitalizedCurrently","hospitalizedCumulative","inIcuCurrently","inIcuCumulative","onVentilatorCurrently","onVentilatorCumulative","recovered","dataQualityGrade","lastUpdateEt","hash","dateChecked","death","hospitalized","total","totalTestResults","posNeg","fips","deathIncrease","hospitalizedIncrease","negativeIncrease","positiveIncrease","totalTestResultsIncrease"
20200601,"TX",64880,905151,NA,1756,NA,NA,NA,NA,NA,43338,"B","6/1/2020 17:00","e4a56df73ffde3626cad3cdef214e053f69aaa47","2020-06-01T20:00:00Z",1678,NA,970031,970031,970031,48,6,0,17573,593,18166
20200531,"TX",64287,887578,NA,1684,NA,NA,NA,NA,NA,42423,"B","5/31/2020 16:30","915eb625066043b42d44c183ed1d544b14bee618","2020-05-31T20:00:00Z",1672,NA,951865,951865,951865,48,46,0,21399,1949,23348
20200530,"TX",62338,866179,NA,1752,NA,NA,NA,NA,NA,40068,"B","5/29/2020 16:45","6734e79bc386c904997eca0a14a3dfb3b651d9a5","2020-05-30T20:00:00Z",1626,NA,928517,928517,928517,48,0,0,33910,1332,35242
20200529,"TX",61006,832269,NA,1701,NA,NA,NA,NA,NA,40068,"B","5/28/2020 16:30","a2b7f60b58aba50570468fe9ceadb8fc8a62ad14","2020-05-29T20:00:00Z",1626,NA,893275,893275,893275,48,25,0,18827,1230,20057
20200528,"TX",59776,813442,NA,1692,NA,NA,NA,NA,NA,38905,"B","5/28/2020 16:30","0a198f4e7f8092c607c50595e88ddf4ab8e353b7","2020-05-28T20:00:00Z",1601,NA,873218,873218,873218,48,39,0,15689,1855,17544
20200527,"TX",57921,797753,NA,1645,NA,NA,NA,NA,NA,37626,"B","5/27/2020 16:40","c348ed067ec1a15ee93fa85e8aef7910c4da5a85","2020-05-27T20:00:00Z",1562,NA,855674,855674,855674,48,26,0,33080,1361,34441
20200526,"TX",56560,764673,NA,1534,NA,NA,NA,NA,NA,36375,"B","5/26/2020 17:00","43f349e06ae22b77f2ffe0c4947a8894ab439877","2020-05-26T20:00:00Z",1536,NA,821233,821233,821233,48,9,0,14990,589,15579
20200525,"TX",55971,749683,NA,1511,NA,NA,NA,NA,NA,35292,"B","5/25/2020 04:30","67090fbf1dbc9080e64c0543f0b674e3b55172a7","2020-05-25T20:00:00Z",1527,NA,805654,805654,805654,48,21,0,41486,623,42109
20200524,"TX",55348,708197,NA,1572,NA,NA,NA,NA,NA,33385,"B","5/23/2020 04:45","1d657876d60d0d5bed266fa3c0afedeaf07ce41e","2020-05-24T20:00:00Z",1506,NA,763545,763545,763545,48,0,0,0,839,839
20200523,"TX",54509,708197,NA,1688,NA,NA,NA,NA,NA,32277,"B","5/22/2020 17:00","d960480252322ed377682d0e4589b8c9206226f7","2020-05-23T20:00:00Z",1506,NA,762706,762706,762706,48,26,0,20284,1060,21344
20200522,"TX",53449,687913,NA,1578,NA,NA,NA,NA,NA,31223,"B","5/21/2020 17:55","18420710e4f014e795c2f3cb6dcf89cedff5375d","2020-05-22T20:00:00Z",1480,NA,741362,741362,741362,48,40,0,0,1181,1181
20200521,"TX",52268,687913,NA,1680,NA,NA,NA,NA,NA,30341,"B","5/20/2020 16:50","afa354697cd24b89805710f7a9b5fbfc00d1b038","2020-05-21T20:00:00Z",1440,NA,740181,740181,740181,48,21,0,18308,945,19253
20200520,"TX",51323,669605,NA,1791,NA,NA,NA,NA,NA,30341,"B","5/19/2020 16:50","e08936667ad336eed0d6b81f170b7ed49167440e","2020-05-20T20:00:00Z",1419,NA,720928,720928,720928,48,50,0,19371,1411,20782
20200519,"TX",49912,650234,NA,1732,NA,NA,NA,NA,NA,29359,"A","5/19/2020 16:50","92e5c7b09ddf973c465c1fea3fb28f7801109075","2020-05-19T20:00:00Z",1369,NA,700146,700146,700146,48,22,0,19082,1219,20301
20200518,"TX",48693,631152,NA,1551,NA,NA,NA,NA,NA,28371,"A","5/18/2020 16:25","90ff8b922079b122a5819f4b1a240d7b98706490","2020-05-18T20:00:00Z",1347,NA,679845,679845,679845,48,11,0,28581,909,29490
20200517,"TX",47784,602571,NA,1512,NA,NA,NA,NA,NA,27570,"A","5/17/2020 16:15","247bb8019873ab8d0666f832f929bc0d7db59ec5","2020-05-17T20:00:00Z",1336,NA,650355,650355,650355,48,31,0,10831,785,11616
20200516,"TX",46999,591740,NA,1791,NA,NA,NA,NA,NA,26601,"A","5/15/2020 16:15","6f4ebb63eb3a884d913ab43c9e3dbf27c0e2717b","2020-05-16T20:00:00Z",1305,NA,638739,638739,638739,48,33,0,27308,1801,29109
20200515,"TX",45198,564432,NA,1716,NA,NA,NA,NA,NA,25454,"A","5/15/2020 16:15","7aa2708c1bcec5f1cce69bdb205c78fa42b62a94","2020-05-15T20:00:00Z",1272,NA,609630,609630,609630,48,56,0,20970,1347,22317
20200514,"TX",43851,543462,NA,1648,NA,NA,NA,NA,NA,24487,"A","5/14/2020 16:30","c4e4592c1cede9e560fcec0f1d8633ebee8f8688","2020-05-14T20:00:00Z",1216,NA,587313,587313,587313,48,58,0,29089,1448,30537
20200513,"TX",42403,514373,NA,1676,NA,NA,NA,NA,NA,23519,"A","5/13/2020 16:20","8acbaee9922c98c560d0c617b6a3d776886fa771","2020-05-13T20:00:00Z",1158,NA,556776,556776,556776,48,25,0,17249,1355,18604
20200512,"TX",41048,497124,NA,1725,NA,NA,NA,NA,NA,22674,"A","5/11/2020 16:25","11b70727dc1782af8dae590db1e184305ba794d7","2020-05-12T20:00:00Z",1133,NA,538172,538172,538172,48,33,0,11296,1179,12475
20200511,"TX",39869,485828,NA,1525,NA,NA,NA,NA,NA,21713,"B","5/10/2020 16:35","14400b4f7e9ed0cdc8479e35757aa0364baa0578","2020-05-11T20:00:00Z",1100,NA,525697,525697,525697,48,12,0,22921,1000,23921
20200510,"TX",38869,462907,NA,1626,NA,NA,NA,NA,NA,21022,"B","5/10/2020 16:35","60657a7921f91150194620b537c6c67f05172295","2020-05-10T20:00:00Z",1088,NA,501776,501776,501776,48,39,0,11473,1009,12482
20200509,"TX",37860,451434,NA,1735,NA,NA,NA,NA,NA,20141,"B","5/9/2020 13:15","deeecea989a19b1e2c2f50a4fa57cec56a0ec1c2","2020-05-09T20:00:00Z",1049,NA,489294,489294,489294,48,45,0,10925,1251,12176
20200508,"TX",36609,440509,NA,1734,NA,NA,NA,NA,NA,19197,"B","5/8/2020 13:00","b7f8c531addc2df51f14fa89b29a6821d47aad45","2020-05-08T20:00:00Z",1004,NA,477118,477118,477118,48,31,0,20737,1219,21956
20200507,"TX",35390,419772,NA,1750,NA,NA,NA,NA,NA,18440,"B","5/7/2020 13:00","d45b2d01a3363e6d595183fd93f6d7dfbcbde02f","2020-05-07T20:00:00Z",973,NA,455162,455162,455162,48,25,0,15256,968,16224
