OBJECTID,SDLEA10,NAME,NAME2,DISTRICT_N,DISTRICT,DISTRICT_C,NCES_DISTR,COLOR,Shape__Area,Shape__Length
1,13920,Chilton ISD,Chilton,73901,073-901,073901,4813920,1,229408644.148804,111898.215479813
2,11250,Bremond ISD,Bremond,198901,198-901,198901,4811250,1,475053666.639526,143568.863312357
3,30180,Memphis ISD,Memphis,96904,096-904,096904,4830180,1,1729846858.84216,245240.22072589
4,34380,Patton Springs ISD,Patton Springs,63906,063-906,063906,4834380,5,1007703765.65161,147094.679365569
5,00002,Spur ISD,Spur,63903,063-903,063903,4800002,3,1369828027.98206,214386.521594992
6,40080,Sherman ISD,Sherman,91906,091-906,091906,4840080,1,197709455.390259,105071.026179458
7,38400,S and S Cons ISD,S and S Cons,91914,091-914,091914,4838400,6,335206119.401245,131864.234159489
8,35580,Pottsboro ISD,Pottsboro,91913,091-913,091913,4835580,7,249647800.360474,106176.463610873
9,44730,Waxahachie ISD,Waxahachie,70912,070-912,070912,4844730,6,493351217.550781,132462.764884168
10,36660,Red Oak ISD,Red Oak,70911,070-911,070911,4836660,5,95485784.1905518,61217.6064091516
11,34110,Palmer ISD,Palmer,70910,070-910,070910,4834110,1,142223241.867432,74237.0269128529
12,18540,Ennis ISD,Ennis,70903,070-903,070903,4818540,7,672116521.527832,191109.311925908
13,16710,Denison ISD,Denison,91903,091-903,091903,4816710,3,251289220.473145,113770.470729348
14,09780,Bells ISD,Bells,91901,091-901,091901,4809780,2,150884466.650635,75277.7035077655
15,45630,Whitesboro ISD,Whitesboro,91909,091-909,091909,4845630,1,446895695.744995,165294.776941051
16,14580,Collinsville ISD,Collinsville,91902,091-902,091902,4814580,3,136036422.100952,72181.3063804423
17,18750,Evadale ISD,Evadale,121906,121-906,121906,4818750,2,72443893.401123,56747.6949611784
18,12090,Buna ISD,Buna,121903,121-903,121903,4812090,7,567237929.659912,135730.193413026
19,39300,Santa Gertrudis ISD,Santa Gertrudis,137904,137-904,137904,4839300,5,511554140.995239,125359.264765509
20,37320,Riviera ISD,Riviera,137903,137-903,137903,4837320,3,1854708431.98596,242112.669728735
21,36930,Ricardo ISD,Ricardo,137902,137-902,137902,4836930,2,208001920.147095,72905.2015852325
22,25680,Kingsville ISD,Kingsville,137901,137-901,137901,4825680,1,267278045.970825,118043.162695192
23,08490,Apple Springs ISD,Apple Springs,228905,228-905,228905,4808490,3,288851851.674194,116383.33395354
24,43200,Trinity ISD,Trinity,228903,228-903,228903,4843200,2,409513222.748535,137033.708803752
25,25470,Kennard ISD,Kennard,113906,113-906,113906,4825470,1,851362431.439819,206965.396374472
26,33840,Ore City ISD,Ore City,230903,230-903,230903,4833840,4,181287173.884766,95633.2122071673
27,24730,Jefferson ISD,Jefferson,155901,155-901,155901,4824730,1,1041337032.92297,224521.431211692
28,09090,Avinger ISD,Avinger,34902,034-902,034902,4809090,4,181813796.657104,84511.5165442783
29,34550,Pecos-Barstow-Toyah ISD,Pecos-Barstow-Toyah,195901,195-901,195901,4834550,2,5839050194.16736,482766.018401264
30,09330,Balmorhea ISD,Balmorhea,195902,195-902,195902,4809330,4,1369243353.83789,176521.313752626
31,42420,Terrell County ISD,Terrell County,222901,222-901,222901,4842420,6,6083158711.75848,398496.576679552
32,17100,Dilley ISD,Dilley,82902,082-902,082902,4817100,5,883913286.503784,166648.04309772
33,41250,Springlake-Earth ISD,Springlake-Earth,140907,140-907,140907,4841250,3,509293699.723511,110250.778226583
34,35490,Post ISD,Post,85902,085-902,085902,4835490,1,2035904010.35919,217055.981650806
35,42090,Tahoka ISD,Tahoka,153904,153-904,153904,4842090,3,938949042.10437,189382.444094492
36,33390,O'Donnell ISD,O'Donnell,153903,153-903,153903,4833390,4,840397611.509705,179910.849979326
37,16350,Dawson ISD (Dawson),Dawson (Dawson),58902,058-902,058902,4816350,7,356488702.349487,85458.4450125951
38,40290,Silverton ISD,Silverton,23902,023-902,023902,4840290,1,1434089628.31213,169362.341974752
39,32220,Nazareth ISD,Nazareth,35903,035-903,035903,4832220,6,280901465.399841,86681.7775502524
40,22650,Hart ISD,Hart,35902,035-902,035902,4822650,2,401924842.080811,96634.2161054178
41,17160,Dimmitt ISD,Dimmitt,35901,035-901,035901,4817160,7,1157645608.10651,199793.209460582
42,41400,Stamford ISD,Stamford,127906,127-906,127906,4841400,2,358643087.779785,129174.926614539
43,33960,Paint Creek ISD,Paint Creek,104907,104-907,104907,4833960,6,607303092.712769,128215.82635315
44,30340,Merkel ISD,Merkel,221904,221-904,221904,4830340,7,716110118.527344,208879.124181242
45,08400,Anson ISD,Anson,127901,127-901,127901,4808400,6,686427499.543579,190180.376616026
46,43110,Trent ISD,Trent,221905,221-905,221905,4843110,1,370389537.243774,168556.209803536
47,37470,Roby Cons ISD,Roby Cons,76903,076-903,076903,4837470,2,850546842.676209,297960.050022205
48,22260,Hamlin ISD,Hamlin,127903,127-903,127903,4822260,1,712364120.654053,198260.297945449
49,09750,Bellevue ISD,Bellevue,39904,039-904,039904,4809750,5,407486941.359497,128023.669969367
50,20970,Gold-Burg ISD,Gold-Burg,169906,169-906,169906,4820970,3,398103058.409302,119288.152114672
51,33270,Nursery ISD,Nursery,235904,235-904,235904,4833270,1,137080710.25824,56399.2667000621
52,44150,Victoria ISD,Victoria,235902,235-902,235902,4844150,2,1564930299.97101,321866.67006421
53,24150,Industrial ISD,Industrial,120905,120-905,120905,4824150,5,741796066.547485,257172.541989822
54,10500,Bloomington ISD,Bloomington,235901,235-901,235901,4810500,1,273928506.052246,100473.064550883
55,43950,Van Vleck ISD,Van Vleck,158906,158-906,158906,4843950,6,1223668440.67078,220248.497221629
56,42810,Tidehaven ISD,Tidehaven,158902,158-902,158902,4842810,3,759572790.138306,152062.866416061
57,29370,Matagorda ISD,Matagorda,158904,158-904,158904,4829370,7,369651472.875366,83230.2054480651
58,09630,Bay City ISD,Bay City,158901,158-901,158901,4809630,2,424144819.50824,131298.821529408
59,34020,Palacios ISD,Palacios,158905,158-905,158905,4834020,1,1519469829.26642,268960.418259929
60,33570,Olfen ISD,Olfen,200906,200-906,200906,4833570,6,56352565.3395386,38003.7703146895
61,46260,Winters ISD,Winters,200904,200-904,200904,4846260,7,904432054.593384,167473.552902125
62,30750,Miles ISD,Miles,200902,200-902,200902,4830750,2,364958588.859558,115020.540344518
63,09300,Ballinger ISD,Ballinger,200901,200-901,200901,4809300,5,1074078012.03729,240762.450702977
64,11490,Bronte ISD,Bronte,41901,041-901,041901,4811490,3,847520549.981262,204124.112706985
65,34230,Panhandle ISD,Panhandle,33902,033-902,033902,4834230,5,1454626594.12891,172640.283271585
66,39150,Sanford-Fritch ISD,Sanford-Fritch,117903,117-903,117903,4839150,6,88595069.0178223,44546.3519821464
67,42210,Tarkington ISD,Tarkington,146907,146-907,146907,4842210,5,591560016.870605,140306.179891735
68,19350,Floresville ISD,Floresville,247901,247-901,247901,4819350,1,724680052.932373,187101.501201836
69,26610,Lamesa ISD,Lamesa,58906,058-906,058906,4826610,5,887235610.745667,177221.145725677
70,25790,Klondike ISD,Klondike,58905,058-905,058905,4825790,6,1453432789.19299,249993.772204802
71,35730,Prairie Valley ISD,Prairie Valley,169909,169-909,169909,4835730,7,266423084.563232,115813.893008188
72,32790,Nocona ISD,Nocona,169902,169-902,169902,4832790,6,414246834.643555,162900.931654101
73,31200,Montague ISD,Montague,169908,169-908,169908,4831200,4,65515075.2904053,50198.3799355981
74,38520,Saint Jo ISD,Saint Jo,169911,169-911,169911,4838520,3,427012705.903809,151062.511784757
75,36510,Rankin ISD,Rankin,231902,231-902,231902,4836510,4,2147351810.83649,230091.98006293
76,29700,McCamey ISD,McCamey,231901,231-901,231901,4829700,6,1054491076.62738,140737.742374429
77,15570,Cranfills Gap ISD,Cranfills Gap,18908,018-908,018908,4815570,7,376350762.564453,185031.263741974
78,24900,Jonesboro ISD,Jonesboro,50909,050-909,050909,4824900,6,457119170.021484,179820.452025607
79,18780,Evant ISD,Evant,50901,050-901,050901,4818780,2,675548726.76709,216273.542369986
80,23070,Hico ISD,Hico,97903,097-903,097903,4823070,3,526865253.370728,282323.981662756
81,22230,Hamilton ISD,Hamilton,97902,097-902,097902,4822230,4,1339079184.06982,382289.177099671
82,42030,Sweetwater ISD,Sweetwater,177902,177-902,177902,4842030,4,743053145.662659,174845.629438728
83,38040,Rotan ISD,Rotan,76904,076-904,076904,4838040,7,895868787.201294,185753.09817436
84,37860,Roscoe Collegiate ISD,Roscoe Collegiate,177901,177-901,177901,4837860,6,356041983.148926,104660.246694986
85,23040,Hermleigh ISD,Hermleigh,208901,208-901,208901,4823040,5,395166329.751648,144178.735929325
86,35890,Pringle-Morse Cons ISD,Pringle-Morse Cons,98903,098-903,098903,4835890,1,962412153.51062,211508.844153868
87,41580,Plemons-Stinnett-Phillips Cons ISD,Plemons-Stinnett-Phillips Cons,117904,117-904,117904,4841580,3,904021729.415039,198065.768317879
88,41130,Spring Creek ISD,Spring Creek,117907,117-907,117907,4841130,6,430398027.458008,101491.118177878
89,10890,Borger ISD,Borger,117901,117-901,117901,4810890,4,124807361.765625,64377.5522583116
90,41010,Spearman ISD,Spearman,98904,098-904,098904,4841010,4,1235093348.43311,208450.16113979
91,45380,Wharton ISD,Wharton,241904,241-904,241904,4845380,1,473751861.123413,147804.465395605
92,28350,Louise ISD,Louise,241906,241-906,241906,4828350,7,445074542.902466,115404.563877291
93,18280,El Campo ISD,El Campo,241903,241-903,241903,4818280,6,1143108689.23022,275331.823161342
94,35800,Presidio ISD,Presidio,189902,189-902,189902,4835800,5,2086576959.68985,431207.877662414
95,29040,Marfa ISD,Marfa,189901,189-901,189901,4829040,2,7862322777.26019,444272.065438628
96,23760,Huckabay ISD,Huckabay,72908,072-908,072908,4823760,2,408377549.375366,155812.612359184
97,36480,Ranger ISD,Ranger,67907,067-907,067907,4836480,4,480747873.929688,123911.719019397
98,17960,Eastland ISD,Eastland,67903,067-903,067903,4817960,3,665993096.021851,173681.422921469
99,15810,Cross Plains ISD,Cross Plains,30901,030-901,030901,4815810,1,900380601.639893,192772.015852469
100,14070,Cisco ISD,Cisco,67902,067-902,067902,4814070,2,566791772.901855,148432.580776857
101,37230,Rising Star ISD,Rising Star,67908,067-908,067908,4837230,7,325872912.81897,126297.373338658
102,27600,Lingleville ISD,Lingleville,72909,072-909,072909,4827600,7,313108577.619629,177955.731509748
103,21270,Gorman ISD,Gorman,67904,067-904,067904,4821270,1,309644293.17395,146220.080029274
104,16440,De Leon ISD,De Leon,47902,047-902,047902,4816440,3,631611650.471313,295857.618430863
105,39960,Shelbyville ISD,Shelbyville,210903,210-903,210903,4839960,4,692417815.77478,263569.254131549
106,27270,Leveretts Chapel ISD,Leveretts Chapel,201904,201-904,201904,4827270,4,30254457.4278564,31921.1733179099
107,33870,Overton ISD,Overton,201908,201-908,201908,4833870,1,52010915.3355713,38353.9805485654
108,31650,Mount Enterprise ISD,Mount Enterprise,201907,201-907,201907,4831650,3,197227631.202148,84441.3623659267
109,26700,Laneville ISD,Laneville,201903,201-903,201903,4826700,6,325116531.573486,210377.806996256
110,22970,Henderson ISD,Henderson,201902,201-902,201902,4822970,1,944002343.351563,427888.069361258
111,20400,Garrison ISD,Garrison,174903,174-903,174903,4820400,7,276925022.310547,127518.020813034
112,16080,Cushing ISD,Cushing,174902,174-902,174902,4816080,7,390673659.586426,150621.869882185
113,25620,Kilgore ISD,Kilgore,92902,092-902,092902,4825620,3,254838208.598511,113197.979333409
