"County","Active
Cases
4-7","Active
Cases
4-8","Active
Cases
4-9","Active
Cases
4-10","Active
Cases
4-11","Active
Cases
4-12","Active
Cases
4-13","Active
Cases
4-14","Active
Cases
4-15","Active
Cases
4-16","Active
Cases
4-17","Active
Cases
4-18","Active
Cases
4-19","Active
Cases
4-20","Active
Cases
4-21","Active
Cases
4-22","Active
Cases
4-23","Active
Cases
4-24","Active
Cases
4-25","Active
Cases
4-26","Active
Cases
4-27","Active
Cases
4-28","Active
Cases
4-29","Active
Cases
4-30","Active
Cases
5-1","Active
Cases
5-2","Active
Cases
5-3","Active
Cases
5-4","Active
Cases
5-5","Active
Cases
5-6","Active
Cases
5-7","Active
Cases
5-8","Active
Cases
5-9","Active
Cases
5-10","Active
Cases
5-11","Active
Cases
5-12","Active
Cases
5-13","Active
Cases
5-14","Active
Cases
5-15","Active
Cases
5-16","Active
Cases
5-17","Active
Cases
5-18","Active
Cases
5-19","Active
Cases
5-20","Active
Cases
5-21","Active
Cases
5-22","Active
Cases
5-23","Active
Cases
5-24","Active
Cases
5-25","Active
Cases
5-26","Active
Cases
5-27","Active
Cases
5-28","Active
Cases
5-29","Active
Cases
5-30","Active
Cases
5-31","Active
Cases
6-1","Active
Cases
6-2","Active
Cases
6-3","Active
Cases
6-4","Active
Cases
6-5","Active
Cases
6-6","Active Cases 06-07","Active Cases 06-08","Active Cases 06-09","Active Cases 06-10","Active Cases 06-11","Active Cases 06-12","Active Cases 06-13","Active Cases 06-14","Active Cases 06-15","Active Cases 06-16","Active Cases 06-17","Active Cases 06-18","Active Cases 06-19","Active Cases 06-20","Active Cases 06-21","Active Cases 06-22","Active Cases 06-23","Active Cases 06-24","Active Cases 06-25"
"Anderson","1.0","1.0","2.0","2.0","3.0","3.0","3.0","3.0","3.0","5.0","5.0","5.0","7.0","7.0","9.0","13.0","12.0","14.0","14.0","16.0","17.0","21.0","20.0","24.0","25.0","27.0","25.0","25.0","26.0","27.0","29.0","28.0","29.0","26.0","25.0","31.0","31.0","27.0","27.0","28.0","28.0","27.0","32.0","29.0","29.0","30.0","31.0","30.0","30.0","23.0","23.0","22.0","27.0","24.0","24.0","23.0","22.0","23.0","28.0","29.0","25.0","25.0","24.0","30.0","30.0","34.0","29.0","34.0","34.0","34.0","916.0","915.0","922.0","925.0","924.0","924.0","923.0","921.0","925.0","923.0"
"Andrews","10.0","10.0","10.0","11.0","11.0","11.0","12.0","13.0","13.0","19.0","19.0","18.0","14.0","14.0","11.0","11.0","11.0","10.0","10.0","10.0","9.0","9.0","9.0","4.0","5.0","5.0","6.0","6.0","6.0","6.0","5.0","5.0","5.0","4.0","4.0","5.0","5.0","5.0","4.0","3.0","3.0","1.0","1.0","1.0","1.0","2.0","2.0","3.0","6.0","6.0","6.0","6.0","6.0","6.0","6.0","6.0","5.0","5.0","5.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","1.0","3.0","3.0","3.0","5.0","12.0","14.0","14.0","14.0","16.0","21.0"
"Angelina","14.0","14.0","14.0","15.0","15.0","14.0","14.0","14.0","13.0","16.0","17.0","15.0","15.0","12.0","16.0","19.0","19.0","20.0","23.0","23.0","23.0","32.0","35.0","36.0","35.0","36.0","36.0","36.0","60.0","67.0","74.0","81.0","74.0","81.0","70.0","86.0","86.0","88.0","100.0","108.0","108.0","84.0","99.0","98.0","112.0","116.0","119.0","119.0","119.0","119.0","99.0","107.0","109.0","111.0","111.0","111.0","120.0","105.0","105.0","105.0","110.0","110.0","110.0","72.0","116.0","116.0","144.0","144.0","144.0","120.0","142.0","163.0","162.0","176.0","190.0","190.0","149.0","184.0","195.0","214.0"
"Aransas","1.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","1.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","1.0","1.0","1.0","1.0","2.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","2.0","2.0","2.0","2.0","2.0","2.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","2.0","2.0","2.0","1.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","5.0","5.0","5.0"
"Archer","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","1.0","1.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","1.0","1.0","1.0","1.0","1.0","2.0","2.0"
"Armstrong","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","2.0","2.0","2.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Atascosa","4.0","3.0","3.0","5.0","6.0","7.0","7.0","7.0","7.0","7.0","7.0","7.0","7.0","9.0","10.0","9.0","9.0","7.0","7.0","5.0","5.0","7.0","7.0","10.0","10.0","10.0","10.0","9.0","7.0","9.0","10.0","10.0","10.0","10.0","12.0","13.0","12.0","10.0","13.0","13.0","13.0","13.0","15.0","13.0","15.0","15.0","15.0","14.0","12.0","10.0","10.0","10.0","7.0","7.0","9.0","8.0","7.0","7.0","5.0","8.0","8.0","10.0","9.0","9.0","12.0","10.0","10.0","8.0","7.0","7.0","6.0","6.0","8.0","23.0","30.0","30.0","29.0","38.0","41.0","46.0"
"Austin","6.0","6.0","6.0","7.0","7.0","8.0","9.0","10.0","10.0","9.0","9.0","9.0","8.0","8.0","7.0","6.0","6.0","6.0","6.0","4.0","3.0","2.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","4.0","3.0","3.0","3.0","4.0","4.0","4.0","3.0","4.0","4.0","6.0","6.0","6.0","7.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0"
"Bailey","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","2.0","2.0","2.0","2.0","3.0","3.0","3.0","3.0","3.0","3.0","6.0","6.0","8.0","9.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0"
"Bandera","0.0","0.0","1.0","1.0","2.0","2.0","2.0","2.0","2.0","3.0","4.0","4.0","4.0","4.0","4.0","4.0","3.0","3.0","2.0","4.0","4.0","4.0","4.0","4.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","1.0","1.0","1.0","1.0","2.0","7.0","9.0","9.0","9.0","10.0","9.0","9.0"
"Bastrop","14.0","15.0","13.0","16.0","16.0","14.0","13.0","13.0","25.0","30.0","35.0","35.0","35.0","34.0","37.0","36.0","40.0","44.0","44.0","45.0","46.0","42.0","49.0","52.0","59.0","52.0","55.0","57.0","66.0","68.0","71.0","69.0","71.0","72.0","73.0","78.0","77.0","82.0","85.0","89.0","89.0","87.0","103.0","106.0","113.0","116.0","108.0","112.0","117.0","118.0","118.0","111.0","115.0","117.0","124.0","125.0","129.0","139.0","142.0","147.0","151.0","155.0","153.0","161.0","167.0","172.0","167.0","171.0","173.0","173.0","191.0","207.0","219.0","211.0","211.0","211.0","232.0","231.0","234.0","245.0"
"Baylor","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0"
