District Number,District Name,County_1,County_2,County_3,County_4,County_5,County_6,County_7,County_8,County_9,County_10
1902,Cayuga ISD,ANDERSON,FREESTONE,HENDERSON,,,,,,,
1903,Elkhart ISD,ANDERSON,HOUSTON,LEON,,,,,,,
1904,Frankston ISD,ANDERSON,CHEROKEE,HENDERSON,,,,,,,
1906,Neches ISD,ANDERSON,CHEROKEE,,,,,,,,
1907,Palestine ISD,ANDERSON,CHEROKEE,,,,,,,,
1908,Westwood ISD,ANDERSON,FREESTONE,LEON,,,,,,,
1909,Slocum ISD,ANDERSON,CHEROKEE,HOUSTON,,,,,,,
2901,Andrews ISD,ANDREWS,ECTOR,GAINES,MARTIN,MIDLAND,WINKLER,,,,
3902,Hudson ISD,ANGELINA,HOUSTON,TRINITY,,,,,,,
3903,Lufkin ISD,ANGELINA,NACOGDOCHES,,,,,,,,
3904,Huntington ISD,ANGELINA,NACOGDOCHES,,,,,,,,
3905,Diboll ISD,ANGELINA,POLK,TRINITY,,,,,,,
3906,Zavalla ISD,ANGELINA,JASPER,NACOGDOCHES,POLK,SAN AUGUSTINE,TYLER,,,,
3907,Central ISD,ANGELINA,CHEROKEE,HOUSTON,NACOGDOCHES,,,,,,
4901,Aransas County ISD,ARANSAS,CALHOUN,NUECES,REFUGIO,SAN PATRICIO,,,,,
5901,Archer City ISD,ARCHER,CLAY,JACK,WICHITA,YOUNG,,,,,
5902,Holliday ISD,ARCHER,BAYLOR,WICHITA,,,,,,,
5904,Windthorst ISD,ARCHER,CLAY,,,,,,,,
6902,Claude ISD,ARMSTRONG,BRISCOE,CARSON,DONLEY,POTTER,RANDALL,SWISHER,,,
7901,Charlotte ISD,ATASCOSA,FRIO,LA SALLE,,,,,,,
7902,Jourdanton ISD,ATASCOSA,,,,,,,,,
7904,Lytle ISD,ATASCOSA,BEXAR,MEDINA,,,,,,,
7905,Pleasanton ISD,ATASCOSA,BEXAR,KARNES,LIVE OAK,MCMULLEN,WILSON,,,,
7906,Poteet ISD,ATASCOSA,BEXAR,FRIO,MEDINA,,,,,,
8901,Bellville ISD,AUSTIN,COLORADO,FAYETTE,WALLER,WASHINGTON,,,,,
8902,Sealy ISD,AUSTIN,COLORADO,FORT BEND,WALLER,,,,,,
8903,Brazos ISD,AUSTIN,COLORADO,FORT BEND,WHARTON,,,,,,
9901,Muleshoe ISD,BAILEY,LAMB,PARMER,,,,,,,
10901,Medina ISD,BANDERA,KERR,MEDINA,,,,,,,
10902,Bandera ISD,BANDERA,BEXAR,KENDALL,KERR,MEDINA,,,,,
11901,Bastrop ISD,BASTROP,CALDWELL,LEE,TRAVIS,,,,,,
11902,Elgin ISD,BASTROP,LEE,TRAVIS,WILLIAMSON,,,,,,
11904,Smithville ISD,BASTROP,CALDWELL,FAYETTE,LEE,,,,,,
11905,McDade ISD,BASTROP,LEE,,,,,,,,
12901,Seymour ISD,ARCHER,BAYLOR,FOARD,HASKELL,KNOX,THROCKMORTON,WILBARGER,,,
13901,Beeville ISD,BEE,GOLIAD,LIVE OAK,REFUGIO,,,,,,
13902,Pawnee ISD,BEE,KARNES,LIVE OAK,,,,,,,
13903,Pettus ISD,BEE,GOLIAD,KARNES,,,,,,,
13905,Skidmore-Tynan ISD,BEE,LIVE OAK,REFUGIO,SAN PATRICIO,,,,,,
14901,Academy ISD,BELL,,,,,,,,,
14902,Bartlett ISD,BELL,MILAM,WILLIAMSON,,,,,,,
14903,Belton ISD,BELL,CORYELL,,,,,,,,
14905,Holland ISD,BELL,MILAM,,,,,,,,
14906,Killeen ISD,BELL,BURNET,CORYELL,WILLIAMSON,,,,,,
14907,Rogers ISD,BELL,FALLS,MILAM,,,,,,,
14908,Salado ISD,BELL,WILLIAMSON,,,,,,,,
14909,Temple ISD,BELL,,,,,,,,,
14910,Troy ISD,BELL,FALLS,MCLENNAN,,,,,,,
15901,Alamo Heights ISD,BEXAR,,,,,,,,,
15904,Harlandale ISD,BEXAR,,,,,,,,,
15905,Edgewood ISD (Bexar),BEXAR,,,,,,,,,
15906,Randolph Field ISD,BEXAR,,,,,,,,,
15907,San Antonio ISD,BEXAR,,,,,,,,,
15908,South San Antonio ISD,BEXAR,,,,,,,,,
15909,Somerset ISD,ATASCOSA,BEXAR,,,,,,,,
15910,North East ISD,BEXAR,,,,,,,,,
15911,East Central ISD,BEXAR,GUADALUPE,WILSON,,,,,,,
15912,Southwest ISD,ATASCOSA,BEXAR,MEDINA,,,,,,,
15913,Lackland ISD,BEXAR,,,,,,,,,
15914,Fort Sam Houston ISD,BEXAR,,,,,,,,,
15915,Northside ISD (Bexar),BANDERA,BEXAR,MEDINA,,,,,,,
15916,Judson ISD,BEXAR,COMAL,GUADALUPE,,,,,,,
15917,Southside ISD,ATASCOSA,BEXAR,WILSON,,,,,,,
16901,Johnson City ISD,BLANCO,BURNET,GILLESPIE,HAYS,LLANO,TRAVIS,,,,
16902,Blanco ISD,BLANCO,COMAL,GILLESPIE,HAYS,KENDALL,,,,,
17901,Borden County ISD,BORDEN,DAWSON,GARZA,HOWARD,LYNN,MITCHELL,SCURRY,,,
18901,Clifton ISD,BOSQUE,CORYELL,HILL,,,,,,,
18902,Meridian ISD,BOSQUE,HILL,,,,,,,,
18903,Morgan ISD,BOSQUE,HILL,,,,,,,,
18904,Valley Mills ISD,BOSQUE,CORYELL,HILL,MCLENNAN,,,,,,
18905,Walnut Springs ISD,BOSQUE,SOMERVELL,,,,,,,,
18906,Iredell ISD,BOSQUE,ERATH,HAMILTON,SOMERVELL,,,,,,
18907,Kopperl ISD,BOSQUE,HILL,JOHNSON,SOMERVELL,,,,,,
18908,Cranfills Gap ISD,BOSQUE,CORYELL,HAMILTON,,,,,,,
19901,De Kalb ISD,BOWIE,CASS,MORRIS,RED RIVER,,,,,,
19902,Hooks ISD,BOWIE,,,,,,,,,
19903,Maud ISD,BOWIE,CASS,,,,,,,,
19905,New Boston ISD,BOWIE,CASS,,,,,,,,
19906,Redwater ISD,BOWIE,CASS,,,,,,,,
19907,Texarkana ISD,BOWIE,,,,,,,,,
19908,Liberty-Eylau ISD,BOWIE,CASS,,,,,,,,
19909,Simms ISD,BOWIE,CASS,,,,,,,,
19910,Malta ISD,BOWIE,,,,,,,,,
19911,Red Lick ISD,BOWIE,,,,,,,,,
19912,Pleasant Grove ISD,BOWIE,,,,,,,,,
19913,Hubbard ISD (Bowie),BOWIE,,,,,,,,,
19914,Leary ISD,BOWIE,,,,,,,,,
20901,Alvin ISD,BRAZORIA,FORT BEND,GALVESTON,HARRIS,,,,,,
20902,Angleton ISD,BRAZORIA,FORT BEND,GALVESTON,,,,,,,
20904,Danbury ISD,BRAZORIA,,,,,,,,,
20905,Brazosport ISD,BRAZORIA,GALVESTON,,,,,,,,
20906,Sweeny ISD,BRAZORIA,MATAGORDA,,,,,,,,
