"County","Childcare_Child_Cases_Daily","Childcare_Employee_Cases_Daily","Childcare_Child_Cases_Cumulative","Childcare_Employee_Cases_Cumulative","Date"
"Anderson",0,0,1,4,2020-10-18
"Andrews",0,0,0,3,2020-10-18
"Angelina",0,0,4,18,2020-10-18
"Aransas",0,0,3,0,2020-10-18
"Archer",0,0,0,2,2020-10-18
"Atascosa",0,0,12,3,2020-10-18
"Austin",0,0,0,1,2020-10-18
"Bandera",0,0,1,2,2020-10-18
"Bastrop",0,0,3,4,2020-10-18
"Bee",0,0,0,1,2020-10-18
"Bell",0,0,17,34,2020-10-18
"Bexar",1,2,157,197,2020-10-18
"Blanco",0,0,0,1,2020-10-18
"Bowie",0,0,4,13,2020-10-18
"Brazoria",0,2,27,56,2020-10-18
"Brazos",0,0,14,47,2020-10-18
"Brewster",0,0,0,1,2020-10-18
"Brown",0,1,4,5,2020-10-18
"Burnet",0,0,1,2,2020-10-18
"Caldwell",0,0,3,2,2020-10-18
"Calhoun",0,0,3,5,2020-10-18
"Callahan",0,0,0,1,2020-10-18
"Cameron",0,0,36,33,2020-10-18
"Camp",0,0,2,1,2020-10-18
"Cass",0,0,2,9,2020-10-18
"Chambers",0,0,2,3,2020-10-18
"Cherokee",0,0,4,2,2020-10-18
"Clay",0,0,0,2,2020-10-18
"Collin",2,1,65,108,2020-10-18
"Colorado",0,0,1,7,2020-10-18
"Comal",2,0,15,16,2020-10-18
"Comanche",0,0,1,0,2020-10-18
"Cooke",0,0,3,0,2020-10-18
"Coryell",0,0,2,2,2020-10-18
"Dallam",0,0,1,1,2020-10-18
"Dallas",3,2,124,216,2020-10-18
"Dawson",0,0,0,6,2020-10-18
"Deaf Smith",0,0,0,4,2020-10-18
"Delta",0,0,1,0,2020-10-18
"Denton",0,2,59,103,2020-10-18
"DeWitt",0,0,0,1,2020-10-18
"Dimmit",0,0,3,0,2020-10-18
"Ector",0,0,13,24,2020-10-18
"El Paso",3,1,38,46,2020-10-18
"Ellis",0,1,15,22,2020-10-18
"Erath",0,0,2,3,2020-10-18
"Falls",0,0,0,2,2020-10-18
"Fannin",0,0,0,1,2020-10-18
"Fayette",0,0,0,1,2020-10-18
"Fort Bend",0,0,49,108,2020-10-18
"Franklin",0,0,2,3,2020-10-18
"Freestone",0,0,0,1,2020-10-18
"Frio",0,0,0,2,2020-10-18
"Galveston",0,0,33,55,2020-10-18
"Garza",0,0,0,2,2020-10-18
"Gonzales",0,0,1,1,2020-10-18
"Gray",0,0,0,4,2020-10-18
"Grayson",0,1,2,9,2020-10-18
"Gregg",0,1,11,30,2020-10-18
"Grimes",0,0,0,5,2020-10-18
"Guadalupe",0,0,10,15,2020-10-18
"Hale",0,0,0,2,2020-10-18
"Hall",0,0,0,1,2020-10-18
"Hardin",0,0,3,3,2020-10-18
"Harris",1,5,244,492,2020-10-18
"Harrison",0,0,1,10,2020-10-18
"Hartley",0,0,0,1,2020-10-18
"Hays",0,0,6,25,2020-10-18
"Hemphill",0,0,1,0,2020-10-18
"Henderson",0,0,3,6,2020-10-18
"Hidalgo",0,0,72,65,2020-10-18
"Hill",0,0,2,1,2020-10-18
"Hockley",1,0,2,1,2020-10-18
"Hood",0,0,2,11,2020-10-18
"Hopkins",0,0,1,7,2020-10-18
"Howard",0,0,3,4,2020-10-18
"Hunt",0,0,3,6,2020-10-18
"Hutchinson",0,0,0,1,2020-10-18
"Jackson",0,0,3,4,2020-10-18
"Jasper",0,0,0,1,2020-10-18
"Jefferson",0,0,7,13,2020-10-18
"Jim Wells",0,0,3,2,2020-10-18
"Johnson",0,0,7,14,2020-10-18
"Kaufman",0,0,6,17,2020-10-18
"Kendall",0,0,1,0,2020-10-18
"Kerr",0,0,1,3,2020-10-18
"Kleberg",0,0,0,1,2020-10-18
"Knox",0,0,0,1,2020-10-18
"Lamar",0,0,5,6,2020-10-18
"Lamb",0,0,0,1,2020-10-18
"Lavaca",0,0,2,5,2020-10-18
"Lee",0,0,1,0,2020-10-18
"Liberty",0,0,2,12,2020-10-18
"Limestone",0,0,0,1,2020-10-18
"Llano",0,0,0,2,2020-10-18
"Lubbock",2,0,31,85,2020-10-18
"Lynn",0,1,0,1,2020-10-18
"Marion",0,0,1,0,2020-10-18
"Martin",0,0,0,1,2020-10-18
"Matagorda",0,0,3,12,2020-10-18
"Maverick",0,0,3,5,2020-10-18
"McCulloch",0,1,0,3,2020-10-18
"McLennan",0,0,10,45,2020-10-18
"Medina",0,0,1,2,2020-10-18
"Midland",0,0,12,26,2020-10-18
"Mills",0,0,0,1,2020-10-18
"Montgomery",0,0,31,61,2020-10-18
"Morris",0,0,1,4,2020-10-18
"Nacogdoches",0,0,2,10,2020-10-18
"Navarro",0,0,6,5,2020-10-18
"Nolan",0,0,1,0,2020-10-18
"Nueces",0,0,28,65,2020-10-18
"Ochiltree",0,0,0,2,2020-10-18
"Oldham",0,0,1,0,2020-10-18
"Orange",0,0,8,1,2020-10-18
"Palo Pinto",0,0,2,5,2020-10-18
"Panola",0,0,5,2,2020-10-18
"Parker",0,0,3,15,2020-10-18
"Pecos",0,0,1,0,2020-10-18
"Polk",0,0,1,2,2020-10-18
"Potter",0,0,10,13,2020-10-18
"Randall",0,0,10,20,2020-10-18
"Reeves",0,2,0,2,2020-10-18
"Robertson",0,0,0,2,2020-10-18
"Rockwall",0,0,11,8,2020-10-18
"Rusk",0,0,0,6,2020-10-18
"Sabine",0,0,0,2,2020-10-18
"San Jacinto",0,0,1,0,2020-10-18
"San Patricio",0,0,3,6,2020-10-18
"Scurry",0,1,3,2,2020-10-18
"Smith",0,0,19,36,2020-10-18
"Starr",0,0,4,4,2020-10-18
"Swisher",0,0,0,1,2020-10-18
"Tarrant",2,2,110,209,2020-10-18
"Taylor",1,0,4,21,2020-10-18
"Terrell",0,0,0,1,2020-10-18
"Terry",0,1,0,2,2020-10-18
"Titus",0,0,2,5,2020-10-18
"Tom Green",0,1,9,23,2020-10-18
"Travis",0,0,51,102,2020-10-18
"Tyler",0,0,2,2,2020-10-18
"Upshur",0,0,3,1,2020-10-18
"Val Verde",0,0,3,4,2020-10-18
"Van Zandt",0,0,0,2,2020-10-18
"Victoria",0,0,9,6,2020-10-18
"Walker",0,0,2,12,2020-10-18
"Waller",0,0,0,2,2020-10-18
"Washington",0,0,1,3,2020-10-18
"Webb",0,0,21,29,2020-10-18
"Wharton",0,0,4,9,2020-10-18
"Wichita",0,0,3,21,2020-10-18
"Wilbarger",0,0,3,3,2020-10-18
"Willacy",0,0,1,0,2020-10-18
"Williamson",2,1,23,50,2020-10-18
"Wilson",0,0,2,4,2020-10-18
"Wise",1,0,6,2,2020-10-18
"Wood",0,0,0,3,2020-10-18
"Young",0,0,1,1,2020-10-18
"Anderson",0,0,1,4,2020-10-15
"Andrews",0,0,0,3,2020-10-15
"Angelina",0,2,4,18,2020-10-15
"Aransas",0,0,3,0,2020-10-15
"Archer",0,1,0,2,2020-10-15
"Atascosa",0,0,12,3,2020-10-15
"Austin",0,0,0,1,2020-10-15
"Bandera",0,0,1,2,2020-10-15
"Bastrop",0,0,3,4,2020-10-15
"Bee",0,0,0,1,2020-10-15
"Bell",0,0,17,34,2020-10-15
"Bexar",0,0,156,195,2020-10-15
"Blanco",0,0,0,1,2020-10-15
"Bowie",0,0,4,13,2020-10-15
"Brazoria",0,0,27,54,2020-10-15
"Brazos",0,0,14,47,2020-10-15
"Brewster",0,0,0,1,2020-10-15
"Brown",0,0,4,4,2020-10-15
"Burnet",0,0,1,2,2020-10-15
"Caldwell",0,0,3,2,2020-10-15
"Calhoun",0,0,3,5,2020-10-15
"Callahan",0,0,0,1,2020-10-15
"Cameron",0,0,36,33,2020-10-15
"Camp",0,0,2,1,2020-10-15
"Cass",0,0,2,9,2020-10-15
"Chambers",0,0,2,3,2020-10-15
"Cherokee",0,0,4,2,2020-10-15
"Clay",0,0,0,2,2020-10-15
"Collin",0,0,63,107,2020-10-15
"Colorado",0,0,1,7,2020-10-15
"Comal",2,0,13,16,2020-10-15
"Comanche",0,0,1,0,2020-10-15
"Cooke",0,0,3,0,2020-10-15
"Coryell",0,0,2,2,2020-10-15
"Dallam",0,0,1,1,2020-10-15
"Dallas",1,4,121,214,2020-10-15
"Dawson",0,0,0,6,2020-10-15
"Deaf Smith",0,0,0,4,2020-10-15
"Delta",0,0,1,0,2020-10-15
"Denton",0,0,59,101,2020-10-15
"DeWitt",0,0,0,1,2020-10-15
"Dimmit",0,0,3,0,2020-10-15
"Ector",1,0,13,24,2020-10-15
"El Paso",2,1,35,45,2020-10-15
"Ellis",0,0,15,21,2020-10-15
"Erath",0,0,2,3,2020-10-15
"Falls",0,0,0,2,2020-10-15
"Fannin",0,0,0,1,2020-10-15
"Fayette",0,0,0,1,2020-10-15
"Fort Bend",0,0,49,108,2020-10-15
"Franklin",0,0,2,3,2020-10-15
"Freestone",0,0,0,1,2020-10-15
"Frio",0,0,0,2,2020-10-15
"Galveston",0,0,33,55,2020-10-15
"Garza",0,0,0,2,2020-10-15
"Gonzales",0,0,1,1,2020-10-15
"Gray",0,0,0,4,2020-10-15
"Grayson",0,0,2,8,2020-10-15
"Gregg",0,2,11,29,2020-10-15
"Grimes",0,0,0,5,2020-10-15
"Guadalupe",0,0,10,15,2020-10-15
"Hale",0,0,0,2,2020-10-15
"Hall",0,0,0,1,2020-10-15
"Hardin",0,0,3,3,2020-10-15
"Harris",0,1,243,487,2020-10-15
"Harrison",0,0,1,10,2020-10-15
"Hartley",0,0,0,1,2020-10-15
"Hays",0,0,6,25,2020-10-15
"Hemphill",0,0,1,0,2020-10-15
"Henderson",0,0,3,6,2020-10-15
"Hidalgo",2,0,72,65,2020-10-15
"Hill",0,0,2,1,2020-10-15
"Hockley",0,0,1,1,2020-10-15
"Hood",0,0,2,11,2020-10-15
"Hopkins",0,0,1,7,2020-10-15
"Howard",0,0,3,4,2020-10-15
"Hunt",0,1,3,6,2020-10-15
"Hutchinson",0,0,0,1,2020-10-15
"Jackson",0,0,3,4,2020-10-15
"Jasper",0,0,0,1,2020-10-15
"Jefferson",0,0,7,13,2020-10-15
