"District","LEA","County"
"Abbott ISD","109901","Hill"
"Abbott ISD","109901","McLennan"
"Abernathy ISD","95901","Hale"
"Abernathy ISD","95901","Hockley"
"Abernathy ISD","95901","Lamb"
"Abernathy ISD","95901","Lubbock"
"Abilene ISD","221901","Jones"
"Abilene ISD","221901","Taylor"
"Academy ISD","14901","Bell"
"Adrian ISD","180903","Deaf Smith"
"Adrian ISD","180903","Oldham"
"Agua Dulce ISD","178901","Jim Wells"
"Agua Dulce ISD","178901","Nueces"
"Alamo Heights ISD","15901","Bexar"
"Alba-Golden ISD","250906","Rains"
"Alba-Golden ISD","250906","Smith"
"Alba-Golden ISD","250906","Van Zandt"
"Alba-Golden ISD","250906","Wood"
"Albany ISD","209901","Jones"
"Albany ISD","209901","Shackelford"
"Albany ISD","209901","Stephens"
"Albany ISD","209901","Throckmorton"
"Aldine ISD","101902","Harris"
"Aldine ISD","101902","Montgomery"
"Aledo ISD","184907","Hood"
"Aledo ISD","184907","Parker"
"Aledo ISD","184907","Tarrant"
"Alice ISD","125901","Duval"
"Alice ISD","125901","Jim Wells"
"Alice ISD","125901","Kleberg"
"Alice ISD","125901","Live Oak"
"Alice ISD","125901","Nueces"
"Alief ISD","101903","Fort Bend"
"Alief ISD","101903","Harris"
"Allen ISD","43901","Collin"
"Alpine ISD","22901","Brewster"
"Alpine ISD","22901","Jeff Davis"
"Alpine ISD","22901","Pecos"
"Alpine ISD","22901","Presidio"
"Alto ISD","37901","Anderson"
"Alto ISD","37901","Cherokee"
"Alto ISD","37901","Houston"
"Alto ISD","37901","Nacogdoches"
"Alvarado ISD","126901","Johnson"
"Alvin ISD","20901","Brazoria"
"Alvin ISD","20901","Fort Bend"
"Alvin ISD","20901","Galveston"
"Alvin ISD","20901","Harris"
"Alvord ISD","249901","Montague"
"Alvord ISD","249901","Wise"
"Amarillo ISD","188901","Potter"
"Amarillo ISD","188901","Randall"
"Amherst ISD","140901","Lamb"
"Anahuac ISD","36901","Chambers"
"Anahuac ISD","36901","Galveston"
"Anahuac ISD","36901","Liberty"
"Anderson-Shiro Cons ISD","93901","Brazos"
"Anderson-Shiro Cons ISD","93901","Grimes"
"Anderson-Shiro Cons ISD","93901","Montgomery"
"Anderson-Shiro Cons ISD","93901","Walker"
"Andrews ISD","2901","Andrews"
"Andrews ISD","2901","Ector"
"Andrews ISD","2901","Gaines"
"Andrews ISD","2901","Martin"
"Andrews ISD","2901","Midland"
"Andrews ISD","2901","Winkler"
"Angleton ISD","20902","Brazoria"
"Angleton ISD","20902","Fort Bend"
"Angleton ISD","20902","Galveston"
"Anna ISD","43902","Collin"
"Anna ISD","43902","Grayson"
"Anson ISD","127901","Jones"
"Anthony ISD","71906","El Paso"
"Anton ISD","110901","Hale"
"Anton ISD","110901","Hockley"
"Anton ISD","110901","Lamb"
"Anton ISD","110901","Lubbock"
"Apple Springs ISD","228905","Angelina"
"Apple Springs ISD","228905","Houston"
"Apple Springs ISD","228905","Trinity"
"Aquilla ISD","109912","Bosque"
"Aquilla ISD","109912","Hill"
"Aquilla ISD","109912","McLennan"
"Aransas County ISD","4901","Aransas"
"Aransas County ISD","4901","Calhoun"
"Aransas County ISD","4901","Nueces"
"Aransas County ISD","4901","Refugio"
"Aransas County ISD","4901","San Patricio"
"Aransas Pass ISD","205901","Aransas"
"Aransas Pass ISD","205901","Nueces"
"Aransas Pass ISD","205901","San Patricio"
"Archer City ISD","5901","Archer"
"Archer City ISD","5901","Clay"
"Archer City ISD","5901","Jack"
"Archer City ISD","5901","Wichita"
"Archer City ISD","5901","Young"
"Argyle ISD","61910","Denton"
"Arlington ISD","220901","Dallas"
"Arlington ISD","220901","Tarrant"
"Arp ISD","212901","Rusk"
"Arp ISD","212901","Smith"
"Aspermont ISD","217901","Dickens"
"Aspermont ISD","217901","Fisher"
"Aspermont ISD","217901","Haskell"
"Aspermont ISD","217901","Jones"
"Aspermont ISD","217901","Kent"
"Aspermont ISD","217901","King"
"Aspermont ISD","217901","Stonewall"
"Athens ISD","107901","Anderson"
"Athens ISD","107901","Henderson"
"Athens ISD","107901","Van Zandt"
"Atlanta ISD","34901","Bowie"
"Atlanta ISD","34901","Cass"
"Aubrey ISD","61907","Denton"
"Austin ISD","227901","Hays"
"Austin ISD","227901","Travis"
"Austwell-Tivoli ISD","196901","Aransas"
"Austwell-Tivoli ISD","196901","Calhoun"
"Austwell-Tivoli ISD","196901","Refugio"
"Austwell-Tivoli ISD","196901","Victoria"
"Avalon ISD","70901","Ellis"
"Avalon ISD","70901","Navarro"
"Avery ISD","194902","Bowie"
"Avery ISD","194902","Morris"
"Avery ISD","194902","Red River"
"Avery ISD","194902","Titus"
"Avinger ISD","34902","Cass"
"Avinger ISD","34902","Marion"
"Avinger ISD","34902","Morris"
"Axtell ISD","161918","Hill"
"Axtell ISD","161918","Limestone"
"Axtell ISD","161918","McLennan"
"Azle ISD","220915","Parker"
"Azle ISD","220915","Tarrant"
"Azle ISD","220915","Wise"
