"LEA","District","County"
1902,"Cayuga ISD","Anderson,Freestone,Henderson"
1903,"Elkhart ISD","Anderson,Houston,Leon"
1904,"Frankston ISD","Anderson,Cherokee,Henderson"
1906,"Neches ISD","Anderson,Cherokee"
1907,"Palestine ISD","Anderson,Cherokee"
1908,"Westwood ISD","Anderson,Freestone,Leon"
1909,"Slocum ISD","Anderson,Cherokee,Houston"
2901,"Andrews ISD","Andrews,Ector,Gaines,Martin,Midland,Winkler"
3902,"Hudson ISD","Angelina,Houston,Trinity"
3903,"Lufkin ISD","Angelina,Nacogdoches"
3904,"Huntington ISD","Angelina,Nacogdoches"
3905,"Diboll ISD","Angelina,Polk,Trinity"
3906,"Zavalla ISD","Angelina,Jasper,Nacogdoches,Polk,San Augustine,Tyler"
3907,"Central ISD","Angelina,Cherokee,Houston,Nacogdoches"
4901,"Aransas County ISD","Aransas,Calhoun,Nueces,Refugio,San Patricio"
5901,"Archer City ISD","Archer,Clay,Jack,Wichita,Young"
5902,"Holliday ISD","Archer,Baylor,Wichita"
5904,"Windthorst ISD","Archer,Clay"
6902,"Claude ISD","Armstrong,Briscoe,Carson,Donley,Potter,Randall,Swisher"
7901,"Charlotte ISD","Atascosa,Frio,La Salle"
7902,"Jourdanton ISD","Atascosa"
7904,"Lytle ISD","Atascosa,Bexar,Medina"
7905,"Pleasanton ISD","Atascosa,Bexar,Karnes,Live Oak,McMullen,Wilson"
7906,"Poteet ISD","Atascosa,Bexar,Frio,Medina"
8901,"Bellville ISD","Austin,Colorado,Fayette,Waller,Washington"
8902,"Sealy ISD","Austin,Colorado,Fort Bend,Waller"
8903,"Brazos ISD","Austin,Colorado,Fort Bend,Wharton"
9901,"Muleshoe ISD","Bailey,Lamb,Parmer"
10901,"Medina ISD","Bandera,Kerr,Medina"
10902,"Bandera ISD","Bandera,Bexar,Kendall,Kerr,Medina"
11901,"Bastrop ISD","Bastrop,Caldwell,Lee,Travis"
11902,"Elgin ISD","Bastrop,Lee,Travis,Williamson"
11904,"Smithville ISD","Bastrop,Caldwell,Fayette,Lee"
11905,"Mcdade ISD","Bastrop,Lee"
12901,"Seymour ISD","Archer,Baylor,Foard,Haskell,Knox,Throckmorton,Wilbarger"
13901,"Beeville ISD","Bee,Goliad,Live Oak,Refugio"
13902,"Pawnee ISD","Bee,Karnes,Live Oak"
13903,"Pettus ISD","Bee,Goliad,Karnes"
13905,"Skidmore-Tynan ISD","Bee,Live Oak,Refugio,San Patricio"
14901,"Academy ISD","Bell"
14902,"Bartlett ISD","Bell,Milam,Williamson"
14903,"Belton ISD","Bell,Coryell"
14905,"Holland ISD","Bell,Milam"
14906,"Killeen ISD","Bell,Burnet,Coryell,Williamson"
14907,"Rogers ISD","Bell,Falls,Milam"
14908,"Salado ISD","Bell,Williamson"
14909,"Temple ISD","Bell"
14910,"Troy ISD","Bell,Falls,McLennan"
15901,"Alamo Heights ISD","Bexar"
15904,"Harlandale ISD","Bexar"
15905,"Edgewood ISD","Bexar"
15906,"Randolph Field ISD","Bexar"
15907,"San Antonio ISD","Bexar"
15908,"South San Antonio ISD","Bexar"
15909,"Somerset ISD","Atascosa,Bexar"
15910,"North East ISD","Bexar"
15911,"East Central ISD","Bexar,Guadalupe,Wilson"
15912,"Southwest ISD","Atascosa,Bexar,Medina"
15913,"Lackland ISD","Bexar"
15914,"Ft Sam Houston ISD","Bexar"
15915,"Northside ISD","Bandera,Bexar,Medina"
15916,"Judson ISD","Bexar,Comal,Guadalupe"
15917,"Southside ISD","Atascosa,Bexar,Wilson"
16901,"Johnson City ISD","Blanco,Burnet,Gillespie,Hays,Llano,Travis"
16902,"Blanco ISD","Blanco,Comal,Gillespie,Hays,Kendall"
17901,"Borden County ISD","Borden,Dawson,Garza,Howard,Lynn,Mitchell,Scurry"
18901,"Clifton ISD","Bosque,Coryell,Hill"
18902,"Meridian ISD","Bosque,Hill"
18903,"Morgan ISD","Bosque,Hill"
18904,"Valley Mills ISD","Bosque,Coryell,Hill,McLennan"
18905,"Walnut Springs ISD","Bosque,Somervell"
18906,"Iredell ISD","Bosque,Erath,Hamilton,Somervell"
18907,"Kopperl ISD","Bosque,Hill,Johnson,Somervell"
18908,"Cranfills Gap ISD","Bosque,Coryell,Hamilton"
19901,"Dekalb ISD","Bowie,Cass,Morris,Red River"
19902,"Hooks ISD","Bowie"
19903,"Maud ISD","Bowie,Cass"
19905,"New Boston ISD","Bowie,Cass"
19906,"Redwater ISD","Bowie,Cass"
19907,"Texarkana ISD","Bowie"
19908,"Liberty-Eylau ISD","Bowie,Cass"
19909,"Simms ISD","Bowie,Cass"
19910,"Malta ISD","Bowie"
19911,"Red Lick ISD","Bowie"
19912,"Pleasant Grove ISD","Bowie"
19913,"Hubbard ISD","Bowie"
19914,"Leary ISD","Bowie"
20901,"Alvin ISD","Brazoria,Fort Bend,Galveston,Harris"
20902,"Angleton ISD","Brazoria,Fort Bend,Galveston"
20904,"Danbury ISD","Brazoria"
20905,"Brazosport ISD","Brazoria,Galveston"
20906,"Sweeny ISD","Brazoria,Matagorda"
20907,"Columbia-Brazoria ISD","Brazoria,Fort Bend,Matagorda,Wharton"
20908,"Pearland ISD","Brazoria,Galveston,Harris"
20910,"Damon ISD","Brazoria,Fort Bend,Wharton"
21901,"College Station ISD","Brazos,Burleson,Grimes"
21902,"Bryan ISD","Brazos,Burleson,Grimes,Leon,Madison,Robertson"
22004,"Terlingua Csd","Brewster,Presidio"
22901,"Alpine ISD","Brewster,Jeff Davis,Pecos,Presidio"
22902,"Marathon ISD","Brewster,Pecos,Terrell"
22903,"San Vicente ISD","Brewster"
23902,"Silverton ISD","Armstrong,Briscoe,Floyd,Swisher"
24901,"Brooks County ISD","Brooks,Duval,Hidalgo,Jim Hogg,Jim Wells,Kenedy,Kleberg,Starr"
25901,"Bangs ISD","Brown,Coleman"
25902,"Brownwood ISD","Brown,Mills"
25904,"Blanket ISD","Brown,Comanche"
25905,"May ISD","Brown,Comanche,Eastland"
25906,"Zephyr ISD","Brown,Comanche,Mills"
25908,"Brookesmith ISD","Brown,Coleman,McCulloch,Mills,San Saba"
25909,"Early ISD","Brown"
26901,"Caldwell ISD","Brazos,Burleson,Lee,Milam,Robertson"
26902,"Somerville ISD","Burleson,Lee,Washington"
26903,"Snook ISD","Brazos,Burleson,Washington"
27903,"Burnet Cisd","Bell,Burnet,Lampasas,Llano,San Saba,Travis,Williamson"
27904,"Marble Falls ISD","Blanco,Burnet,Llano,Travis"
28902,"Lockhart ISD","Bastrop,Caldwell,Hays,Travis"
28903,"Luling ISD","Caldwell,Gonzales,Guadalupe"
28906,"Prairie Lea ISD","Caldwell,Guadalupe"
29901,"Calhoun County ISD","Aransas,Calhoun,Jackson,Matagorda,Refugio,Victoria"
30901,"Cross Plains ISD","Brown,Callahan,Coleman,Eastland"
