"District","LEA","County"
"Cayuga ISD",1902,"Anderson"
"Elkhart ISD",1903,"Anderson"
"Frankston ISD",1904,"Anderson"
"Neches ISD",1906,"Anderson"
"Palestine ISD",1907,"Anderson"
"Westwood ISD",1908,"Anderson"
"Slocum ISD",1909,"Anderson"
"Andrews ISD",2901,"Andrews"
"Hudson ISD",3902,"Angelina"
"Lufkin ISD",3903,"Angelina"
"Huntington ISD",3904,"Angelina"
"Diboll ISD",3905,"Angelina"
"Zavalla ISD",3906,"Angelina"
"Central ISD",3907,"Angelina"
"Aransas County ISD",4901,"Aransas"
"Archer City ISD",5901,"Archer"
"Holliday ISD",5902,"Archer"
"Windthorst ISD",5904,"Archer"
"Claude ISD",6902,"Armstrong"
"Charlotte ISD",7901,"Atascosa"
"Jourdanton ISD",7902,"Atascosa"
"Lytle ISD",7904,"Atascosa"
"Pleasanton ISD",7905,"Atascosa"
"Poteet ISD",7906,"Atascosa"
"Bellville ISD",8901,"Austin"
"Sealy ISD",8902,"Austin"
"Brazos ISD",8903,"Austin"
"Muleshoe ISD",9901,"Bailey"
"Medina ISD",10901,"Bandera"
"Bandera ISD",10902,"Bandera"
"Bastrop ISD",11901,"Bastrop"
"Elgin ISD",11902,"Bastrop"
"Smithville ISD",11904,"Bastrop"
"Mcdade ISD",11905,"Bastrop"
"Seymour ISD",12901,"Archer"
"Beeville ISD",13901,"Bee"
"Pawnee ISD",13902,"Bee"
"Pettus ISD",13903,"Bee"
"Skidmore-Tynan ISD",13905,"Bee"
"Academy ISD",14901,"Bell"
"Bartlett ISD",14902,"Bell"
"Belton ISD",14903,"Bell"
"Holland ISD",14905,"Bell"
"Killeen ISD",14906,"Bell"
"Rogers ISD",14907,"Bell"
"Salado ISD",14908,"Bell"
"Temple ISD",14909,"Bell"
"Troy ISD",14910,"Bell"
"Alamo Heights ISD",15901,"Bexar"
"Harlandale ISD",15904,"Bexar"
"Edgewood ISD",15905,"Bexar"
"Randolph Field ISD",15906,"Bexar"
"San Antonio ISD",15907,"Bexar"
"South San Antonio ISD",15908,"Bexar"
"Somerset ISD",15909,"Atascosa"
"North East ISD",15910,"Bexar"
"East Central ISD",15911,"Bexar"
"Southwest ISD",15912,"Atascosa"
"Lackland ISD",15913,"Bexar"
"Ft Sam Houston ISD",15914,"Bexar"
"Northside ISD",15915,"Bandera"
"Judson ISD",15916,"Bexar"
"Southside ISD",15917,"Atascosa"
"Johnson City ISD",16901,"Blanco"
"Blanco ISD",16902,"Blanco"
"Borden County ISD",17901,"Borden"
"Clifton ISD",18901,"Bosque"
"Meridian ISD",18902,"Bosque"
"Morgan ISD",18903,"Bosque"
"Valley Mills ISD",18904,"Bosque"
"Walnut Springs ISD",18905,"Bosque"
"Iredell ISD",18906,"Bosque"
"Kopperl ISD",18907,"Bosque"
"Cranfills Gap ISD",18908,"Bosque"
"Dekalb ISD",19901,"Bowie"
"Hooks ISD",19902,"Bowie"
"Maud ISD",19903,"Bowie"
"New Boston ISD",19905,"Bowie"
"Redwater ISD",19906,"Bowie"
"Texarkana ISD",19907,"Bowie"
"Liberty-Eylau ISD",19908,"Bowie"
"Simms ISD",19909,"Bowie"
"Malta ISD",19910,"Bowie"
"Red Lick ISD",19911,"Bowie"
"Pleasant Grove ISD",19912,"Bowie"
"Hubbard ISD",19913,"Bowie"
"Leary ISD",19914,"Bowie"
"Alvin ISD",20901,"Brazoria"
"Angleton ISD",20902,"Brazoria"
"Danbury ISD",20904,"Brazoria"
"Brazosport ISD",20905,"Brazoria"
"Sweeny ISD",20906,"Brazoria"
"Columbia-Brazoria ISD",20907,"Brazoria"
"Pearland ISD",20908,"Brazoria"
"Damon ISD",20910,"Brazoria"
"College Station ISD",21901,"Brazos"
"Bryan ISD",21902,"Brazos"
"Terlingua Csd",22004,"Brewster"
"Alpine ISD",22901,"Brewster"
"Marathon ISD",22902,"Brewster"
"San Vicente ISD",22903,"Brewster"
"Silverton ISD",23902,"Armstrong"
"Brooks County ISD",24901,"Brooks"
"Bangs ISD",25901,"Brown"
"Brownwood ISD",25902,"Brown"
"Blanket ISD",25904,"Brown"
"May ISD",25905,"Brown"
"Zephyr ISD",25906,"Brown"
"Brookesmith ISD",25908,"Brown"
"Early ISD",25909,"Brown"
"Caldwell ISD",26901,"Brazos"
"Somerville ISD",26902,"Burleson"
"Snook ISD",26903,"Brazos"
"Burnet Cisd",27903,"Bell"
"Marble Falls ISD",27904,"Blanco"
"Lockhart ISD",28902,"Bastrop"
"Luling ISD",28903,"Caldwell"
"Prairie Lea ISD",28906,"Caldwell"
"Calhoun County ISD",29901,"Aransas"
"Cross Plains ISD",30901,"Brown"
"Clyde Cisd",30902,"Callahan"
"Baird ISD",30903,"Callahan"
"Eula ISD",30906,"Callahan"
"Brownsville ISD",31901,"Cameron"
"Harlingen Cisd",31903,"Cameron"
"La Feria ISD",31905,"Cameron"
"Los Fresnos Cisd",31906,"Cameron"
"Point Isabel ISD",31909,"Cameron"
"Rio Hondo ISD",31911,"Cameron"
"San Benito Cisd",31912,"Cameron"
"Santa Maria ISD",31913,"Cameron"
"Santa Rosa ISD",31914,"Cameron"
"Pittsburg ISD",32902,"Camp"
"Groom ISD",33901,"Armstrong"
"Panhandle ISD",33902,"Armstrong"
"White Deer ISD",33904,"Carson"
"Atlanta ISD",34901,"Bowie"
"Avinger ISD",34902,"Cass"
"Hughes Springs ISD",34903,"Cass"
"Linden-Kildare Cisd",34905,"Cass"
"Mcleod ISD",34906,"Cass"
"Queen City ISD",34907,"Bowie"
"Bloomburg ISD",34909,"Cass"
"Dimmitt ISD",35901,"Castro"
"Hart ISD",35902,"Castro"
"Nazareth ISD",35903,"Castro"
"Anahuac ISD",36901,"Chambers"
"Barbers Hill ISD",36902,"Chambers"
"East Chambers ISD",36903,"Chambers"
"Alto ISD",37901,"Anderson"
"Jacksonville ISD",37904,"Anderson"
"Rusk ISD",37907,"Anderson"
"New Summerfield ISD",37908,"Cherokee"
"Wells ISD",37909,"Angelina"
"Childress ISD",38901,"Childress"
"Henrietta ISD",39902,"Archer"
"Petrolia Cisd",39903,"Clay"
"Bellevue ISD",39904,"Clay"
"Midway ISD",39905,"Archer"
"Morton ISD",40901,"Bailey"
"Whiteface Cisd",40902,"Bailey"
"Bronte ISD",41901,"Coke"
"Robert Lee ISD",41902,"Coke"
"Coleman ISD",42901,"Brown"
"Santa Anna ISD",42903,"Brown"
"Panther Creek Cisd",42905,"Coleman"
"Allen ISD",43901,"Collin"
"Anna ISD",43902,"Collin"
"Celina ISD",43903,"Collin"
"Farmersville ISD",43904,"Collin"
"Frisco ISD",43905,"Collin"
"Mckinney ISD",43907,"Collin"
"Melissa ISD",43908,"Collin"
"Plano ISD",43910,"Collin"
"Princeton ISD",43911,"Collin"
"Prosper ISD",43912,"Collin"
"Wylie ISD",43914,"Collin"
"Blue Ridge ISD",43917,"Collin"
"Community ISD",43918,"Collin"
"Lovejoy ISD",43919,"Collin"
"Wellington ISD",44902,"Childress"
"Columbus ISD",45902,"Austin"
"Rice Cisd",45903,"Austin"
"Weimar ISD",45905,"Colorado"
"New Braunfels ISD",46901,"Comal"
"Comal ISD",46902,"Bexar"
"Comanche ISD",47901,"Brown"
"De Leon ISD",47902,"Comanche"
"Gustine ISD",47903,"Comanche"
"Sidney ISD",47905,"Brown"
"Eden Cisd",48901,"Concho"
"Paint Rock ISD",48903,"Coleman"
"Gainesville ISD",49901,"Cooke"
"Muenster ISD",49902,"Cooke"
"Valley View ISD",49903,"Cooke"
"Callisburg ISD",49905,"Cooke"
"Era ISD",49906,"Cooke"
"Lindsay ISD",49907,"Cooke"
"Walnut Bend ISD",49908,"Cooke"
"Sivells Bend ISD",49909,"Cooke"
"Evant ISD",50901,"Coryell"
"Gatesville ISD",50902,"Bell"
"Oglesby ISD",50904,"Coryell"
"Jonesboro ISD",50909,"Bosque"
"Copperas Cove ISD",50910,"Bell"
"Paducah ISD",51901,"Childress"
"Crane ISD",52901,"Crane"
"Crockett County
Consolidated Csd",53001,"Crane"
"Crosbyton Cisd",54901,"Crosby"
"Lorenzo ISD",54902,"Crosby"
"Ralls ISD",54903,"Crosby"
"Culberson
County-Allamoore ISD",55901,"Culberson"
"Dalhart ISD",56901,"Dallam"
