ZIP,County,TSA_Combined,PHR_Combined
73301,Travis,O - Austin,7 - Temple PHR
73344,Travis,O - Austin,7 - Temple PHR
73960,Sherman,A - Amarillo,1 - Lubbock PHR
75001,Dallas,E - Dallas/Ft. Worth,2/3 - Arlington PHR
75002,Collin,E - Dallas/Ft. Worth,2/3 - Arlington PHR
75006,Dallas,E - Dallas/Ft. Worth,2/3 - Arlington PHR
75007,Denton,E - Dallas/Ft. Worth,2/3 - Arlington PHR
75009,Collin,E - Dallas/Ft. Worth,2/3 - Arlington PHR
75010,Denton,E - Dallas/Ft. Worth,2/3 - Arlington PHR
75011,Dallas,E - Dallas/Ft. Worth,2/3 - Arlington PHR
75013,Collin,E - Dallas/Ft. Worth,2/3 - Arlington PHR
75014,Dallas,E - Dallas/Ft. Worth,2/3 - Arlington PHR
75015,Dallas,E - Dallas/Ft. Worth,2/3 - Arlington PHR
75016,Dallas,E - Dallas/Ft. Worth,2/3 - Arlington PHR
75017,Dallas,E - Dallas/Ft. Worth,2/3 - Arlington PHR
75019,Dallas,E - Dallas/Ft. Worth,2/3 - Arlington PHR
75020,Grayson,E - Dallas/Ft. Worth,2/3 - Arlington PHR
75021,Grayson,E - Dallas/Ft. Worth,2/3 - Arlington PHR
75022,Denton,E - Dallas/Ft. Worth,2/3 - Arlington PHR
75023,Collin,E - Dallas/Ft. Worth,2/3 - Arlington PHR
75024,Collin,E - Dallas/Ft. Worth,2/3 - Arlington PHR
75025,Collin,E - Dallas/Ft. Worth,2/3 - Arlington PHR
75026,Collin,E - Dallas/Ft. Worth,2/3 - Arlington PHR
75027,Denton,E - Dallas/Ft. Worth,2/3 - Arlington PHR
75028,Denton,E - Dallas/Ft. Worth,2/3 - Arlington PHR
75029,Denton,E - Dallas/Ft. Worth,2/3 - Arlington PHR
75030,Dallas,E - Dallas/Ft. Worth,2/3 - Arlington PHR
75032,Rockwall,E - Dallas/Ft. Worth,2/3 - Arlington PHR
75033,Denton,E - Dallas/Ft. Worth,2/3 - Arlington PHR
75034,Denton,E - Dallas/Ft. Worth,2/3 - Arlington PHR
75035,Collin,E - Dallas/Ft. Worth,2/3 - Arlington PHR
75036,Denton,E - Dallas/Ft. Worth,2/3 - Arlington PHR
75038,Dallas,E - Dallas/Ft. Worth,2/3 - Arlington PHR
75039,Dallas,E - Dallas/Ft. Worth,2/3 - Arlington PHR
75040,Dallas,E - Dallas/Ft. Worth,2/3 - Arlington PHR
75041,Dallas,E - Dallas/Ft. Worth,2/3 - Arlington PHR
75042,Dallas,E - Dallas/Ft. Worth,2/3 - Arlington PHR
75043,Dallas,E - Dallas/Ft. Worth,2/3 - Arlington PHR
75044,Dallas,E - Dallas/Ft. Worth,2/3 - Arlington PHR
75045,Dallas,E - Dallas/Ft. Worth,2/3 - Arlington PHR
75046,Dallas,E - Dallas/Ft. Worth,2/3 - Arlington PHR
75047,Dallas,E - Dallas/Ft. Worth,2/3 - Arlington PHR
75048,Dallas,E - Dallas/Ft. Worth,2/3 - Arlington PHR
