County,Region,Region_Name
Anderson,4,Tyler
Andrews,1,Lubbock
Angelina,4,Tyler
Aransas,7,San Antonio & Harlingen
Archer,2,El Paso & Midwest Texas 
Armstrong,1,Lubbock
Atascosa,7,San Antonio & Harlingen
Austin,6,Houston
Bailey,1,Lubbock
Bandera,7,San Antonio & Harlingen
Bastrop,5,Temple
Baylor,2,El Paso & Midwest Texas 
Bee,7,San Antonio & Harlingen
Bell,5,Temple
Bexar,7,San Antonio & Harlingen
Blanco,5,Temple
Borden,1,Lubbock
Bosque,5,Temple
Bowie,4,Tyler
Brazoria,6,Houston
Brazos,5,Temple
Brewster,2,El Paso & Midwest Texas 
Briscoe,1,Lubbock
Brooks,7,San Antonio & Harlingen
Brown,2,El Paso & Midwest Texas 
Burleson,5,Temple
Burnet,5,Temple
Caldwell,5,Temple
Calhoun,7,San Antonio & Harlingen
Callahan,2,El Paso & Midwest Texas 
Cameron,7,San Antonio & Harlingen
Camp,4,Tyler
Carson,1,Lubbock
Cass,4,Tyler
Castro,1,Lubbock
Chambers,4,Tyler
Cherokee,4,Tyler
Childress,1,Lubbock
Clay,2,El Paso & Midwest Texas 
Cochran,1,Lubbock
Coke,2,El Paso & Midwest Texas 
Coleman,2,El Paso & Midwest Texas 
Collin,3,Arlington
Collinsworth,1,Lubbock
Colorado,6,Houston
Comal,7,San Antonio & Harlingen
Comanche,2,El Paso & Midwest Texas 
Concho,2,El Paso & Midwest Texas 
Cooke,3,Arlington
Coryell,5,Temple
Cottle,1,Lubbock
Crane,2,El Paso & Midwest Texas 
Crockett,2,El Paso & Midwest Texas 
Crosby,1,Lubbock
Culberson,2,El Paso & Midwest Texas 
Dallam,1,Lubbock
Dallas,3,Arlington
Dawson,1,Lubbock
Deaf Smith,1,Lubbock
Delta,4,Tyler
Denton,3,Arlington
Dewitt,7,San Antonio & Harlingen
Dickens,1,Lubbock
Dimmit,7,San Antonio & Harlingen
Donley,1,Lubbock
Duval,7,San Antonio & Harlingen
Eastland,2,El Paso & Midwest Texas 
Ector,2,El Paso & Midwest Texas 
Edwards,7,San Antonio & Harlingen
El Paso,2,El Paso & Midwest Texas 
Ellis,5,Temple
Erath,2,El Paso & Midwest Texas 
Falls,5,Temple
Fannin,4,Tyler
Fayette,5,Temple
Fisher,1,Lubbock
Floyd,1,Lubbock
Foard,1,Lubbock
Fort Bend,6,Houston
Franklin,4,Tyler
Freestone,5,Temple
Frio,7,San Antonio & Harlingen
Gaines,1,Lubbock
Galveston,6,Houston
Garza,1,Lubbock
Gillespie,7,San Antonio & Harlingen
Glasscock,2,El Paso & Midwest Texas 
Goliad,7,San Antonio & Harlingen
Gonzales,7,San Antonio & Harlingen
Gray,1,Lubbock
Grayson,3,Arlington
Gregg,4,Tyler
Grimes,5,Temple
Guadalupe,7,San Antonio & Harlingen
Hale,1,Lubbock
Hall,1,Lubbock
Hamilton,5,Temple
Hansford,1,Lubbock
Hardeman,1,Lubbock
Hardin,4,Tyler
Harris,6,Houston
Harrison,4,Tyler
Hartley,1,Lubbock
Haskell,1,Lubbock
Hays,5,Temple
Hemphill,1,Lubbock
Henderson,4,Tyler
Hidalgo,7,San Antonio & Harlingen
Hill,5,Temple
Hockley,1,Lubbock
Hood,2,El Paso & Midwest Texas 
Hopkins,4,Tyler
Houston,4,Tyler
Howard,1,Lubbock
Hudspeth,2,El Paso & Midwest Texas 
Hunt,4,Tyler
Hutchinson,1,Lubbock
Irion,2,El Paso & Midwest Texas 
Jack,2,El Paso & Midwest Texas 
Jackson,7,San Antonio & Harlingen
Jasper,4,Tyler
Jeff Davis,2,El Paso & Midwest Texas 
Jefferson,4,Tyler
Jim Hogg,7,San Antonio & Harlingen
Jim Wells,7,San Antonio & Harlingen
Johnson,5,Temple
Jones,2,El Paso & Midwest Texas 
Karnes,7,San Antonio & Harlingen
Kaufman,4,Tyler
Kendall,7,San Antonio & Harlingen
Kennedy,7,San Antonio & Harlingen
Kent,1,Lubbock
Kerr,7,San Antonio & Harlingen
Kimble,2,El Paso & Midwest Texas 
King,1,Lubbock
Kinney,7,San Antonio & Harlingen
Kleberg,7,San Antonio & Harlingen
Knox,1,Lubbock
La Salle,7,San Antonio & Harlingen
Lamar,4,Tyler
Lamb,1,Lubbock
Lampasas,5,Temple
Lavaca,7,San Antonio & Harlingen
