"County","Date","TPR_CMS"
"Anderson",2020-08-26,0.193
"Andrews",2020-08-26,0.211
"Angelina",2020-08-26,0.098
"Aransas",2020-08-26,0.034
"Archer",2020-08-26,0.231
"Armstrong",2020-08-26,NA
"Atascosa",2020-08-26,0.174
"Austin",2020-08-26,0.092
"Bailey",2020-08-26,NA
"Bandera",2020-08-26,0.128
"Bastrop",2020-08-26,0.091
"Baylor",2020-08-26,NA
"Bee",2020-08-26,0.229
"Bell",2020-08-26,0.067
"Bexar",2020-08-26,0.132
"Blanco",2020-08-26,0.107
"Borden",2020-08-26,NA
"Bosque",2020-08-26,0.099
"Bowie",2020-08-26,0.115
"Brazoria",2020-08-26,0.074
"Brazos",2020-08-26,0.107
"Brewster",2020-08-26,0.008
"Briscoe",2020-08-26,NA
"Brooks",2020-08-26,0.144
"Brown",2020-08-26,0.131
"Burleson",2020-08-26,0.107
"Burnet",2020-08-26,0.431
"Caldwell",2020-08-26,0.161
"Calhoun",2020-08-26,0.152
"Callahan",2020-08-26,0.1
"Cameron",2020-08-26,0.216
"Camp",2020-08-26,0.043
"Carson",2020-08-26,NA
"Cass",2020-08-26,0.117
"Castro",2020-08-26,0.417
"Chambers",2020-08-26,0.121
"Cherokee",2020-08-26,0.154
"Childress",2020-08-26,NA
"Clay",2020-08-26,0.059
"Cochran",2020-08-26,NA
"Coke",2020-08-26,0.133
"Coleman",2020-08-26,0.143
"Collin",2020-08-26,0.051
"Collingsworth",2020-08-26,0.2
"Colorado",2020-08-26,0.058
"Comal",2020-08-26,0.058
"Comanche",2020-08-26,0.077
"Concho",2020-08-26,0.45
"Cooke",2020-08-26,0.125
"Coryell",2020-08-26,0.227
"Cottle",2020-08-26,NA
"Crane",2020-08-26,0.025
"Crockett",2020-08-26,0.2
"Crosby",2020-08-26,NA
"Culberson",2020-08-26,NA
"Dallam",2020-08-26,0.154
"Dallas",2020-08-26,0.105
"Dawson",2020-08-26,0.069
"Deaf Smith",2020-08-26,0.361
"Delta",2020-08-26,0
"Denton",2020-08-26,0.066
"DeWitt",2020-08-26,0.359
"Dickens",2020-08-26,NA
"Dimmit",2020-08-26,0.242
"Donley",2020-08-26,0.13
"Duval",2020-08-26,0.158
"Eastland",2020-08-26,0.062
"Ector",2020-08-26,0.211
"Edwards",2020-08-26,NA
"El Paso",2020-08-26,0.062
"Ellis",2020-08-26,0.077
"Erath",2020-08-26,0.058
"Falls",2020-08-26,0.15
"Fannin",2020-08-26,0.032
"Fayette",2020-08-26,0.037
"Fisher",2020-08-26,NA
"Floyd",2020-08-26,NA
"Foard",2020-08-26,NA
"Fort Bend",2020-08-26,0.057
"Franklin",2020-08-26,0.025
"Freestone",2020-08-26,0.228
