"County","Date","Tests","TPR_CMS"
"Anderson",2020-11-25,2289,0.117
"Andrews",2020-11-25,305,0.275
"Angelina",2020-11-25,3126,0.127
"Aransas",2020-11-25,501,0.082
"Archer",2020-11-25,202,0.267
"Armstrong",2020-11-25,64,0.391
"Atascosa",2020-11-25,1855,0.112
"Austin",2020-11-25,1030,0.091
"Bailey",2020-11-25,44,0.364
"Bandera",2020-11-25,523,0.076
"Bastrop",2020-11-25,3747,0.067
"Baylor",2020-11-25,23,0.304
"Bee",2020-11-25,683,0.124
"Bell",2020-11-25,17112,0.093
"Bexar",2020-11-25,78013,0.106
"Blanco",2020-11-25,474,0.076
"Borden",2020-11-25,NA,NA
"Bosque",2020-11-25,696,0.128
"Bowie",2020-11-25,2930,0.172
"Brazoria",2020-11-25,13713,0.093
"Brazos",2020-11-25,20051,0.062
"Brewster",2020-11-25,1756,0.136
"Briscoe",2020-11-25,40,0.45
"Brooks",2020-11-25,869,0.025
"Brown",2020-11-25,1750,0.127
"Burleson",2020-11-25,778,0.105
"Burnet",2020-11-25,2240,0.138
"Caldwell",2020-11-25,1774,0.11
"Calhoun",2020-11-25,556,0.079
"Callahan",2020-11-25,427,0.129
"Cameron",2020-11-25,10050,0.122
"Camp",2020-11-25,447,0.134
"Carson",2020-11-25,156,0.365
"Cass",2020-11-25,749,0.109
"Castro",2020-11-25,115,0.304
"Chambers",2020-11-25,1005,0.115
"Cherokee",2020-11-25,620,0.115
"Childress",2020-11-25,302,0.397
"Clay",2020-11-25,394,0.325
"Cochran",2020-11-25,90,0.333
"Coke",2020-11-25,71,0.169
"Coleman",2020-11-25,223,0.314
"Collin",2020-11-25,52700,0.091
"Collingsworth",2020-11-25,117,0.453
"Colorado",2020-11-25,725,0.17
"Comal",2020-11-25,5095,0.092
"Comanche",2020-11-25,559,0.236
"Concho",2020-11-25,59,0.186
"Cooke",2020-11-25,2080,0.195
"Coryell",2020-11-25,5107,0.1
"Cottle",2020-11-25,31,0.355
"Crane",2020-11-25,229,0.052
"Crockett",2020-11-25,NA,NA
"Crosby",2020-11-25,219,0.187
"Culberson",2020-11-25,270,0.181
"Dallam",2020-11-25,95,0.095
"Dallas",2020-11-25,119835,0.131
"Dawson",2020-11-25,525,0.107
"DeWitt",2020-11-25,357,0.179
"Deaf Smith",2020-11-25,283,0.41
"Delta",2020-11-25,118,0.136
"Denton",2020-11-25,40878,0.115
"Dickens",2020-11-25,29,0.207
"Dimmit",2020-11-25,655,0.101
"Donley",2020-11-25,86,0.198
"Duval",2020-11-25,1123,0.103
"Eastland",2020-11-25,285,0.246
"Ector",2020-11-25,4530,0.284
"Edwards",2020-11-25,102,0.343
"El Paso",2020-11-25,59909,0.213
"Ellis",2020-11-25,10619,0.15
"Erath",2020-11-25,995,0.177
"Falls",2020-11-25,776,0.149
"Fannin",2020-11-25,1801,0.108
"Fayette",2020-11-25,704,0.139
"Fisher",2020-11-25,97,0.247
"Floyd",2020-11-25,113,0.248
"Foard",2020-11-25,27,0.296
"Fort Bend",2020-11-25,32332,0.086
"Franklin",2020-11-25,176,0.108
"Freestone",2020-11-25,371,0.059
"Frio",2020-11-25,579,0.187
"Gaines",2020-11-25,207,0.28
"Galveston",2020-11-25,15487,0.081
"Garza",2020-11-25,81,0.21
"Gillespie",2020-11-25,2454,0.135
"Glasscock",2020-11-25,NA,NA
"Goliad",2020-11-25,118,0.136
"Gonzales",2020-11-25,783,0.125
"Gray",2020-11-25,563,0.316
"Grayson",2020-11-25,8157,0.116
"Gregg",2020-11-25,3607,0.164
"Grimes",2020-11-25,1336,0.102
"Guadalupe",2020-11-25,3285,0.104
"Hale",2020-11-25,908,0.232
"Hall",2020-11-25,139,0.41
"Hamilton",2020-11-25,374,0.072
"Hansford",2020-11-25,NA,NA
"Hardeman",2020-11-25,100,0.23
"Hardin",2020-11-25,656,0.13
"Harris",2020-11-25,190320,0.085
"Harrison",2020-11-25,1099,0.14
"Hartley",2020-11-25,NA,NA
"Haskell",2020-11-25,44,0.182
"Hays",2020-11-25,18295,0.063
"Hemphill",2020-11-25,39,0.103
"Henderson",2020-11-25,1592,0.183
"Hidalgo",2020-11-25,19582,0.133
"Hill",2020-11-25,2842,0.145
"Hockley",2020-11-25,905,0.373
"Hood",2020-11-25,2330,0.153
"Hopkins",2020-11-25,1287,0.113
"Houston",2020-11-25,821,0.105
"Howard",2020-11-25,938,0.131
"Hudspeth",2020-11-25,353,0.224
"Hunt",2020-11-25,2549,0.099
"Hutchinson",2020-11-25,709,0.444
"Irion",2020-11-25,21,0.19
"Jack",2020-11-25,172,0.291
"Jackson",2020-11-25,289,0.246
"Jasper",2020-11-25,359,0.086
"Jeff Davis",2020-11-25,437,0.08
"Jefferson",2020-11-25,9128,0.099
