"County","Date","Active_Cases_Cumulative","Active_Cases_Cumulative_NA","Active_Cases_Daily"
"Anderson",2020-04-07,1,1,1
"Anderson",2020-04-08,1,1,0
"Anderson",2020-04-09,2,2,1
"Anderson",2020-04-10,2,2,0
"Anderson",2020-04-11,3,3,1
"Anderson",2020-04-12,3,3,0
"Anderson",2020-04-13,3,3,0
"Anderson",2020-04-14,3,3,0
"Anderson",2020-04-15,3,3,0
"Anderson",2020-04-16,5,5,2
"Anderson",2020-04-17,5,5,0
"Anderson",2020-04-18,5,5,0
"Anderson",2020-04-19,7,7,2
"Anderson",2020-04-20,7,7,0
"Anderson",2020-04-21,9,9,2
"Anderson",2020-04-22,13,13,4
"Anderson",2020-04-23,12,12,-1
"Anderson",2020-04-24,14,14,2
"Anderson",2020-04-25,14,14,0
"Anderson",2020-04-26,16,16,2
"Anderson",2020-04-27,17,17,1
"Anderson",2020-04-28,21,21,4
"Anderson",2020-04-29,20,20,-1
"Anderson",2020-04-30,24,24,4
"Anderson",2020-05-01,25,25,1
"Anderson",2020-05-02,27,27,2
"Anderson",2020-05-03,25,25,-2
"Anderson",2020-05-04,25,25,0
"Anderson",2020-05-05,26,26,1
"Anderson",2020-05-06,27,27,1
"Anderson",2020-05-07,29,29,2
"Anderson",2020-05-08,28,28,-1
"Anderson",2020-05-09,29,29,1
"Anderson",2020-05-10,26,26,-3
"Anderson",2020-05-11,25,25,-1
"Anderson",2020-05-12,31,31,6
"Anderson",2020-05-13,31,31,0
"Anderson",2020-05-14,27,27,-4
"Anderson",2020-05-15,27,27,0
"Anderson",2020-05-16,28,28,1
"Anderson",2020-05-17,28,28,0
"Anderson",2020-05-18,27,27,-1
"Anderson",2020-05-19,32,32,5
"Anderson",2020-05-20,29,29,-3
"Anderson",2020-05-21,29,29,0
"Anderson",2020-05-22,30,30,1
"Anderson",2020-05-23,31,31,1
"Anderson",2020-05-24,30,30,-1
"Anderson",2020-05-25,30,30,0
"Anderson",2020-05-26,23,23,-7
"Anderson",2020-05-27,23,23,0
"Anderson",2020-05-28,22,22,-1
"Anderson",2020-05-29,27,27,5
"Anderson",2020-05-30,24,24,-3
"Anderson",2020-05-31,24,24,0
"Anderson",2020-06-01,23,23,-1
"Anderson",2020-06-02,22,22,-1
"Anderson",2020-06-03,23,23,1
"Anderson",2020-06-04,28,28,5
"Anderson",2020-06-05,29,29,1
"Anderson",2020-06-06,25,25,-4
"Anderson",2020-06-07,25,25,0
"Anderson",2020-06-08,24,24,-1
"Anderson",2020-06-09,30,30,6
"Anderson",2020-06-10,30,30,0
"Anderson",2020-06-11,34,34,4
"Anderson",2020-06-12,29,29,-5
"Anderson",2020-06-13,34,34,5
"Anderson",2020-06-14,34,34,0
"Anderson",2020-06-15,34,34,0
"Anderson",2020-06-16,916,916,882
"Anderson",2020-06-17,915,915,-1
"Anderson",2020-06-18,922,922,7
"Anderson",2020-06-19,925,925,3
"Anderson",2020-06-20,924,924,-1
"Anderson",2020-06-21,924,924,0
"Anderson",2020-06-22,923,923,-1
"Anderson",2020-06-23,921,921,-2
"Anderson",2020-06-24,925,925,4
"Anderson",2020-06-25,923,923,-2
"Anderson",2020-06-26,926,926,3
"Anderson",2020-06-27,920,920,-6
"Anderson",2020-06-28,919,919,-1
"Anderson",2020-06-29,919,919,0
"Anderson",2020-06-30,226,226,-693
"Anderson",2020-07-01,233,233,7
"Anderson",2020-07-02,967,967,734
"Anderson",2020-07-03,252,252,-715
"Anderson",2020-07-04,250,250,-2
"Anderson",2020-07-05,986,986,736
"Anderson",2020-07-06,986,986,0
"Anderson",2020-07-07,1012,1012,26
"Anderson",2020-07-08,1054,1054,42
"Anderson",2020-07-09,1435,1435,381
"Anderson",2020-07-10,1664,1664,229
"Anderson",2020-07-11,1699,1699,35
"Anderson",2020-07-12,1699,1699,0
"Anderson",2020-07-13,1793,1793,94
"Anderson",2020-07-14,1819,1819,26
"Anderson",2020-07-15,1845,1845,26
"Anderson",2020-07-16,1856,1856,11
"Anderson",2020-07-17,1903,1903,47
"Anderson",2020-07-18,1917,1917,14
"Anderson",2020-07-19,1917,1917,0
"Anderson",2020-07-20,1915,1915,-2
"Anderson",2020-07-21,1924,1924,9
"Anderson",2020-07-22,1923,1923,-1
"Anderson",2020-07-23,1938,1938,15
"Anderson",2020-07-24,1974,1974,36
"Anderson",2020-07-25,1960,1960,-14
"Anderson",2020-07-26,1956,1956,-4
"Anderson",2020-07-27,1959,1959,3
"Anderson",2020-07-28,1979,1979,20
"Anderson",2020-07-29,1981,1981,2
"Anderson",2020-07-30,1983,1983,2
"Anderson",2020-07-31,2004,2004,21
"Anderson",2020-08-01,2017,2017,13
"Anderson",2020-08-02,2017,2017,0
"Anderson",2020-08-03,2114,2114,97
"Anderson",2020-08-04,2114,2114,0
"Anderson",2020-08-05,2146,2146,32
"Anderson",2020-08-06,2144,2144,-2
"Anderson",2020-08-07,2170,2170,26
"Anderson",2020-08-08,2191,2191,21
"Anderson",2020-08-09,2189,2189,-2
"Anderson",2020-08-10,2190,2190,1
"Anderson",2020-08-11,2193,2193,3
"Anderson",2020-08-12,2215,2215,22
"Anderson",2020-08-13,2219,2219,4
"Anderson",2020-08-14,2171,2171,-48
"Anderson",2020-08-15,2169,2169,-2
"Anderson",2020-08-16,2168,2168,-1
"Anderson",2020-08-17,2168,2168,0
"Anderson",2020-08-18,2172,2172,4
"Anderson",2020-08-19,2157,2157,-15
"Anderson",2020-08-20,2150,2150,-7
"Anderson",2020-08-21,2150,2150,0
"Anderson",2020-08-22,2158,2158,8
"Anderson",2020-08-23,2134,2134,-24
"Anderson",2020-08-24,2140,2140,6
"Anderson",2020-08-25,2158,2158,18
"Anderson",2020-08-26,2162,2162,4
"Anderson",2020-08-27,2161,2161,-1
"Anderson",2020-08-28,2174,2174,13
"Anderson",2020-08-29,2181,2181,7
"Anderson",2020-08-30,2151,2151,-30
"Anderson",2020-08-31,2151,2151,0
"Anderson",2020-09-01,2169,2169,18
"Anderson",2020-09-02,2176,2176,7
"Anderson",2020-09-03,144,144,-2032
"Anderson",2020-09-04,142,142,-2
"Anderson",2020-09-05,147,147,5
"Anderson",2020-09-06,144,144,-3
"Anderson",2020-09-07,141,141,-3
"Anderson",2020-09-08,279,279,138
"Anderson",2020-09-09,308,308,29
"Anderson",2020-09-10,331,331,23
"Anderson",2020-09-11,331,331,0
"Anderson",2020-09-12,293,293,-38
"Anderson",2020-09-13,285,285,-8
"Anderson",2020-09-14,273,273,-12
"Anderson",2020-09-15,285,285,12
"Anderson",2020-09-16,293,293,8
"Anderson",2020-09-17,300,300,7
"Anderson",2020-09-18,0,0,-300
"Anderson",2020-09-19,0,0,0
"Anderson",2020-09-20,0,0,0
"Anderson",2020-09-21,256,256,256
"Anderson",2020-09-22,266,266,10
"Anderson",2020-09-23,177,177,-89
"Anderson",2020-09-24,139,139,-38
"Anderson",2020-09-25,122,122,-17
"Anderson",2020-09-26,142,142,20
"Anderson",2020-09-27,136,136,-6
"Anderson",2020-09-28,137,137,1
"Anderson",2020-09-29,116,116,-21
"Anderson",2020-09-30,109,109,-7
"Anderson",2020-10-01,101,101,-8
"Anderson",2020-10-02,74,74,-27
"Anderson",2020-10-03,72,72,-2
"Anderson",2020-10-04,72,72,0
"Anderson",2020-10-05,102,102,30
"Anderson",2020-10-06,93,93,-9
"Anderson",2020-10-07,95,95,2
"Anderson",2020-10-08,85,85,-10
"Anderson",2020-10-09,96,96,11
"Anderson",2020-10-10,87,87,-9
"Anderson",2020-10-11,53,53,-34
"Anderson",2020-10-12,54,54,1
"Anderson",2020-10-13,61,61,7
"Anderson",2020-10-14,71,71,10
"Anderson",2020-10-15,81,81,10
"Anderson",2020-10-16,75,75,-6
"Anderson",2020-10-17,91,91,16
"Anderson",2020-10-18,95,95,4
"Anderson",2020-10-19,90,90,-5
"Anderson",2020-10-20,68,68,-22
"Anderson",2020-10-21,69,69,1
"Anderson",2020-10-22,69,69,0
"Anderson",2020-10-23,82,82,13
"Anderson",2020-10-24,72,72,-10
"Anderson",2020-10-25,85,85,13
"Anderson",2020-10-26,86,86,1
"Anderson",2020-10-27,80,80,-6
"Anderson",2020-10-28,81,81,1
"Anderson",2020-10-29,93,93,12
"Anderson",2020-10-30,79,79,-14
"Anderson",2020-10-31,85,85,6
"Anderson",2020-11-01,86,86,1
"Anderson",2020-11-02,85,85,-1
"Anderson",2020-11-03,91,91,6
"Anderson",2020-11-04,77,77,-14
"Anderson",2020-11-05,107,107,30
