Date,County,inpatient_bed_utilization,admissions_100k,cases_100k,community_level,cases_7day_MA,TPR,transmission_level
2022-02-24,Anderson,6.3,6.7,50.23,Low,50.23,5.95,Substantial
2022-02-24,Andrews,3.7,3.6,16.04,Low,16.04,0,Moderate
2022-02-24,Angelina,13.5,14.6,26.52,Medium,26.52,7.66,Moderate
2022-02-24,Aransas,10.2,14.4,153.13,Medium,153.13,18.97,High
2022-02-24,Archer,13.6,18.2,93.53,Medium,93.53,9.8,Substantial
2022-02-24,Armstrong,12.1,10.3,158.98,Medium,158.98,25,High
2022-02-24,Atascosa,8.7,19.8,199.4,Medium,199.4,12.92,High
2022-02-24,Austin,9,15.5,209.78,High,209.78,9.49,High
2022-02-24,Bailey,7,12,100,Medium,100,11.76,High
2022-02-24,Bandera,8.7,19.8,73.55,Medium,73.55,11.28,High
2022-02-24,Bastrop,8.5,9.3,95.8,Low,95.8,12.77,High
2022-02-24,Baylor,13.6,18.2,113.99,Medium,113.99,0,High
2022-02-24,Bee,8.3,6.2,162.75,Low,162.75,16.5,High
2022-02-24,Bell,9.6,36.9,61.72,High,61.72,6.68,Substantial
2022-02-24,Bexar,8.7,19.8,208.63,High,208.63,6.06,High
2022-02-24,Blanco,4.7,14.2,201.16,High,201.16,9.38,High
2022-02-24,Borden,7,12,0,Medium,0,0,Low
2022-02-24,Bosque,9.6,7.5,181.96,Low,181.96,17.05,High
2022-02-24,Bowie,7.7,10.5,212.34,High,212.34,11.35,High
2022-02-24,Brazoria,8.4,6.6,125.85,Low,125.85,9.21,High
2022-02-24,Brazos,6.4,20,126.08,High,126.08,9.78,High
2022-02-24,Brewster,0,5.5,152.12,Low,152.12,0,High
2022-02-24,Briscoe,12.1,10.3,452.78,High,452.78,0,High
2022-02-24,Brooks,10.2,14.4,239.67,High,239.67,10.53,High
2022-02-24,Brown,6.9,0,419.92,Medium,419.92,4.4,High
2022-02-24,Burleson,6.4,20,287.37,High,287.37,19.72,High
2022-02-24,Burnet,8.5,9.3,97.6,Low,97.6,11.73,High
2022-02-24,Caldwell,15,11,144.28,High,144.28,11.28,High
2022-02-24,Calhoun,9.1,23.5,230.16,High,230.16,17.59,High
2022-02-24,Callahan,6.6,12.8,86.06,Medium,86.06,11.11,High
2022-02-24,Cameron,10.5,14.2,290.2,High,290.2,14.1,High
2022-02-24,Camp,6.7,5.8,297.85,Medium,297.85,13.41,High
2022-02-24,Carson,12.1,10.3,236.25,High,236.25,12.12,High
2022-02-24,Cass,,,276.43,Medium,276.43,7.35,High
2022-02-24,Castro,2.8,6.4,199.2,Low,199.2,5.56,High
2022-02-24,Chambers,9,15.5,98.09,Medium,98.09,12.13,High
2022-02-24,Cherokee,6.3,6.7,49.39,Low,49.39,7.24,Moderate
2022-02-24,Childress,0,0,2258.42,Medium,2258.42,5.71,High
2022-02-24,Clay,13.6,18.2,47.75,Medium,47.75,6.12,Moderate
2022-02-24,Cochran,7,12,140.2,Medium,140.2,0,High
2022-02-24,Coke,2.9,14.2,59.05,Medium,59.05,12.5,High
2022-02-24,Coleman,6.9,0,48.93,Low,48.93,0,Moderate
2022-02-24,Collin,8.8,14,149.8,Medium,149.8,7.11,High
2022-02-24,Collingsworth,0,0,856.16,Medium,856.16,15.38,High
2022-02-24,Colorado,10.4,10.7,302.42,High,302.42,15.27,High
2022-02-24,Comal,6.7,1.3,176.05,Low,176.05,9.67,High
2022-02-24,Comanche,4.8,0,29.34,Low,29.34,1.86,Moderate
2022-02-24,Concho,2.9,14.2,146.74,Medium,146.74,0,High
2022-02-24,Cooke,11.2,7.4,84.83,Medium,84.83,5.8,Substantial
2022-02-24,Coryell,9.6,36.9,82.95,High,82.95,7.43,Substantial
2022-02-24,Cottle,0,0,143.06,Low,143.06,5.88,High
2022-02-24,Crane,9.5,8.7,104.23,Low,104.23,25,High
2022-02-24,Crockett,2.9,14.2,57.74,Medium,57.74,0,Substantial
2022-02-24,Crosby,7,12,122.01,Medium,122.01,20,High
2022-02-24,Culberson,12.3,21.3,46.06,High,46.06,25,High
