"County","Date","TPR_CMS","Tests"
"Anderson",2020-08-19,0.143,NA
"Andrews",2020-08-19,NA,NA
"Angelina",2020-08-19,0.134,NA
"Aransas",2020-08-19,0.186,NA
"Archer",2020-08-19,NA,NA
"Armstrong",2020-08-19,NA,NA
"Atascosa",2020-08-19,0.154,NA
"Austin",2020-08-19,0.12,NA
"Bailey",2020-08-19,NA,NA
"Bandera",2020-08-19,0.057,NA
"Bastrop",2020-08-19,0.074,NA
"Baylor",2020-08-19,NA,NA
"Bee",2020-08-19,0.251,NA
"Bell",2020-08-19,0.07,NA
"Bexar",2020-08-19,0.14,NA
"Blanco",2020-08-19,0,NA
"Borden",2020-08-19,NA,NA
"Bosque",2020-08-19,0.1,NA
"Bowie",2020-08-19,0.108,NA
"Brazoria",2020-08-19,0.096,NA
"Brazos",2020-08-19,0.067,NA
"Brewster",2020-08-19,0,NA
"Briscoe",2020-08-19,NA,NA
"Brooks",2020-08-19,0.105,NA
"Brown",2020-08-19,0.234,NA
"Burleson",2020-08-19,0.075,NA
"Burnet",2020-08-19,0.122,NA
"Caldwell",2020-08-19,0.16,NA
"Calhoun",2020-08-19,0.238,NA
"Callahan",2020-08-19,0.1,NA
"Cameron",2020-08-19,0.206,NA
"Camp",2020-08-19,0.118,NA
"Carson",2020-08-19,0.182,NA
"Cass",2020-08-19,0.121,NA
"Castro",2020-08-19,NA,NA
"Chambers",2020-08-19,0.119,NA
"Cherokee",2020-08-19,0.234,NA
"Childress",2020-08-19,0.333,NA
"Clay",2020-08-19,0.231,NA
"Cochran",2020-08-19,NA,NA
"Coke",2020-08-19,0.188,NA
"Coleman",2020-08-19,0.214,NA
"Collin",2020-08-19,0.055,NA
"Collingsworth",2020-08-19,0.8,NA
"Colorado",2020-08-19,0.116,NA
"Comal",2020-08-19,0.086,NA
"Comanche",2020-08-19,0.222,NA
"Concho",2020-08-19,0.429,NA
"Cooke",2020-08-19,0.062,NA
"Coryell",2020-08-19,0.176,NA
"Cottle",2020-08-19,NA,NA
"Crane",2020-08-19,0.048,NA
"Crockett",2020-08-19,NA,NA
"Crosby",2020-08-19,NA,NA
"Culberson",2020-08-19,0.167,NA
"Dallam",2020-08-19,0.1,NA
"Dallas",2020-08-19,0.121,NA
"Dawson",2020-08-19,0,NA
"Deaf Smith",2020-08-19,0.231,NA
"Delta",2020-08-19,NA,NA
"Denton",2020-08-19,0.079,NA
"DeWitt",2020-08-19,0.349,NA
"Dickens",2020-08-19,NA,NA
"Dimmit",2020-08-19,0.095,NA
"Donley",2020-08-19,0.077,NA
"Duval",2020-08-19,0.139,NA
"Eastland",2020-08-19,0.091,NA
"Ector",2020-08-19,0.183,NA
"Edwards",2020-08-19,NA,NA
"El Paso",2020-08-19,0.077,NA
"Ellis",2020-08-19,0.096,NA
"Erath",2020-08-19,0.06,NA
"Falls",2020-08-19,0.191,NA
"Fannin",2020-08-19,0.26,NA
"Fayette",2020-08-19,0.088,NA
"Fisher",2020-08-19,0.769,NA
"Floyd",2020-08-19,0.176,NA
"Foard",2020-08-19,NA,NA
"Fort Bend",2020-08-19,0.068,NA
"Franklin",2020-08-19,0.098,NA
"Freestone",2020-08-19,0.088,NA
"Frio",2020-08-19,0.15,NA
"Gaines",2020-08-19,0.3,NA
"Galveston",2020-08-19,0.108,NA
"Garza",2020-08-19,NA,NA
"Gillespie",2020-08-19,0.08,NA
"Glasscock",2020-08-19,NA,NA
"Goliad",2020-08-19,0.3,NA
"Gonzales",2020-08-19,0.277,NA
"Gray",2020-08-19,0.029,NA
"Grayson",2020-08-19,0.177,NA
"Gregg",2020-08-19,0.121,NA
"Grimes",2020-08-19,0.08,NA
"Guadalupe",2020-08-19,0.1,NA
"Hale",2020-08-19,0.075,NA
"Hall",2020-08-19,NA,NA
"Hamilton",2020-08-19,NA,NA
"Hansford",2020-08-19,NA,NA
"Hardeman",2020-08-19,NA,NA
"Hardin",2020-08-19,0.163,NA
"Harris",2020-08-19,0.093,NA
"Harrison",2020-08-19,0.082,NA
"Hartley",2020-08-19,NA,NA
"Haskell",2020-08-19,NA,NA
"Hays",2020-08-19,0.094,NA
"Hemphill",2020-08-19,0.02,NA
"Henderson",2020-08-19,0.126,NA
"Hidalgo",2020-08-19,0.205,NA
"Hill",2020-08-19,0.173,NA
"Hockley",2020-08-19,0.04,NA
"Hood",2020-08-19,0.054,NA
"Hopkins",2020-08-19,0.106,NA
"Houston",2020-08-19,0.1,NA
"Howard",2020-08-19,0.165,NA
"Hudspeth",2020-08-19,0.167,NA
"Hunt",2020-08-19,0.091,NA
"Hutchinson",2020-08-19,0.065,NA
"Irion",2020-08-19,NA,NA
"Jack",2020-08-19,0.2,NA
"Jackson",2020-08-19,0.252,NA
"Jasper",2020-08-19,0.138,NA
"Jeff Davis",2020-08-19,0,NA
"Jefferson",2020-08-19,0.14,NA
"Jim Hogg",2020-08-19,0.171,NA
"Jim Wells",2020-08-19,0.164,NA
"Johnson",2020-08-19,0.112,NA
"Jones",2020-08-19,NA,NA
"Karnes",2020-08-19,0.216,NA
"Kaufman",2020-08-19,0.094,NA
"Kendall",2020-08-19,0.078,NA
"Kenedy",2020-08-19,NA,NA
"Kent",2020-08-19,NA,NA
"Kerr",2020-08-19,0.02,NA
"Kimble",2020-08-19,0.083,NA
"King",2020-08-19,NA,NA
"Kinney",2020-08-19,NA,NA
"Kleberg",2020-08-19,0.153,NA
"Knox",2020-08-19,NA,NA
"La Salle",2020-08-19,0.065,NA
"Lamar",2020-08-19,0.176,NA
"Lamb",2020-08-19,0.102,NA
"Lampasas",2020-08-19,0.061,NA
"Lavaca",2020-08-19,0.25,NA
"Lee",2020-08-19,0.105,NA
"Leon",2020-08-19,0.117,NA
"Liberty",2020-08-19,0.138,NA
"Limestone",2020-08-19,0.219,NA
"Lipscomb",2020-08-19,NA,NA
"Live Oak",2020-08-19,0.26,NA
"Llano",2020-08-19,0,NA
"Loving",2020-08-19,NA,NA
"Lubbock",2020-08-19,0.064,NA
"Lynn",2020-08-19,NA,NA
"Madison",2020-08-19,0.067,NA
"Marion",2020-08-19,0.261,NA
"Martin",2020-08-19,0.167,NA
"Mason",2020-08-19,0.118,NA
"Matagorda",2020-08-19,0.155,NA
"Maverick",2020-08-19,0.258,NA
"McCulloch",2020-08-19,0.045,NA
"McLennan",2020-08-19,0.093,NA
"McMullen",2020-08-19,NA,NA
"Medina",2020-08-19,0.253,NA
"Menard",2020-08-19,NA,NA
"Midland",2020-08-19,0.06,NA
"Milam",2020-08-19,0.193,NA
"Mills",2020-08-19,NA,NA
"Mitchell",2020-08-19,NA,NA
"Montague",2020-08-19,0.102,NA
"Montgomery",2020-08-19,0.086,NA
"Moore",2020-08-19,0.024,NA
"Morris",2020-08-19,0.095,NA
"Motley",2020-08-19,NA,NA
"Nacogdoches",2020-08-19,0.131,NA
"Navarro",2020-08-19,0.07,NA
"Newton",2020-08-19,0.105,NA
"Nolan",2020-08-19,0.3,NA
"Nueces",2020-08-19,0.171,NA
"Ochiltree",2020-08-19,NA,NA
"Oldham",2020-08-19,NA,NA
"Orange",2020-08-19,0.077,NA
"Palo Pinto",2020-08-19,0.198,NA
"Panola",2020-08-19,0.045,NA
"Parker",2020-08-19,0.116,NA
"Parmer",2020-08-19,0,NA
"Pecos",2020-08-19,0.043,NA
"Polk",2020-08-19,0.04,NA
"Potter",2020-08-19,0.085,NA
"Presidio",2020-08-19,0.036,NA
"Rains",2020-08-19,0.118,NA
"Randall",2020-08-19,0.059,NA
"Reagan",2020-08-19,0.167,NA
"Real",2020-08-19,0,NA
"Red River",2020-08-19,0,NA
"Reeves",2020-08-19,0.134,NA
"Refugio",2020-08-19,0.163,NA
"Roberts",2020-08-19,NA,NA
"Robertson",2020-08-19,0.14,NA
"Rockwall",2020-08-19,0.049,NA
"Runnels",2020-08-19,0.2,NA
"Rusk",2020-08-19,0.217,NA
"Sabine",2020-08-19,0.114,NA
"San Augustine",2020-08-19,0.2,NA
"San Jacinto",2020-08-19,0.026,NA
"San Patricio",2020-08-19,0.196,NA
"San Saba",2020-08-19,0.25,NA
"Schleicher",2020-08-19,0.286,NA
"Scurry",2020-08-19,NA,NA
"Shackelford",2020-08-19,NA,NA
"Shelby",2020-08-19,0.184,NA
"Sherman",2020-08-19,NA,NA
"Smith",2020-08-19,0.171,NA
"Somervell",2020-08-19,NA,NA
"Starr",2020-08-19,0.217,NA
"Stephens",2020-08-19,0,NA
"Sterling",2020-08-19,NA,NA
"Stonewall",2020-08-19,NA,NA
"Sutton",2020-08-19,0.304,NA
"Swisher",2020-08-19,0.118,NA
"Tarrant",2020-08-19,0.11,NA
"Taylor",2020-08-19,0.132,NA
"Terrell",2020-08-19,NA,NA
