"County","Date","TPR_CMS"
"Anderson",2020-09-02,0.284
"Andrews",2020-09-02,0.214
"Angelina",2020-09-02,0.093
"Aransas",2020-09-02,0.111
"Archer",2020-09-02,0.133
"Armstrong",2020-09-02,NA
"Atascosa",2020-09-02,0.118
"Austin",2020-09-02,0.081
"Bailey",2020-09-02,NA
"Bandera",2020-09-02,0.053
"Bastrop",2020-09-02,0.065
"Baylor",2020-09-02,NA
"Bee",2020-09-02,0.243
"Bell",2020-09-02,0.069
"Bexar",2020-09-02,0.112
"Blanco",2020-09-02,0.067
"Borden",2020-09-02,NA
"Bosque",2020-09-02,0.143
"Bowie",2020-09-02,0.156
"Brazoria",2020-09-02,0.059
"Brazos",2020-09-02,0.08
"Brewster",2020-09-02,0.05
"Briscoe",2020-09-02,NA
"Brooks",2020-09-02,0.081
"Brown",2020-09-02,0.124
"Burleson",2020-09-02,0.038
"Burnet",2020-09-02,0.206
"Caldwell",2020-09-02,0.104
"Calhoun",2020-09-02,0.159
"Callahan",2020-09-02,0
"Cameron",2020-09-02,0.194
"Camp",2020-09-02,0.074
"Carson",2020-09-02,0
"Cass",2020-09-02,0.058
"Castro",2020-09-02,0.312
"Chambers",2020-09-02,0.102
"Cherokee",2020-09-02,0.117
"Childress",2020-09-02,0.091
"Clay",2020-09-02,0
"Cochran",2020-09-02,NA
"Coke",2020-09-02,0.114
"Coleman",2020-09-02,0.061
"Collin",2020-09-02,0.052
"Collingsworth",2020-09-02,0.2
"Colorado",2020-09-02,0.173
"Comal",2020-09-02,0.076
"Comanche",2020-09-02,0.231
"Concho",2020-09-02,0.345
"Cooke",2020-09-02,0.106
"Coryell",2020-09-02,0.211
"Cottle",2020-09-02,NA
"Crane",2020-09-02,0.037
"Crockett",2020-09-02,NA
"Crosby",2020-09-02,0
"Culberson",2020-09-02,0.48
"Dallam",2020-09-02,NA
"Dallas",2020-09-02,0.102
"Dawson",2020-09-02,0.031
"DeWitt",2020-09-02,0.297
"Deaf Smith",2020-09-02,0.077
"Delta",2020-09-02,0.118
"Denton",2020-09-02,0.069
"Dickens",2020-09-02,NA
"Dimmit",2020-09-02,0.158
"Donley",2020-09-02,0.077
"Duval",2020-09-02,0.193
"Eastland",2020-09-02,0.293
"Ector",2020-09-02,0.159
"Edwards",2020-09-02,NA
"El Paso",2020-09-02,0.064
"Ellis",2020-09-02,0.087
"Erath",2020-09-02,0.145
"Falls",2020-09-02,0.278
"Fannin",2020-09-02,0.109
"Fayette",2020-09-02,0.101
"Fisher",2020-09-02,NA
"Floyd",2020-09-02,0.08
"Foard",2020-09-02,NA
"Fort Bend",2020-09-02,0.066
"Franklin",2020-09-02,0.013
"Freestone",2020-09-02,0.065
"Frio",2020-09-02,0.209
"Gaines",2020-09-02,0
"Galveston",2020-09-02,0.069
"Garza",2020-09-02,NA
"Gillespie",2020-09-02,0.073
"Glasscock",2020-09-02,NA
"Goliad",2020-09-02,0.154
"Gonzales",2020-09-02,0.149
"Gray",2020-09-02,0.104
"Grayson",2020-09-02,0.106
"Gregg",2020-09-02,0.095
"Grimes",2020-09-02,0.018
"Guadalupe",2020-09-02,0.045
"Hale",2020-09-02,0.098
"Hall",2020-09-02,NA
"Hamilton",2020-09-02,0
"Hansford",2020-09-02,NA
"Hardeman",2020-09-02,NA
"Hardin",2020-09-02,0.138
"Harris",2020-09-02,0.074
"Harrison",2020-09-02,0.101
"Hartley",2020-09-02,NA
"Haskell",2020-09-02,NA
"Hays",2020-09-02,0.072
"Hemphill",2020-09-02,0.036
"Henderson",2020-09-02,0.116
"Hidalgo",2020-09-02,0.179
"Hill",2020-09-02,0.097
"Hockley",2020-09-02,0.154
"Hood",2020-09-02,0.02
"Hopkins",2020-09-02,0.058
"Houston",2020-09-02,0.234
"Howard",2020-09-02,0.143
"Hudspeth",2020-09-02,0.182
"Hunt",2020-09-02,0.069
"Hutchinson",2020-09-02,0.085
"Irion",2020-09-02,0
"Jack",2020-09-02,0.2
"Jackson",2020-09-02,0.216
"Jasper",2020-09-02,0.275
"Jeff Davis",2020-09-02,0.147
"Jefferson",2020-09-02,0.098
"Jim Hogg",2020-09-02,0.03
"Jim Wells",2020-09-02,0.149
"Johnson",2020-09-02,0.087
"Jones",2020-09-02,0.263
"Karnes",2020-09-02,0.038
"Kaufman",2020-09-02,0.073
"Kendall",2020-09-02,0.043
"Kenedy",2020-09-02,NA
"Kent",2020-09-02,NA
"Kerr",2020-09-02,0.024
"Kimble",2020-09-02,0
"King",2020-09-02,NA
"Kinney",2020-09-02,NA
"Kleberg",2020-09-02,0.188
"Knox",2020-09-02,NA
"La Salle",2020-09-02,0.029
"Lamar",2020-09-02,0.123
"Lamb",2020-09-02,0
"Lampasas",2020-09-02,0.046
"Lavaca",2020-09-02,0.106
"Lee",2020-09-02,0.047
"Leon",2020-09-02,0.092
"Liberty",2020-09-02,0.155
"Limestone",2020-09-02,0.129
"Lipscomb",2020-09-02,NA
"Live Oak",2020-09-02,0.206
"Llano",2020-09-02,0.01
"Loving",2020-09-02,NA
"Lubbock",2020-09-02,0.139
"Lynn",2020-09-02,NA
"Madison",2020-09-02,0.088
"Marion",2020-09-02,0.237
"Martin",2020-09-02,NA
"Mason",2020-09-02,0.03
"Matagorda",2020-09-02,0.17
"Maverick",2020-09-02,0.208
"McCulloch",2020-09-02,0.381
"McLennan",2020-09-02,0.109
"McMullen",2020-09-02,0.455
"Medina",2020-09-02,0.167
"Menard",2020-09-02,0.067
"Midland",2020-09-02,0.071
"Milam",2020-09-02,0.167
"Mills",2020-09-02,NA
"Mitchell",2020-09-02,NA
