"County","Date","Tests","TPR_CMS"
"Anderson",2021-12-23,2776,0.165
"Andrews",2021-12-23,161,0.28
"Angelina",2021-12-23,5699,0.145
"Aransas",2021-12-23,424,0.12
"Archer",2021-12-23,184,0.332
"Armstrong",2021-12-23,41,0.049
"Atascosa",2021-12-23,2270,0.222
"Austin",2021-12-23,1285,0.144
"Bailey",2021-12-23,34,0.029
"Bandera",2021-12-23,498,0.221
"Bastrop",2021-12-23,3732,0.112
"Baylor",2021-12-23,92,0.152
"Bee",2021-12-23,1129,0.167
"Bell",2021-12-23,20881,0.136
"Bexar",2021-12-23,92285,0.16
"Blanco",2021-12-23,491,0.102
"Borden",2021-12-23,NA,NA
"Bosque",2021-12-23,729,0.147
"Bowie",2021-12-23,2449,0.145
"Brazoria",2021-12-23,16877,0.148
"Brazos",2021-12-23,18165,0.112
"Brewster",2021-12-23,682,0.111
"Briscoe",2021-12-23,38,0.184
"Brooks",2021-12-23,732,0.064
"Brown",2021-12-23,1077,0.216
"Burleson",2021-12-23,1304,0.142
"Burnet",2021-12-23,2772,0.114
"Caldwell",2021-12-23,2951,0.185
"Calhoun",2021-12-23,783,0.087
"Callahan",2021-12-23,444,0.124
"Cameron",2021-12-23,11588,0.158
"Camp",2021-12-23,364,0.266
"Carson",2021-12-23,95,0.263
"Cass",2021-12-23,661,0.121
"Castro",2021-12-23,109,0.294
"Chambers",2021-12-23,1177,0.12
"Cherokee",2021-12-23,1802,0.121
"Childress",2021-12-23,292,0.349
"Clay",2021-12-23,288,0.253
"Cochran",2021-12-23,35,0.2
"Coke",2021-12-23,88,0.182
"Coleman",2021-12-23,253,0.304
"Collin",2021-12-23,74258,0.115
"Collingsworth",2021-12-23,79,0.342
"Colorado",2021-12-23,488,0.191
"Comal",2021-12-23,6701,0.15
"Comanche",2021-12-23,396,0.245
"Concho",2021-12-23,50,0.04
"Cooke",2021-12-23,1615,0.201
"Coryell",2021-12-23,4366,0.123
"Cottle",2021-12-23,36,0.389
"Crane",2021-12-23,247,0.053
"Crockett",2021-12-23,34,0.147
"Crosby",2021-12-23,131,0.176
"Culberson",2021-12-23,183,0.219
"Dallam",2021-12-23,75,0.027
"Dallas",2021-12-23,125599,0.159
"Dawson",2021-12-23,168,0.065
"DeWitt",2021-12-23,294,0.228
"Deaf Smith",2021-12-23,95,0.242
"Delta",2021-12-23,147,0.163
"Denton",2021-12-23,43793,0.137
"Dickens",2021-12-23,24,0.125
"Dimmit",2021-12-23,948,0.179
"Donley",2021-12-23,62,0.145
"Duval",2021-12-23,939,0.086
"Eastland",2021-12-23,313,0.268
"Ector",2021-12-23,3366,0.222
"Edwards",2021-12-23,57,0.298
"El Paso",2021-12-23,35888,0.109
"Ellis",2021-12-23,10856,0.186
"Erath",2021-12-23,1113,0.226
"Falls",2021-12-23,1016,0.196
"Fannin",2021-12-23,1730,0.16
"Fayette",2021-12-23,651,0.167
"Fisher",2021-12-23,110,0.227
"Floyd",2021-12-23,92,0.207
"Foard",2021-12-23,NA,NA
"Fort Bend",2021-12-23,39368,0.117
"Franklin",2021-12-23,230,0.187
"Freestone",2021-12-23,1059,0.048
"Frio",2021-12-23,580,0.179
"Gaines",2021-12-23,151,0.192
"Galveston",2021-12-23,18799,0.143
"Garza",2021-12-23,51,0.216
"Gillespie",2021-12-23,1668,0.187
"Glasscock",2021-12-23,NA,NA
"Goliad",2021-12-23,106,0.16
"Gonzales",2021-12-23,955,0.169
"Gray",2021-12-23,333,0.234
"Grayson",2021-12-23,6198,0.176
"Gregg",2021-12-23,4857,0.154
"Grimes",2021-12-23,2370,0.174
"Guadalupe",2021-12-23,4732,0.153
"Hale",2021-12-23,625,0.179
