"County","TPR_CPR","Tests","Date"
"Anderson",0.179,145,2021-02-20
"Andrews",0.2,5,2021-02-20
"Angelina",0.166,217,2021-02-20
"Aransas",0.167,36,2021-02-20
"Archer",0,1,2021-02-20
"Armstrong",0,6,2021-02-20
"Atascosa",0.128,86,2021-02-20
"Austin",0.1,110,2021-02-20
"Bailey",0.1,10,2021-02-20
"Bandera",0.069,29,2021-02-20
"Bastrop",0.068,280,2021-02-20
"Baylor",0,2,2021-02-20
"Bee",0.286,84,2021-02-20
"Bell",0.09,1238,2021-02-20
"Bexar",0.133,6752,2021-02-20
"Blanco",0.091,22,2021-02-20
"Borden",NA,0,2021-02-20
"Bosque",0.074,27,2021-02-20
"Bowie",0.173,214,2021-02-20
"Brazoria",0.153,1937,2021-02-20
"Brazos",0.092,1034,2021-02-20
"Brewster",0.077,13,2021-02-20
"Briscoe",0.333,3,2021-02-20
"Brooks",0.005,210,2021-02-20
"Brown",0.104,48,2021-02-20
"Burleson",0.065,124,2021-02-20
"Burnet",0.114,228,2021-02-20
"Caldwell",0.129,163,2021-02-20
"Calhoun",0.22,50,2021-02-20
"Callahan",0.286,7,2021-02-20
"Cameron",0.133,1532,2021-02-20
"Camp",0.111,9,2021-02-20
"Carson",0,7,2021-02-20
"Cass",0.097,31,2021-02-20
"Castro",0.077,13,2021-02-20
"Chambers",0.102,127,2021-02-20
"Cherokee",0.038,184,2021-02-20
"Childress",0.25,16,2021-02-20
"Clay",0.083,12,2021-02-20
"Cochran",0,3,2021-02-20
"Coke",0.375,8,2021-02-20
"Coleman",0.158,19,2021-02-20
"Collin",0.125,3364,2021-02-20
"Collingsworth",0,3,2021-02-20
"Colorado",0.267,30,2021-02-20
"Comal",0.128,430,2021-02-20
"Comanche",0.16,25,2021-02-20
"Concho",0.333,3,2021-02-20
"Cooke",0.278,36,2021-02-20
"Coryell",0.097,144,2021-02-20
"Cottle",1,1,2021-02-20
"Crane",0.011,181,2021-02-20
"Crockett",0,4,2021-02-20
"Crosby",0,8,2021-02-20
"Culberson",0.156,32,2021-02-20
"Dallam",0.167,6,2021-02-20
"Dallas",0.121,8759,2021-02-20
"Dawson",0,30,2021-02-20
"Deaf Smith",0.263,19,2021-02-20
"Delta",0.286,7,2021-02-20
"Denton",0.151,2703,2021-02-20
"DeWitt",0.053,19,2021-02-20
"Dickens",0.5,2,2021-02-20
"Dimmit",0.2,195,2021-02-20
"Donley",0.2,5,2021-02-20
"Duval",0.174,23,2021-02-20
"Eastland",0.056,18,2021-02-20
"Ector",0.191,141,2021-02-20
"Edwards",0,6,2021-02-20
"El Paso",0.124,6554,2021-02-20
"Ellis",0.133,503,2021-02-20
"Erath",0.292,48,2021-02-20
"Falls",0.105,38,2021-02-20
"Fannin",0.238,42,2021-02-20
"Fayette",0.16,50,2021-02-20
"Fisher",NA,0,2021-02-20
"Floyd",0.304,23,2021-02-20
"Foard",0,1,2021-02-20
"Fort Bend",0.119,4167,2021-02-20
"Franklin",0.2,10,2021-02-20
"Freestone",0,16,2021-02-20
"Frio",0.053,244,2021-02-20
"Gaines",0,16,2021-02-20
"Galveston",0.146,2658,2021-02-20
"Garza",0.052,77,2021-02-20
"Gillespie",0.25,12,2021-02-20
"Glasscock",NA,0,2021-02-20
"Goliad",0.2,10,2021-02-20
"Gonzales",0.196,51,2021-02-20
"Gray",0.333,6,2021-02-20
"Grayson",0.161,261,2021-02-20
"Gregg",0.202,163,2021-02-20
"Grimes",0.031,635,2021-02-20
"Guadalupe",0.097,361,2021-02-20
"Hale",0.103,78,2021-02-20
"Hall",0.143,7,2021-02-20
"Hamilton",0.025,40,2021-02-20
"Hansford",0.286,7,2021-02-20
"Hardeman",NA,0,2021-02-20
"Hardin",0.083,109,2021-02-20
"Harris",0.112,22849,2021-02-20
"Harrison",0.145,69,2021-02-20
"Hartley",0,1,2021-02-20
"Haskell",0,13,2021-02-20
"Hays",0.086,838,2021-02-20
"Hemphill",NA,0,2021-02-20
"Henderson",0.226,84,2021-02-20
"Hidalgo",0.132,2865,2021-02-20
"Hill",0.139,72,2021-02-20
"Hockley",0.018,55,2021-02-20
"Hood",0.185,108,2021-02-20
"Hopkins",0.174,23,2021-02-20
"Houston",0.19,21,2021-02-20
"Howard",0.026,38,2021-02-20
"Hudspeth",0.183,71,2021-02-20
"Hunt",0.158,114,2021-02-20
"Hutchinson",0.114,35,2021-02-20
"Irion",0.5,2,2021-02-20
"Jack",0,18,2021-02-20
"Jackson",0.24,25,2021-02-20
"Jasper",0.09,89,2021-02-20
"Jeff Davis",0.143,7,2021-02-20
"Jefferson",0.064,752,2021-02-20
"Jim Hogg",0.086,58,2021-02-20
"Jim Wells",0.234,145,2021-02-20
"Johnson",0.219,361,2021-02-20
"Jones",0,6,2021-02-20
"Karnes",0.105,38,2021-02-20
"Kaufman",0.237,287,2021-02-20
"Kendall",0.112,89,2021-02-20
"Kenedy",0,3,2021-02-20
"Kent",NA,0,2021-02-20
"Kerr",0.054,37,2021-02-20
"Kimble",NA,0,2021-02-20
"King",NA,0,2021-02-20
"Kinney",0,3,2021-02-20
"Kleberg",0.138,80,2021-02-20
"Knox",NA,0,2021-02-20
"La Salle",0.105,19,2021-02-20
"Lamar",0.095,220,2021-02-20
"Lamb",0.062,32,2021-02-20
"Lampasas",0.135,89,2021-02-20
"Lavaca",0.254,71,2021-02-20
"Lee",0.156,32,2021-02-20
"Leon",0.093,43,2021-02-20
"Liberty",0.111,279,2021-02-20
"Limestone",0.138,87,2021-02-20
"Lipscomb",0.5,2,2021-02-20
"Live Oak",0.051,78,2021-02-20
"Llano",0.118,110,2021-02-20
"Loving",NA,0,2021-02-20
"Lubbock",0.057,1028,2021-02-20
"Lynn",0,5,2021-02-20
