Date,file_path,County,TPR,Tests,Transmission_Level,Community_Level
2022-04-18,original-sources/historical/cpr_orig//cpr_2022-04-25.xlsx,Anderson,0.021,90,Low,Low
2022-04-18,original-sources/historical/cpr_orig//cpr_2022-04-25.xlsx,Andrews,0,10,Moderate,Low
2022-04-18,original-sources/historical/cpr_orig//cpr_2022-04-25.xlsx,Angelina,0.012,185,Substantial,Low
2022-04-18,original-sources/historical/cpr_orig//cpr_2022-04-25.xlsx,Aransas,0.083,146,Substantial,Low
2022-04-18,original-sources/historical/cpr_orig//cpr_2022-04-25.xlsx,Archer,0,28,High,Low
2022-04-18,original-sources/historical/cpr_orig//cpr_2022-04-25.xlsx,Armstrong,0,3,High,Low
2022-04-18,original-sources/historical/cpr_orig//cpr_2022-04-25.xlsx,Atascosa,0.01,173,Moderate,Low
2022-04-18,original-sources/historical/cpr_orig//cpr_2022-04-25.xlsx,Austin,0.032,129,Moderate,Low
2022-04-18,original-sources/historical/cpr_orig//cpr_2022-04-25.xlsx,Bailey,0,8,Low,Low
2022-04-18,original-sources/historical/cpr_orig//cpr_2022-04-25.xlsx,Bandera,0.053,75,Moderate,Low
2022-04-18,original-sources/historical/cpr_orig//cpr_2022-04-25.xlsx,Bastrop,0.044,477,Moderate,Low
2022-04-18,original-sources/historical/cpr_orig//cpr_2022-04-25.xlsx,Baylor,0,2,Substantial,Low
2022-04-18,original-sources/historical/cpr_orig//cpr_2022-04-25.xlsx,Bee,0.029,120,High,Low
2022-04-18,original-sources/historical/cpr_orig//cpr_2022-04-25.xlsx,Bell,0.033,1563,Moderate,Low
2022-04-18,original-sources/historical/cpr_orig//cpr_2022-04-25.xlsx,Bexar,0.062,12253,High,Low
2022-04-18,original-sources/historical/cpr_orig//cpr_2022-04-25.xlsx,Blanco,0.026,60,Substantial,Low
2022-04-18,original-sources/historical/cpr_orig//cpr_2022-04-25.xlsx,Borden,0,1,Low,Low
2022-04-18,original-sources/historical/cpr_orig//cpr_2022-04-25.xlsx,Bosque,0.091,45,High,Low
2022-04-18,original-sources/historical/cpr_orig//cpr_2022-04-25.xlsx,Bowie,0.026,181,Moderate,Low
2022-04-18,original-sources/historical/cpr_orig//cpr_2022-04-25.xlsx,Brazoria,0.045,2487,Moderate,Low
2022-04-18,original-sources/historical/cpr_orig//cpr_2022-04-25.xlsx,Brazos,0.049,1214,Substantial,Low
2022-04-18,original-sources/historical/cpr_orig//cpr_2022-04-25.xlsx,Brewster,0,16,Moderate,Low
2022-04-18,original-sources/historical/cpr_orig//cpr_2022-04-25.xlsx,Briscoe,0.286,9,High,Low
2022-04-18,original-sources/historical/cpr_orig//cpr_2022-04-25.xlsx,Brooks,0.033,26,High,Low
2022-04-18,original-sources/historical/cpr_orig//cpr_2022-04-25.xlsx,Brown,0.056,34,High,Medium
2022-04-18,original-sources/historical/cpr_orig//cpr_2022-04-25.xlsx,Burleson,0,69,Low,Low
2022-04-18,original-sources/historical/cpr_orig//cpr_2022-04-25.xlsx,Burnet,0.099,152,High,Low
2022-04-18,original-sources/historical/cpr_orig//cpr_2022-04-25.xlsx,Caldwell,0.114,270,High,Low
2022-04-18,original-sources/historical/cpr_orig//cpr_2022-04-25.xlsx,Calhoun,0,51,Low,Low
2022-04-18,original-sources/historical/cpr_orig//cpr_2022-04-25.xlsx,Callahan,0,16,High,Low
2022-04-18,original-sources/historical/cpr_orig//cpr_2022-04-25.xlsx,Cameron,0.041,1554,High,Low
2022-04-18,original-sources/historical/cpr_orig//cpr_2022-04-25.xlsx,Camp,0,38,Moderate,Low
2022-04-18,original-sources/historical/cpr_orig//cpr_2022-04-25.xlsx,Carson,0,6,Moderate,Low
2022-04-18,original-sources/historical/cpr_orig//cpr_2022-04-25.xlsx,Cass,0.042,74,Moderate,Low
2022-04-18,original-sources/historical/cpr_orig//cpr_2022-04-25.xlsx,Castro,0,20,Substantial,Low
2022-04-18,original-sources/historical/cpr_orig//cpr_2022-04-25.xlsx,Chambers,0.042,242,Moderate,Low
2022-04-18,original-sources/historical/cpr_orig//cpr_2022-04-25.xlsx,Cherokee,0.05,51,Moderate,Low
2022-04-18,original-sources/historical/cpr_orig//cpr_2022-04-25.xlsx,Childress,0.167,39,High,Low
2022-04-18,original-sources/historical/cpr_orig//cpr_2022-04-25.xlsx,Clay,0,15,Moderate,Low
2022-04-18,original-sources/historical/cpr_orig//cpr_2022-04-25.xlsx,Cochran,0,12,High,Low
2022-04-18,original-sources/historical/cpr_orig//cpr_2022-04-25.xlsx,Coke,0,4,Moderate,Low
2022-04-18,original-sources/historical/cpr_orig//cpr_2022-04-25.xlsx,Coleman,0,3,Substantial,Low
2022-04-18,original-sources/historical/cpr_orig//cpr_2022-04-25.xlsx,Collin,0.056,4114,High,Low
2022-04-18,original-sources/historical/cpr_orig//cpr_2022-04-25.xlsx,Collingsworth,0,6,Moderate,Low
2022-04-18,original-sources/historical/cpr_orig//cpr_2022-04-25.xlsx,Colorado,0,55,Moderate,Low
2022-04-18,original-sources/historical/cpr_orig//cpr_2022-04-25.xlsx,Comal,0.054,564,High,Low
2022-04-18,original-sources/historical/cpr_orig//cpr_2022-04-25.xlsx,Comanche,0.167,17,High,Medium
2022-04-18,original-sources/historical/cpr_orig//cpr_2022-04-25.xlsx,Concho,0,6,Low,Low
2022-04-18,original-sources/historical/cpr_orig//cpr_2022-04-25.xlsx,Cooke,0.041,110,Moderate,Low
2022-04-18,original-sources/historical/cpr_orig//cpr_2022-04-25.xlsx,Coryell,0.039,247,Substantial,Low
2022-04-18,original-sources/historical/cpr_orig//cpr_2022-04-25.xlsx,Cottle,0,6,High,Medium
