"County","TPR_CPR","Tests","Date"
"Anderson",0.347,166,2022-07-09
"Andrews",0.667,11,2022-07-09
"Angelina",0.385,178,2022-07-09
"Aransas",0.333,222,2022-07-09
"Archer",0.2,47,2022-07-09
"Armstrong",0,10,2022-07-09
"Atascosa",0.338,272,2022-07-09
"Austin",0.299,187,2022-07-09
"Bailey",0,10,2022-07-09
"Bandera",0.17,128,2022-07-09
"Bastrop",0.335,436,2022-07-09
"Baylor",,4,2022-07-09
"Bee",0.418,147,2022-07-09
"Bell",0.296,2302,2022-07-09
"Bexar",0.323,15275,2022-07-09
"Blanco",0.263,139,2022-07-09
"Borden",,2,2022-07-09
"Bosque",0.185,60,2022-07-09
"Bowie",0.296,244,2022-07-09
"Brazoria",0.244,4362,2022-07-09
"Brazos",0.32,1756,2022-07-09
"Brewster",0.32,31,2022-07-09
"Briscoe",0,6,2022-07-09
"Brooks",0,52,2022-07-09
"Brown",0.167,56,2022-07-09
"Burleson",0.2,158,2022-07-09
"Burnet",0.362,318,2022-07-09
"Caldwell",0.452,413,2022-07-09
"Calhoun",0.395,97,2022-07-09
"Callahan",1,18,2022-07-09
"Cameron",0.322,2823,2022-07-09
"Camp",0.444,48,2022-07-09
"Carson",0.333,16,2022-07-09
"Cass",0.438,63,2022-07-09
"Castro",0.5,11,2022-07-09
"Chambers",0.48,473,2022-07-09
"Cherokee",0.333,94,2022-07-09
"Childress",0.2,68,2022-07-09
"Clay",0.5,45,2022-07-09
"Cochran",0.5,17,2022-07-09
"Coke",0.6,12,2022-07-09
"Coleman",0,2,2022-07-09
"Collin",0.31,5952,2022-07-09
"Collingsworth",0,4,2022-07-09
"Colorado",0.304,65,2022-07-09
"Comal",0.318,795,2022-07-09
"Comanche",0.333,26,2022-07-09
"Concho",,2,2022-07-09
"Cooke",0.087,76,2022-07-09
"Coryell",0.279,289,2022-07-09
"Cottle",0,10,2022-07-09
"Crane",0.5,9,2022-07-09
"Crockett",0,2,2022-07-09
"Crosby",0.5,16,2022-07-09
"Culberson",,4,2022-07-09
"Dallam",,12,2022-07-09
"Dallas",0.322,14586,2022-07-09
"Dawson",0,8,2022-07-09
"Deaf Smith",0.182,52,2022-07-09
"Delta",,8,2022-07-09
"Denton",0.33,3968,2022-07-09
"DeWitt",0.435,76,2022-07-09
"Dickens",,2,2022-07-09
"Dimmit",0.111,45,2022-07-09
"Donley",0,7,2022-07-09
"Duval",0.429,90,2022-07-09
"Eastland",,5,2022-07-09
"Ector",0.181,436,2022-07-09
"Edwards",,5,2022-07-09
"El Paso",0.304,5200,2022-07-09
"Ellis",0.276,864,2022-07-09
"Erath",0.167,115,2022-07-09
"Falls",0.433,86,2022-07-09
"Fannin",0.16,155,2022-07-09
"Fayette",0.345,64,2022-07-09
"Fisher",0.5,4,2022-07-09
"Floyd",0.333,19,2022-07-09
"Foard",0.333,4,2022-07-09
"Fort Bend",0.34,7527,2022-07-09
"Franklin",0.143,23,2022-07-09
"Freestone",0.333,107,2022-07-09
"Frio",0.118,375,2022-07-09
"Gaines",0,26,2022-07-09
"Galveston",0.331,3843,2022-07-09
"Garza",0.6,11,2022-07-09
"Gillespie",0.283,91,2022-07-09
"Glasscock",0,6,2022-07-09
"Goliad",0.429,28,2022-07-09
"Gonzales",0.409,60,2022-07-09
"Gray",0.2,17,2022-07-09
"Grayson",0.283,317,2022-07-09
"Gregg",0.328,231,2022-07-09
"Grimes",0.291,245,2022-07-09
"Guadalupe",0.381,636,2022-07-09
"Hale",0.254,90,2022-07-09
"Hall",0,10,2022-07-09
"Hamilton",0.222,37,2022-07-09
"Hansford",0.333,7,2022-07-09
"Hardeman",0.5,17,2022-07-09
"Hardin",0.258,200,2022-07-09
"Harris",0.313,37796,2022-07-09
"Harrison",0.231,90,2022-07-09
"Hartley",0,9,2022-07-09
"Haskell",0,7,2022-07-09
"Hays",0.378,1802,2022-07-09
"Hemphill",,1,2022-07-09
"Henderson",0.377,198,2022-07-09
"Hidalgo",0.362,5142,2022-07-09
"Hill",0.211,94,2022-07-09
"Hockley",0.385,102,2022-07-09
"Hood",0.26,206,2022-07-09
"Hopkins",0.167,81,2022-07-09
"Houston",0.4,39,2022-07-09
"Howard",0.143,57,2022-07-09
"Hudspeth",0.1,15,2022-07-09
"Hunt",0.299,266,2022-07-09
"Hutchinson",0,27,2022-07-09
"Irion",0.5,28,2022-07-09
"Jack",0.333,15,2022-07-09
"Jackson",0.36,76,2022-07-09
"Jasper",0.273,178,2022-07-09
"Jeff Davis",0.75,3,2022-07-09
"Jefferson",0.329,1065,2022-07-09
"Jim Hogg",0.5,6,2022-07-09
"Jim Wells",0.523,414,2022-07-09
"Johnson",0.285,733,2022-07-09
"Jones",0.125,79,2022-07-09
"Karnes",0.19,45,2022-07-09
"Kaufman",0.284,678,2022-07-09
"Kendall",0.181,190,2022-07-09
"Kenedy",,0,2022-07-09
"Kent",0,0,2022-07-09
"Kerr",0.15,162,2022-07-09
"Kimble",0,8,2022-07-09
"King",,0,2022-07-09
"Kinney",0,2,2022-07-09
"Kleberg",0.475,141,2022-07-09
"Knox",0,1,2022-07-09
"La Salle",0,17,2022-07-09
"Lamar",0.396,129,2022-07-09
"Lamb",0.267,44,2022-07-09
"Lampasas",0.337,128,2022-07-09
"Lavaca",0.08,69,2022-07-09
"Lee",0.462,53,2022-07-09
"Leon",0.303,81,2022-07-09
"Liberty",0.284,496,2022-07-09
"Limestone",0.286,101,2022-07-09
"Lipscomb",1,7,2022-07-09
"Live Oak",0.375,30,2022-07-09
"Llano",0.259,118,2022-07-09
"Loving",0.105,72,2022-07-09
"Lubbock",0.315,1163,2022-07-09
"Lynn",0.333,15,2022-07-09
"Madison",0.125,45,2022-07-09
"Marion",0.75,12,2022-07-09
"Martin",0.333,30,2022-07-09
"Mason",0.2,6,2022-07-09
"Matagorda",0.318,260,2022-07-09
"Maverick",0.5,233,2022-07-09
"McCulloch",0.273,23,2022-07-09
"McLennan",0.265,1016,2022-07-09
"McMullen",0.667,4,2022-07-09
"Medina",0.193,174,2022-07-09
"Menard",0.5,4,2022-07-09
"Midland",0.375,328,2022-07-09
"Milam",0.348,148,2022-07-09
"Mills",0,1,2022-07-09
"Mitchell",0.6,10,2022-07-09
"Montague",0.077,47,2022-07-09
"Montgomery",0.287,4073,2022-07-09
"Moore",0,23,2022-07-09
"Morris",0.2,29,2022-07-09
"Motley",0,2,2022-07-09
"Nacogdoches",0.195,294,2022-07-09
"Navarro",0.379,82,2022-07-09
"Newton",0.286,30,2022-07-09
"Nolan",0.333,13,2022-07-09
"Nueces",0.402,2566,2022-07-09
"Ochiltree",0.5,17,2022-07-09
"Oldham",1,5,2022-07-09
"Orange",0.306,240,2022-07-09
"Palo Pinto",0.348,93,2022-07-09
"Panola",0.125,53,2022-07-09
"Parker",0.332,602,2022-07-09
"Parmer",0.154,17,2022-07-09
"Pecos",0.556,115,2022-07-09
"Polk",0.394,182,2022-07-09
"Potter",0.178,465,2022-07-09
"Presidio",0.286,11,2022-07-09
"Rains",0.222,30,2022-07-09
"Randall",0.193,256,2022-07-09
"Reagan",1,0,2022-07-09
"Real",0.5,16,2022-07-09
"Red River",0,27,2022-07-09
"Reeves",0.45,92,2022-07-09
"Refugio",0.375,29,2022-07-09
"Roberts",0,2,2022-07-09
"Robertson",0.487,95,2022-07-09
"Rockwall",0.333,364,2022-07-09
"Runnels",0.417,20,2022-07-09
"Rusk",0.276,92,2022-07-09
"Sabine",0.357,30,2022-07-09
"San Augustine",0.273,19,2022-07-09
"San Jacinto",0.485,151,2022-07-09
"San Patricio",0.401,483,2022-07-09
"San Saba",0.25,20,2022-07-09
"Schleicher",0.333,5,2022-07-09
"Scurry",0.284,129,2022-07-09
"Shackelford",0,5,2022-07-09
"Shelby",0.213,99,2022-07-09
"Sherman",,2,2022-07-09
"Smith",0.251,659,2022-07-09
"Somervell",0,10,2022-07-09
"Starr",0.25,194,2022-07-09
"Stephens",,4,2022-07-09
"Sterling",0.667,3,2022-07-09
"Stonewall",,4,2022-07-09
"Sutton",0,6,2022-07-09
"Swisher",0.375,8,2022-07-09
"Tarrant",0.308,11375,2022-07-09
"Taylor",0.192,173,2022-07-09
"Terrell",,2,2022-07-09
"Terry",0.2,14,2022-07-09
"Throckmorton",,1,2022-07-09
"Titus",0.104,102,2022-07-09
"Tom Green",0.323,333,2022-07-09
"Travis",0.283,10293,2022-07-09
"Trinity",0.333,69,2022-07-09
"Tyler",0.333,76,2022-07-09
"Upshur",0.125,27,2022-07-09
"Upton",0.4,32,2022-07-09
"Uvalde",0.443,151,2022-07-09
"Val Verde",0.447,291,2022-07-09
"Van Zandt",0.167,99,2022-07-09
"Victoria",0.167,444,2022-07-09
"Walker",0.197,543,2022-07-09
"Waller",0.32,295,2022-07-09
"Ward",0.35,41,2022-07-09
"Washington",0.421,206,2022-07-09
"Webb",0.383,998,2022-07-09
"Wharton",0.341,203,2022-07-09
"Wheeler",0.5,3,2022-07-09
"Wichita",0.301,331,2022-07-09
"Wilbarger",0.291,115,2022-07-09
"Willacy",0.267,156,2022-07-09
"Williamson",0.345,4357,2022-07-09
"Wilson",0.229,170,2022-07-09
"Winkler",0.4,14,2022-07-09
"Wise",0.31,177,2022-07-09
"Wood",0.28,108,2022-07-09
"Yoakum",0.333,7,2022-07-09
"Young",0.062,55,2022-07-09
"Zapata",0.133,35,2022-07-09
"Zavala",0.167,34,2022-07-09
