District,Date,LEA,District_Total_Enrollment,Campus,Campus_ID,Cases_Student_New,Cases_Staff_New,Case_Source_Campus,Case_Source_OffCampus,Case_Source_Unknown
CAYUGA ISD,2021-09-12,001902,541,NA,NA,7,0,4,3,0
ELKHART ISD,2021-09-12,001903,1167,NA,NA,NA,1,NA,NA,NA
FRANKSTON ISD,2021-09-12,001904,756,NA,NA,5,3,0,0,8
NECHES ISD,2021-09-12,001906,338,NA,NA,NA,NA,NA,NA,NA
PALESTINE ISD,2021-09-12,001907,3347,NA,NA,NA,5,NA,NA,NA
WESTWOOD ISD,2021-09-12,001908,1333,NA,NA,NA,NA,NA,NA,NA
SLOCUM ISD,2021-09-12,001909,360,NA,NA,NA,0,NA,NA,NA
ANDREWS ISD,2021-09-12,002901,3992,NA,NA,NA,NA,NA,NA,NA
PINEYWOODS COMMUNITY ACADEMY,2021-09-12,003801,920,NA,NA,15,7,0,0,22
HUDSON ISD,2021-09-12,003902,2762,NA,NA,NA,NA,NA,NA,NA
LUFKIN ISD,2021-09-12,003903,7297,NA,NA,71,15,0,0,86
HUNTINGTON ISD,2021-09-12,003904,1569,NA,NA,9,3,0,0,12
DIBOLL ISD,2021-09-12,003905,1698,NA,NA,29,6,0,1,34
ZAVALLA ISD,2021-09-12,003906,308,NA,NA,NA,NA,NA,NA,NA
CENTRAL ISD,2021-09-12,003907,1442,NA,NA,NA,NA,NA,NA,NA
ARANSAS COUNTY ISD,2021-09-12,004901,2989,NA,NA,19,2,0,0,21
ARCHER CITY ISD,2021-09-12,005901,502,NA,NA,NA,NA,NA,NA,NA
HOLLIDAY ISD,2021-09-12,005902,1064,NA,NA,NA,2,NA,NA,NA
WINDTHORST ISD,2021-09-12,005904,438,NA,NA,NA,NA,NA,NA,NA
CLAUDE ISD,2021-09-12,006902,301,NA,NA,NA,3,NA,NA,NA
CHARLOTTE ISD,2021-09-12,007901,419,NA,NA,NA,1,NA,NA,NA
JOURDANTON ISD,2021-09-12,007902,1517,NA,NA,11,2,0,1,12
LYTLE ISD,2021-09-12,007904,1689,NA,NA,10,1,0,11,0
PLEASANTON ISD,2021-09-12,007905,3304,NA,NA,21,7,0,0,28
POTEET ISD,2021-09-12,007906,1518,NA,NA,NA,NA,NA,NA,NA
BELLVILLE ISD,2021-09-12,008901,2206,NA,NA,21,2,0,0,23
SEALY ISD,2021-09-12,008902,2788,NA,NA,NA,2,NA,NA,NA
BRAZOS ISD,2021-09-12,008903,761,NA,NA,NA,2,NA,NA,NA
MULESHOE ISD,2021-09-12,009901,1309,NA,NA,NA,1,NA,NA,NA
MEDINA ISD,2021-09-12,010901,259,NA,NA,NA,NA,NA,NA,NA
BANDERA ISD,2021-09-12,010902,2155,NA,NA,NA,NA,NA,NA,NA
BASTROP ISD,2021-09-12,011901,11423,NA,NA,74,9,0,0,83
ELGIN ISD,2021-09-12,011902,4670,NA,NA,27,8,1,0,34
SMITHVILLE ISD,2021-09-12,011904,1687,NA,NA,NA,NA,NA,NA,NA
MCDADE ISD,2021-09-12,011905,327,NA,NA,NA,NA,NA,NA,NA
SEYMOUR ISD,2021-09-12,012901,625,NA,NA,NA,0,NA,NA,NA
ST MARY'S ACADEMY CHARTER SCHOOL,2021-09-12,013801,376,NA,NA,NA,3,NA,NA,NA
BEEVILLE ISD,2021-09-12,013901,3072,NA,NA,NA,NA,NA,NA,NA
PAWNEE ISD,2021-09-12,013902,296,NA,NA,NA,NA,NA,NA,NA
PETTUS ISD,2021-09-12,013903,361,NA,NA,NA,1,NA,NA,NA
SKIDMORE-TYNAN ISD,2021-09-12,013905,792,NA,NA,NA,0,NA,NA,NA
RICHARD MILBURN ALTER HIGH SCHOOL (KILLEEN),2021-09-12,014801,1943,NA,NA,13,2,0,15,0
PRIORITY CHARTER SCHOOLS,2021-09-12,014803,846,NA,NA,NA,NA,NA,NA,NA
ORENDA CHARTER SCHOOL,2021-09-12,014804,1867,NA,NA,9,0,3,2,4
ACADEMY ISD,2021-09-12,014901,1730,NA,NA,NA,NA,NA,NA,NA
BARTLETT ISD,2021-09-12,014902,386,NA,NA,NA,1,NA,NA,NA
BELTON ISD,2021-09-12,014903,12757,NA,NA,147,21,44,50,74
HOLLAND ISD,2021-09-12,014905,656,NA,NA,NA,NA,NA,NA,NA
KILLEEN ISD,2021-09-12,014906,43634,NA,NA,383,76,0,0,459
ROGERS ISD,2021-09-12,014907,890,NA,NA,5,1,1,2,3
SALADO ISD,2021-09-12,014908,2141,NA,NA,NA,NA,NA,NA,NA
TEMPLE ISD,2021-09-12,014909,8363,NA,NA,25,18,0,0,43
TROY ISD,2021-09-12,014910,1576,NA,NA,8,1,0,0,9
POR VIDA ACADEMY,2021-09-12,015801,134,NA,NA,NA,NA,NA,NA,NA
GEORGE GERVIN ACADEMY,2021-09-12,015802,811,NA,NA,NA,NA,NA,NA,NA
NEW FRONTIERS PUBLIC SCHOOLS INC,2021-09-12,015805,474,NA,NA,NA,NA,NA,NA,NA
SCHOOL OF EXCELLENCE IN EDUCATION,2021-09-12,015806,346,NA,NA,NA,0,NA,NA,NA
SOUTHWEST PREPARATORY SCHOOL,2021-09-12,015807,860,NA,NA,NA,NA,NA,NA,NA
INSPIRE ACADEMIES,2021-09-12,015808,575,NA,NA,NA,NA,NA,NA,NA
BEXAR COUNTY ACADEMY,2021-09-12,015809,258,NA,NA,NA,0,NA,NA,NA
POSITIVE SOLUTIONS CHARTER SCHOOL,2021-09-12,015814,121,NA,NA,NA,NA,NA,NA,NA
HERITAGE ACADEMY,2021-09-12,015815,611,NA,NA,NA,0,NA,NA,NA
JUBILEE ACADEMIES,2021-09-12,015822,6124,NA,NA,33,5,38,0,0
LIGHTHOUSE PUBLIC SCHOOLS,2021-09-12,015825,287,NA,NA,NA,NA,NA,NA,NA
SCHOOL OF SCIENCE AND TECHNOLOGY,2021-09-12,015827,3243,NA,NA,17,1,0,0,18
HARMONY SCIENCE ACAD (SAN ANTONIO),2021-09-12,015828,4473,NA,NA,12,3,7,8,0
BROOKS ACADEMIES OF TEXAS,2021-09-12,015830,2844,NA,NA,8,4,0,12,0
SCHOOL OF SCIENCE AND TECHNOLOGY DISCOVERY,2021-09-12,015831,4792,NA,NA,NA,10,NA,NA,NA
HENRY FORD ACADEMY ALAMEDA SCHOOL FOR ART + DESIGN,2021-09-12,015833,97,NA,NA,NA,NA,NA,NA,NA
BASIS TEXAS,2021-09-12,015834,2988,NA,NA,9,2,0,0,11
GREAT HEARTS TEXAS,2021-09-12,015835,6529,NA,NA,24,4,3,1,24
ELEANOR KOLITZ HEBREW LANGUAGE ACADEMY,2021-09-12,015836,467,NA,NA,NA,0,NA,NA,NA
COMPASS ROSE ACADEMY,2021-09-12,015838,1124,NA,NA,NA,NA,NA,NA,NA
PROMESA ACADEMY CHARTER SCHOOL,2021-09-12,015839,191,NA,NA,NA,NA,NA,NA,NA
SAN ANTONIO PREPARATORY CHARTER SCHOOL,2021-09-12,015840,200,NA,NA,NA,NA,NA,NA,NA
THE GATHERING PLACE,2021-09-12,015841,365,NA,NA,NA,NA,NA,NA,NA
ROYAL PUBLIC SCHOOLS,2021-09-12,015842,0,NA,NA,NA,NA,NA,NA,NA
PRELUDE PREPARATORY CHARTER SCHOOL,2021-09-12,015843,0,NA,NA,NA,NA,NA,NA,NA
ALAMO HEIGHTS ISD,2021-09-12,015901,4824,NA,NA,23,4,6,21,0
HARLANDALE ISD,2021-09-12,015904,12032,NA,NA,43,8,0,22,29
EDGEWOOD ISD,2021-09-12,015905,8814,NA,NA,42,4,0,0,46
RANDOLPH FIELD ISD,2021-09-12,015906,1430,NA,NA,NA,NA,NA,NA,NA
SAN ANTONIO ISD,2021-09-12,015907,45514,NA,NA,88,12,0,0,100
SOUTH SAN ANTONIO ISD,2021-09-12,015908,8294,NA,NA,46,3,0,0,49
SOMERSET ISD,2021-09-12,015909,4032,NA,NA,41,4,0,0,45
NORTH EAST ISD,2021-09-12,015910,60482,NA,NA,308,50,0,11,347
EAST CENTRAL ISD,2021-09-12,015911,9764,NA,NA,96,13,0,2,107
SOUTHWEST ISD,2021-09-12,015912,13457,NA,NA,NA,NA,NA,NA,NA
LACKLAND ISD,2021-09-12,015913,899,NA,NA,NA,0,NA,NA,NA
FT SAM HOUSTON ISD,2021-09-12,015914,1527,NA,NA,NA,0,NA,NA,NA
NORTHSIDE ISD,2021-09-12,015915,102631,NA,NA,NA,NA,NA,NA,NA
JUDSON ISD,2021-09-12,015916,23771,NA,NA,99,8,29,78,0
SOUTHSIDE ISD,2021-09-12,015917,5661,NA,NA,42,3,2,34,9
JOHNSON CITY ISD,2021-09-12,016901,603,NA,NA,NA,NA,NA,NA,NA
BLANCO ISD,2021-09-12,016902,1011,NA,NA,NA,4,NA,NA,NA
BORDEN COUNTY ISD,2021-09-12,017901,238,NA,NA,NA,NA,NA,NA,NA
CLIFTON ISD,2021-09-12,018901,958,NA,NA,17,4,0,0,21
MERIDIAN ISD,2021-09-12,018902,409,NA,NA,NA,NA,NA,NA,NA
MORGAN ISD,2021-09-12,018903,137,NA,NA,NA,NA,NA,NA,NA
VALLEY MILLS ISD,2021-09-12,018904,606,NA,NA,NA,NA,NA,NA,NA
WALNUT SPRINGS ISD,2021-09-12,018905,166,NA,NA,NA,NA,NA,NA,NA
IREDELL ISD,2021-09-12,018906,144,NA,NA,NA,NA,NA,NA,NA
KOPPERL ISD,2021-09-12,018907,179,NA,NA,NA,NA,NA,NA,NA
CRANFILLS GAP ISD,2021-09-12,018908,128,NA,NA,NA,NA,NA,NA,NA
DEKALB ISD,2021-09-12,019901,722,NA,NA,0,4,0,0,4
HOOKS ISD,2021-09-12,019902,838,NA,NA,NA,5,NA,NA,NA
MAUD ISD,2021-09-12,019903,482,NA,NA,NA,0,NA,NA,NA
NEW BOSTON ISD,2021-09-12,019905,1181,NA,NA,NA,1,NA,NA,NA
REDWATER ISD,2021-09-12,019906,1096,NA,NA,NA,NA,NA,NA,NA
TEXARKANA ISD,2021-09-12,019907,7596,NA,NA,55,5,0,0,60
LIBERTY-EYLAU ISD,2021-09-12,019908,2263,NA,NA,17,5,0,0,22
SIMMS ISD,2021-09-12,019909,491,NA,NA,NA,NA,NA,NA,NA
MALTA ISD,2021-09-12,019910,217,NA,NA,0,2,0,1,1
RED LICK ISD,2021-09-12,019911,505,NA,NA,NA,0,NA,NA,NA
PLEASANT GROVE ISD,2021-09-12,019912,2224,NA,NA,NA,5,NA,NA,NA
HUBBARD ISD,2021-09-12,019913,73,NA,NA,NA,NA,NA,NA,NA
LEARY ISD,2021-09-12,019914,109,NA,NA,NA,NA,NA,NA,NA
ALVIN ISD,2021-09-12,020901,26835,NA,NA,272,29,23,1,277
ANGLETON ISD,2021-09-12,020902,6780,NA,NA,NA,NA,NA,NA,NA
DANBURY ISD,2021-09-12,020904,700,NA,NA,NA,NA,NA,NA,NA
BRAZOSPORT ISD,2021-09-12,020905,11374,NA,NA,NA,NA,NA,NA,NA
SWEENY ISD,2021-09-12,020906,1830,NA,NA,NA,NA,NA,NA,NA
COLUMBIA-BRAZORIA ISD,2021-09-12,020907,2841,NA,NA,60,9,0,2,67
PEARLAND ISD,2021-09-12,020908,21011,NA,NA,NA,NA,NA,NA,NA
DAMON ISD,2021-09-12,020910,108,NA,NA,NA,NA,NA,NA,NA
BRAZOS SCHOOL FOR INQUIRY & CREATIVITY,2021-09-12,021803,318,NA,NA,NA,0,NA,NA,NA
ARROW ACADEMY,2021-09-12,021805,673,NA,NA,NA,NA,NA,NA,NA
COLLEGE STATION ISD,2021-09-12,021901,13610,NA,NA,176,19,0,0,195
BRYAN ISD,2021-09-12,021902,15765,NA,NA,218,28,2,3,241
TERLINGUA CSD,2021-09-12,022004,94,NA,NA,NA,NA,NA,NA,NA
ALPINE ISD,2021-09-12,022901,944,NA,NA,NA,NA,NA,NA,NA
MARATHON ISD,2021-09-12,022902,59,NA,NA,NA,NA,NA,NA,NA
SAN VICENTE ISD,2021-09-12,022903,7,NA,NA,NA,NA,NA,NA,NA
SILVERTON ISD,2021-09-12,023902,183,NA,NA,NA,NA,NA,NA,NA
BROOKS COUNTY ISD,2021-09-12,024901,1425,NA,NA,NA,NA,NA,NA,NA
BANGS ISD,2021-09-12,025901,822,NA,NA,17,2,0,0,19
BROWNWOOD ISD,2021-09-12,025902,3404,NA,NA,NA,NA,NA,NA,NA
BLANKET ISD,2021-09-12,025904,145,NA,NA,NA,NA,NA,NA,NA
MAY ISD,2021-09-12,025905,245,NA,NA,NA,NA,NA,NA,NA
ZEPHYR ISD,2021-09-12,025906,197,NA,NA,NA,NA,NA,NA,NA
BROOKESMITH ISD,2021-09-12,025908,153,NA,NA,NA,NA,NA,NA,NA
EARLY ISD,2021-09-12,025909,1131,NA,NA,9,3,0,0,12
CALDWELL ISD,2021-09-12,026901,1705,NA,NA,20,0,0,0,20
SOMERVILLE ISD,2021-09-12,026902,531,NA,NA,NA,NA,NA,NA,NA
SNOOK ISD,2021-09-12,026903,511,NA,NA,NA,NA,NA,NA,NA
BURNET CISD,2021-09-12,027903,3105,NA,NA,76,10,43,12,31
MARBLE FALLS ISD,2021-09-12,027904,4041,NA,NA,14,4,0,8,10
LOCKHART ISD,2021-09-12,028902,6106,NA,NA,NA,NA,NA,NA,NA
LULING ISD,2021-09-12,028903,1394,NA,NA,NA,0,NA,NA,NA
PRAIRIE LEA ISD,2021-09-12,028906,226,NA,NA,NA,NA,NA,NA,NA
CALHOUN COUNTY ISD,2021-09-12,029901,3673,NA,NA,41,4,0,0,45
CROSS PLAINS ISD,2021-09-12,030901,364,NA,NA,NA,NA,NA,NA,NA
CLYDE CISD,2021-09-12,030902,1387,NA,NA,16,4,0,0,20
BAIRD ISD,2021-09-12,030903,283,NA,NA,NA,NA,NA,NA,NA
EULA ISD,2021-09-12,030906,448,NA,NA,NA,NA,NA,NA,NA
