"District","Date","LEA","Total_Enrollment","Approximate_Enrollment","Cases_Weekly_GRADE_EE_3","Cases_Weekly_GRADE_4_6","Cases_Weekly_GRADE_7_12","Cases_Weekly_Staff","Infections_Weekly_On_Campus","Infections_Weekly_Off_Campus","Infections_Weekly_Unknown","Cases_Cumulative_GRADE_EE_3","Cases_Cumulative_GRADE_4_6","Cases_Cumulative_GRADE_7_12","Cases_Cumulative_Staff","Infections_Cumulative_On_Campus","Infections_Cumulative_Off_Campus","Infections_Cumulative_Unknown"
"Cayuga ISD",2020-11-22,1902,"535",489,NA,NA,236,208,NA,NA,NA,NA,NA,6,3,2,6,1
"Cayuga ISD",2020-11-22,1902,"535",489,NA,NA,133,126,NA,NA,NA,NA,NA,7,3,1,5,4
"Cayuga ISD",2020-11-22,1902,"535",489,NA,NA,166,155,NA,NA,NA,NA,NA,13,11,3,10,11
"Cayuga ISD Total",2020-11-22,1902,"535",489,NA,NA,535,489,NA,NA,NA,NA,NA,26,17,6,21,16
"Elkhart ISD",2020-11-22,1903,"1200",1092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elkhart ISD",2020-11-22,1903,"1200",1092,NA,NA,344,310,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"Elkhart ISD",2020-11-22,1903,"1200",1092,NA,NA,268,260,NA,NA,NA,NA,NA,NA,3,NA,NA,NA
"Elkhart ISD",2020-11-22,1903,"1200",1092,NA,NA,322,291,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
"Elkhart ISD",2020-11-22,1903,"1200",1092,NA,NA,266,231,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
"Elkhart ISD",2020-11-22,1903,"1200",1092,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,8,0,1,8
"Elkhart ISD Total",2020-11-22,1903,"1200",1092,NA,NA,1200,1092,NA,NA,NA,NA,NA,9,16,0,3,22
"Frankston ISD",2020-11-22,1904,"836",768,NA,NA,200,189,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
"Frankston ISD",2020-11-22,1904,"836",768,NA,NA,343,310,0,2,0,0,2,NA,3,NA,NA,NA
