Date,TSA,Hospital_Beds_Staffed,Hospital_Beds_Taken,Current_Cases,Hospital_Beds_Available
6/28/20,A,1157,679,21,457
6/28/20,B,1312,924,42,346
6/28/20,C,588,325,8,255
6/28/20,D,1022,562,7,453
6/28/20,E,14773,10760,1248,2765
6/28/20,F,1355,550,35,770
6/28/20,G,2051,1435,75,541
6/28/20,H,538,312,32,194
6/28/20,I,1878,1305,136,437
6/28/20,J,1259,715,56,488
6/28/20,K,428,269,15,144
6/28/20,L,1035,766,40,229
6/28/20,M,609,414,14,181
6/28/20,N,496,282,50,164
6/28/20,O,3495,2353,337,805
6/28/20,P,6207,4261,814,1132
6/28/20,Q,13389,9564,1691,2134
6/28/20,R,1901,1200,297,404
6/28/20,S,305,79,16,210
6/28/20,T,411,276,44,91
6/28/20,U,1389,989,94,306
6/28/20,V,2613,1775,451,387
