"TSA","Hospital_Beds_Staffed","Hospital_Beds_Available","ICU_Beds_Available","Ventilators_Available","Current_Cases","Hospital_Beds_Taken"
"A",1154,366,16,135,168,620
"B",1574,308,13,199,227,1039
"C",1259,351,8,90,67,841
"D",965,257,3,83,45,663
"E",15055,1974,260,1975,1223,11858
"F",1066,367,15,74,91,608
"G",2850,658,17,306,222,1970
"H",508,206,8,98,46,256
"I",2108,315,7,292,419,1374
"J",1777,643,34,217,127,1007
"K",559,184,15,65,35,340
"L",1211,279,23,118,38,894
"M",646,132,7,58,61,453
"N",637,133,6,53,34,470
"O",3761,537,63,528,105,3119
"P",6383,1200,161,819,240,4943
"Q",14883,1716,169,1444,582,12585
"R",1930,188,9,249,149,1593
"S",560,172,33,72,32,356
"T",478,72,18,85,63,343
"U",1721,587,38,228,81,1053
"V",3395,1050,63,390,220,2125
