TSA,Hospital_Beds_Staffed,AvailHospi,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,969,285,20,145,24
B,1533,353,38,237,29
C,1252,278,5,97,16
D,927,225,5,103,22
E,16318,1751,215,2202,521
F,1049,371,38,95,34
G,2927,789,39,311,95
H,631,130,9,123,21
I,2157,334,51,271,133
J,1742,644,25,262,34
K,864,334,22,126,4
L,1118,93,5,109,39
M,610,134,13,69,18
N,570,81,7,66,30
O,4297,567,44,356,129
P,6289,648,80,803,226
Q,14762,1717,154,1446,783
R,2061,316,15,250,120
S,621,223,15,66,38
T,452,49,6,85,15
U,1767,641,32,188,46
V,3229,710,65,415,188
