TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,985,248,7,146,42
B,1562,288,14,220,67
C,1220,281,4,101,29
D,905,202,3,85,20
E,15659,1370,158,2064,925
F,1020,356,32,61,81
G,2820,674,33,223,142
H,507,131,13,90,18
I,2024,296,38,265,50
J,1804,695,26,242,56
K,873,363,15,82,16
L,1075,105,13,101,86
M,622,121,7,64,35
N,583,71,6,79,51
O,4619,589,34,359,236
P,6460,684,76,799,364
Q,14633,1476,80,1454,863
R,1721,158,9,241,132
S,586,187,13,50,42
T,454,36,1,78,30
U,1715,604,33,188,85
V,3163,691,49,378,196
