nytname,city,county,death,infected,Date
Laredo College,Laredo,Webb,0,-1,2020-11-19
Howard Payne University,Brownwood,Brown,0,-1,2020-11-19
Texas College,Tyler,Smith,0,1,2020-11-19
East Texas Baptist University,Marshall,Harrison,0,1,2020-11-19
Brazosport College,Richwood,Brazoria,0,1,2020-11-19
Houston Baptist University,Houston,Harris,0,2,2020-11-19
Galveston College,Galveston,Galveston,0,3,2020-11-19
Concordia University Texas,Austin,Travis,0,7,2020-11-19
Schreiner University,Kerriville,Kerr,0,9,2020-11-19
Texas A&M University-Central Texas,Kileen,Bell,0,12,2020-11-19
University of Texas MD Anderson Cancer Center,Houston,Harris,0,16,2020-11-19
University of St. Thomas,Houston,Harris,0,16,2020-11-19
Saint Edward's University,Austin,Travis,0,17,2020-11-19
University of North Texas at Dallas,Dallas,Dallas,0,22,2020-11-19
Trinity University,San Antonia,Bexar,0,22,2020-11-19
University of Houston-Downtown,Houston,Harris,0,24,2020-11-19
Hill College,Hillsboro,Hill,0,26,2020-11-19
Austin Community College District,Austin,Travis,0,26,2020-11-19
Texas Lutheran University,Seguin,Guadalupe,0,30,2020-11-19
Grayson College,Dension,Grayson,0,32,2020-11-19
Southwestern University,Georgetown,Williamson,0,35,2020-11-19
Midland College,Midland,Midland,0,35,2020-11-19
University of Houston-Victoria,Victoria,Victoria,0,37,2020-11-19
Hardin-Simmons University,Abilene,Taylor,0,37,2020-11-19
University of Texas Health Science Center at Tyler,Tyler,Smith,0,46,2020-11-19
Texas Southern University,Houston,Harris,0,46,2020-11-19
University of Texas at San Antonio,San Antonio,Bexar,0,47,2020-11-19
St. Mary's University,San Antonio,Bexar,0,47,2020-11-19
University of Houston-Clear Lake,Houston,Harris,0,60,2020-11-19
Dallas Baptist University,Dallas,Dallas,0,60,2020-11-19
University of Dallas,Irving,Dallas,0,61,2020-11-19
Texarkana College,Texarkana,Bowie,0,63,2020-11-19
LeTourneau University,Longview,Gregg,0,71,2020-11-19
Texas A&M University-San Antonio,San Antonio,Bexar,0,79,2020-11-19
Texas Wesleyan University,Fort Worth,Tarrant,0,82,2020-11-19
University of the Incarnate Word,San Antonio,Bexar,0,83,2020-11-19
Texas Woman’s University,Denton,Denton,0,84,2020-11-19
Texas A&M University-Texarkana,Texarkana,Bowie,0,85,2020-11-19
Collin College McKinney,McKinney,Collin,1,89,2020-11-19
University of North Texas Health Science Center,Fort Worth,Tarrant,0,90,2020-11-19
McMurry University,Abilene,Taylor,0,90,2020-11-19
Austin College,Sherman,Grayson,0,93,2020-11-19
Texas A&M International University,Laredo,Webb,0,95,2020-11-19
University of Texas at Dallas,Dallas,Dallas,0,109,2020-11-19
Odessa College,Odessa,Ector,0,135,2020-11-19
Tyler Junior College,Tyler,Smith,0,144,2020-11-19
South Texas College,McAllen,Hidalgo,0,154,2020-11-19
Lubbock Christian University,Lubbock,Lubbock,0,161,2020-11-19
Texas A&M University-Kingsville,Kingsville,Kleberg,0,164,2020-11-19
University of Mary Hardin at Baylor,Belton,Bell,0,165,2020-11-19
Rice University,Houston,Harris,0,175,2020-11-19
University of Texas Permian Basin,Odessa,Ector,0,185,2020-11-19
Texas Tech University Health Sciences Center El Paso,El Paso,El Paso,0,185,2020-11-19
University of Texas Rio Grande Valley,Edinburg,Hidalgo,0,200,2020-11-19
Midwestern State University,Wichita Falls,Wichita,0,200,2020-11-19
McLennan Community College,Waco,McLennan,0,209,2020-11-19
Wayland Baptist University,Plainview,Hale,0,234,2020-11-19
University of Texas at Tyler,Tyler,Smith,0,235,2020-11-19
University of Texas at Arlington,Arlington,Tarrant,0,242,2020-11-19
Texas A&M University-Commerce,Commerce,Hunt,0,250,2020-11-19
Lamar University,Beaumont,Jefferson,0,255,2020-11-19
Blinn College,Brenham,Washington,0,256,2020-11-19
Angelo State University,San Angelo,Tom Green,0,272,2020-11-19
University of Texas Health Science Center at San Antonio,San Antonio,Bexar,0,275,2020-11-19
Sul Ross State University,Alpine,Brewster,0,296,2020-11-19
University of Texas Health Science Center at Houston,Houston,Harris,0,301,2020-11-19
Texas A&M University-Corpus Christi,Corpus Christi,Nueces,0,316,2020-11-19
University of Houston,Houston,Harris,0,384,2020-11-19
Abilene Christian University,Abilene,Taylor,0,395,2020-11-19
Tarleton State University,Stephenville,Erath,0,412,2020-11-19
Prairie View A&M University,Prairie View,Waller,0,418,2020-11-19
University of Texas Southwestern Medical Center,Dallas,Dallas,0,476,2020-11-19
Stephen F. Austin State University,Nacogdoches,Nacogdoches,0,478,2020-11-19
Texas Tech University Health Sciences Center,Lubbock,Lubbock,0,629,2020-11-19
West Texas A&M University,Canyon,Randall,0,662,2020-11-19
University of North Texas,Denton,Denton,0,688,2020-11-19
Southern Methodist University,Dallas,Dallas,0,822,2020-11-19
University of Texas Medical Branch at Galveston,Galveston,Galveston,1,863,2020-11-19
Sam Houston State University,Huntsville,Walker,0,878,2020-11-19
Texas State University,San Marcos,Hays,0,978,2020-11-19
University of Texas at El Paso,El Paso,El Paso,0,1118,2020-11-19
Baylor University,Waco,McLennan,0,1492,2020-11-19
Texas Christian University,Fort Worth,Tarrant,0,1497,2020-11-19
University of Texas at Austin,Austin,Travis,2,1849,2020-11-19
Texas A&M University,College Station,Brazos,0,2521,2020-11-19
Texas Tech University,Lubbock,Lubbock,0,2697,2020-11-19
