Date,Level,COVID_ICU
2020-12-13,TSA Q,432
2020-12-14,TSA Q,440
2020-12-15,TSA Q,461
2020-12-16,TSA Q,468
2020-12-17,TSA Q,478
2020-12-18,TSA Q,439
2020-12-19,TSA Q,480
2020-12-20,TSA Q,451
2020-12-21,TSA Q,457
2020-12-22,TSA Q,505
2020-12-23,TSA Q,488
2020-12-24,TSA Q,479
2020-12-25,TSA Q,591
2020-12-26,TSA Q,518
2020-12-27,TSA Q,525
2020-12-28,TSA Q,534
2020-12-29,TSA Q,542
2020-12-30,TSA Q,553
2020-12-31,TSA Q,561
2021-01-01,TSA Q,564
2021-01-02,TSA Q,578
2021-01-03,TSA Q,565
2021-01-04,TSA Q,608
2021-01-05,TSA Q,625
2021-01-06,TSA Q,632
2021-01-07,TSA Q,637
2020-12-13,Harris,359
2020-12-14,Harris,360
2020-12-15,Harris,382
2020-12-16,Harris,392
2020-12-17,Harris,403
2020-12-18,Harris,370
2020-12-19,Harris,416
2020-12-20,Harris,387
2020-12-21,Harris,390
2020-12-22,Harris,437
2020-12-23,Harris,407
2020-12-24,Harris,409
2020-12-25,Harris,508
2020-12-26,Harris,437
2020-12-27,Harris,438
2020-12-28,Harris,463
2020-12-29,Harris,454
2020-12-30,Harris,462
2020-12-31,Harris,464
2021-01-01,Harris,476
2021-01-02,Harris,481
2021-01-03,Harris,466
2021-01-04,Harris,502
2021-01-05,Harris,522
2021-01-06,Harris,531
2021-01-07,Harris,518
