TSA,"B.1.1.7                                   
                        ALPHA","B.1.351                                   
                        BETA","B.1.617.2                                   
                        DELTA","P.1                                   
                        GAMMA",Date
A,2,0,0,0,2021-08-06
B,7,1,2,0,2021-08-06
D,4,0,0,0,2021-08-06
E,416,9,7,15,2021-08-06
F,2,0,0,0,2021-08-06
G,10,0,0,0,2021-08-06
H,10,0,0,1,2021-08-06
I,52,0,0,1,2021-08-06
J,13,0,1,1,2021-08-06
K,1,0,0,0,2021-08-06
L,94,0,0,1,2021-08-06
M,33,0,0,0,2021-08-06
N,56,0,0,1,2021-08-06
O,211,1,0,4,2021-08-06
P,156,1,3,5,2021-08-06
Q,939,4,6,24,2021-08-06
R,379,1,5,14,2021-08-06
S,3,0,0,0,2021-08-06
T,2,0,0,0,2021-08-06
U,47,0,0,0,2021-08-06
V,42,0,1,10,2021-08-06
Pending patient info from lab,"4,657",8,"1,698",280,2021-08-06
