1,A,Panhandle RAC,Armstrong, Briscoe, Carson, Childress, Collingsworth, Dallam, Deaf Smith, Donley, Gray, Hall, Hansford, Hartley, Hemphill, Hutchinson, Lipscomb, Moore, Ochiltree, Oldham, Parmer, Potter, Randall, Roberts, Sherman, Swisher, Wheeler
2,B,BRAC,Bailey, Borden, Castro, Cochran, Cottle, Crosby, Dawson, Dickens, Floyd, Gaines, Garza, Hale, Hockley, Kent, King, Lamb, Lubbock, Lynn, Motley, Scurry, Terry, Yoakum,,,
3,C,North Texas RAC,Archer, Baylor, Clay, Foard, Hardeman, Jack, Montague, Wichita, Wilbarger, Young,,,,,,,,,,,,,,,
4,D,Big Country RAC,Brown, Callahan, Coleman, Comanche, Eastland, Fisher, Haskell, Jones, Knox, Mitchell, Nolan, Shackelford, Stephens, Stonewall, Taylor, Throckmorton,,,,,,,,,
5,E,North Central Texas RAC,Collin, Cooke, Dallas, Denton, Ellis, Erath, Fannin, Grayson, Hood, Hunt, Johnson, Kaufman, Navarro, Palo Pinto, Parker, Rockwall, Somervell, Tarrant, Wise,,,,,,
6,F,Northeast Texas RAC,Bowie, Cass, Delta, Hopkins, Lamar, Morris, Red River, Titus,,,,,,,,,,,,,,,,,
7,G,Piney Woods RAC,Anderson, Camp, Cherokee, Franklin, Freestone, Gregg, Harrison, Henderson, Houston, Marion, Panola, Rains, Rusk, Shelby, Smith, Trinity, Upshur, Van Zandt, Wood,,,,,,
8,H,Deep East Texas RAC,Angelina, Nacogdoches, Polk, Sabine, San Augustine, San Jacinto, Tyler,,,,,,,,,,,,,,,,,,
9,I,Border RAC,Culberson, El Paso, Hudspeth,,,,,,,,,,,,,,,,,,,,,,
10,J,"Texas ""J"" RAC",Andrews, Brewster, Crane, Ector, Glasscock, Howard, Jeff Davis, Loving, Martin, Midland, Pecos, Presidio, Reeves, Terrell, Upton, Ward, Winkler,,,,,,,,
11,K,Concho Valley RAC,Coke, Concho, Crockett, Irion, Kimble, Mason, McCulloch, Menard, Reagan, Runnels, Schleicher, Sterling, Sutton, Tom Green,,,,,,,,,,,
12,L,Central Texas RAC,Bell, Coryell, Falls, Hamilton, Lampasas, Milam, Mills,,,,,,,,,,,,,,,,,,
13,M,Heart of Texas RAC,Bosque, Hill, Limestone, McLennan,,,,,,,,,,,,,,,,,,,,,
14,N,Brazos Valley RAC,Brazos, Burleson, Grimes, Leon, Madison, Robertson, Washington,,,,,,,,,,,,,,,,,,
15,O,Capital Area Trauma RAC,Bastrop, Blanco, Burnet, Caldwell, Fayette, Hays, Lee, Llano, San Saba, Travis, Williamson,,,,,,,,,,,,,,
16,P,Southwest Texas RAC,Atascosa, Bandera, Bexar, Comal, Dimmit, Edwards, Frio, Gillespie, Gonzales, Guadalupe, Karnes, Kendall, Kerr, Kinney, La Salle, Maverick, Medina, Real, Uvalde, Val Verde, Wilson,Zavala,,,
17,Q,Southeast Texas Trauma RAC,Austin, Colorado, Fort Bend, Harris, Matagorda, Montgomery, Walker, Waller, Wharton,,,,,,,,,,,,,,,,
18,R,East Texas Gulf Coast RAC,Brazoria, Chambers, Galveston, Hardin, Jasper, Jefferson, Liberty, Newton, Orange,,,,,,,,,,,,,,,,
19,S,Golden Crescent RAC,Calhoun, DeWitt, Goliad, Jackson, Lavaca, Victoria,,,,,,,,,,,,,,,,,,,
20,T,Seven Flags RAC,Jim Hogg, Webb, Zapata,,,,,,,,,,,,,,,,,,,,,,
21,U,Coastal Bend RAC,Aransas, Bee, Brooks, Duval, Jim Wells, Kenedy, Kleberg, Live Oak, McMullen, Nueces, Refugio, San Patricio,,,,,,,,,,,,,
22,V,Lower Rio Grande Valley RAC,Cameron, Hidalgo, Starr, Willacy,,,,,,,,,,,,,,,,,,,,,
