"PHR","Date","Rt","lower","upper"
"1 - Lubbock PHR",2020-03-20,6.65333345247524,3.5,10.5
"1 - Lubbock PHR",2020-03-21,2.88718158990907,0.777777777777778,4.66666666666667
"1 - Lubbock PHR",2020-03-22,2.69352548793028,0,4.66666666666667
"1 - Lubbock PHR",2020-03-23,2.7084770369635,0.636363636363636,5.09090909090909
"1 - Lubbock PHR",2020-03-24,2.35695086894641,1,3.66666666666667
"1 - Lubbock PHR",2020-03-25,2.28691416557522,0.875,3.5
"1 - Lubbock PHR",2020-03-26,2.08774389536587,0.972222222222222,3.11111111111111
"1 - Lubbock PHR",2020-03-27,2.039230206932,1.05,2.975
"1 - Lubbock PHR",2020-03-28,2.00743120492831,1.14285714285714,3
"1 - Lubbock PHR",2020-03-29,1.92462597087072,1.07692307692308,2.69230769230769
"1 - Lubbock PHR",2020-03-30,1.85880421304179,1.15189873417722,2.56962025316456
"1 - Lubbock PHR",2020-03-31,1.79812531355474,1.16666666666667,2.40625
"1 - Lubbock PHR",2020-04-01,1.69840287361564,1.20491803278689,2.23770491803279
"1 - Lubbock PHR",2020-04-02,1.61579999919142,1.08450704225352,2.07042253521127
"1 - Lubbock PHR",2020-04-03,1.53358067173775,1.06060606060606,1.95151515151515
"1 - Lubbock PHR",2020-04-04,1.4595865079872,1.05376344086022,1.84408602150538
"1 - Lubbock PHR",2020-04-05,1.36144093070152,0.976744186046512,1.72558139534884
"1 - Lubbock PHR",2020-04-06,1.31551580675012,0.92018779342723,1.67605633802817
"1 - Lubbock PHR",2020-04-07,1.29516849704441,0.944186046511628,1.69302325581395
"1 - Lubbock PHR",2020-04-08,1.28793075544734,0.882882882882883,1.63963963963964
"1 - Lubbock PHR",2020-04-09,1.25552478743689,0.903225806451613,1.55241935483871
"1 - Lubbock PHR",2020-04-10,1.22352143571328,0.888461538461539,1.50836538461538
"1 - Lubbock PHR",2020-04-11,1.21421598631458,0.875,1.55859375
"1 - Lubbock PHR",2020-04-12,1.24081106996147,0.889344262295082,1.57786885245902
"1 - Lubbock PHR",2020-04-13,1.23974800146861,0.91970802919708,1.55839416058394
"1 - Lubbock PHR",2020-04-14,1.22931732886714,0.931740614334471,1.52901023890785
"1 - Lubbock PHR",2020-04-15,1.24514256187606,0.923611111111111,1.57986111111111
"1 - Lubbock PHR",2020-04-16,1.25784199137337,0.937908496732026,1.55612745098039
"1 - Lubbock PHR",2020-04-17,1.24866554549703,0.96764705882353,1.54411764705882
"1 - Lubbock PHR",2020-04-18,1.24197921447044,0.962991573033708,1.53370786516854
"1 - Lubbock PHR",2020-04-19,1.23513901403676,0.956635388739946,1.5205764075067
"1 - Lubbock PHR",2020-04-20,1.24064706551099,0.978891820580475,1.49604221635884
"1 - Lubbock PHR",2020-04-21,1.24891391593988,0.991962025316456,1.52405063291139
"1 - Lubbock PHR",2020-04-22,1.24370720525777,1.01598360655738,1.52459016393443
"1 - Lubbock PHR",2020-04-23,1.25748469707004,0.983606557377049,1.52459016393443
"1 - Lubbock PHR",2020-04-24,1.29235974848152,1.02797202797203,1.56643356643357
"1 - Lubbock PHR",2020-04-25,1.30389122456082,1.04928131416838,1.5523613963039
"1 - Lubbock PHR",2020-04-26,1.2751116407004,1.04753521126761,1.49119718309859
"1 - Lubbock PHR",2020-04-27,1.2797208200078,1.05496453900709,1.50208333333333
"1 - Lubbock PHR",2020-04-28,1.25367160138717,1.04041471048513,1.45696400625978
"1 - Lubbock PHR",2020-04-29,1.25799235746347,1.04861987381703,1.45741324921136
"1 - Lubbock PHR",2020-04-30,1.24768760260452,1.05426829268293,1.46628407460545
"1 - Lubbock PHR",2020-05-01,1.21662300883783,1.03870967741936,1.40903225806452
"1 - Lubbock PHR",2020-05-02,1.17516675739546,0.997604790419162,1.34991017964072
"1 - Lubbock PHR",2020-05-03,1.14384707097714,0.969483568075117,1.31455399061033
"1 - Lubbock PHR",2020-05-04,1.10647482400193,0.942760942760943,1.28058361391695
"1 - Lubbock PHR",2020-05-05,1.07722062637529,0.9082774049217,1.24516219239374
"1 - Lubbock PHR",2020-05-06,1.04151879564464,0.876906318082789,1.19716775599129
"1 - Lubbock PHR",2020-05-07,1.01425731957186,0.858221850613155,1.17056856187291
"1 - Lubbock PHR",2020-05-08,0.997573636652929,0.831199068684517,1.17345750873108
"1 - Lubbock PHR",2020-05-09,1.0013684054764,0.821969696969697,1.17550505050505
"1 - Lubbock PHR",2020-05-10,1.02063745505797,0.852503382949932,1.20297699594046
"1 - Lubbock PHR",2020-05-11,1.07322076616346,0.872340425531915,1.26595744680851
"1 - Lubbock PHR",2020-05-12,1.15204518685811,0.92515923566879,1.35987261146497
"1 - Lubbock PHR",2020-05-13,1.18022440103588,0.984654731457801,1.3695652173913
"1 - Lubbock PHR",2020-05-14,1.21761179541736,1.03194103194103,1.41031941031941
"1 - Lubbock PHR",2020-05-15,1.29274000956455,1.11325301204819,1.47590361445783
"1 - Lubbock PHR",2020-05-16,1.1200651915525,1.00134952766532,1.24235829959514
"1 - Lubbock PHR",2020-05-17,1.005008973733,0.883236698499318,1.1268758526603
"1 - Lubbock PHR",2020-05-18,0.892280106835677,0.776620989304813,1.00145387700535
"1 - Lubbock PHR",2020-05-19,0.786194841854029,0.674931129476584,0.887052341597796
"1 - Lubbock PHR",2020-05-20,0.702631631227722,0.592763664357198,0.824480369515012
"1 - Lubbock PHR",2020-05-21,0.622092036402348,0.511904761904762,0.738095238095238
"1 - Lubbock PHR",2020-05-22,0.515189441760778,0.409506398537477,0.614259597806216
"1 - Lubbock PHR",2020-05-23,0.553380556102089,0.37378640776699,0.747572815533981
"1 - Lubbock PHR",2020-05-24,0.597997197451628,0.389972144846797,0.799442896935933
"1 - Lubbock PHR",2020-05-25,0.646514781902675,0.426829268292683,0.875
