"TSA","Date","Rt","lower","upper"
"A - Amarillo",2020-03-21,2.57723016779656,0,1.75
"A - Amarillo",2020-03-22,2.10176121165074,0,1.75
"A - Amarillo",2020-03-23,1.99615716287417,0,3.5
"A - Amarillo",2020-03-24,1.8654222977073,0,2.8
"A - Amarillo",2020-03-25,1.85325819593737,0,2.8
"A - Amarillo",2020-03-26,1.9133879707896,0,4.2
"A - Amarillo",2020-03-27,2.03723219817542,0,4.2
"A - Amarillo",2020-03-28,2.35236812732688,0,5.25
"A - Amarillo",2020-03-29,2.4405536438748,0,4.375
"A - Amarillo",2020-03-30,2.34141954374087,0.538461538461539,3.76923076923077
"A - Amarillo",2020-03-31,2.5372936243773,0.583333333333333,4.08333333333333
"A - Amarillo",2020-04-01,2.67885659957886,0.777777777777778,4.27777777777778
"A - Amarillo",2020-04-02,2.27466331064596,1.19512195121951,3.24390243902439
"A - Amarillo",2020-04-03,2.01814969082376,1.14545454545455,2.8
"A - Amarillo",2020-04-04,1.86461223135947,1.04477611940299,2.61455223880597
"A - Amarillo",2020-04-05,1.63913309115117,1,2.23076923076923
"A - Amarillo",2020-04-06,1.52254879739701,0.947916666666667,2.11458333333333
"A - Amarillo",2020-04-07,1.46890440421802,0.919191919191919,2.05050505050505
"A - Amarillo",2020-04-08,1.39160570100846,0.859649122807018,1.90350877192982
"A - Amarillo",2020-04-09,1.32551436555083,0.860655737704918,1.83606557377049
"A - Amarillo",2020-04-10,1.27059818645326,0.771653543307087,1.70866141732283
"A - Amarillo",2020-04-11,1.2353646395614,0.777777777777778,1.72222222222222
"A - Amarillo",2020-04-12,1.27543853446138,0.719626168224299,1.83177570093458
"A - Amarillo",2020-04-13,1.36380728110556,0.777777777777778,1.97979797979798
"A - Amarillo",2020-04-14,1.36131377131315,0.894736842105263,1.84210526315789
"A - Amarillo",2020-04-15,1.40628798907366,0.875,1.859375
"A - Amarillo",2020-04-16,1.461536827417,0.926470588235294,2.00735294117647
"A - Amarillo",2020-04-17,1.49527164446416,1.01898734177215,1.9493670886076
"A - Amarillo",2020-04-18,1.50226653758793,1.05376344086022,1.95698924731183
"A - Amarillo",2020-04-19,1.49686717340114,1.08450704225352,1.90610328638498
"A - Amarillo",2020-04-20,1.46303390545196,1.09638554216868,1.79919678714859
"A - Amarillo",2020-04-21,1.46333147209701,1.05813953488372,1.84496124031008
"A - Amarillo",2020-04-22,1.4528270531372,1.11418685121107,1.7923875432526
"A - Amarillo",2020-04-23,1.45371183660282,1.12903225806452,1.78387096774194
"A - Amarillo",2020-04-24,1.47224854437546,1.16666666666667,1.8030303030303
"A - Amarillo",2020-04-25,1.47314578325081,1.1753937007874,1.76377952755906
"A - Amarillo",2020-04-26,1.41162822620288,1.16913319238901,1.65750528541226
"A - Amarillo",2020-04-27,1.40014777280831,1.14225941422594,1.65481171548117
"A - Amarillo",2020-04-28,1.34901440442956,1.12299465240642,1.56002673796791
"A - Amarillo",2020-04-29,1.33412753528677,1.10720562390158,1.5377855887522
"A - Amarillo",2020-04-30,1.30230232462998,1.08962264150943,1.50813679245283
"A - Amarillo",2020-05-01,1.25798691636355,1.06670227920228,1.45584045584046
"A - Amarillo",2020-05-02,1.20210922285449,1.01701570680628,1.39267015706806
"A - Amarillo",2020-05-03,1.16280907722654,0.993548387096774,1.35483870967742
"A - Amarillo",2020-05-04,1.11889787142819,0.933333333333333,1.28765432098765
"A - Amarillo",2020-05-05,1.08587413830378,0.899876390605686,1.26328800988875
"A - Amarillo",2020-05-06,1.04974198813323,0.866504854368932,1.20652305825243
"A - Amarillo",2020-05-07,1.02680384643927,0.860727728983689,1.19447929736512
"A - Amarillo",2020-05-08,1.00810136189693,0.844672657252888,1.18613607188703
"A - Amarillo",2020-05-09,1.00866937984202,0.832641770401107,1.19087136929461
"A - Amarillo",2020-05-10,1.02762519093249,0.816143497757848,1.21375186846039
"A - Amarillo",2020-05-11,1.08253866493029,0.864636209813875,1.27918781725888
"A - Amarillo",2020-05-12,1.16461307862693,0.955673758865248,1.39007092198582
"A - Amarillo",2020-05-13,1.19703866263427,0.994318181818182,1.38210227272727
"A - Amarillo",2020-05-14,1.23326291596367,1.04812834224599,1.43205213903743
"A - Amarillo",2020-05-15,1.31188586464253,1.10381077529566,1.52716819973719
"A - Amarillo",2020-05-16,1.12035008863077,0.992165242165242,1.2514245014245
"A - Amarillo",2020-05-17,0.993144104845926,0.865564342199856,1.10711718188354
"A - Amarillo",2020-05-18,0.868067556179132,0.747716092761771,0.988879128601546
"A - Amarillo",2020-05-19,0.753104336464547,0.659477720964208,0.869375456537619
"A - Amarillo",2020-05-20,0.656311472555261,0.545897644191714,0.761982128350934
"A - Amarillo",2020-05-21,0.561504946375382,0.457350272232305,0.673321234119782
"A - Amarillo",2020-05-22,0.446964133269053,0.335714285714286,0.550178571428571
"A - Amarillo",2020-05-23,0.486436177952172,0.306397306397306,0.707070707070707
"A - Amarillo",2020-05-24,0.536222637463625,0.315573770491803,0.774590163934426
"A - Amarillo",2020-05-25,0.595181480390162,0.328638497652582,0.854460093896714
"A - Amarillo",2020-05-26,0.677088817807306,0.333333333333333,1
"A - Amarillo",2020-05-27,0.803100941402842,0.408333333333333,1.225
"A - Amarillo",2020-05-28,0.91518436649739,0.567567567567568,1.28648648648649
"A - Amarillo",2020-05-29,1.00211492902458,0.714285714285714,1.315
"A - Amarillo",2020-05-30,1.107880451408,0.78714859437751,1.46184738955823
"A - Amarillo",2020-05-31,1.17649283825882,0.877742946708464,1.47021943573668
"A - Amarillo",2020-06-01,1.28214300194419,0.978260869565218,1.60923913043478
"A - Amarillo",2020-06-02,1.23421948874823,1.00757575757576,1.45833333333333
"A - Amarillo",2020-06-03,1.14522442403459,0.942307692307693,1.34643429487179
"A - Amarillo",2020-06-04,1.0925020089244,0.884927066450567,1.29335494327391
"A - Amarillo",2020-06-05,1.06268651638965,0.859450726978998,1.24422455573506
"A - Amarillo",2020-06-06,0.914734372750804,0.757687576875769,1.07626076260763
"A - Amarillo",2020-06-07,0.823976701973493,0.65474552957359,0.972489683631362
"A - Amarillo",2020-06-08,0.715395381578624,0.561549100968188,0.852005532503458
"A - Amarillo",2020-06-09,0.660594243630154,0.493827160493827,0.814814814814815
"A - Amarillo",2020-06-10,0.629605915886143,0.449678800856531,0.809421841541756
"A - Amarillo",2020-06-11,0.594450300557649,0.412735849056604,0.792452830188679
"A - Amarillo",2020-06-12,0.531479674723185,0.363861386138614,0.71039603960396
"A - Amarillo",2020-06-13,0.582701659029722,0.288235294117647,0.905882352941177
"A - Amarillo",2020-06-14,0.631436828978531,0.331360946745562,0.911242603550296
"A - Amarillo",2020-06-15,0.675835711060419,0.331360946745562,0.994082840236686
"A - Amarillo",2020-06-16,0.74043053338716,0.383561643835616,1.1027397260274
"A - Amarillo",2020-06-17,0.796238980540913,0.443037974683544,1.15189873417722
"A - Amarillo",2020-06-18,0.838635529908928,0.494117647058824,1.19411764705882
"A - Amarillo",2020-06-19,0.879619319911031,0.538473923144337,1.20121105932198
"A - Amarillo",2020-06-20,0.942601192024845,0.549047385396444,1.32686451470807
"A - Amarillo",2020-06-21,1.0180724646096,0.695422445300742,1.43720638695487
"A - Amarillo",2020-06-22,1.06412391699399,0.66862185467223,1.45523580134544
"A - Amarillo",2020-06-23,1.10122835100878,0.733109741800114,1.43048038368747
"A - Amarillo",2020-06-24,1.12619067344498,0.78173191770226,1.49548714690867
"A - Amarillo",2020-06-25,1.15259013419938,0.817182034319889,1.50512006321181
"A - Amarillo",2020-06-26,1.16278981577794,0.807999052511495,1.52622043252171
"A - Amarillo",2020-06-27,1.14703530914969,0.838239163359964,1.46083454195232
"A - Amarillo",2020-06-28,1.1398206392923,0.838339055052062,1.46033254751004
"A - Amarillo",2020-06-29,1.18122006885113,0.845454047284905,1.50973937015162
"A - Amarillo",2020-06-30,1.22620746315584,0.843093370671724,1.56989800056114
"A - Amarillo",2020-07-01,1.25761290463445,0.915203888154169,1.56892095112143
"A - Amarillo",2020-07-02,1.22731337159058,0.934081183172957,1.50812425253621
"A - Amarillo",2020-07-03,1.19581264710363,0.924177061755009,1.46662881539382
"A - Amarillo",2020-07-04,1.18411280326298,0.889411038410792,1.45590522821676
"A - Amarillo",2020-07-05,1.18711571309359,0.910019730553523,1.4762542295646
"A - Amarillo",2020-07-06,1.2103604831813,0.910495468264427,1.47753181266688
"A - Amarillo",2020-07-07,1.1703031335773,0.929655371347846,1.42832267862286
"A - Amarillo",2020-07-08,1.12762489676896,0.874859631779166,1.36796233332742
"A - Amarillo",2020-07-09,1.11223879494765,0.863044381078992,1.32776058627537
"A - Amarillo",2020-07-10,1.10923552904115,0.857495312261904,1.34551102674037
"A - Amarillo",2020-07-11,1.09408646067245,0.83369252235421,1.33070152606537
"A - Amarillo",2020-07-12,1.08419329266805,0.851096824598947,1.30113434364396
"A - Amarillo",2020-07-13,1.0769502501312,0.836267010844434,1.30327326365366
"A - Amarillo",2020-07-14,1.08477396262617,0.836822285515488,1.33891565682478
"A - Amarillo",2020-07-15,1.10638379400166,0.848451186131766,1.36791109600836
"A - Amarillo",2020-07-16,1.14502236738558,0.910525036042963,1.37516060590606
"A - Amarillo",2020-07-17,1.19458529953804,0.948742297314664,1.47650491847025
"A - Amarillo",2020-07-18,1.18005130584595,0.94210886653976,1.42743767657539
"A - Amarillo",2020-07-19,1.1850071296153,0.962040492490907,1.42205313559686
"A - Amarillo",2020-07-20,1.18956606944146,0.951645050854669,1.42057159765262
"A - Amarillo",2020-07-21,1.18703561197931,0.946661353241275,1.40054008424737
"A - Amarillo",2020-07-22,1.1424701019718,0.935926228047068,1.33540693514033
"A - Amarillo",2020-07-23,1.09854427189814,0.903279701345965,1.30473734638862
"A - Amarillo",2020-07-24,1.02794641089351,0.836371323785633,1.20691558115901
"A - Amarillo",2020-07-25,1.00515380100993,0.820557240681436,1.20670182453152
"A - Amarillo",2020-07-26,0.977128596580816,0.781372913852462,1.16663101587896
"A - Amarillo",2020-07-27,0.957482973275255,0.748498418338272,1.16317990814086
"A - Amarillo",2020-07-28,0.943598493729262,0.741746872965524,1.16352450661259
"A - Amarillo",2020-07-29,0.956057314401108,0.721059785903313,1.17381825612167
"A - Amarillo",2020-07-30,0.951062143243551,0.723765075221251,1.20039085646451
"A - Amarillo",2020-07-31,0.969260268946233,0.730938905506375,1.21127018626771
"A - Amarillo",2020-08-01,0.975354471567633,0.717756052473385,1.24411049095387
"A - Amarillo",2020-08-02,0.982217559970749,0.682158779011183,1.3023031235668
"A - Amarillo",2020-08-03,0.995858129579046,0.620653797560797,1.39647104451179
"A - Amarillo",2020-08-04,NA,NA,NA
"B - Lubbock",2020-03-20,4.78535417183009,0,7
"B - Lubbock",2020-03-21,3.04848938344815,0,5.6
"B - Lubbock",2020-03-22,3.02382383595726,0,5.6
"B - Lubbock",2020-03-23,3.09160626315594,0,6
"B - Lubbock",2020-03-24,2.57315305955679,0.4375,3.9375
"B - Lubbock",2020-03-25,2.42222181189546,0.7,3.85
"B - Lubbock",2020-03-26,2.11656534677557,1.08828125,3.28125
"B - Lubbock",2020-03-27,2.01919693778975,0.972222222222222,3.11111111111111
"B - Lubbock",2020-03-28,1.91694386320648,0.91304347826087,2.89130434782609
"B - Lubbock",2020-03-29,1.79267980546345,0.949152542372881,2.61016949152542
"B - Lubbock",2020-03-30,1.71988356896284,1.02941176470588,2.36764705882353
