"Level","current_ratio","current_ratio_cat"
"Anderson",2.64285714285714,"(2,2.64]"
"Andrews",1.33333333333333,"(1.1,1.33]"
"Angelina",0.355555555555556,"(0,0.356]"
"Aransas",12,"(8,12]"
"Archer",5.5,"(4,5.5]"
"Armstrong",NA,NA
"Atascosa",0.0833333333333333,"(0,0.0833]"
"Austin",1.5,"(1.1,1.5]"
"Bailey",1,"(0.9,1]"
"Bandera",NA,NA
"Bastrop",0.948717948717949,"(0.9,0.949]"
"Baylor",5.33333333333333,"(4,5.33]"
"Bee",4,"(2,4]"
"Bell",0.938888888888889,"(0.9,0.939]"
"Bexar",0.786694825765576,"(0.5,0.787]"
"Blanco",4,"(2,4]"
"Bosque",0.730769230769231,"(0.5,0.731]"
"Bowie",0.949367088607595,"(0.9,0.949]"
"Brazoria",0.67595818815331,"(0.5,0.676]"
"Brazos",1.27177700348432,"(1.1,1.27]"
"Brewster",1.25,"(1.1,1.25]"
"Briscoe",0.333333333333333,"(0,0.333]"
"Brooks",1,"(0.9,1]"
"Brown",0.666666666666667,"(0.5,0.667]"
"Burleson",2.36363636363636,"(2,2.36]"
"Burnet",1.16129032258065,"(1.1,1.16]"
"Caldwell",0.961038961038961,"(0.9,0.961]"
"Calhoun",1,"(0.9,1]"
"Callahan",0.3,"(0,0.3]"
"Cameron",0.809859154929577,"(0.5,0.81]"
"Camp",0.75,"(0.5,0.75]"
"Carson",1.14285714285714,"(1.1,1.14]"
"Cass",1.41176470588235,"(1.1,1.41]"
"Castro",0.444444444444444,"(0,0.444]"
"Chambers",0.942028985507246,"(0.9,0.942]"
"Cherokee",0.416666666666667,"(0,0.417]"
"Childress",0.857142857142857,"(0.5,0.857]"
"Clay",1.33333333333333,"(1.1,1.33]"
"Cochran",1,"(0.9,1]"
"Coke",1,"(0.9,1]"
"Coleman",0.375,"(0,0.375]"
"Collin",0.964338781575037,"(0.9,0.964]"
"Collingsworth",NA,NA
"Colorado",1.25,"(1.1,1.25]"
"Comal",0.220338983050847,"(0,0.22]"
"Comanche",1.41666666666667,"(1.1,1.42]"
"Concho",0.333333333333333,"(0,0.333]"
