"Level","current_ratio","current_ratio_cat","Level_Type","County","TSA","PHR","Metro","State"
"Anderson",0.556561085972851,"(0.5,0.9]","County","Anderson","","","",""
"Andrews",1.8,"(1.5,2]","County","Andrews","","","",""
"Angelina",1.57587548638132,"(1.5,2]","County","Angelina","","","",""
"Aransas",0.972222222222222,"(0.9,1.1]","County","Aransas","","","",""
"Archer",NA,NA,"County","Archer","","","",""
"Armstrong",NA,NA,"County","Armstrong","","","",""
"Atascosa",0.475,"(0,0.5]","County","Atascosa","","","",""
"Austin",0.925925925925926,"(0.9,1.1]","County","Austin","","","",""
"Bailey",NA,NA,"County","Bailey","","","",""
"Bandera",NA,NA,"County","Bandera","","","",""
"Bastrop",0.707865168539326,"(0.5,0.9]","County","Bastrop","","","",""
"Baylor",NA,NA,"County","Baylor","","","",""
"Bee",2.43243243243243,"(2,4]","County","Bee","","","",""
"Bell",0.628366247755835,"(0.5,0.9]","County","Bell","","","",""
"Bexar",1.0826969640529,"(0.9,1.1]","County","Bexar","","","",""
"Blanco",0.5,"(0,0.5]","County","Blanco","","","",""
"Borden",NA,NA,"County","Borden","","","",""
"Bosque",1.69565217391304,"(1.5,2]","County","Bosque","","","",""
"Bowie",0.650943396226415,"(0.5,0.9]","County","Bowie","","","",""
"Brazoria",0.631059983566146,"(0.5,0.9]","County","Brazoria","","","",""
"Brazos",0.764563106796116,"(0.5,0.9]","County","Brazos","","","",""
"Brewster",1.36363636363636,"(1.1,1.5]","County","Brewster","","","",""
"Briscoe",NA,NA,"County","Briscoe","","","",""
"Brooks",1.33333333333333,"(1.1,1.5]","County","Brooks","","","",""
"Brown",0.372549019607843,"(0,0.5]","County","Brown","","","",""
"Burleson",1,"(0.9,1.1]","County","Burleson","","","",""
"Burnet",0.766666666666667,"(0.5,0.9]","County","Burnet","","","",""
"Caldwell",0.885245901639344,"(0.5,0.9]","County","Caldwell","","","",""
"Calhoun",2.79365079365079,"(2,4]","County","Calhoun","","","",""
"Callahan",NA,NA,"County","Callahan","","","",""
"Cameron",0.950417280314187,"(0.9,1.1]","County","Cameron","","","",""
"Camp",0.888888888888889,"(0.5,0.9]","County","Camp","","","",""
"Carson",NA,NA,"County","Carson","","","",""
"Cass",1.56666666666667,"(1.5,2]","County","Cass","","","",""
"Castro",0.227272727272727,"(0,0.5]","County","Castro","","","",""
"Chambers",1.05555555555556,"(0.9,1.1]","County","Chambers","","","",""
"Cherokee",1.264,"(1.1,1.5]","County","Cherokee","","","",""
"Childress",NA,NA,"County","Childress","","","",""
"Clay",NA,NA,"County","Clay","","","",""
"Cochran",NA,NA,"County","Cochran","","","",""
"Coke",NA,NA,"County","Coke","","","",""
"Coleman",NA,NA,"County","Coleman","","","",""
"Collin",0.566105769230769,"(0.5,0.9]","County","Collin","","","",""
"Collingsworth",NA,NA,"County","Collingsworth","","","",""
"Colorado",1.23076923076923,"(1.1,1.5]","County","Colorado","","","",""
"Comal",0.739938080495356,"(0.5,0.9]","County","Comal","","","",""
"Comanche",2.11111111111111,"(2,4]","County","Comanche","","","",""
"Concho",NA,NA,"County","Concho","","","",""
"Cooke",1.57575757575758,"(1.5,2]","County","Cooke","","","",""
"Coryell",3.34285714285714,"(2,4]","County","Coryell","","","",""
"Cottle",NA,NA,"County","Cottle","","","",""
"Crane",NA,NA,"County","Crane","","","",""
"Crockett",0.639344262295082,"(0.5,0.9]","County","Crockett","","","",""
"Crosby",NA,NA,"County","Crosby","","","",""
"Culberson",NA,NA,"County","Culberson","","","",""
"Dallam",0.9,"(0.5,0.9]","County","Dallam","","","",""
"Dallas",0.762374934175882,"(0.5,0.9]","County","Dallas","","","",""
"Dawson",0.695652173913043,"(0.5,0.9]","County","Dawson","","","",""
"Deaf Smith",2.36666666666667,"(2,4]","County","Deaf Smith","","","",""
"Delta",NA,NA,"County","Delta","","","",""
"Denton",1.21684210526316,"(1.1,1.5]","County","Denton","","","",""
"DeWitt",1.3265306122449,"(1.1,1.5]","County","DeWitt","","","",""
"Dickens",NA,NA,"County","Dickens","","","",""
"Dimmit",1.72222222222222,"(1.5,2]","County","Dimmit","","","",""
"Donley",NA,NA,"County","Donley","","","",""
"Duval",0.92,"(0.9,1.1]","County","Duval","","","",""
"Eastland",NA,NA,"County","Eastland","","","",""
"Ector",0.955882352941177,"(0.9,1.1]","County","Ector","","","",""
"Edwards",NA,NA,"County","Edwards","","","",""
"El Paso",0.808046534173534,"(0.5,0.9]","County","El Paso","","","",""
