"Level","current_ratio","current_ratio_cat"
"A - Amarillo",2.80147058823529,"(2,2.8]"
"B - Lubbock",1.30054221533695,"(1.1,1.3]"
"C - Wichita Falls",0.962457337883959,"(0.9,0.962]"
"D - Abilene",1.05555555555556,"(0.9,1.06]"
"E - Dallas/Ft. Worth",1.17965217391304,"(1.1,1.18]"
"F - Paris",0.787790697674419,"(0.5,0.788]"
"G - Longview/Tyler",0.858361774744027,"(0.5,0.858]"
"H - Lufkin",0.977777777777778,"(0.9,0.978]"
"I - El Paso",1.51351351351351,"(1.5,1.51]"
"J - Midland/Odessa",1.3452380952381,"(1.1,1.35]"
"K - San Angelo",0.858156028368794,"(0.5,0.858]"
"L - Belton/Killeen",1.21221864951768,"(1.1,1.21]"
"M - Waco",0.918871252204586,"(0.9,0.919]"
"N - Bryan/College Station",1.21818181818182,"(1.1,1.22]"
"O - Austin",0.799524564183835,"(0.5,0.8]"
"P - San Antonio",0.980529595015576,"(0.9,0.981]"
"Q - Houston",1.13677950594693,"(1.1,1.14]"
"R - Galveston",0.746651785714286,"(0.5,0.747]"
"S - Victoria",1.00970873786408,"(0.9,1.01]"
"T - Laredo",0.844155844155844,"(0.5,0.844]"
"U - Corpus Christi",1.31380753138075,"(1.1,1.31]"
"V - Lower Rio Grande Valley",0.86404833836858,"(0.5,0.864]"
