"County","Date","Data_Type","cases_percentdiff","tests_percentdiff","cases_percentdiff_spline","cases_percentdiff_spline_lower","cases_percentdiff_spline_upper","tests_percentdiff_spline","tests_percentdiff_spline_lower","tests_percentdiff_spline_upper"
"Anderson",2020-04-22,"Raw",0,0,-26.8083124849113,-959.391984435967,905.775359466145,-378.636415808288,-2106.35584985942,1349.08301824284
"Anderson",2020-04-23,"Raw",-100,25,-15.8208449834242,-931.479603304589,899.837913337741,-348.653286771734,-2025.06871152769,1327.76213798422
"Anderson",2020-04-24,"Raw",-50,166.666666666667,-4.83246008529827,-903.856795855029,894.191875684432,-318.643211828769,-1945.13031734066,1307.84389368312
"Anderson",2020-04-25,"Raw",-100,-33.3333333333333,6.15775960610516,-876.542843564462,888.858362776672,-288.579245072983,-1866.67211933704,1289.51362919107
"Anderson",2020-04-26,"Raw",-50,-100,17.1507314874257,-849.55576349719,883.857226472041,-258.434440597964,-1789.81820050959,1272.94931931366
"Anderson",2020-04-27,"Raw",-75,91.6666666666667,28.147372955302,-822.912163176402,879.206909087006,-228.181852497302,-1714.68292824259,1258.31922324799
"Anderson",2020-04-28,"Raw",0,-100,39.1486014063728,-796.627102223907,874.924305036653,-197.794534864586,-1641.36836708429,1245.77929735512
"Anderson",2020-04-29,"Raw",-100,208.333333333333,50.1553342372771,-770.713963984642,871.024632459196,-167.245541793405,-1569.96150135006,1235.47041776325
"Anderson",2020-04-30,"Raw",50,58.3333333333333,61.1684888446538,-745.184340787554,867.521318476861,-136.507927377348,-1500.531349402,1227.51549464731
"Anderson",2020-05-01,"Raw",-75,-108.333333333333,72.1889826251419,-720.047936895372,864.425902145656,-105.554745710005,-1433.12608569985,1222.01659427984
"Anderson",2020-05-02,"Raw",-50,25,83.2177329753802,-695.312493542646,861.747959493407,-74.3590508849641,-1367.77032045271,1219.05221868278
"Anderson",2020-05-03,"Raw",-100,-91.6666666666667,94.2556572920078,-670.983740734091,859.495055318107,-42.8938969958148,-1304.46271526587,1218.67492127424
"Anderson",2020-05-04,"Raw",-100,125,105.303672971663,-647.065380655046,857.672726598373,-11.132338136147,-1243.17413119644,1220.90945492415
"Anderson",2020-05-05,"Raw",-50,NA,116.362697410986,-623.55910761725,856.284502439223,20.952571600451,-1183.84650796899,1225.75165116989
"Anderson",2020-05-06,"Raw",0,NA,127.433648006615,-600.464669415564,855.331965428794,53.3877781203893,-1126.39265612867,1233.16821236945
"Anderson",2020-05-07,"Raw",-50,141.666666666667,138.517442155188,-577.779974800278,854.814859110655,86.2002273300796,-1070.69710678966,1243.09756144982
"Anderson",2020-05-08,"Raw",-75,208.333333333333,149.614997253346,-555.501251478117,854.731245984808,119.416865135932,-1016.61810920674,1255.4518394786
"Anderson",2020-05-09,"Raw",-100,58.3333333333333,160.727230697726,-533.623258652683,855.077720048134,153.064637444357,-963.990801223934,1270.12007611265
"Anderson",2020-05-10,"Raw",-100,175,171.855059884967,-512.13955761793,855.849677387865,187.170490161767,-912.631511072977,1286.97249139651
"Anderson",2020-05-11,"Raw",-100,16.6666666666667,182.99940221171,-491.042843346103,857.041647769522,221.761369194571,-862.343091265373,1305.86582965452
"Anderson",2020-05-12,"Raw",125,416.666666666667,194.161175074591,-470.325339384467,858.647689533649,256.864220449181,-812.921145379775,1326.64958627814
"Anderson",2020-05-13,"Raw",-100,16.6666666666667,205.341295870251,-449.979257708941,860.661849449443,292.505989832007,-764.16099199456,1349.17297165857
"Anderson",2020-05-14,"Raw",-75,83.3333333333333,216.540681995329,-429.997324482805,863.078688473463,328.713623249461,-715.865217926882,1373.2924644258
"Anderson",2020-05-15,"Raw",-75,-83.3333333333333,227.759894762326,-410.375161086345,865.894950610996,365.511854089013,-667.870421617268,1398.89412979529
"Anderson",2020-05-16,"Raw",-50,0,238.9980711472,-391.117188429442,869.113330723842,402.91656566238,-620.110025080841,1425.9431564056
"Anderson",2020-05-17,"Raw",-100,75,250.25399204177,-372.231171688346,872.739155771887,440.941428762336,-572.556942162242,1454.43979968691
"Anderson",2020-05-18,"Raw",-100,1158.33333333333,261.526438337859,-353.725894084963,876.77877076068,479.600114181659,-525.198951650769,1484.39918001409
