"PHR","Date","Data_Type","cases_percentdiff","tests_percentdiff","cases_percentdiff_spline","cases_percentdiff_spline_lower","cases_percentdiff_spline_upper","tests_percentdiff_spline","tests_percentdiff_spline_lower","tests_percentdiff_spline_upper"
"1 - Lubbock PHR",2020-04-22,"Raw",0,0,106.176334767515,-27.029350832375,239.382020367405,-126.031705285108,-164.11759064498,-87.9458199252357
"1 - Lubbock PHR",2020-04-23,"Raw",20.6349206349206,-74.0644038294169,103.22506238325,-25.3506496752003,231.800774441701,-126.863025618946,-164.434251139094,-89.2918000987969
"1 - Lubbock PHR",2020-04-24,"Raw",22.2222222222222,-179.547432550044,100.279696248826,-23.7297039028232,224.289096400476,-127.694356201018,-164.75625659338,-90.6324558086561
"1 - Lubbock PHR",2020-04-25,"Raw",69.8412698412698,-118.973020017406,97.3461426140847,-22.1705768780943,216.862862106264,-128.525707279561,-165.083930866471,-91.9674836926503
"1 - Lubbock PHR",2020-04-26,"Raw",107.936507936508,-109.399477806789,94.430307728866,-20.6778605393754,209.538475997107,-129.357089102808,-165.41759249649,-93.2965857091271
"1 - Lubbock PHR",2020-04-27,"Raw",-26.984126984127,-125.935596170583,91.5380978430114,-19.2567135683347,202.332909254357,-130.188511918996,-165.757553916834,-94.6194699211576
"1 - Lubbock PHR",2020-04-28,"Raw",120.634920634921,-106.875543951262,88.6754192063618,-17.9128939424721,195.263732355196,-131.019985976358,-166.104120632454,-95.9358513202634
"1 - Lubbock PHR",2020-04-29,"Raw",-7.93650793650794,-108.181026979983,85.8481780687584,-16.652781384341,188.349137521858,-131.851521523131,-166.457590357672,-97.2454526885903
"1 - Lubbock PHR",2020-04-30,"Raw",120.634920634921,-114.360313315927,83.0622806800422,-15.4833836122509,181.607944972335,-132.683128807549,-166.81825211732,-98.5480054977772
"1 - Lubbock PHR",2020-05-01,"Raw",146.031746031746,-108.355091383812,80.323633290054,-14.4123183930687,175.059584973177,-133.514818077846,-167.186385313686,-99.8432508420061
"1 - Lubbock PHR",2020-05-02,"Raw",165.079365079365,-114.621409921671,77.638142148635,-13.4477612955828,168.724045592853,-134.346599582259,-167.562258762647,-101.13094040187
"1 - Lubbock PHR",2020-05-03,"Raw",134.920634920635,-100.348128807659,75.0117135056261,-12.5983469723193,162.621773983572,-135.178483569021,-167.946129703262,-102.410837434779
"1 - Lubbock PHR",2020-05-04,"Raw",34.9206349206349,-153.002610966057,72.4502536108685,-11.8730101781253,156.773517399862,-136.010480286368,-168.338242786098,-103.682717786638
"1 - Lubbock PHR",2020-05-05,"Raw",125.396825396825,-100,69.959668714203,-11.2807522258428,151.200089654249,-136.842599982536,-168.7388290466,-104.946370918472
