"Level","Date","Data_Type","cases_percentdiff","tests_percentdiff","cases_percentdiff_spline","cases_percentdiff_spline_lower","cases_percentdiff_spline_upper","tests_percentdiff_spline","tests_percentdiff_spline_lower","tests_percentdiff_spline_upper","Level_Type"
"Anderson",2020-04-22,"Raw",0,0,180.38566860511,-554.309044920005,915.080382130226,-182.432942028553,-1694.61578428026,1329.74990022315,"County"
"Anderson",2020-04-23,"Raw",-100,25,185.68764798761,-538.656781529196,910.032077504416,-152.888900457568,-1630.99547421766,1325.21767330252,"County"
"Anderson",2020-04-24,"Raw",-50,166.666666666667,190.990255020761,-523.192738340556,905.173248382078,-123.334503270222,-1568.06418740104,1321.39518086059,"County"
"Anderson",2020-04-25,"Raw",-100,-33.3333333333333,196.294117355215,-507.926230055813,900.514464766243,-93.7593948501558,-1505.87441547601,1318.3556257757,"County"
"Anderson",2020-04-26,"Raw",-50,-100,201.599862641624,-492.865822483769,896.065547767017,-64.153219581006,-1444.47584435927,1316.16940519726,"County"
"Anderson",2020-04-27,"Raw",-75,91.6666666666667,206.90811853064,-478.019267724503,891.835504785783,-34.5056218464129,-1383.91477503348,1314.90353134065,"County"
"Anderson",2020-04-28,"Raw",0,-100,212.219512672913,-463.393443145602,887.832468491429,-4.8062460300157,-1324.23351121343,1314.6210191534,"County"
"Anderson",2020-04-29,"Raw",-100,208.333333333333,217.534672719097,-448.994295315479,884.063640753673,24.9552634845473,-1265.46972228936,1315.38024925846,"County"
"Anderson",2020-04-30,"Raw",50,58.3333333333333,222.854226319842,-434.826790148715,880.535242788398,54.7892623136361,-1207.65579315697,1317.23431778424,"County"
"Anderson",2020-05-01,"Raw",-75,-108.333333333333,228.178801125799,-420.894870589686,877.252472841285,84.7061060736124,-1150.8181759477,1320.23038809493,"County"
"Anderson",2020-05-02,"Raw",-50,25,233.509024787622,-407.201423209487,874.219472784731,114.716150380836,-1094.97676209382,1324.4090628555,"County"
"Anderson",2020-05-03,"Raw",-100,-91.6666666666667,238.84552495596,-393.748255113543,871.439305025464,144.829750851669,-1040.14429636065,1329.80379806398,"County"
"Anderson",2020-05-04,"Raw",-100,125,244.188929281467,-380.536082550826,868.91394111376,175.057263102471,-986.32585717355,1336.44038337849,"County"
"Anderson",2020-05-05,"Raw",-50,-100,249.539865414793,-367.564532578485,866.644263408071,205.409042749604,-933.518429458652,1344.33651495786,"County"
"Anderson",2020-05-06,"Raw",0,1016.66666666667,254.89896100659,-354.832159068048,864.630081081227,235.895445409428,-881.710597018617,1353.50148783747,"County"
"Anderson",2020-05-07,"Raw",-50,141.666666666667,260.26684370751,-342.33647424245,862.87016165747,266.526826698304,-830.882380947605,1363.93603434421,"County"
"Anderson",2020-05-08,"Raw",-75,208.333333333333,265.644141168204,-330.073996810206,861.362279146613,297.313542232594,-781.005248619352,1375.63233308454,"County"
"Anderson",2020-05-09,"Raw",-100,58.3333333333333,271.031481039324,-318.040317618682,860.10327969733,328.265947628658,-732.042314362475,1388.57420961979,"County"
"Anderson",2020-05-10,"Raw",-100,175,276.429490971521,-306.230183588753,859.089165531796,359.394398502856,-683.948748229283,1402.737545235,"County"
"Anderson",2020-05-11,"Raw",-100,16.6666666666667,281.838798615448,-294.63760052506,858.315197755957,390.709250471551,-636.672403592067,1418.09090453517,"County"
"Anderson",2020-05-12,"Raw",125,416.666666666667,287.260031621756,-283.255955227281,857.776018470792,422.220859151102,-590.154668125387,1434.59638642759,"County"
"Anderson",2020-05-13,"Raw",-100,16.6666666666667,292.693817641096,-272.078157165559,857.465792447751,453.939580157871,-544.331536605184,1452.21069692093,"County"
"Anderson",2020-05-14,"Raw",-75,83.3333333333333,298.14078432412,-261.096799834159,857.378368482399,485.875769108218,-499.13489844731,1470.88643666375,"County"
"Anderson",2020-05-15,"Raw",-75,-83.3333333333333,303.60155932148,-250.304341766469,857.507460409429,518.039781618504,-454.494028534592,1490.5735917716,"County"
"Anderson",2020-05-16,"Raw",-50,0,309.076770283827,-239.693307084366,857.84684765202,550.441973305092,-410.337267026535,1511.22121363672,"County"
"Anderson",2020-05-17,"Raw",-100,75,314.567044861813,-229.256505365277,858.390595088904,583.092699784339,-366.593872700766,1532.77927226944,"County"
"Anderson",2020-05-18,"Raw",-100,1158.33333333333,320.073004438757,-218.987290586504,859.133299464019,616.002267947588,-323.19617780148,1555.20071369666,"County"
"Anderson",2020-05-19,"Raw",50,116.666666666667,325.594512050721,-208.882217978604,860.071242080047,649.175088958636,-280.098907887315,1578.44908580459,"County"
"Anderson",2020-05-20,"Raw",-75,0,331.129957910583,-198.943461317914,861.20337713908,682.60412360135,-237.297087594937,1602.50533479764,"County"
"Anderson",2020-05-21,"Raw",-50,-8.33333333333334,336.677563013236,-189.17450062763,862.529626654102,716.281017084027,-194.795647743795,1627.35768191185,"County"
"Anderson",2020-05-22,"Raw",-75,208.333333333333,342.235548353576,-179.579357315551,864.050454022703,750.197414614964,-152.603956725491,1652.99878595542,"County"
"Anderson",2020-05-23,"Raw",-50,-100,347.802134926497,-170.162377624803,865.766647477796,784.344961402459,-110.734217362105,1679.42414016702,"County"
"Anderson",2020-05-24,"Raw",-100,383.333333333333,353.375543726892,-160.928027354724,867.679114808509,818.715302654811,-69.1999255816881,1706.63053089131,"County"
"Anderson",2020-05-25,"Raw",-100,-33.3333333333333,358.953995749658,-151.880700003331,869.788691502647,853.300083580317,-28.0144149996138,1734.61458216025,"County"
"Anderson",2020-05-26,"Raw",-100,-58.3333333333333,364.535711989689,-143.024540532166,872.095964511543,888.090949387274,12.8104879814081,1763.37141079314,"County"
"Anderson",2020-05-27,"Raw",-100,-83.3333333333333,370.118913441878,-134.363286973005,874.60111385676,923.079545283982,53.2656738504791,1792.89341671748,"County"
"Anderson",2020-05-28,"Raw",-100,-25,375.70182110112,-125.900132071661,877.303774273901,958.257516478737,93.3458004220549,1823.16923253542,"County"
"Anderson",2020-05-29,"Raw",50,-41.6666666666667,381.282655962311,-117.637607088098,880.202919012719,993.616508179837,133.050161683851,1854.18285467582,"County"
"Anderson",2020-05-30,"Raw",-100,-41.6666666666667,386.859639020343,-109.577489738622,883.296767779308,1029.14816559558,172.383355522671,1885.91297566849,"County"
"Anderson",2020-05-31,"Raw",-100,-91.6666666666667,392.430991270113,-101.720738074026,886.582720614252,1064.84413393427,211.355734672897,1918.33253319563,"County"
"Anderson",2020-06-01,"Raw",-100,500,397.994933706514,-94.0674518404159,890.057319253443,1100.69605840419,249.983629992447,1951.40848681593,"County"
"Anderson",2020-06-02,"Raw",0,8.33333333333333,403.54968732444,-86.6168625749309,893.716237223812,1136.69558421365,288.289340471261,1985.10182795604,"County"
"Anderson",2020-06-03,"Raw",-50,191.666666666667,409.093473118788,-79.3673533583365,897.554299595912,1172.83435657094,326.30088977877,2019.36782336312,"County"
"Anderson",2020-06-04,"Raw",75,200,414.62451208445,-72.3165087952829,901.565532964182,1209.10402068437,364.051554174209,2054.15648719453,"County"
"Anderson",2020-06-05,"Raw",-50,341.666666666667,420.141025216321,-65.4611954374898,905.743245870132,1245.49622176223,401.57917076914,2089.41327275532,"County"
"Anderson",2020-06-06,"Raw",-150,316.666666666667,425.641233509296,-58.7976725221137,910.080139540706,1282.00260501282,438.9252380528,2125.07997197283,"County"
"Anderson",2020-06-07,"Raw",-100,1141.66666666667,431.12335795827,-52.321732582742,914.568448499281,1318.61481564443,476.133821998475,2161.09580929038,"County"
"Anderson",2020-06-08,"Raw",-100,-41.6666666666667,436.585619558136,-46.028871216649,919.200110332921,1355.32449886536,513.250280844193,2197.39871688653,"County"
"Anderson",2020-06-09,"Raw",50,16.6666666666667,442.02623930379,-39.9144850677316,923.966963675311,1392.12329988392,550.319819823872,2233.92677994397,"County"
"Anderson",2020-06-10,"Raw",-100,-100,447.443438190125,-33.974096913076,928.860973293326,1429.0028639084,587.385883906418,2270.61984391037,"County"
"Anderson",2020-06-11,"Raw",0,-41.6666666666667,452.835437212037,-28.203606619387,933.87448104346,1465.95483614709,624.488392303262,2307.42127999092,"County"
"Anderson",2020-06-12,"Raw",-100,-58.3333333333333,458.200457364419,-22.5995666538031,939.000481382642,1502.9708618083,661.661813567165,2344.27991004943,"County"
"Anderson",2020-06-13,"Raw",75,-83.3333333333333,463.536754083253,-17.1596077040074,944.233115870513,1540.04255559344,698.931919193908,2381.15319199298,"County"
"Anderson",2020-06-14,"Raw",-100,3241.66666666667,468.843374949484,-11.8855128781794,949.572262777147,1577.16083054579,736.288354551272,2418.03330654031,"County"
"Anderson",2020-06-15,"Raw",-100,4341.66666666667,474.120159689025,-6.78321579856498,955.023535176615,1614.31589805046,773.684593798105,2454.94720230281,"County"
"Anderson",2020-06-16,"Raw",22075,825,479.366982468875,-1.85972327306092,960.593688210811,1651.49793898568,811.065326373443,2491.93055159791,"County"
"Anderson",2020-06-17,"Raw",-75,100,484.583717456033,2.87731398711065,966.290120924956,1688.69713422969,848.369690479448,2529.02457797993,"County"
"Anderson",2020-06-18,"Raw",225,-16.6666666666667,489.770238817498,7.41988169187721,972.120595943119,1725.90366466073,885.53319441109,2566.27413491036,"County"
"Anderson",2020-06-19,"Raw",0,-16.6666666666667,494.926420720268,11.7598587909795,978.092982649556,1763.10771115703,922.489487398778,2603.72593491527,"County"
"Anderson",2020-06-20,"Raw",-125,8.33333333333333,500.052137331341,15.889249299992,984.21502536269,1800.29945459683,959.171980705393,2641.42692848826,"County"
