"Date","Cases_Raw","Hospitalizations_Daily","CI_Lower","CI_Upper"
2020-03-04,0,0,NA,NA
2020-03-05,0,0,NA,NA
2020-03-06,0,0,NA,NA
2020-03-07,0,0,NA,NA
2020-03-08,0,0,NA,NA
2020-03-09,0,0,NA,NA
2020-03-10,0,0,NA,NA
2020-03-11,0,0,NA,NA
2020-03-12,0,0,NA,NA
2020-03-13,0,0,NA,NA
2020-03-14,0,0,NA,NA
2020-03-15,0,0,NA,NA
2020-03-16,0,0,NA,NA
2020-03-17,0,0,NA,NA
2020-03-18,0,0,NA,NA
2020-03-19,0,0,NA,NA
2020-03-20,0,0,NA,NA
2020-03-21,0,0,NA,NA
2020-03-22,0,0,NA,NA
2020-03-23,0,0,NA,NA
2020-03-24,0,0,NA,NA
2020-03-25,0,0,NA,NA
2020-03-26,0,0,NA,NA
2020-03-27,0,0,NA,NA
2020-03-28,0,0,NA,NA
2020-03-29,0,0,NA,NA
2020-03-30,0,0,NA,NA
2020-03-31,0,0,NA,NA
2020-04-01,0,0,NA,NA
2020-04-02,0,0,NA,NA
2020-04-03,0,0,NA,NA
2020-04-04,0,0,NA,NA
2020-04-05,0,0,NA,NA
2020-04-06,0,0,NA,NA
2020-04-07,0,0,NA,NA
2020-04-08,9471,1353,NA,NA
2020-04-09,4093,1937.71428571429,NA,NA
2020-04-10,3661,2460.71428571429,NA,NA
2020-04-11,4158,3054.71428571429,NA,NA
2020-04-12,4397,3682.85714285714,NA,NA
2020-04-13,3723,4214.71428571429,NA,NA
2020-04-14,3453,4708,NA,NA
2020-04-15,3029,3787.71428571429,NA,NA
2020-04-16,3431,3693.14285714286,NA,NA
2020-04-17,3649,3691.42857142857,NA,NA
2020-04-18,4263,3706.42857142857,NA,NA
2020-04-19,3421,3567,NA,NA
2020-04-20,4070,3616.57142857143,NA,NA
2020-04-21,4439,3757.42857142857,NA,NA
2020-04-22,4234,3929.57142857143,NA,NA
2020-04-23,4437,4073.28571428571,NA,NA
2020-04-24,4294,4165.42857142857,NA,NA
2020-04-25,4250,4163.57142857143,NA,NA
2020-04-26,4067,4255.85714285714,NA,NA
2020-04-27,4141,4266,NA,NA
2020-04-28,4233,4236.57142857143,NA,NA
2020-04-29,4152,4224.85714285714,NA,NA
2020-04-30,4251,4198.28571428571,NA,NA
2020-05-01,4755,4264.14285714286,NA,NA
2020-05-02,4096,4242.14285714286,NA,NA
2020-05-03,3829,4208.14285714286,NA,NA
2020-05-04,3710,4146.57142857143,NA,NA
2020-05-05,3670,4066.14285714286,NA,NA
2020-05-06,4099,4058.57142857143,NA,NA
2020-05-07,3853,4001.71428571429,NA,NA
2020-05-08,4688,3992.14285714286,NA,NA
2020-05-09,4165,4002,NA,NA
2020-05-10,4102,4041,NA,NA
2020-05-11,3954,4075.85714285714,NA,NA
2020-05-12,3996,4122.42857142857,NA,NA
2020-05-13,3307,4009.28571428571,NA,NA
2020-05-14,3677,3984.14285714286,NA,NA
2020-05-15,3117,3759.71428571429,NA,NA
2020-05-16,3386,3648.42857142857,NA,NA
2020-05-17,3152,3512.71428571429,NA,NA
2020-05-18,3518,3450.42857142857,NA,NA
2020-05-19,3743,3414.28571428571,NA,NA
2020-05-20,2767,3337.14285714286,NA,NA
2020-05-21,3283,3280.85714285714,NA,NA
2020-05-22,3404,3321.85714285714,NA,NA
2020-05-23,3071,3276.85714285714,NA,NA
2020-05-24,3036,3260.28571428571,NA,NA
2020-05-25,3760,3294.85714285714,NA,NA
2020-05-26,3819,3305.71428571429,NA,NA
2020-05-27,3553,3418,NA,NA
2020-05-28,3734,3482.42857142857,NA,NA
2020-05-29,3097,3438.57142857143,NA,NA
2020-05-30,3482,3497.28571428571,NA,NA
2020-05-31,2773,3459.71428571429,NA,NA
2020-06-01,4008,3495.14285714286,NA,NA
2020-06-02,3203,3407.14285714286,NA,NA
2020-06-03,3155,3350.28571428571,NA,NA
2020-06-04,3151,3267,NA,NA
2020-06-05,3995,3395.28571428571,NA,NA
2020-06-06,3717,3428.85714285714,NA,NA
2020-06-07,3222,3493,NA,NA
2020-06-08,3946,3484.14285714286,NA,NA
2020-06-09,3539,3532.14285714286,NA,NA
2020-06-10,3640,3601.42857142857,NA,NA
2020-06-11,3836,3699.28571428571,NA,NA
2020-06-12,3526,3632.28571428571,NA,NA
2020-06-13,3213,3560.28571428571,NA,NA
2020-06-14,3216,3559.42857142857,NA,NA
2020-06-15,3649,3517,NA,NA
2020-06-16,3081,3451.57142857143,NA,NA
2020-06-17,3196,3388.14285714286,NA,NA
2020-06-18,3499,3340,NA,NA
2020-06-19,3830,3383.42857142857,NA,NA
2020-06-20,3675,3449.42857142857,NA,NA
