"County","Date","Cases_Daily","CI_Lower","CI_Upper","Order_AutoReg","Order_Moving_Avg","Order_Seasonal_Autoreg","Order_Seasonal_Moving_Avg","Period","Differencing","Differencing_Seasonal"
"Anderson",2020-05-01,NA,NA,NA,0,0,0,0,1,1,0
"Anderson",2020-05-02,NA,NA,NA,0,0,0,0,1,1,0
"Anderson",2020-05-03,NA,NA,NA,0,0,0,0,1,1,0
"Anderson",2020-05-04,NA,NA,NA,0,0,0,0,1,1,0
"Anderson",2020-05-05,NA,NA,NA,0,0,0,0,1,1,0
"Anderson",2020-05-06,NA,NA,NA,0,0,0,0,1,1,0
"Anderson",2020-05-07,1.57142857142857,NA,NA,0,0,0,0,1,1,0
"Anderson",2020-05-08,1.57142857142857,NA,NA,0,0,0,0,1,1,0
"Anderson",2020-05-09,1.28571428571429,NA,NA,0,0,0,0,1,1,0
"Anderson",2020-05-10,1.28571428571429,NA,NA,0,0,0,0,1,1,0
"Anderson",2020-05-11,1.28571428571429,NA,NA,0,0,0,0,1,1,0
"Anderson",2020-05-12,2.28571428571429,NA,NA,0,0,0,0,1,1,0
"Anderson",2020-05-13,1.71428571428571,NA,NA,0,0,0,0,1,1,0
"Anderson",2020-05-14,1.57142857142857,NA,NA,0,0,0,0,1,1,0
"Anderson",2020-05-15,1.57142857142857,NA,NA,0,0,0,0,1,1,0
"Anderson",2020-05-16,1.85714285714286,NA,NA,0,0,0,0,1,1,0
"Anderson",2020-05-17,1.85714285714286,NA,NA,0,0,0,0,1,1,0
"Anderson",2020-05-18,1.85714285714286,NA,NA,0,0,0,0,1,1,0
"Anderson",2020-05-19,1.42857142857143,NA,NA,0,0,0,0,1,1,0
"Anderson",2020-05-20,1.57142857142857,NA,NA,0,0,0,0,1,1,0
"Anderson",2020-05-21,1.71428571428571,NA,NA,0,0,0,0,1,1,0
"Anderson",2020-05-22,1.71428571428571,NA,NA,0,0,0,0,1,1,0
"Anderson",2020-05-23,1.71428571428571,NA,NA,0,0,0,0,1,1,0
"Anderson",2020-05-24,1.71428571428571,NA,NA,0,0,0,0,1,1,0
"Anderson",2020-05-25,1.71428571428571,NA,NA,0,0,0,0,1,1,0
"Anderson",2020-05-26,0.857142857142857,NA,NA,0,0,0,0,1,1,0
"Anderson",2020-05-27,0.714285714285714,NA,NA,0,0,0,0,1,1,0
"Anderson",2020-05-28,0.428571428571429,NA,NA,0,0,0,0,1,1,0
"Anderson",2020-05-29,1.14285714285714,NA,NA,0,0,0,0,1,1,0
"Anderson",2020-05-30,0.857142857142857,NA,NA,0,0,0,0,1,1,0
"Anderson",2020-05-31,0.857142857142857,NA,NA,0,0,0,0,1,1,0
"Anderson",2020-06-01,0.857142857142857,NA,NA,0,0,0,0,1,1,0
"Anderson",2020-06-02,1.42857142857143,NA,NA,0,0,0,0,1,1,0
"Anderson",2020-06-03,1.71428571428571,NA,NA,0,0,0,0,1,1,0
"Anderson",2020-06-04,2.71428571428571,NA,NA,0,0,0,0,1,1,0
"Anderson",2020-06-05,2.14285714285714,NA,NA,0,0,0,0,1,1,0
"Anderson",2020-06-06,2.14285714285714,NA,NA,0,0,0,0,1,1,0
"Anderson",2020-06-07,2.14285714285714,NA,NA,0,0,0,0,1,1,0
"Anderson",2020-06-08,2.14285714285714,NA,NA,0,0,0,0,1,1,0
"Anderson",2020-06-09,2.42857142857143,NA,NA,0,0,0,0,1,1,0
"Anderson",2020-06-10,2.14285714285714,NA,NA,0,0,0,0,1,1,0
"Anderson",2020-06-11,1.71428571428571,NA,NA,0,0,0,0,1,1,0
"Anderson",2020-06-12,1.42857142857143,NA,NA,0,0,0,0,1,1,0
"Anderson",2020-06-13,2.42857142857143,NA,NA,0,0,0,0,1,1,0
"Anderson",2020-06-14,2.42857142857143,NA,NA,0,0,0,0,1,1,0
"Anderson",2020-06-15,2.42857142857143,NA,NA,0,0,0,0,1,1,0
"Anderson",2020-06-16,128.285714285714,NA,NA,0,0,0,0,1,1,0
"Anderson",2020-06-17,128.428571428571,NA,NA,0,0,0,0,1,1,0
"Anderson",2020-06-18,129.714285714286,NA,NA,0,0,0,0,1,1,0
"Anderson",2020-06-19,130.285714285714,NA,NA,0,0,0,0,1,1,0
"Anderson",2020-06-20,129.285714285714,NA,NA,0,0,0,0,1,1,0
"Anderson",2020-06-21,129.285714285714,NA,NA,0,0,0,0,1,1,0
"Anderson",2020-06-22,129.285714285714,NA,NA,0,0,0,0,1,1,0
"Anderson",2020-06-23,129.285714285714,110.047349029198,148.524079542231,0,0,0,0,1,1,0
"Anderson",2020-06-24,129.285714285714,102.078557222061,156.492871349367,0,0,0,0,1,1,0
"Anderson",2020-06-25,129.285714285714,95.9638882068596,162.607540364569,0,0,0,0,1,1,0
"Anderson",2020-06-26,129.285714285714,90.808983772681,167.762444798748,0,0,0,0,1,1,0
"Anderson",2020-06-27,129.285714285714,86.2674217961729,172.304006775256,0,0,0,0,1,1,0
"Anderson",2020-06-28,129.285714285714,82.1615359219605,176.409892649468,0,0,0,0,1,1,0
"Anderson",2020-06-29,129.285714285714,78.3857841855459,180.185644385883,0,0,0,0,1,1,0
"Anderson",2020-06-30,129.285714285714,74.8714001584079,183.700028413021,0,0,0,0,1,1,0
"Anderson",2020-07-01,129.285714285714,71.5706185161643,187.000810055264,0,0,0,0,1,1,0
"Anderson",2020-07-02,129.285714285714,68.4486616168722,190.122766954556,0,0,0,0,1,1,0
"Andrews",2020-05-01,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andrews",2020-05-02,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andrews",2020-05-03,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andrews",2020-05-04,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andrews",2020-05-05,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andrews",2020-05-06,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andrews",2020-05-07,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andrews",2020-05-08,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andrews",2020-05-09,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andrews",2020-05-10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andrews",2020-05-11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andrews",2020-05-12,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andrews",2020-05-13,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andrews",2020-05-14,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andrews",2020-05-15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andrews",2020-05-16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andrews",2020-05-17,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andrews",2020-05-18,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andrews",2020-05-19,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
