"Level_Name","Date","Cases.Cumulative","CI.Lower","CI.Upper","Level"
"Metro",2020-03-04,0,NA,NA,"metro"
"Metro",2020-03-05,0,NA,NA,"metro"
"Metro",2020-03-06,5,NA,NA,"metro"
"Metro",2020-03-07,0,NA,NA,"metro"
"Metro",2020-03-08,0,NA,NA,"metro"
"Metro",2020-03-09,12,NA,NA,"metro"
"Metro",2020-03-10,15,NA,NA,"metro"
"Metro",2020-03-11,18,NA,NA,"metro"
"Metro",2020-03-12,22,NA,NA,"metro"
"Metro",2020-03-13,22,NA,NA,"metro"
"Metro",2020-03-14,0,NA,NA,"metro"
"Metro",2020-03-15,54,NA,NA,"metro"
"Metro",2020-03-16,54,NA,NA,"metro"
"Metro",2020-03-17,61,NA,NA,"metro"
"Metro",2020-03-18,80,NA,NA,"metro"
"Metro",2020-03-19,103,NA,NA,"metro"
"Metro",2020-03-20,167,NA,NA,"metro"
"Metro",2020-03-21,223,NA,NA,"metro"
"Metro",2020-03-22,251,NA,NA,"metro"
"Metro",2020-03-23,273,NA,NA,"metro"
"Metro",2020-03-24,682,NA,NA,"metro"
"Metro",2020-03-25,931,NA,NA,"metro"
"Metro",2020-03-26,1330,NA,NA,"metro"
"Metro",2020-03-27,1653,NA,NA,"metro"
"Metro",2020-03-28,1953,NA,NA,"metro"
"Metro",2020-03-29,2437,NA,NA,"metro"
"Metro",2020-03-30,2743,NA,NA,"metro"
"Metro",2020-03-31,3126,NA,NA,"metro"
"Metro",2020-04-01,3792,NA,NA,"metro"
"Metro",2020-04-02,4420,NA,NA,"metro"
"Metro",2020-04-03,5024,NA,NA,"metro"
"Metro",2020-04-04,5772,NA,NA,"metro"
"Metro",2020-04-05,6431,NA,NA,"metro"
"Metro",2020-04-06,6884,NA,NA,"metro"
"Metro",2020-04-07,7823,NA,NA,"metro"
"Metro",2020-04-08,8860,NA,NA,"metro"
"Metro",2020-04-09,9677,NA,NA,"metro"
"Metro",2020-04-10,11045,NA,NA,"metro"
"Metro",2020-04-11,11880,NA,NA,"metro"
"Metro",2020-04-12,12768,NA,NA,"metro"
"Metro",2020-04-13,13165,NA,NA,"metro"
"Metro",2020-04-14,13788,NA,NA,"metro"
"Metro",2020-04-15,14578,NA,NA,"metro"
"Metro",2020-04-16,15431,NA,NA,"metro"
"Metro",2020-04-17,16267,NA,NA,"metro"
"Metro",2020-04-18,17080,NA,NA,"metro"
"Metro",2020-04-19,17707,NA,NA,"metro"
"Metro",2020-04-20,18206,NA,NA,"metro"
"Metro",2020-04-21,18814,NA,NA,"metro"
"Metro",2020-04-22,19611,NA,NA,"metro"
"Metro",2020-04-23,20341,NA,NA,"metro"
"Metro",2020-04-24,21097,NA,NA,"metro"
"Metro",2020-04-25,21978,NA,NA,"metro"
"Metro",2020-04-26,22714,NA,NA,"metro"
"Metro",2020-04-27,23276,NA,NA,"metro"
"Metro",2020-04-28,23967,NA,NA,"metro"
"Metro",2020-04-29,24793,NA,NA,"metro"
"Metro",2020-04-30,25639,NA,NA,"metro"
"Metro",2020-05-01,26621,NA,NA,"metro"
"Metro",2020-05-02,27809,NA,NA,"metro"
"Metro",2020-05-03,28722,NA,NA,"metro"
"Metro",2020-05-04,29466,NA,NA,"metro"
"Metro",2020-05-05,30337,NA,NA,"metro"
"Metro",2020-05-06,31286,NA,NA,"metro"
"Metro",2020-05-07,32133,NA,NA,"metro"
"Metro",2020-05-08,33215,NA,NA,"metro"
"Metro",2020-05-09,34396,NA,NA,"metro"
"Metro",2020-05-10,35268,NA,NA,"metro"
"Metro",2020-05-11,36252,NA,NA,"metro"
"Metro",2020-05-12,37265,NA,NA,"metro"
"Metro",2020-05-13,38428,NA,NA,"metro"
"Metro",2020-05-14,39749,NA,NA,"metro"
"Metro",2020-05-15,40933,NA,NA,"metro"
"Metro",2020-05-16,42622,NA,NA,"metro"
"Metro",2020-05-17,43336,NA,NA,"metro"
"Metro",2020-05-18,44187,NA,NA,"metro"
"Metro",2020-05-19,45227,NA,NA,"metro"
"Metro",2020-05-20,46408,NA,NA,"metro"
"Metro",2020-05-21,47348,NA,NA,"metro"
"Metro",2020-05-22,48505,NA,NA,"metro"
"Metro",2020-05-23,49442,NA,NA,"metro"
"Metro",2020-05-24,50234,NA,NA,"metro"
"Metro",2020-05-25,50811,NA,NA,"metro"
"Metro",2020-05-26,51293,NA,NA,"metro"
"Metro",2020-05-27,52269,NA,NA,"metro"
"Metro",2020-05-28,53681,NA,NA,"metro"
"Metro",2020-05-29,54726,NA,NA,"metro"
"Metro",2020-05-30,55859,NA,NA,"metro"
"Metro",2020-05-31,57000,NA,NA,"metro"
"Metro",2020-06-01,57561,NA,NA,"metro"
"Metro",2020-06-02,58868,NA,NA,"metro"
"Metro",2020-06-03,60253,NA,NA,"metro"
"Metro",2020-06-04,61655,NA,NA,"metro"
"Metro",2020-06-05,63184,NA,NA,"metro"
"Metro",2020-06-06,64988,NA,NA,"metro"
"Metro",2020-06-07,66378,NA,NA,"metro"
"Metro",2020-06-08,67015,NA,NA,"metro"
"Metro",2020-06-09,68535,NA,NA,"metro"
"Metro",2020-06-10,70811,NA,NA,"metro"
"Metro",2020-06-11,72490,NA,NA,"metro"
"Metro",2020-06-12,74371,NA,NA,"metro"
"Metro",2020-06-13,76140.0317302973,75648.6669304522,76631.3965301423,"metro"
"Metro",2020-06-14,77855.5286249219,76961.0163776299,78750.0408722138,"metro"
"Metro",2020-06-15,79581.8884555472,78327.5034775963,80836.2734334982,"metro"
"Metro",2020-06-16,81319.3751361701,79694.8798518224,82943.8704205177,"metro"
"Metro",2020-06-17,83056.7733932396,81031.054033168,85082.4927533112,"metro"
"Metro",2020-06-18,84792.2120303949,82336.2655988949,87248.1584618949,"metro"
"Metro",2020-06-19,86527.3472376741,83616.4183359112,89438.276139437,"metro"
"Metro",2020-06-20,88262.7756547935,84873.537419729,91652.0138898581,"metro"
"Metro",2020-06-21,89998.3048324236,86108.0071100792,93888.6025547681,"metro"
"Metro",2020-06-22,91733.7991469184,87320.4744484302,96147.1238454066,"metro"
"Non-Metro",2020-03-04,0,NA,NA,"metro"
"Non-Metro",2020-03-05,0,NA,NA,"metro"
"Non-Metro",2020-03-06,0,NA,NA,"metro"
"Non-Metro",2020-03-07,0,NA,NA,"metro"
"Non-Metro",2020-03-08,0,NA,NA,"metro"
"Non-Metro",2020-03-09,0,NA,NA,"metro"
"Non-Metro",2020-03-10,0,NA,NA,"metro"
"Non-Metro",2020-03-11,0,NA,NA,"metro"
"Non-Metro",2020-03-12,0,NA,NA,"metro"
"Non-Metro",2020-03-13,0,NA,NA,"metro"
"Non-Metro",2020-03-14,0,NA,NA,"metro"
"Non-Metro",2020-03-15,2,NA,NA,"metro"
"Non-Metro",2020-03-16,2,NA,NA,"metro"
"Non-Metro",2020-03-17,2,NA,NA,"metro"
"Non-Metro",2020-03-18,2,NA,NA,"metro"
"Non-Metro",2020-03-19,5,NA,NA,"metro"
"Non-Metro",2020-03-20,8,NA,NA,"metro"
"Non-Metro",2020-03-21,12,NA,NA,"metro"
"Non-Metro",2020-03-22,12,NA,NA,"metro"
"Non-Metro",2020-03-23,14,NA,NA,"metro"
"Non-Metro",2020-03-24,30,NA,NA,"metro"
"Non-Metro",2020-03-25,44,NA,NA,"metro"
"Non-Metro",2020-03-26,64,NA,NA,"metro"
"Non-Metro",2020-03-27,78,NA,NA,"metro"
"Non-Metro",2020-03-28,95,NA,NA,"metro"
"Non-Metro",2020-03-29,115,NA,NA,"metro"
"Non-Metro",2020-03-30,131,NA,NA,"metro"
"Non-Metro",2020-03-31,140,NA,NA,"metro"
"Non-Metro",2020-04-01,204,NA,NA,"metro"
"Non-Metro",2020-04-02,245,NA,NA,"metro"
"Non-Metro",2020-04-03,300,NA,NA,"metro"
"Non-Metro",2020-04-04,340,NA,NA,"metro"
"Non-Metro",2020-04-05,362,NA,NA,"metro"
"Non-Metro",2020-04-06,389,NA,NA,"metro"
"Non-Metro",2020-04-07,438,NA,NA,"metro"
"Non-Metro",2020-04-08,493,NA,NA,"metro"
"Non-Metro",2020-04-09,553,NA,NA,"metro"
"Non-Metro",2020-04-10,626,NA,NA,"metro"
"Non-Metro",2020-04-11,681,NA,NA,"metro"
"Non-Metro",2020-04-12,716,NA,NA,"metro"
"Non-Metro",2020-04-13,741,NA,NA,"metro"
"Non-Metro",2020-04-14,836,NA,NA,"metro"
"Non-Metro",2020-04-15,914,NA,NA,"metro"
"Non-Metro",2020-04-16,1024,NA,NA,"metro"
"Non-Metro",2020-04-17,1104,NA,NA,"metro"
"Non-Metro",2020-04-18,1180,NA,NA,"metro"
"Non-Metro",2020-04-19,1216,NA,NA,"metro"
"Non-Metro",2020-04-20,1252,NA,NA,"metro"
"Non-Metro",2020-04-21,1382,NA,NA,"metro"
"Non-Metro",2020-04-22,1458,NA,NA,"metro"
"Non-Metro",2020-04-23,1603,NA,NA,"metro"
"Non-Metro",2020-04-24,1709,NA,NA,"metro"
"Non-Metro",2020-04-25,1795,NA,NA,"metro"
"Non-Metro",2020-04-26,1917,NA,NA,"metro"
"Non-Metro",2020-04-27,2021,NA,NA,"metro"
"Non-Metro",2020-04-28,2204,NA,NA,"metro"
"Non-Metro",2020-04-29,2261,NA,NA,"metro"
"Non-Metro",2020-04-30,2448,NA,NA,"metro"
"Non-Metro",2020-05-01,2608,NA,NA,"metro"
"Non-Metro",2020-05-02,2713,NA,NA,"metro"
"Non-Metro",2020-05-03,2826,NA,NA,"metro"
"Non-Metro",2020-05-04,2866,NA,NA,"metro"
"Non-Metro",2020-05-05,3032,NA,NA,"metro"
"Non-Metro",2020-05-06,3136,NA,NA,"metro"
"Non-Metro",2020-05-07,3257,NA,NA,"metro"
"Non-Metro",2020-05-08,3394,NA,NA,"metro"
"Non-Metro",2020-05-09,3464,NA,NA,"metro"
"Non-Metro",2020-05-10,3601,NA,NA,"metro"
"Non-Metro",2020-05-11,3617,NA,NA,"metro"
"Non-Metro",2020-05-12,3783,NA,NA,"metro"
"Non-Metro",2020-05-13,3975,NA,NA,"metro"
"Non-Metro",2020-05-14,4102,NA,NA,"metro"
"Non-Metro",2020-05-15,4265,NA,NA,"metro"
"Non-Metro",2020-05-16,4377,NA,NA,"metro"
"Non-Metro",2020-05-17,4448,NA,NA,"metro"
"Non-Metro",2020-05-18,4506,NA,NA,"metro"
"Non-Metro",2020-05-19,4685,NA,NA,"metro"
"Non-Metro",2020-05-20,4915,NA,NA,"metro"
"Non-Metro",2020-05-21,4920,NA,NA,"metro"
"Non-Metro",2020-05-22,4944,NA,NA,"metro"
"Non-Metro",2020-05-23,5067,NA,NA,"metro"
"Non-Metro",2020-05-24,5114,NA,NA,"metro"
"Non-Metro",2020-05-25,5160,NA,NA,"metro"
"Non-Metro",2020-05-26,5267,NA,NA,"metro"
"Non-Metro",2020-05-27,5652,NA,NA,"metro"
"Non-Metro",2020-05-28,6095,NA,NA,"metro"
"Non-Metro",2020-05-29,6280,NA,NA,"metro"
"Non-Metro",2020-05-30,6479,NA,NA,"metro"
"Non-Metro",2020-05-31,7287,NA,NA,"metro"
"Non-Metro",2020-06-01,7319,NA,NA,"metro"
"Non-Metro",2020-06-02,7700,NA,NA,"metro"
"Non-Metro",2020-06-03,8018,NA,NA,"metro"
"Non-Metro",2020-06-04,8265,NA,NA,"metro"
"Non-Metro",2020-06-05,8429,NA,NA,"metro"
"Non-Metro",2020-06-06,8565,NA,NA,"metro"
"Non-Metro",2020-06-07,8600,NA,NA,"metro"
"Non-Metro",2020-06-08,8601,NA,NA,"metro"
"Non-Metro",2020-06-09,8718,NA,NA,"metro"
"Non-Metro",2020-06-10,8946,NA,NA,"metro"
"Non-Metro",2020-06-11,9093,NA,NA,"metro"
"Non-Metro",2020-06-12,9309,NA,NA,"metro"
"Non-Metro",2020-06-13,9492.66801296659,9307.2303989889,9678.10562694428,"metro"
"Non-Metro",2020-06-14,9678.99854725005,9396.4492497412,9961.54784475889,"metro"
"Non-Metro",2020-06-15,9869.22567801437,9478.48249549448,10259.9688605343,"metro"
"Non-Metro",2020-06-16,10060.3317537364,9529.92842352523,10590.7350839475,"metro"
"Non-Metro",2020-06-17,10248.011825242,9564.21095903965,10931.8126914444,"metro"
"Non-Metro",2020-06-18,10437.4198283232,9593.44005387836,11281.3996027681,"metro"
"Non-Metro",2020-06-19,10627.1456615504,9609.01010770275,11645.2812153981,"metro"
"Non-Metro",2020-06-20,10816.2258342818,9612.21729696753,12020.234371596,"metro"
"Non-Metro",2020-06-21,11005.3701512495,9606.42014226897,12404.3201602301,"metro"
"Non-Metro",2020-06-22,11194.7699010398,9591.18629312869,12798.3535089508,"metro"
