"Level_Name","Date","Cases.Cumulative","CI.Lower","CI.Upper","Level"
"Big Country RAC",2020-03-04,0,NA,NA,"TSA"
"Big Country RAC",2020-03-05,0,NA,NA,"TSA"
"Big Country RAC",2020-03-06,0,NA,NA,"TSA"
"Big Country RAC",2020-03-07,NA,NA,NA,"TSA"
"Big Country RAC",2020-03-08,NA,NA,NA,"TSA"
"Big Country RAC",2020-03-09,0,NA,NA,"TSA"
"Big Country RAC",2020-03-10,0,NA,NA,"TSA"
"Big Country RAC",2020-03-11,0,NA,NA,"TSA"
"Big Country RAC",2020-03-12,0,NA,NA,"TSA"
"Big Country RAC",2020-03-13,0,NA,NA,"TSA"
"Big Country RAC",2020-03-14,NA,NA,NA,"TSA"
"Big Country RAC",2020-03-15,0,NA,NA,"TSA"
"Big Country RAC",2020-03-16,0,NA,NA,"TSA"
"Big Country RAC",2020-03-17,0,NA,NA,"TSA"
"Big Country RAC",2020-03-18,0,NA,NA,"TSA"
"Big Country RAC",2020-03-19,0,NA,NA,"TSA"
"Big Country RAC",2020-03-20,0,NA,NA,"TSA"
"Big Country RAC",2020-03-21,1,NA,NA,"TSA"
"Big Country RAC",2020-03-22,1,NA,NA,"TSA"
"Big Country RAC",2020-03-23,1,NA,NA,"TSA"
"Big Country RAC",2020-03-24,4,NA,NA,"TSA"
"Big Country RAC",2020-03-25,4,NA,NA,"TSA"
"Big Country RAC",2020-03-26,5,NA,NA,"TSA"
"Big Country RAC",2020-03-27,6,NA,NA,"TSA"
"Big Country RAC",2020-03-28,8,NA,NA,"TSA"
"Big Country RAC",2020-03-29,13,NA,NA,"TSA"
"Big Country RAC",2020-03-30,13,NA,NA,"TSA"
"Big Country RAC",2020-03-31,17,NA,NA,"TSA"
"Big Country RAC",2020-04-01,21,NA,NA,"TSA"
"Big Country RAC",2020-04-02,21,NA,NA,"TSA"
"Big Country RAC",2020-04-03,26,NA,NA,"TSA"
"Big Country RAC",2020-04-04,31,NA,NA,"TSA"
"Big Country RAC",2020-04-05,36,NA,NA,"TSA"
"Big Country RAC",2020-04-06,41,NA,NA,"TSA"
"Big Country RAC",2020-04-07,46,NA,NA,"TSA"
"Big Country RAC",2020-04-08,54,NA,NA,"TSA"
"Big Country RAC",2020-04-09,61,NA,NA,"TSA"
"Big Country RAC",2020-04-10,71,NA,NA,"TSA"
"Big Country RAC",2020-04-11,77,NA,NA,"TSA"
"Big Country RAC",2020-04-12,81,NA,NA,"TSA"
"Big Country RAC",2020-04-13,83,NA,NA,"TSA"
"Big Country RAC",2020-04-14,91,NA,NA,"TSA"
"Big Country RAC",2020-04-15,97,NA,NA,"TSA"
"Big Country RAC",2020-04-16,104,NA,NA,"TSA"
"Big Country RAC",2020-04-17,114,NA,NA,"TSA"
"Big Country RAC",2020-04-18,151,NA,NA,"TSA"
"Big Country RAC",2020-04-19,168,NA,NA,"TSA"
"Big Country RAC",2020-04-20,170,NA,NA,"TSA"
"Big Country RAC",2020-04-21,170,NA,NA,"TSA"
"Big Country RAC",2020-04-22,190,NA,NA,"TSA"
"Big Country RAC",2020-04-23,212,NA,NA,"TSA"
"Big Country RAC",2020-04-24,226,NA,NA,"TSA"
"Big Country RAC",2020-04-25,244,NA,NA,"TSA"
"Big Country RAC",2020-04-26,257,NA,NA,"TSA"
"Big Country RAC",2020-04-27,274,NA,NA,"TSA"
"Big Country RAC",2020-04-28,314,NA,NA,"TSA"
"Big Country RAC",2020-04-29,360,NA,NA,"TSA"
"Big Country RAC",2020-04-30,376,NA,NA,"TSA"
"Big Country RAC",2020-05-01,404,NA,NA,"TSA"
"Big Country RAC",2020-05-02,439,NA,NA,"TSA"
"Big Country RAC",2020-05-03,460,NA,NA,"TSA"
"Big Country RAC",2020-05-04,477,NA,NA,"TSA"
"Big Country RAC",2020-05-05,486,NA,NA,"TSA"
"Big Country RAC",2020-05-06,514,NA,NA,"TSA"
"Big Country RAC",2020-05-07,347,NA,NA,"TSA"
"Big Country RAC",2020-05-08,352,NA,NA,"TSA"
"Big Country RAC",2020-05-09,358,NA,NA,"TSA"
"Big Country RAC",2020-05-10,358,NA,NA,"TSA"
"Big Country RAC",2020-05-11,361,NA,NA,"TSA"
"Big Country RAC",2020-05-12,364,NA,NA,"TSA"
"Big Country RAC",2020-05-13,387,NA,NA,"TSA"
"Big Country RAC",2020-05-14,399,NA,NA,"TSA"
"Big Country RAC",2020-05-15,402,NA,NA,"TSA"
"Big Country RAC",2020-05-16,407,NA,NA,"TSA"
"Big Country RAC",2020-05-17,407,NA,NA,"TSA"
"Big Country RAC",2020-05-18,407,NA,NA,"TSA"
"Big Country RAC",2020-05-19,419,NA,NA,"TSA"
"Big Country RAC",2020-05-20,428,NA,NA,"TSA"
"Big Country RAC",2020-05-21,444,NA,NA,"TSA"
"Big Country RAC",2020-05-22,454,NA,NA,"TSA"
"Big Country RAC",2020-05-23,455,NA,NA,"TSA"
"Big Country RAC",2020-05-24,455,NA,NA,"TSA"
"Big Country RAC",2020-05-25,457,NA,NA,"TSA"
"Big Country RAC",2020-05-26,426,NA,NA,"TSA"
"Big Country RAC",2020-05-27,427,NA,NA,"TSA"
"Big Country RAC",2020-05-28,651,NA,NA,"TSA"
"Big Country RAC",2020-05-29,687,NA,NA,"TSA"
"Big Country RAC",2020-05-30,739,NA,NA,"TSA"
"Big Country RAC",2020-05-31,740,NA,NA,"TSA"
"Big Country RAC",2020-06-01,741,NA,NA,"TSA"
"Big Country RAC",2020-06-02,950,NA,NA,"TSA"
"Big Country RAC",2020-06-03,984,NA,NA,"TSA"
"Big Country RAC",2020-06-04,990,NA,NA,"TSA"
"Big Country RAC",2020-06-05,995,NA,NA,"TSA"
"Big Country RAC",2020-06-06,995,NA,NA,"TSA"
"Big Country RAC",2020-06-07,995,NA,NA,"TSA"
"Big Country RAC",2020-06-08,995,NA,NA,"TSA"
"Big Country RAC",2020-06-09,996,NA,NA,"TSA"
"Big Country RAC",2020-06-10,991,NA,NA,"TSA"
"Big Country RAC",2020-06-11,992,NA,NA,"TSA"
"Big Country RAC",2020-06-12,995,NA,NA,"TSA"
"Big Country RAC",2020-06-13,1004.94999998008,932.479147240671,1077.42085271948,"TSA"
"Big Country RAC",2020-06-14,1014.89999996015,912.410737139341,1117.38926278096,"TSA"
"Big Country RAC",2020-06-15,1024.84999994023,899.326800927735,1150.37319895272,"TSA"
"Big Country RAC",2020-06-16,1034.7999999203,889.858294441492,1179.74170539911,"TSA"
"Big Country RAC",2020-06-17,1044.74999990038,882.700246787691,1206.79975301306,"TSA"
"Big Country RAC",2020-06-18,1054.69999988045,877.183389444529,1232.21661031637,"TSA"
"Big Country RAC",2020-06-19,1064.64999986053,872.910146211278,1256.38985350977,"TSA"
"Big Country RAC",2020-06-20,1074.5999998406,869.621474198983,1279.57852548222,"TSA"
"Big Country RAC",2020-06-21,1084.54999982068,867.137441602463,1301.96255803889,"TSA"
"Big Country RAC",2020-06-22,1094.49999980075,865.32704116958,1323.67295843192,"TSA"
"Border RAC",2020-03-04,0,NA,NA,"TSA"
"Border RAC",2020-03-05,0,NA,NA,"TSA"
"Border RAC",2020-03-06,0,NA,NA,"TSA"
"Border RAC",2020-03-07,NA,NA,NA,"TSA"
"Border RAC",2020-03-08,NA,NA,NA,"TSA"
"Border RAC",2020-03-09,0,NA,NA,"TSA"
"Border RAC",2020-03-10,0,NA,NA,"TSA"
"Border RAC",2020-03-11,0,NA,NA,"TSA"
"Border RAC",2020-03-12,0,NA,NA,"TSA"
"Border RAC",2020-03-13,0,NA,NA,"TSA"
"Border RAC",2020-03-14,NA,NA,NA,"TSA"
"Border RAC",2020-03-15,1,NA,NA,"TSA"
"Border RAC",2020-03-16,1,NA,NA,"TSA"
"Border RAC",2020-03-17,3,NA,NA,"TSA"
"Border RAC",2020-03-18,3,NA,NA,"TSA"
"Border RAC",2020-03-19,3,NA,NA,"TSA"
"Border RAC",2020-03-20,3,NA,NA,"TSA"
"Border RAC",2020-03-21,6,NA,NA,"TSA"
"Border RAC",2020-03-22,6,NA,NA,"TSA"
"Border RAC",2020-03-23,6,NA,NA,"TSA"
"Border RAC",2020-03-24,7,NA,NA,"TSA"
"Border RAC",2020-03-25,11,NA,NA,"TSA"
"Border RAC",2020-03-26,21,NA,NA,"TSA"
"Border RAC",2020-03-27,21,NA,NA,"TSA"
"Border RAC",2020-03-28,31,NA,NA,"TSA"
"Border RAC",2020-03-29,35,NA,NA,"TSA"
"Border RAC",2020-03-30,40,NA,NA,"TSA"
"Border RAC",2020-03-31,46,NA,NA,"TSA"
"Border RAC",2020-04-01,50,NA,NA,"TSA"
"Border RAC",2020-04-02,68,NA,NA,"TSA"
"Border RAC",2020-04-03,78,NA,NA,"TSA"
"Border RAC",2020-04-04,96,NA,NA,"TSA"
"Border RAC",2020-04-05,106,NA,NA,"TSA"
"Border RAC",2020-04-06,115,NA,NA,"TSA"
"Border RAC",2020-04-07,125,NA,NA,"TSA"
"Border RAC",2020-04-08,153,NA,NA,"TSA"
"Border RAC",2020-04-09,192,NA,NA,"TSA"
"Border RAC",2020-04-10,225,NA,NA,"TSA"
"Border RAC",2020-04-11,252,NA,NA,"TSA"
"Border RAC",2020-04-12,269,NA,NA,"TSA"
"Border RAC",2020-04-13,292,NA,NA,"TSA"
"Border RAC",2020-04-14,300,NA,NA,"TSA"
"Border RAC",2020-04-15,346,NA,NA,"TSA"
"Border RAC",2020-04-16,393,NA,NA,"TSA"
"Border RAC",2020-04-17,451,NA,NA,"TSA"
"Border RAC",2020-04-18,482,NA,NA,"TSA"
"Border RAC",2020-04-19,505,NA,NA,"TSA"
"Border RAC",2020-04-20,531,NA,NA,"TSA"
"Border RAC",2020-04-21,540,NA,NA,"TSA"
"Border RAC",2020-04-22,587,NA,NA,"TSA"
"Border RAC",2020-04-23,645,NA,NA,"TSA"
"Border RAC",2020-04-24,674,NA,NA,"TSA"
"Border RAC",2020-04-25,706,NA,NA,"TSA"
"Border RAC",2020-04-26,780,NA,NA,"TSA"
"Border RAC",2020-04-27,802,NA,NA,"TSA"
"Border RAC",2020-04-28,829,NA,NA,"TSA"
"Border RAC",2020-04-29,857,NA,NA,"TSA"
"Border RAC",2020-04-30,887,NA,NA,"TSA"
"Border RAC",2020-05-01,924,NA,NA,"TSA"
"Border RAC",2020-05-02,961,NA,NA,"TSA"
"Border RAC",2020-05-03,986,NA,NA,"TSA"
"Border RAC",2020-05-04,998,NA,NA,"TSA"
"Border RAC",2020-05-05,1029,NA,NA,"TSA"
"Border RAC",2020-05-06,1080,NA,NA,"TSA"
"Border RAC",2020-05-07,1119,NA,NA,"TSA"
"Border RAC",2020-05-08,1190,NA,NA,"TSA"
"Border RAC",2020-05-09,1276,NA,NA,"TSA"
"Border RAC",2020-05-10,1322,NA,NA,"TSA"
"Border RAC",2020-05-11,1340,NA,NA,"TSA"
"Border RAC",2020-05-12,1348,NA,NA,"TSA"
"Border RAC",2020-05-13,1413,NA,NA,"TSA"
"Border RAC",2020-05-14,1456,NA,NA,"TSA"
"Border RAC",2020-05-15,1607,NA,NA,"TSA"
"Border RAC",2020-05-16,1655,NA,NA,"TSA"
"Border RAC",2020-05-17,1726,NA,NA,"TSA"
"Border RAC",2020-05-18,1772,NA,NA,"TSA"
"Border RAC",2020-05-19,1852,NA,NA,"TSA"
"Border RAC",2020-05-20,1930,NA,NA,"TSA"
"Border RAC",2020-05-21,2046,NA,NA,"TSA"
"Border RAC",2020-05-22,2160,NA,NA,"TSA"
"Border RAC",2020-05-23,2265,NA,NA,"TSA"
"Border RAC",2020-05-24,2340,NA,NA,"TSA"
"Border RAC",2020-05-25,2376,NA,NA,"TSA"
"Border RAC",2020-05-26,2394,NA,NA,"TSA"
"Border RAC",2020-05-27,2462,NA,NA,"TSA"
"Border RAC",2020-05-28,2570,NA,NA,"TSA"
"Border RAC",2020-05-29,2624,NA,NA,"TSA"
"Border RAC",2020-05-30,2706,NA,NA,"TSA"
"Border RAC",2020-05-31,2766,NA,NA,"TSA"
"Border RAC",2020-06-01,2796,NA,NA,"TSA"
"Border RAC",2020-06-02,2835,NA,NA,"TSA"
