"Metro_Area","Date","Cases_Daily","CI_Lower","CI_Upper","Order_AutoReg","Order_Moving_Avg","Order_Seasonal_Autoreg","Order_Seasonal_Moving_Avg","Period","Differencing","Differencing_Seasonal"
"Metro",2020-06-03,NA,NA,NA,1,0,0,0,1,2,0
"Metro",2020-06-04,NA,NA,NA,1,0,0,0,1,2,0
"Metro",2020-06-05,NA,NA,NA,1,0,0,0,1,2,0
"Metro",2020-06-06,NA,NA,NA,1,0,0,0,1,2,0
"Metro",2020-06-07,NA,NA,NA,1,0,0,0,1,2,0
"Metro",2020-06-08,NA,NA,NA,1,0,0,0,1,2,0
"Metro",2020-06-09,1415,NA,NA,1,0,0,0,1,2,0
"Metro",2020-06-10,1542.57142857143,NA,NA,1,0,0,0,1,2,0
"Metro",2020-06-11,1583,NA,NA,1,0,0,0,1,2,0
"Metro",2020-06-12,1633.71428571429,NA,NA,1,0,0,0,1,2,0
"Metro",2020-06-13,1679.57142857143,NA,NA,1,0,0,0,1,2,0
"Metro",2020-06-14,1734.14285714286,NA,NA,1,0,0,0,1,2,0
"Metro",2020-06-15,1817.42857142857,NA,NA,1,0,0,0,1,2,0
"Metro",2020-06-16,1999.57142857143,NA,NA,1,0,0,0,1,2,0
"Metro",2020-06-17,2083.57142857143,NA,NA,1,0,0,0,1,2,0
"Metro",2020-06-18,2305.42857142857,NA,NA,1,0,0,0,1,2,0
"Metro",2020-06-19,2483.14285714286,NA,NA,1,0,0,0,1,2,0
"Metro",2020-06-20,2773.85714285714,NA,NA,1,0,0,0,1,2,0
"Metro",2020-06-21,3053.57142857143,NA,NA,1,0,0,0,1,2,0
"Metro",2020-06-22,3317.57142857143,NA,NA,1,0,0,0,1,2,0
"Metro",2020-06-23,3590.3795026842,3526.43435241502,3654.32465295338,1,0,0,0,1,2,0
"Metro",2020-06-24,3858.25052964213,3746.1708875569,3970.33017172737,1,0,0,0,1,2,0
"Metro",2020-06-25,4128.88883969703,3949.36325284588,4308.41442654818,1,0,0,0,1,2,0
"Metro",2020-06-26,4397.97604936771,4145.74623668331,4650.20586205211,1,0,0,0,1,2,0
"Metro",2020-06-27,4667.93267222006,4332.96434039005,5002.90100405008,1,0,0,0,1,2,0
"Metro",2020-06-28,4937.40197697995,4513.29328788362,5361.51066607628,1,0,0,0,1,2,0
"Metro",2020-06-29,5207.14443025915,4686.60691378958,5727.68194672871,1,0,0,0,1,2,0
"Metro",2020-06-30,5476.73378002186,4853.68420380728,6099.78335623644,1,0,0,0,1,2,0
"Metro",2020-07-01,5746.40894641949,5014.74422089847,6478.0736719405,1,0,0,0,1,2,0
"Metro",2020-07-02,6016.03601140836,5170.17240530003,6861.89961751669,1,0,0,0,1,2,0
"Non-Metro",2020-06-03,NA,NA,NA,0,0,0,0,1,1,0
"Non-Metro",2020-06-04,NA,NA,NA,0,0,0,0,1,1,0
"Non-Metro",2020-06-05,NA,NA,NA,0,0,0,0,1,1,0
"Non-Metro",2020-06-06,NA,NA,NA,0,0,0,0,1,1,0
"Non-Metro",2020-06-07,NA,NA,NA,0,0,0,0,1,1,0
"Non-Metro",2020-06-08,NA,NA,NA,0,0,0,0,1,1,0
"Non-Metro",2020-06-09,160.857142857143,NA,NA,0,0,0,0,1,1,0
"Non-Metro",2020-06-10,152.428571428571,NA,NA,0,0,0,0,1,1,0
"Non-Metro",2020-06-11,138.571428571429,NA,NA,0,0,0,0,1,1,0
"Non-Metro",2020-06-12,144.857142857143,NA,NA,0,0,0,0,1,1,0
"Non-Metro",2020-06-13,155.142857142857,NA,NA,0,0,0,0,1,1,0
"Non-Metro",2020-06-14,160,NA,NA,0,0,0,0,1,1,0
"Non-Metro",2020-06-15,164.857142857143,NA,NA,0,0,0,0,1,1,0
"Non-Metro",2020-06-16,296.714285714286,NA,NA,0,0,0,0,1,1,0
"Non-Metro",2020-06-17,299.285714285714,NA,NA,0,0,0,0,1,1,0
"Non-Metro",2020-06-18,318.285714285714,NA,NA,0,0,0,0,1,1,0
"Non-Metro",2020-06-19,336.428571428571,NA,NA,0,0,0,0,1,1,0
"Non-Metro",2020-06-20,344.428571428571,NA,NA,0,0,0,0,1,1,0
"Non-Metro",2020-06-21,353.714285714286,NA,NA,0,0,0,0,1,1,0
"Non-Metro",2020-06-22,379,NA,NA,0,0,0,0,1,1,0
"Non-Metro",2020-06-23,379,339.036272335708,418.963727664292,0,0,0,0,1,1,0
"Non-Metro",2020-06-24,379,322.482754334173,435.517245665827,0,0,0,0,1,1,0
"Non-Metro",2020-06-25,379,309.7807932256,448.2192067744,0,0,0,0,1,1,0
"Non-Metro",2020-06-26,379,299.072544671415,458.927455328585,0,0,0,0,1,1,0
"Non-Metro",2020-06-27,379,289.638388308353,468.361611691647,0,0,0,0,1,1,0
"Non-Metro",2020-06-28,379,281.109259002935,476.890740997065,0,0,0,0,1,1,0
"Non-Metro",2020-06-29,379,273.26591513717,484.73408486283,0,0,0,0,1,1,0
"Non-Metro",2020-06-30,379,265.965508668345,492.034491331655,0,0,0,0,1,1,0
"Non-Metro",2020-07-01,379,259.108817007123,498.891182992877,0,0,0,0,1,1,0
"Non-Metro",2020-07-02,379,252.623596790155,505.376403209845,0,0,0,0,1,1,0
