"Date","Hospitalizations_Total","CI_Lower","CI_Upper"
2020-03-04,0,NA,NA
2020-03-05,0,NA,NA
2020-03-06,0,NA,NA
2020-03-07,0,NA,NA
2020-03-08,0,NA,NA
2020-03-09,0,NA,NA
2020-03-10,0,NA,NA
2020-03-11,0,NA,NA
2020-03-12,0,NA,NA
2020-03-13,0,NA,NA
2020-03-14,0,NA,NA
2020-03-15,0,NA,NA
2020-03-16,0,NA,NA
2020-03-17,0,NA,NA
2020-03-18,0,NA,NA
2020-03-19,0,NA,NA
2020-03-20,0,NA,NA
2020-03-21,0,NA,NA
2020-03-22,0,NA,NA
2020-03-23,0,NA,NA
2020-03-24,0,NA,NA
2020-03-25,0,NA,NA
2020-03-26,0,NA,NA
2020-03-27,0,NA,NA
2020-03-28,0,NA,NA
2020-03-29,0,NA,NA
2020-03-30,0,NA,NA
2020-03-31,0,NA,NA
2020-04-01,0,NA,NA
2020-04-02,0,NA,NA
2020-04-03,0,NA,NA
2020-04-04,0,NA,NA
2020-04-05,0,NA,NA
2020-04-06,0,NA,NA
2020-04-07,0,NA,NA
2020-04-08,0,NA,NA
2020-04-09,0,NA,NA
2020-04-10,0,NA,NA
2020-04-11,0,NA,NA
2020-04-12,191.142857142857,NA,NA
2020-04-13,359.142857142857,NA,NA
2020-04-14,560.428571428571,NA,NA
2020-04-15,784.428571428571,NA,NA
2020-04-16,992.857142857143,NA,NA
2020-04-17,1210.28571428571,NA,NA
2020-04-18,1399,NA,NA
2020-04-19,1418,NA,NA
2020-04-20,1452,NA,NA
2020-04-21,1464.57142857143,NA,NA
2020-04-22,1480.28571428571,NA,NA
2020-04-23,1507.42857142857,NA,NA
2020-04-24,1527.71428571429,NA,NA
2020-04-25,1565.71428571429,NA,NA
2020-04-26,1575.85714285714,NA,NA
2020-04-27,1597.14285714286,NA,NA
2020-04-28,1623.57142857143,NA,NA
2020-04-29,1627,NA,NA
2020-04-30,1632.28571428571,NA,NA
2020-05-01,1648.57142857143,NA,NA
2020-05-02,1668.28571428571,NA,NA
2020-05-03,1668,NA,NA
2020-05-04,1663.71428571429,NA,NA
2020-05-05,1693.14285714286,NA,NA
2020-05-06,1708.85714285714,NA,NA
2020-05-07,1718,NA,NA
2020-05-08,1711.71428571429,NA,NA
2020-05-09,1713.14285714286,NA,NA
2020-05-10,1725.42857142857,NA,NA
2020-05-11,1724.28571428571,NA,NA
2020-05-12,1701,NA,NA
2020-05-13,1681.57142857143,NA,NA
2020-05-14,1667,NA,NA
2020-05-15,1664.42857142857,NA,NA
2020-05-16,1672.42857142857,NA,NA
2020-05-17,1656.14285714286,NA,NA
2020-05-18,1659.85714285714,NA,NA
2020-05-19,1660.85714285714,NA,NA
2020-05-20,1677.28571428571,NA,NA
2020-05-21,1681.85714285714,NA,NA
2020-05-22,1662.14285714286,NA,NA
2020-05-23,1647.42857142857,NA,NA
2020-05-24,1656,NA,NA
2020-05-25,1650.28571428571,NA,NA
2020-05-26,1622,NA,NA
2020-05-27,1601.14285714286,NA,NA
2020-05-28,1602.85714285714,NA,NA
2020-05-29,1609.14285714286,NA,NA
2020-05-30,1618.28571428571,NA,NA
2020-05-31,1634.28571428571,NA,NA
2020-06-01,1669.28571428571,NA,NA
2020-06-02,1703.42857142857,NA,NA
2020-06-03,1726.28571428571,NA,NA
2020-06-04,1741.14285714286,NA,NA
2020-06-05,1774.42857142857,NA,NA
2020-06-06,1784.42857142857,NA,NA
2020-06-07,1812.14285714286,NA,NA
2020-06-08,1837.71428571429,NA,NA
2020-06-09,1878.14285714286,NA,NA
2020-06-10,1927.85714285714,NA,NA
2020-06-11,1965.42857142857,NA,NA
2020-06-12,2009.85714285714,NA,NA
2020-06-13,2069.85714285714,NA,NA
2020-06-14,2128.28571428571,NA,NA
2020-06-15,2184.14285714286,NA,NA
2020-06-16,2250.14285714286,NA,NA
2020-06-17,2341.57142857143,NA,NA
2020-06-18,2468.42857142857,NA,NA
2020-06-19,2608.71428571429,NA,NA
2020-06-20,2752.28571428571,NA,NA
2020-06-21,2912.57142857143,NA,NA
2020-06-22,3110.42857142857,NA,NA
2020-06-23,3335.28571428571,NA,NA
2020-06-24,3563.28571428571,NA,NA
2020-06-25,3819.28571428571,NA,NA
2020-06-26,4098.42857142857,NA,NA
2020-06-27,4423.57142857143,NA,NA
2020-06-28,4721.85714285714,NA,NA
2020-06-29,5036.42857142857,NA,NA
2020-06-30,5385.14285714286,NA,NA
2020-07-01,5744.42857142857,NA,NA
2020-07-02,6122,NA,NA
2020-07-03,6486.28571428571,NA,NA
2020-07-04,6824.42857142857,NA,NA
2020-07-05,7207.85714285714,NA,NA
2020-07-06,7605.71428571429,NA,NA
2020-07-07,7999,NA,NA
2020-07-08,8385.57142857143,NA,NA
2020-07-09,8715.14285714286,NA,NA
2020-07-10,9050.85714285714,NA,NA
2020-07-11,9364.14285714286,NA,NA
2020-07-12,9682.57142857143,NA,NA
2020-07-13,9926.42857142857,NA,NA
2020-07-14,10109.7142857143,NA,NA
2020-07-15,10232.7142857143,NA,NA
2020-07-16,10342.4285714286,NA,NA
2020-07-17,10432.4285714286,NA,NA
2020-07-18,10514.5714285714,NA,NA
2020-07-19,10540.5714285714,NA,NA
2020-07-20,10564,NA,NA
2020-07-21,10603.8571428571,NA,NA
2020-07-22,10664.1428571429,NA,NA
2020-07-23,10435.7142857143,NA,NA
2020-07-24,10350.5714285714,NA,NA
2020-07-25,10231.8571428571,NA,NA
2020-07-26,10158,NA,NA
2020-07-27,10047.2857142857,NA,NA
2020-07-28,9868,NA,NA
2020-07-29,9682.57142857143,NA,NA
2020-07-30,9745.14285714286,NA,NA
2020-07-31,9645.14285714286,NA,NA
2020-08-01,9522.57142857143,NA,NA
2020-08-02,9313.28571428571,NA,NA
2020-08-03,9174,NA,NA
2020-08-04,9042.71428571429,NA,NA
2020-08-05,8879.85714285714,NA,NA
2020-08-06,8737.85714285714,NA,NA
2020-08-07,8556.28571428571,NA,NA
