"Date","Cases_Daily","CI_Lower","CI_Upper","Order_AutoReg","Order_Moving_Avg","Order_Seasonal_Autoreg","Order_Seasonal_Moving_Avg","Period","Differencing","Differencing_Seasonal"
2020-03-04,NA,NA,NA,0,3,0,0,1,2,0
2020-03-05,NA,NA,NA,0,3,0,0,1,2,0
2020-03-06,NA,NA,NA,0,3,0,0,1,2,0
2020-03-07,NA,NA,NA,0,3,0,0,1,2,0
2020-03-08,NA,NA,NA,0,3,0,0,1,2,0
2020-03-09,NA,NA,NA,0,3,0,0,1,2,0
2020-03-10,2.14285714285714,NA,NA,0,3,0,0,1,2,0
2020-03-11,2.57142857142857,NA,NA,0,3,0,0,1,2,0
2020-03-12,3.14285714285714,NA,NA,0,3,0,0,1,2,0
2020-03-13,2.42857142857143,NA,NA,0,3,0,0,1,2,0
2020-03-14,2.42857142857143,NA,NA,0,3,0,0,1,2,0
2020-03-15,7.28571428571429,NA,NA,0,3,0,0,1,2,0
2020-03-16,6.28571428571429,NA,NA,0,3,0,0,1,2,0
2020-03-17,6.85714285714286,NA,NA,0,3,0,0,1,2,0
2020-03-18,9.14285714285714,NA,NA,0,3,0,0,1,2,0
2020-03-19,12.2857142857143,NA,NA,0,3,0,0,1,2,0
2020-03-20,21.8571428571429,NA,NA,0,3,0,0,1,2,0
2020-03-21,30.4285714285714,NA,NA,0,3,0,0,1,2,0
2020-03-22,29.5714285714286,NA,NA,0,3,0,0,1,2,0
2020-03-23,33,NA,NA,0,3,0,0,1,2,0
2020-03-24,92.7142857142857,NA,NA,0,3,0,0,1,2,0
2020-03-25,127.571428571429,NA,NA,0,3,0,0,1,2,0
2020-03-26,183.714285714286,NA,NA,0,3,0,0,1,2,0
2020-03-27,222.285714285714,NA,NA,0,3,0,0,1,2,0
2020-03-28,259,NA,NA,0,3,0,0,1,2,0
2020-03-29,327,NA,NA,0,3,0,0,1,2,0
2020-03-30,369.571428571429,NA,NA,0,3,0,0,1,2,0
2020-03-31,364.857142857143,NA,NA,0,3,0,0,1,2,0
2020-04-01,431.571428571429,NA,NA,0,3,0,0,1,2,0
2020-04-02,467.285714285714,NA,NA,0,3,0,0,1,2,0
2020-04-03,513.285714285714,NA,NA,0,3,0,0,1,2,0
2020-04-04,580.571428571429,NA,NA,0,3,0,0,1,2,0
2020-04-05,605.857142857143,NA,NA,0,3,0,0,1,2,0
2020-04-06,629,NA,NA,0,3,0,0,1,2,0
2020-04-07,714.142857142857,NA,NA,0,3,0,0,1,2,0
2020-04-08,765.857142857143,NA,NA,0,3,0,0,1,2,0
2020-04-09,795.571428571429,NA,NA,0,3,0,0,1,2,0
2020-04-10,907.285714285714,NA,NA,0,3,0,0,1,2,0
2020-04-11,921.857142857143,NA,NA,0,3,0,0,1,2,0
2020-04-12,956.428571428571,NA,NA,0,3,0,0,1,2,0
2020-04-13,947.571428571429,NA,NA,0,3,0,0,1,2,0
2020-04-14,909,NA,NA,0,3,0,0,1,2,0
2020-04-15,877,NA,NA,0,3,0,0,1,2,0
2020-04-16,889.285714285714,NA,NA,0,3,0,0,1,2,0
2020-04-17,814.285714285714,NA,NA,0,3,0,0,1,2,0
2020-04-18,814.142857142857,NA,NA,0,3,0,0,1,2,0
2020-04-19,777,NA,NA,0,3,0,0,1,2,0
2020-04-20,793.142857142857,NA,NA,0,3,0,0,1,2,0
2020-04-21,796,NA,NA,0,3,0,0,1,2,0
2020-04-22,796.714285714286,NA,NA,0,3,0,0,1,2,0
2020-04-23,784.285714285714,NA,NA,0,3,0,0,1,2,0
2020-04-24,776.571428571429,NA,NA,0,3,0,0,1,2,0
2020-04-25,787.857142857143,NA,NA,0,3,0,0,1,2,0
2020-04-26,815.857142857143,NA,NA,0,3,0,0,1,2,0
2020-04-27,834.571428571429,NA,NA,0,3,0,0,1,2,0
2020-04-28,854,NA,NA,0,3,0,0,1,2,0
2020-04-29,855.714285714286,NA,NA,0,3,0,0,1,2,0
2020-04-30,878.142857142857,NA,NA,0,3,0,0,1,2,0
2020-05-01,918.142857142857,NA,NA,0,3,0,0,1,2,0
2020-05-02,964.571428571429,NA,NA,0,3,0,0,1,2,0
