"Date","Cases_Daily","CI_Lower","CI_Upper","Order_AutoReg","Order_Moving_Avg","Order_Seasonal_Autoreg","Order_Seasonal_Moving_Avg","Period","Differencing","Differencing_Seasonal"
2020-05-01,NA,NA,NA,1,2,0,0,1,2,0
2020-05-02,NA,NA,NA,1,2,0,0,1,2,0
2020-05-03,NA,NA,NA,1,2,0,0,1,2,0
2020-05-04,NA,NA,NA,1,2,0,0,1,2,0
2020-05-05,NA,NA,NA,1,2,0,0,1,2,0
2020-05-06,NA,NA,NA,1,2,0,0,1,2,0
2020-05-07,1067.14285714286,NA,NA,1,2,0,0,1,2,0
2020-05-08,1078.14285714286,NA,NA,1,2,0,0,1,2,0
2020-05-09,1072.14285714286,NA,NA,1,2,0,0,1,2,0
2020-05-10,1069.71428571429,NA,NA,1,2,0,0,1,2,0
2020-05-11,1100.57142857143,NA,NA,1,2,0,0,1,2,0
2020-05-12,1120.85714285714,NA,NA,1,2,0,0,1,2,0
2020-05-13,1164,NA,NA,1,2,0,0,1,2,0
2020-05-14,1208.71428571429,NA,NA,1,2,0,0,1,2,0
2020-05-15,1227,NA,NA,1,2,0,0,1,2,0
2020-05-16,1305.57142857143,NA,NA,1,2,0,0,1,2,0
2020-05-17,1273.57142857143,NA,NA,1,2,0,0,1,2,0
2020-05-18,1260.57142857143,NA,NA,1,2,0,0,1,2,0
2020-05-19,1266.28571428571,NA,NA,1,2,0,0,1,2,0
2020-05-20,1274.28571428571,NA,NA,1,2,0,0,1,2,0
2020-05-21,1202.42857142857,NA,NA,1,2,0,0,1,2,0
2020-05-22,1187.28571428571,NA,NA,1,2,0,0,1,2,0
2020-05-23,1081.42857142857,NA,NA,1,2,0,0,1,2,0
2020-05-24,1089.14285714286,NA,NA,1,2,0,0,1,2,0
2020-05-25,1048.28571428571,NA,NA,1,2,0,0,1,2,0
2020-05-26,962.714285714286,NA,NA,1,2,0,0,1,2,0
2020-05-27,955.571428571429,NA,NA,1,2,0,0,1,2,0
2020-05-28,1085.57142857143,NA,NA,1,2,0,0,1,2,0
2020-05-29,1084,NA,NA,1,2,0,0,1,2,0
2020-05-30,1123,NA,NA,1,2,0,0,1,2,0
2020-05-31,1281.57142857143,NA,NA,1,2,0,0,1,2,0
2020-06-01,1277.28571428571,NA,NA,1,2,0,0,1,2,0
2020-06-02,1429.85714285714,NA,NA,1,2,0,0,1,2,0
2020-06-03,1478.71428571429,NA,NA,1,2,0,0,1,2,0
2020-06-04,1449.42857142857,NA,NA,1,2,0,0,1,2,0
2020-06-05,1515.57142857143,NA,NA,1,2,0,0,1,2,0
2020-06-06,1602.57142857143,NA,NA,1,2,0,0,1,2,0
2020-06-07,1527.85714285714,NA,NA,1,2,0,0,1,2,0
2020-06-08,1534.28571428571,NA,NA,1,2,0,0,1,2,0
2020-06-09,1557.85714285714,NA,NA,1,2,0,0,1,2,0
2020-06-10,1673,NA,NA,1,2,0,0,1,2,0
2020-06-11,1698.14285714286,NA,NA,1,2,0,0,1,2,0
2020-06-12,1755.85714285714,NA,NA,1,2,0,0,1,2,0
2020-06-13,1811.42857142857,NA,NA,1,2,0,0,1,2,0
2020-06-14,1871,NA,NA,1,2,0,0,1,2,0
2020-06-15,1959,NA,NA,1,2,0,0,1,2,0
2020-06-16,2279.71428571429,NA,NA,1,2,0,0,1,2,0
2020-06-17,2369.85714285714,NA,NA,1,2,0,0,1,2,0
2020-06-18,2611.28571428571,NA,NA,1,2,0,0,1,2,0
2020-06-19,2805.14285714286,NA,NA,1,2,0,0,1,2,0
2020-06-20,3105,NA,NA,1,2,0,0,1,2,0
2020-06-21,3394,NA,NA,1,2,0,0,1,2,0
2020-06-22,3683.42857142857,NA,NA,1,2,0,0,1,2,0
2020-06-23,3982.00526956366,3911.59273635764,4052.41780276968,1,2,0,0,1,2,0
2020-06-24,4288.11632286832,4183.82813950073,4392.40450623592,1,2,0,0,1,2,0
2020-06-25,4597.08962795961,4444.7669846586,4749.41227126063,1,2,0,0,1,2,0
2020-06-26,4907.15028360788,4689.40820223571,5124.89236498005,1,2,0,0,1,2,0
2020-06-27,5217.62401655398,4919.15040955135,5516.09762355661,1,2,0,0,1,2,0
2020-06-28,5528.25467483837,5136.19914705282,5920.31020262392,1,2,0,0,1,2,0
2020-06-29,5838.94494802274,5342.3192348819,6335.57066116359,1,2,0,0,1,2,0
2020-06-30,6149.65786851404,5538.79083277788,6760.5249042502,1,2,0,0,1,2,0
2020-07-01,6460.37939256772,5726.54581491398,7194.21297022145,1,2,0,0,1,2,0
2020-07-02,6771.10418505794,5906.28350255228,7635.9248675636,1,2,0,0,1,2,0
