"TSA","Date","Cases_Daily","CI_Lower","CI_Upper","Order_AutoReg","Order_Moving_Avg","Order_Seasonal_Autoreg","Order_Seasonal_Moving_Avg","Period","Differencing","Differencing_Seasonal"
"A - Panhandle",2020-06-03,NA,NA,NA,0,0,0,0,1,1,0
"A - Panhandle",2020-06-04,NA,NA,NA,0,0,0,0,1,1,0
"A - Panhandle",2020-06-05,NA,NA,NA,0,0,0,0,1,1,0
"A - Panhandle",2020-06-06,NA,NA,NA,0,0,0,0,1,1,0
"A - Panhandle",2020-06-07,NA,NA,NA,0,0,0,0,1,1,0
"A - Panhandle",2020-06-08,NA,NA,NA,0,0,0,0,1,1,0
"A - Panhandle",2020-06-09,81,NA,NA,0,0,0,0,1,1,0
"A - Panhandle",2020-06-10,66.7142857142857,NA,NA,0,0,0,0,1,1,0
"A - Panhandle",2020-06-11,60.5714285714286,NA,NA,0,0,0,0,1,1,0
"A - Panhandle",2020-06-12,57.7142857142857,NA,NA,0,0,0,0,1,1,0
"A - Panhandle",2020-06-13,24.2857142857143,NA,NA,0,0,0,0,1,1,0
"A - Panhandle",2020-06-14,24.1428571428571,NA,NA,0,0,0,0,1,1,0
"A - Panhandle",2020-06-15,24.1428571428571,NA,NA,0,0,0,0,1,1,0
"A - Panhandle",2020-06-16,20.8571428571429,NA,NA,0,0,0,0,1,1,0
"A - Panhandle",2020-06-17,22.5714285714286,NA,NA,0,0,0,0,1,1,0
"A - Panhandle",2020-06-18,24.2857142857143,NA,NA,0,0,0,0,1,1,0
"A - Panhandle",2020-06-19,24.1428571428571,NA,NA,0,0,0,0,1,1,0
"A - Panhandle",2020-06-20,21.8571428571429,NA,NA,0,0,0,0,1,1,0
"A - Panhandle",2020-06-21,21.5714285714286,NA,NA,0,0,0,0,1,1,0
"A - Panhandle",2020-06-22,25.4285714285714,NA,NA,0,0,0,0,1,1,0
"A - Panhandle",2020-06-23,25.4285714285714,14.6562838232349,36.200859033908,0,0,0,0,1,1,0
"A - Panhandle",2020-06-24,25.4285714285714,10.1942561993209,40.662886657822,0,0,0,0,1,1,0
"A - Panhandle",2020-06-25,25.4285714285714,6.77042198238401,44.0867208747588,0,0,0,0,1,1,0
"A - Panhandle",2020-06-26,25.4285714285714,3.88399621789829,46.9731466392446,0,0,0,0,1,1,0
"A - Panhandle",2020-06-27,25.4285714285714,1.34100406986043,49.5161387872824,0,0,0,0,1,1,0
"A - Panhandle",2020-06-28,25.4285714285714,0,51.8151794241537,0,0,0,0,1,1,0
"A - Panhandle",2020-06-29,25.4285714285714,0,53.9293654835555,0,0,0,0,1,1,0
"A - Panhandle",2020-06-30,25.4285714285714,0,55.8972018870726,0,0,0,0,1,1,0
"A - Panhandle",2020-07-01,25.4285714285714,0,57.7454342445811,0,0,0,0,1,1,0
"A - Panhandle",2020-07-02,25.4285714285714,0,59.493535871836,0,0,0,0,1,1,0
"B - B",2020-06-03,NA,NA,NA,0,0,0,0,1,2,0
"B - B",2020-06-04,NA,NA,NA,0,0,0,0,1,2,0
