"TSA","Date","Cases_Raw","Hospitalizations_Daily","CI_Lower","CI_Upper","Order_AutoReg","Order_Moving_Avg","Differencing"
"A - Panhandle",2020-03-04,NA,NA,NA,NA,1,1,2
"A - Panhandle",2020-03-05,NA,NA,NA,NA,1,1,2
"A - Panhandle",2020-03-06,NA,NA,NA,NA,1,1,2
"A - Panhandle",2020-03-07,NA,NA,NA,NA,1,1,2
"A - Panhandle",2020-03-08,NA,NA,NA,NA,1,1,2
"A - Panhandle",2020-03-09,NA,NA,NA,NA,1,1,2
"A - Panhandle",2020-03-10,NA,NA,NA,NA,1,1,2
"A - Panhandle",2020-03-11,NA,NA,NA,NA,1,1,2
"A - Panhandle",2020-03-12,NA,NA,NA,NA,1,1,2
"A - Panhandle",2020-03-13,NA,NA,NA,NA,1,1,2
"A - Panhandle",2020-03-14,NA,NA,NA,NA,1,1,2
"A - Panhandle",2020-03-15,NA,NA,NA,NA,1,1,2
"A - Panhandle",2020-03-16,NA,NA,NA,NA,1,1,2
"A - Panhandle",2020-03-17,NA,NA,NA,NA,1,1,2
"A - Panhandle",2020-03-18,NA,NA,NA,NA,1,1,2
"A - Panhandle",2020-03-19,NA,NA,NA,NA,1,1,2
"A - Panhandle",2020-03-20,NA,NA,NA,NA,1,1,2
"A - Panhandle",2020-03-21,NA,NA,NA,NA,1,1,2
"A - Panhandle",2020-03-22,NA,NA,NA,NA,1,1,2
"A - Panhandle",2020-03-23,NA,NA,NA,NA,1,1,2
"A - Panhandle",2020-03-24,NA,NA,NA,NA,1,1,2
"A - Panhandle",2020-03-25,NA,NA,NA,NA,1,1,2
"A - Panhandle",2020-03-26,NA,NA,NA,NA,1,1,2
"A - Panhandle",2020-03-27,NA,NA,NA,NA,1,1,2
"A - Panhandle",2020-03-28,NA,NA,NA,NA,1,1,2
"A - Panhandle",2020-03-29,NA,NA,NA,NA,1,1,2
"A - Panhandle",2020-03-30,NA,NA,NA,NA,1,1,2
"A - Panhandle",2020-03-31,NA,NA,NA,NA,1,1,2
