"TSA","Date","Cases_Raw","Hospitalizations_Daily","CI_Lower","CI_Upper"
"A - Panhandle",2020-03-04,NA,NA,NA,NA
"A - Panhandle",2020-03-05,NA,NA,NA,NA
"A - Panhandle",2020-03-06,NA,NA,NA,NA
"A - Panhandle",2020-03-07,NA,NA,NA,NA
"A - Panhandle",2020-03-08,NA,NA,NA,NA
"A - Panhandle",2020-03-09,NA,NA,NA,NA
"A - Panhandle",2020-03-10,NA,NA,NA,NA
"A - Panhandle",2020-03-11,NA,NA,NA,NA
"A - Panhandle",2020-03-12,NA,NA,NA,NA
"A - Panhandle",2020-03-13,NA,NA,NA,NA
"A - Panhandle",2020-03-14,NA,NA,NA,NA
"A - Panhandle",2020-03-15,NA,NA,NA,NA
"A - Panhandle",2020-03-16,NA,NA,NA,NA
"A - Panhandle",2020-03-17,NA,NA,NA,NA
"A - Panhandle",2020-03-18,NA,NA,NA,NA
"A - Panhandle",2020-03-19,NA,NA,NA,NA
"A - Panhandle",2020-03-20,NA,NA,NA,NA
"A - Panhandle",2020-03-21,NA,NA,NA,NA
"A - Panhandle",2020-03-22,NA,NA,NA,NA
"A - Panhandle",2020-03-23,NA,NA,NA,NA
"A - Panhandle",2020-03-24,NA,NA,NA,NA
"A - Panhandle",2020-03-25,NA,NA,NA,NA
"A - Panhandle",2020-03-26,NA,NA,NA,NA
"A - Panhandle",2020-03-27,NA,NA,NA,NA
"A - Panhandle",2020-03-28,NA,NA,NA,NA
"A - Panhandle",2020-03-29,NA,NA,NA,NA
"A - Panhandle",2020-03-30,NA,NA,NA,NA
"A - Panhandle",2020-03-31,NA,NA,NA,NA
"A - Panhandle",2020-04-01,NA,NA,NA,NA
"A - Panhandle",2020-04-02,NA,NA,NA,NA
"A - Panhandle",2020-04-03,NA,NA,NA,NA
"A - Panhandle",2020-04-04,NA,NA,NA,NA
"A - Panhandle",2020-04-05,NA,NA,NA,NA
"A - Panhandle",2020-04-06,NA,NA,NA,NA
"A - Panhandle",2020-04-07,NA,NA,NA,NA
"A - Panhandle",2020-04-08,421,NA,NA,NA
"A - Panhandle",2020-04-09,104,NA,NA,NA
"A - Panhandle",2020-04-10,104,NA,NA,NA
"A - Panhandle",2020-04-11,104,NA,NA,NA
"A - Panhandle",2020-04-12,209,NA,NA,NA
"A - Panhandle",2020-04-13,111,NA,NA,NA
"A - Panhandle",2020-04-14,144,171,NA,NA
"A - Panhandle",2020-04-15,111,126.714285714286,NA,NA
"A - Panhandle",2020-04-16,191,139.142857142857,NA,NA
"A - Panhandle",2020-04-17,104,139.142857142857,NA,NA
"A - Panhandle",2020-04-18,104,139.142857142857,NA,NA
"A - Panhandle",2020-04-19,218,140.428571428571,NA,NA
"A - Panhandle",2020-04-20,218,155.714285714286,NA,NA
"A - Panhandle",2020-04-21,209,165,NA,NA
"A - Panhandle",2020-04-22,245,184.142857142857,NA,NA
"A - Panhandle",2020-04-23,316,202,NA,NA
"A - Panhandle",2020-04-24,338,235.428571428571,NA,NA
"A - Panhandle",2020-04-25,348,270.285714285714,NA,NA
"A - Panhandle",2020-04-26,389,294.714285714286,NA,NA
"A - Panhandle",2020-04-27,394,319.857142857143,NA,NA
"A - Panhandle",2020-04-28,398,346.857142857143,NA,NA
"A - Panhandle",2020-04-29,404,369.571428571429,NA,NA
"A - Panhandle",2020-04-30,6,325.285714285714,NA,NA
"A - Panhandle",2020-05-01,410,335.571428571429,NA,NA
"A - Panhandle",2020-05-02,403,343.428571428571,NA,NA
"A - Panhandle",2020-05-03,415,347.142857142857,NA,NA
"A - Panhandle",2020-05-04,18,293.428571428571,NA,NA
"A - Panhandle",2020-05-05,24,240,NA,NA
"A - Panhandle",2020-05-06,18,184.857142857143,NA,NA
"A - Panhandle",2020-05-07,8,185.142857142857,NA,NA
"A - Panhandle",2020-05-08,417,186.142857142857,NA,NA
"A - Panhandle",2020-05-09,410,187.142857142857,NA,NA
"A - Panhandle",2020-05-10,389,183.428571428571,NA,NA
"A - Panhandle",2020-05-11,394,237.142857142857,NA,NA
"A - Panhandle",2020-05-12,383,288.428571428571,NA,NA
"A - Panhandle",2020-05-13,386,341,NA,NA
"A - Panhandle",2020-05-14,369,392.571428571429,NA,NA
"A - Panhandle",2020-05-15,354,383.571428571429,NA,NA
"A - Panhandle",2020-05-16,364,377,NA,NA
"A - Panhandle",2020-05-17,376,375.142857142857,NA,NA
"A - Panhandle",2020-05-18,335,366.714285714286,NA,NA
"A - Panhandle",2020-05-19,284,352.571428571429,NA,NA
"A - Panhandle",2020-05-20,294,339.428571428571,NA,NA
"A - Panhandle",2020-05-21,294,328.714285714286,NA,NA
"A - Panhandle",2020-05-22,294,320.142857142857,NA,NA
"A - Panhandle",2020-05-23,325,314.571428571429,NA,NA
"A - Panhandle",2020-05-24,316,306,NA,NA
"A - Panhandle",2020-05-25,335,306,NA,NA
"A - Panhandle",2020-05-26,144,286,NA,NA
"A - Panhandle",2020-05-27,307,287.857142857143,NA,NA
"A - Panhandle",2020-05-28,204,275,NA,NA
"A - Panhandle",2020-05-29,254,269.285714285714,NA,NA
"A - Panhandle",2020-05-30,240,257.142857142857,NA,NA
"A - Panhandle",2020-05-31,245,247,NA,NA
"A - Panhandle",2020-06-01,200,227.714285714286,NA,NA
"A - Panhandle",2020-06-02,175,232.142857142857,NA,NA
"A - Panhandle",2020-06-03,180,214,NA,NA
"A - Panhandle",2020-06-04,175,209.857142857143,NA,NA
"A - Panhandle",2020-06-05,149,194.857142857143,NA,NA
"A - Panhandle",2020-06-06,166,184.285714285714,NA,NA
"A - Panhandle",2020-06-07,149,170.571428571429,NA,NA
"A - Panhandle",2020-06-08,139,161.857142857143,NA,NA
"A - Panhandle",2020-06-09,104,151.714285714286,NA,NA
"A - Panhandle",2020-06-10,111,141.857142857143,NA,NA
"A - Panhandle",2020-06-11,104,131.714285714286,NA,NA
"A - Panhandle",2020-06-12,94,123.857142857143,NA,NA
"A - Panhandle",2020-06-13,149,121.428571428571,NA,NA
"A - Panhandle",2020-06-14,139,120,NA,NA
"A - Panhandle",2020-06-15,144,120.714285714286,NA,NA
"A - Panhandle",2020-06-16,134,125,NA,NA
"A - Panhandle",2020-06-17,123,126.714285714286,NA,NA
"A - Panhandle",2020-06-18,134,131,NA,NA
"A - Panhandle",2020-06-19,139,137.428571428571,NA,NA
"A - Panhandle",2020-06-20,139,136,NA,NA
"A - Panhandle",2020-06-21,157,138.571428571429,NA,NA
"A - Panhandle",2020-06-22,149,139.285714285714,NA,NA
"A - Panhandle",2020-06-23,134,139.285714285714,NA,NA
"A - Panhandle",2020-06-24,129,140.142857142857,NA,NA
"A - Panhandle",2020-06-25,123,138.571428571429,NA,NA
"A - Panhandle",2020-06-26,134,137.857142857143,NA,NA
"A - Panhandle",2020-06-27,149,139.285714285714,NA,NA
"A - Panhandle",2020-06-28,149,138.142857142857,NA,NA
"A - Panhandle",2020-06-29,157,139.285714285714,NA,NA
"A - Panhandle",2020-06-30,139,140,NA,NA
"A - Panhandle",2020-07-01,139,141.428571428571,NA,NA
"A - Panhandle",2020-07-02,152,145.571428571429,NA,NA
"A - Panhandle",2020-07-03,175,151.428571428571,NA,NA
"A - Panhandle",2020-07-04,200,158.714285714286,NA,NA
"A - Panhandle",2020-07-05,200,166,NA,NA
"A - Panhandle",2020-07-06,217,174.571428571429,NA,NA
"A - Panhandle",2020-07-07,NA,NA,NA,NA
"A - Panhandle",2020-07-08,NA,NA,NA,NA
"A - Panhandle",2020-07-09,NA,NA,NA,NA
"A - Panhandle",2020-07-10,NA,187.453797978529,128.812899541264,246.094696415793
"A - Panhandle",2020-07-11,NA,188.33942939295,116.991999036587,259.686859749313
"A - Panhandle",2020-07-12,NA,189.112556518624,106.443615712055,271.781497325193
"A - Panhandle",2020-07-13,NA,189.452452101958,95.9670785366551,282.937825667261
"A - Panhandle",2020-07-14,NA,189.821218624238,86.5492518714598,293.093185377017
"A - Panhandle",2020-07-15,NA,189.936172053939,77.3203178224318,302.552026285447
"A - Panhandle",2020-07-16,NA,190.122210832484,68.9137438864893,311.330677778478
"A - Panhandle",2020-07-17,NA,190.147900672788,60.7043182064031,319.591483139173
"A - Panhandle",2020-07-18,NA,190.24870229037,53.1237678819126,327.373636698828
"A - Panhandle",2020-07-19,NA,190.241706470282,45.7215824097661,334.761830530797
"B - Greater Lubbock Area",2020-03-04,NA,NA,NA,NA
"B - Greater Lubbock Area",2020-03-05,NA,NA,NA,NA
"B - Greater Lubbock Area",2020-03-06,NA,NA,NA,NA
"B - Greater Lubbock Area",2020-03-07,NA,NA,NA,NA
"B - Greater Lubbock Area",2020-03-08,NA,NA,NA,NA
"B - Greater Lubbock Area",2020-03-09,NA,NA,NA,NA
"B - Greater Lubbock Area",2020-03-10,NA,NA,NA,NA
"B - Greater Lubbock Area",2020-03-11,NA,NA,NA,NA
"B - Greater Lubbock Area",2020-03-12,NA,NA,NA,NA
"B - Greater Lubbock Area",2020-03-13,NA,NA,NA,NA
"B - Greater Lubbock Area",2020-03-14,NA,NA,NA,NA
"B - Greater Lubbock Area",2020-03-15,NA,NA,NA,NA
"B - Greater Lubbock Area",2020-03-16,NA,NA,NA,NA
"B - Greater Lubbock Area",2020-03-17,NA,NA,NA,NA
"B - Greater Lubbock Area",2020-03-18,NA,NA,NA,NA
"B - Greater Lubbock Area",2020-03-19,NA,NA,NA,NA
"B - Greater Lubbock Area",2020-03-20,NA,NA,NA,NA
"B - Greater Lubbock Area",2020-03-21,NA,NA,NA,NA
"B - Greater Lubbock Area",2020-03-22,NA,NA,NA,NA
"B - Greater Lubbock Area",2020-03-23,NA,NA,NA,NA
"B - Greater Lubbock Area",2020-03-24,NA,NA,NA,NA
"B - Greater Lubbock Area",2020-03-25,NA,NA,NA,NA
"B - Greater Lubbock Area",2020-03-26,NA,NA,NA,NA
"B - Greater Lubbock Area",2020-03-27,NA,NA,NA,NA
"B - Greater Lubbock Area",2020-03-28,NA,NA,NA,NA
"B - Greater Lubbock Area",2020-03-29,NA,NA,NA,NA
"B - Greater Lubbock Area",2020-03-30,NA,NA,NA,NA
"B - Greater Lubbock Area",2020-03-31,NA,NA,NA,NA
"B - Greater Lubbock Area",2020-04-01,NA,NA,NA,NA
"B - Greater Lubbock Area",2020-04-02,NA,NA,NA,NA
"B - Greater Lubbock Area",2020-04-03,NA,NA,NA,NA
"B - Greater Lubbock Area",2020-04-04,NA,NA,NA,NA
"B - Greater Lubbock Area",2020-04-05,NA,NA,NA,NA
"B - Greater Lubbock Area",2020-04-06,NA,NA,NA,NA
"B - Greater Lubbock Area",2020-04-07,NA,NA,NA,NA
"B - Greater Lubbock Area",2020-04-08,433,NA,NA,NA
"B - Greater Lubbock Area",2020-04-09,189,NA,NA,NA
"B - Greater Lubbock Area",2020-04-10,191,NA,NA,NA
"B - Greater Lubbock Area",2020-04-11,175,NA,NA,NA
"B - Greater Lubbock Area",2020-04-12,189,NA,NA,NA
"B - Greater Lubbock Area",2020-04-13,180,NA,NA,NA
"B - Greater Lubbock Area",2020-04-14,200,222.428571428571,NA,NA
"B - Greater Lubbock Area",2020-04-15,191,187.857142857143,NA,NA
"B - Greater Lubbock Area",2020-04-16,180,186.571428571429,NA,NA
"B - Greater Lubbock Area",2020-04-17,180,185,NA,NA
"B - Greater Lubbock Area",2020-04-18,245,195,NA,NA
"B - Greater Lubbock Area",2020-04-19,163,191.285714285714,NA,NA
"B - Greater Lubbock Area",2020-04-20,149,186.857142857143,NA,NA
"B - Greater Lubbock Area",2020-04-21,157,180.714285714286,NA,NA
"B - Greater Lubbock Area",2020-04-22,180,179.142857142857,NA,NA
"B - Greater Lubbock Area",2020-04-23,152,175.142857142857,NA,NA
"B - Greater Lubbock Area",2020-04-24,166,173.142857142857,NA,NA
"B - Greater Lubbock Area",2020-04-25,166,161.857142857143,NA,NA
"B - Greater Lubbock Area",2020-04-26,175,163.571428571429,NA,NA
"B - Greater Lubbock Area",2020-04-27,200,170.857142857143,NA,NA
"B - Greater Lubbock Area",2020-04-28,193,176,NA,NA
"B - Greater Lubbock Area",2020-04-29,198,178.571428571429,NA,NA
