"County","current_ratio","current_ratio_cat"
"Anderson",53.1764705882353,NA
"Andrews",NA,NA
"Angelina",0.986111111111111,"(0.9,1.1]"
"Aransas",NA,NA
"Archer",NA,NA
"Armstrong",NA,NA
"Atascosa",NA,NA
"Austin",NA,NA
"Bailey",NA,NA
"Bandera",NA,NA
"Bastrop",1.7,"(1.5,2]"
"Baylor",NA,NA
"Bee",NA,NA
"Bell",1.05464480874317,"(0.9,1.1]"
"Bexar",2.3003696857671,"(2,4]"
"Blanco",NA,NA
"Borden",NA,NA
"Bosque",NA,NA
"Bowie",0.777777777777778,"(0.5,0.9]"
"Brazoria",NA,NA
"Brazos",2.49152542372881,"(2,4]"
"Brewster",2.8,"(2,4]"
"Briscoe",NA,NA
"Brooks",NA,NA
"Brown",NA,NA
"Burleson",NA,NA
"Burnet",NA,NA
"Caldwell",1.12857142857143,"(1.1,1.5]"
"Calhoun",NA,NA
"Callahan",NA,NA
"Cameron",1.65853658536585,"(1.5,2]"
"Camp",0.125,"(0,0.5]"
"Carson",NA,NA
"Cass",NA,NA
"Castro",NA,NA
"Chambers",1.56666666666667,"(1.5,2]"
"Cherokee",NA,NA
"Childress",NA,NA
"Clay",NA,NA
"Cochran",NA,NA
"Coke",NA,NA
"Coleman",NA,NA
"Collin",2.52727272727273,"(2,4]"
"Collingsworth",NA,NA
"Colorado",2.1,"(2,4]"
"Comal",2.88095238095238,"(2,4]"
"Comanche",NA,NA
"Concho",NA,NA
"Cooke",NA,NA
"Coryell",1.36363636363636,"(1.1,1.5]"
"Cottle",NA,NA
"Crane",NA,NA
"Crockett",NA,NA
"Crosby",NA,NA
"Culberson",NA,NA
"Dallam",NA,NA
"Dallas",1.22159887798036,"(1.1,1.5]"
"Dawson",NA,NA
"Deaf Smith",0.833333333333333,"(0.5,0.9]"
"Delta",NA,NA
"Denton",1.80932203389831,"(1.5,2]"
"DeWitt",0.9,"(0.5,0.9]"
"Dickens",NA,NA
"Dimmit",NA,NA
"Donley",NA,NA
"Duval",NA,NA
"Eastland",NA,NA
"Ector",1.70588235294118,"(1.5,2]"
"Edwards",NA,NA
"El Paso",1.2,"(1.1,1.5]"
"Ellis",0.738095238095238,"(0.5,0.9]"
"Erath",0.8,"(0.5,0.9]"
"Falls",NA,NA
"Fannin",1,"(0.9,1.1]"
"Fayette",NA,NA
"Fisher",NA,NA
"Floyd",NA,NA
"Foard",NA,NA
"Fort Bend",2.55223880597015,"(2,4]"
"Franklin",NA,NA
"Freestone",NA,NA
"Frio",1.81818181818182,"(1.5,2]"
"Gaines",NA,NA
"Galveston",2.3448275862069,"(2,4]"
"Garza",NA,NA
"Gillespie",NA,NA
"Glasscock",NA,NA
"Goliad",NA,NA
"Gonzales",3.26666666666667,"(2,4]"
"Gray",NA,NA
"Grayson",1.31147540983607,"(1.1,1.5]"
"Gregg",1.28571428571429,"(1.1,1.5]"
"Grimes",0.878787878787879,"(0.5,0.9]"
"Guadalupe",6.33333333333333,"(4,8]"
"Hale",2.25,"(2,4]"
"Hall",NA,NA
"Hamilton",NA,NA
"Hansford",NA,NA
"Hardeman",NA,NA
"Hardin",NA,NA
"Harris",1.95027372262774,"(1.5,2]"
"Harrison",0.285714285714286,"(0,0.5]"
"Hartley",NA,NA
"Haskell",NA,NA
"Hays",3.60416666666667,"(2,4]"
"Hemphill",NA,NA
"Henderson",1.41666666666667,"(1.1,1.5]"
"Hidalgo",1.83094555873925,"(1.5,2]"
"Hill",NA,NA
"Hockley",NA,NA
"Hood",NA,NA
"Hopkins",0.818181818181818,"(0.5,0.9]"
"Houston",NA,NA
"Howard",NA,NA
"Hudspeth",NA,NA
"Hunt",1.140625,"(1.1,1.5]"
"Hutchinson",NA,NA
"Irion",NA,NA
"Jack",NA,NA
"Jackson",NA,NA
"Jasper",NA,NA
"Jeff Davis",NA,NA
"Jefferson",0.245528455284553,"(0,0.5]"
"Jim Hogg",NA,NA
"Jim Wells",NA,NA
"Johnson",0.523809523809524,"(0.5,0.9]"
"Jones",NA,NA
"Karnes",NA,NA
"Kaufman",0.491803278688525,"(0,0.5]"
"Kendall",NA,NA
"Kenedy",NA,NA
"Kent",NA,NA
"Kerr",NA,NA
"Kimble",NA,NA
"King",NA,NA
"Kinney",NA,NA
"Kleberg",NA,NA
"Knox",NA,NA
"La Salle",NA,NA
"Lamar",3.63636363636364,"(2,4]"
"Lamb",NA,NA
"Lampasas",NA,NA
"Lavaca",NA,NA
"Lee",NA,NA
"Leon",NA,NA
"Liberty",2.45833333333333,"(2,4]"
"Limestone",NA,NA
"Lipscomb",NA,NA
"Live Oak",NA,NA
"Llano",NA,NA
"Loving",NA,NA
"Lubbock",4.20909090909091,"(4,8]"
"Lynn",0.181818181818182,"(0,0.5]"
"Madison",0.9,"(0.5,0.9]"
"Marion",NA,NA
"Martin",NA,NA
"Mason",NA,NA
"Matagorda",2.63636363636364,"(2,4]"
"Maverick",2,"(1.5,2]"
"McCulloch",NA,NA
"McLennan",5.61764705882353,"(4,8]"
"McMullen",NA,NA
"Medina",NA,NA
"Menard",NA,NA
"Midland",2.6304347826087,"(2,4]"
"Milam",NA,NA
"Mills",NA,NA
"Mitchell",NA,NA
"Montague",NA,NA
"Montgomery",1.53092783505155,"(1.5,2]"
"Moore",0.285714285714286,"(0,0.5]"
"Morris",NA,NA
"Motley",NA,NA
"Nacogdoches",1.1,"(0.9,1.1]"
"Navarro",1.57142857142857,"(1.5,2]"
"Newton",NA,NA
"Nolan",NA,NA
"Nueces",6.31914893617021,"(4,8]"
"Ochiltree",NA,NA
"Oldham",NA,NA
"Orange",NA,NA
"Palo Pinto",NA,NA
"Panola",NA,NA
"Parker",0.6,"(0.5,0.9]"
"Parmer",1.2258064516129,"(1.1,1.5]"
"Pecos",NA,NA
"Polk",NA,NA
"Potter",1.27586206896552,"(1.1,1.5]"
"Presidio",NA,NA
"Rains",NA,NA
"Randall",1.04347826086957,"(0.9,1.1]"
"Reagan",NA,NA
"Real",NA,NA
"Red River",0.428571428571429,"(0,0.5]"
"Reeves",NA,NA
"Refugio",NA,NA
"Roberts",NA,NA
"Robertson",NA,NA
"Rockwall",1.14285714285714,"(1.1,1.5]"
"Runnels",NA,NA
"Rusk",1.90625,"(1.5,2]"
"Sabine",NA,NA
"San Augustine",3.2,"(2,4]"
"San Jacinto",NA,NA
"San Patricio",NA,NA
"San Saba",NA,NA
"Schleicher",NA,NA
"Scurry",NA,NA
"Shackelford",NA,NA
"Shelby",1.41176470588235,"(1.1,1.5]"
"Sherman",NA,NA
