"TSA","current_ratio","current_ratio_cat"
"A - Amarillo",0.850152905198777,"(0.5,0.9]"
"B - Lubbock",0.867729083665339,"(0.5,0.9]"
"C - Wichita Falls",1.11111111111111,"(1.1,1.5]"
"D - Abilene",0.613756613756614,"(0.5,0.9]"
"E - Dallas/Ft. Worth",0.860262318326834,"(0.5,0.9]"
"F - Paris",0.913279132791328,"(0.9,1.1]"
"G - Longview/Tyler",0.760237780713342,"(0.5,0.9]"
"H - Lufkin",0.891102257636122,"(0.5,0.9]"
"I - El Paso",0.754613466334165,"(0.5,0.9]"
"J - Midland/Odessa",1.93917274939173,"(1.5,1.94]"
"K - San Angelo",1.29710144927536,"(1.1,1.5]"
"L - Belton/Killeen",0.880989180834621,"(0.5,0.9]"
"M - Waco",0.904255319148936,"(0.9,1.1]"
"N - Bryan/College Station",1.45846645367412,"(1.1,1.5]"
"O - Austin",0.706298828125,"(0.5,0.9]"
"P - San Antonio",0.437446006439959,"(0,0.5]"
"Q - Houston",0.878889420775491,"(0.5,0.9]"
"R - Galveston",0.906572514937534,"(0.9,1.1]"
"S - Victoria",0.706181202370872,"(0.5,0.9]"
"T - Laredo",1.05277777777778,"(0.9,1.1]"
"U - Corpus Christi",0.0613473842679714,"(0,0.5]"
"V - Lower Rio Grande Valley",0.75267506433699,"(0.5,0.9]"
