Date,Variant,Variant_Label,Total_Sequences,Proportion,Sequences
2021-09-28,B.1.1.7,Alpha,9169,5e-04,4
2021-09-29,B.1.1.7,Alpha,9169,5e-04,4
2021-10-01,B.1.1.7,Alpha,9169,5e-04,4
2021-10-02,B.1.1.7,Alpha,9169,5e-04,4
2021-10-03,B.1.1.7,Alpha,9169,5e-04,4
2021-10-04,B.1.1.7,Alpha,9836,5e-04,4
2021-10-05,B.1.1.7,Alpha,9836,5e-04,4
2021-10-06,B.1.1.7,Alpha,9836,5e-04,4
2021-10-08,B.1.1.7,Alpha,9836,5e-04,4
2021-10-09,B.1.1.7,Alpha,9836,5e-04,4
2021-10-10,B.1.1.7,Alpha,9836,5e-04,4
2021-12-07,B.1.1.7,Alpha,5118,0,0
2021-12-08,B.1.1.7,Alpha,5118,0,0
2021-12-10,B.1.1.7,Alpha,5118,0,0
2021-12-12,B.1.1.7,Alpha,5118,0,0
2021-12-13,B.1.1.7,Alpha,5758,0,0
2021-12-14,B.1.1.7,Alpha,5758,0,0
2021-12-15,B.1.1.7,Alpha,5758,0,0
2021-12-17,B.1.1.7,Alpha,5758,0,0
2021-12-18,B.1.1.7,Alpha,5758,0,0
2021-12-19,B.1.1.7,Alpha,5758,0,0
2021-12-20,B.1.1.7,Alpha,5107,0,0
2021-12-21,B.1.1.7,Alpha,5107,0,0
2021-12-22,B.1.1.7,Alpha,5107,0,0
2021-12-24,B.1.1.7,Alpha,5107,0,0
2021-12-25,B.1.1.7,Alpha,5107,0,0
2021-12-27,B.1.1.7,Alpha,4669,0,0
2021-12-29,B.1.1.7,Alpha,4669,0,0
2021-12-31,B.1.1.7,Alpha,4669,0,0
2021-09-28,B.1.351,Beta,9169,1e-04,0
2021-09-29,B.1.351,Beta,9169,1e-04,0
2021-10-01,B.1.351,Beta,9169,1e-04,0
2021-10-02,B.1.351,Beta,9169,1e-04,0
2021-10-03,B.1.351,Beta,9169,1e-04,0
2021-10-04,B.1.351,Beta,9836,1e-04,0
2021-10-05,B.1.351,Beta,9836,1e-04,0
2021-10-06,B.1.351,Beta,9836,1e-04,0
2021-10-08,B.1.351,Beta,9836,1e-04,0
2021-10-09,B.1.351,Beta,9836,1e-04,0
2021-10-10,B.1.351,Beta,9836,1e-04,0
2021-12-07,B.1.351,Beta,5118,0,0
2021-12-08,B.1.351,Beta,5118,0,0
2021-12-10,B.1.351,Beta,5118,0,0
2021-12-12,B.1.351,Beta,5118,0,0
2021-12-13,B.1.351,Beta,5758,0,0
2021-12-14,B.1.351,Beta,5758,0,0
2021-12-15,B.1.351,Beta,5758,0,0
2021-12-17,B.1.351,Beta,5758,0,0
2021-12-18,B.1.351,Beta,5758,0,0
2021-12-19,B.1.351,Beta,5758,0,0
2021-12-20,B.1.351,Beta,5107,0,0
2021-12-21,B.1.351,Beta,5107,0,0
2021-12-22,B.1.351,Beta,5107,0,0
2021-12-24,B.1.351,Beta,5107,0,0
2021-12-25,B.1.351,Beta,5107,0,0
2021-12-27,B.1.351,Beta,4669,0,0
2021-12-29,B.1.351,Beta,4669,0,0
2021-12-31,B.1.351,Beta,4669,0,0
2021-09-28,P.1,Gamma,9169,0.0016,14
2021-09-29,P.1,Gamma,9169,0.0016,14
2021-10-01,P.1,Gamma,9169,0.0016,14
2021-10-02,P.1,Gamma,9169,0.0016,14
2021-10-03,P.1,Gamma,9169,0.0016,14
2021-10-04,P.1,Gamma,9836,0.0015,14
2021-10-05,P.1,Gamma,9836,0.0015,14
2021-10-06,P.1,Gamma,9836,0.0015,14
2021-10-08,P.1,Gamma,9836,0.0015,14
2021-10-09,P.1,Gamma,9836,0.0015,14
2021-10-10,P.1,Gamma,9836,0.0015,14
2021-12-07,P.1,Gamma,5118,0,0
2021-12-08,P.1,Gamma,5118,0,0
2021-12-10,P.1,Gamma,5118,0,0
