"FIPS","City","Population"
23140,"Elkhart",1299
27300,"Frankston",1151
54708,"Palestine",17730
3216,"Andrews",14109
11380,"Burke",727
20308,"Diboll",5204
35228,"Hudson",5005
35492,"Huntington",2111
45072,"Lufkin",35021
80728,"Zavalla",710
3600,"Aransas Pass",808
17000,"Corpus Christi",0
27888,"Fulton",1487
62804,"Rockport",10604
3696,"Archer City",1702
34532,"Holliday",1670
40756,"Lakeside City",957
47460,"Megargel",188
66284,"Scotland",474
79696,"Windthorst",362
15196,"Claude",1210
14404,"Charlotte",1898
14860,"Christine",425
38116,"Jourdanton",4405
45288,"Lytle",2463
58280,"Pleasanton",10855
59084,"Poteet",3507
7432,"Bellville",4219
10090,"Brazos Country",474
35984,"Industry",325
65372,"San Felipe",825
66464,"Sealy",6446
76240,"Wallis",1303
49968,"Muleshoe",5019
5528,"Bandera",900
5000,"Austin",0
5864,"Bastrop",9242
23044,"Elgin",9284
50200,"Mustang Ridge",0
68456,"Smithville",4515
66968,"Seymour",2550
7192,"Beeville",12793
5732,"Bartlett",714
7492,"Belton",22885
16624,"Copperas Cove",0
32312,"Harker Heights",32421
34508,"Holland",1171
39148,"Killeen",151666
43066,"Little River-Academy",2038
49392,"Morgan's Point Resort",4685
51708,"Nolanville",5879
62924,"Rogers",1252
64268,"Salado",2370
72176,"Temple",78439
73748,"Troy",2016
1600,"Alamo Heights",8614
5384,"Balcones Heights",3296
13276,"Castle Hills",4470
14716,"China Grove",1321
14920,"Cibolo",0
16468,"Converse",28171
23272,"Elmendorf",2148
25168,"Fair Oaks Ranch",7204
31100,"Grey Forest",564
33146,"Helotes",9961
33968,"Hill Country Village",1114
34628,"Hollywood Park",3342
39448,"Kirby",8723
42388,"Leon Valley",12306
43096,"Live Oak",16499
45288,"Lytle",36
53988,"Olmos Park",2466
64172,"St. Hedwig",2488
65000,"San Antonio",1547222
65344,"Sandy Oaks",4660
66128,"Schertz",2036
66704,"Selma",8493
67268,"Shavano Park",3979
68708,"Somerset",1965
72296,"Terrell Hills",5447
74408,"Universal City",20890
75764,"Von Ormy",1287
79672,"Windcrest",5876
8536,"Blanco",2071
37780,"Johnson City",2131
63476,"Round Mountain",169
15472,"Clifton",3446
17540,"Cranfills Gap",282
36140,"Iredell",342
47760,"Meridian",1515
49356,"Morgan",519
74732,"Valley Mills",1167
76348,"Walnut Springs",868
19648,"De Kalb",1593
34736,"Hooks",2712
42028,"Leary",502
47088,"Maud",1042
50352,"Nash",3827
50808,"New Boston",4609
61172,"Red Lick",1010
61340,"Redwater",1101
72368,"Texarkana",36317
76096,"Wake Village",5327
2272,"Alvin",26723
3264,"Angleton",19431
5288,"Bailey's Prairie",773
9388,"Bonney",372
10072,"Brazoria",3056
10648,"Brookside Village",1577
15652,"Clute",11690
19120,"Danbury",1760
27420,"Freeport",12136
33980,"Hillcrest",712
34502,"Holiday Lakes",1250
36092,"Iowa Colony",3233
37984,"Jones Creek",2077
40588,"Lake Jackson",27220
43120,"Liverpool",551
46500,"Manvel",12671
54528,"Oyster Creek",1193
56348,"Pearland",116176
60164,"Quintana",94
61904,"Richwood",3988
65345,"Sandy Point",236
71384,"Surfside Beach",579
71492,"Sweeny",3717
77416,"West Columbia",3830
10912,"Bryan",86276
15976,"College Station",117911
39940,"Kurten",409
48516,"Millican",243
50472,"Navasota",0
79919,"Wixon Valley",253
2104,"Alpine",5982
60176,"Quitaque",389
67904,"Silverton",686
25368,"Falfurrias",4812
5552,"Bangs",1527
8596,"Blanket",368
10780,"Brownwood",18455
21904,"Early",3160
11836,"Caldwell",4373
68576,"Snook",541
68720,"Somerville",1465
7864,"Bertram",1476
11464,"Burnet",6406
17208,"Cottonwood Shores",1227
30584,"Granite Shoals",5087
33794,"Highland Haven",443
34862,"Horseshoe Bay",832
46584,"Marble Falls",7038
47330,"Meadowlakes",1703
43240,"Lockhart",14133
45096,"Luling",5847
46848,"Martindale",1231
50200,"Mustang Ridge",479
51492,"Niederwald",117
65600,"San Marcos",3
74216,"Uhland",619
58568,"Point Comfort",677
58916,"Port Lavaca",11854
66416,"Seadrift",1493
5336,"Baird",1486
15676,"Clyde",3823
17816,"Cross Plains",986
59984,"Putnam",93
6140,"Bayview",389
10768,"Brownsville",182781
16204,"Combes",2984
32372,"Harlingen",65022
35918,"Indian Lake",854
40204,"La Feria",7230
40336,"Laguna Vista",3180
44116,"Los Fresnos",7837
44128,"Los Indios",1060
54798,"Palm Valley",1240
58892,"Port Isabel",6256
59540,"Primera",5130
60544,"Rancho Viejo",2460
62180,"Rio Hondo",2707
65036,"San Benito",24243
65768,"Santa Rosa",2723
69140,"South Padre Island",2778
57908,"Pittsburg",4697
62870,"Rocky Mound",75
31292,"Groom",550
54960,"Panhandle",2312
68120,"Skellytown",449
78316,"White Deer",955
4516,"Atlanta",5472
5084,"Avinger",421
8752,"Bloomburg",393
