"County","Date","Cases_Cumulative","Cases_Daily","Deaths_Cumulative","Deaths_Daily","Tests_Cumulative","Tests_Daily","Active_Cases_Cumulative","Active_Cases_Daily","Retail_Recreation","Grocery_Pharmacy","Parks","Transit","Workplaces","Residential","Metro_Area","TSA","TSA_Name","Population_DSHS","TSA_Combined"
"Anderson",2020-02-15,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA,-1,NA,"Non-Metro","G","Piney Woods",58199,"G - Piney Woods"
"Anderson",2020-02-16,NA,NA,NA,NA,NA,NA,NA,NA,7,10,NA,NA,-4,NA,"Non-Metro","G","Piney Woods",58199,"G - Piney Woods"
"Anderson",2020-02-17,NA,NA,NA,NA,NA,NA,NA,NA,1,-3,NA,NA,-13,3,"Non-Metro","G","Piney Woods",58199,"G - Piney Woods"
"Anderson",2020-02-18,NA,NA,NA,NA,NA,NA,NA,NA,2,-4,NA,NA,0,0,"Non-Metro","G","Piney Woods",58199,"G - Piney Woods"
"Anderson",2020-02-19,NA,NA,NA,NA,NA,NA,NA,NA,-5,-9,NA,NA,1,2,"Non-Metro","G","Piney Woods",58199,"G - Piney Woods"
"Anderson",2020-02-20,NA,NA,NA,NA,NA,NA,NA,NA,3,-1,NA,NA,-1,1,"Non-Metro","G","Piney Woods",58199,"G - Piney Woods"
"Anderson",2020-02-21,NA,NA,NA,NA,NA,NA,NA,NA,4,5,NA,-17,2,1,"Non-Metro","G","Piney Woods",58199,"G - Piney Woods"
"Anderson",2020-02-22,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,"Non-Metro","G","Piney Woods",58199,"G - Piney Woods"
"Anderson",2020-02-23,NA,NA,NA,NA,NA,NA,NA,NA,-4,3,NA,NA,1,NA,"Non-Metro","G","Piney Woods",58199,"G - Piney Woods"
"Anderson",2020-02-24,NA,NA,NA,NA,NA,NA,NA,NA,9,-1,NA,NA,2,0,"Non-Metro","G","Piney Woods",58199,"G - Piney Woods"
"Anderson",2020-02-25,NA,NA,NA,NA,NA,NA,NA,NA,11,-1,NA,NA,3,-2,"Non-Metro","G","Piney Woods",58199,"G - Piney Woods"
"Anderson",2020-02-26,NA,NA,NA,NA,NA,NA,NA,NA,21,7,NA,NA,5,-2,"Non-Metro","G","Piney Woods",58199,"G - Piney Woods"
"Anderson",2020-02-27,NA,NA,NA,NA,NA,NA,NA,NA,16,5,NA,NA,2,-3,"Non-Metro","G","Piney Woods",58199,"G - Piney Woods"
"Anderson",2020-02-28,NA,NA,NA,NA,NA,NA,NA,NA,15,14,NA,NA,4,-2,"Non-Metro","G","Piney Woods",58199,"G - Piney Woods"
"Anderson",2020-02-29,NA,NA,NA,NA,NA,NA,NA,NA,11,16,NA,NA,3,NA,"Non-Metro","G","Piney Woods",58199,"G - Piney Woods"
"Anderson",2020-03-01,NA,NA,NA,NA,NA,NA,NA,NA,16,15,NA,NA,3,NA,"Non-Metro","G","Piney Woods",58199,"G - Piney Woods"
"Anderson",2020-03-02,NA,NA,NA,NA,NA,NA,NA,NA,14,7,NA,NA,2,-1,"Non-Metro","G","Piney Woods",58199,"G - Piney Woods"
"Anderson",2020-03-03,NA,NA,NA,NA,NA,NA,NA,NA,21,8,NA,NA,2,-2,"Non-Metro","G","Piney Woods",58199,"G - Piney Woods"
"Anderson",2020-03-04,0,0,0,0,NA,NA,NA,NA,12,5,NA,NA,1,2,"Non-Metro","G","Piney Woods",58199,"G - Piney Woods"
"Anderson",2020-03-05,0,0,0,0,NA,NA,NA,NA,18,13,NA,NA,3,-3,"Non-Metro","G","Piney Woods",58199,"G - Piney Woods"
"Anderson",2020-03-06,0,0,0,0,NA,NA,NA,NA,8,10,NA,NA,3,-1,"Non-Metro","G","Piney Woods",58199,"G - Piney Woods"
"Anderson",2020-03-07,NA,NA,0,0,NA,NA,NA,NA,9,12,NA,NA,-1,NA,"Non-Metro","G","Piney Woods",58199,"G - Piney Woods"
"Anderson",2020-03-08,NA,NA,0,0,NA,NA,NA,NA,13,18,NA,NA,1,NA,"Non-Metro","G","Piney Woods",58199,"G - Piney Woods"
"Anderson",2020-03-09,0,0,0,0,NA,NA,NA,NA,7,9,NA,NA,0,2,"Non-Metro","G","Piney Woods",58199,"G - Piney Woods"
"Anderson",2020-03-10,0,0,0,0,NA,NA,NA,NA,16,10,NA,NA,-1,-1,"Non-Metro","G","Piney Woods",58199,"G - Piney Woods"
"Anderson",2020-03-11,0,0,0,0,NA,NA,NA,NA,23,22,NA,NA,0,-1,"Non-Metro","G","Piney Woods",58199,"G - Piney Woods"
"Anderson",2020-03-12,0,0,0,0,NA,NA,NA,NA,15,25,NA,NA,-3,-1,"Non-Metro","G","Piney Woods",58199,"G - Piney Woods"
"Anderson",2020-03-13,0,0,0,0,NA,NA,NA,NA,9,31,NA,NA,-2,1,"Non-Metro","G","Piney Woods",58199,"G - Piney Woods"
"Anderson",2020-03-14,NA,NA,0,0,NA,NA,NA,NA,-1,23,NA,NA,-2,NA,"Non-Metro","G","Piney Woods",58199,"G - Piney Woods"
"Anderson",2020-03-15,0,0,0,0,NA,NA,NA,NA,-1,28,NA,NA,-1,NA,"Non-Metro","G","Piney Woods",58199,"G - Piney Woods"
"Anderson",2020-03-16,0,0,0,0,NA,NA,NA,NA,1,17,NA,NA,-21,4,"Non-Metro","G","Piney Woods",58199,"G - Piney Woods"
"Anderson",2020-03-17,0,0,0,0,NA,NA,NA,NA,-1,15,NA,NA,-23,4,"Non-Metro","G","Piney Woods",58199,"G - Piney Woods"
"Anderson",2020-03-18,0,0,0,0,NA,NA,NA,NA,-4,24,NA,NA,-20,5,"Non-Metro","G","Piney Woods",58199,"G - Piney Woods"
"Anderson",2020-03-19,0,0,0,0,NA,NA,NA,NA,-11,25,NA,NA,-24,6,"Non-Metro","G","Piney Woods",58199,"G - Piney Woods"
"Anderson",2020-03-20,0,0,0,0,NA,NA,NA,NA,-22,19,NA,NA,-24,12,"Non-Metro","G","Piney Woods",58199,"G - Piney Woods"
"Anderson",2020-03-21,0,0,0,0,NA,NA,NA,NA,-34,11,NA,NA,-14,NA,"Non-Metro","G","Piney Woods",58199,"G - Piney Woods"
"Anderson",2020-03-22,0,0,0,0,NA,NA,NA,NA,-36,5,NA,NA,-21,NA,"Non-Metro","G","Piney Woods",58199,"G - Piney Woods"
"Anderson",2020-03-23,0,0,0,0,NA,NA,NA,NA,-23,6,NA,NA,-21,9,"Non-Metro","G","Piney Woods",58199,"G - Piney Woods"
"Anderson",2020-03-24,0,0,0,0,NA,NA,NA,NA,-18,5,NA,NA,-25,8,"Non-Metro","G","Piney Woods",58199,"G - Piney Woods"
"Anderson",2020-03-25,0,0,0,0,NA,NA,NA,NA,-18,9,NA,NA,-25,8,"Non-Metro","G","Piney Woods",58199,"G - Piney Woods"
"Anderson",2020-03-26,0,0,0,0,NA,NA,NA,NA,-19,3,NA,NA,-27,8,"Non-Metro","G","Piney Woods",58199,"G - Piney Woods"
"Anderson",2020-03-27,0,0,0,0,NA,NA,NA,NA,-24,4,NA,NA,-25,11,"Non-Metro","G","Piney Woods",58199,"G - Piney Woods"
"Anderson",2020-03-28,0,0,0,0,NA,NA,NA,NA,-32,-4,NA,NA,-18,NA,"Non-Metro","G","Piney Woods",58199,"G - Piney Woods"
"Anderson",2020-03-29,0,0,0,0,NA,NA,NA,NA,-23,1,NA,NA,-22,NA,"Non-Metro","G","Piney Woods",58199,"G - Piney Woods"
"Anderson",2020-03-30,0,0,0,0,NA,NA,NA,NA,-29,-7,NA,NA,-27,12,"Non-Metro","G","Piney Woods",58199,"G - Piney Woods"
"Anderson",2020-03-31,0,0,0,0,NA,NA,NA,NA,-19,3,NA,NA,-32,10,"Non-Metro","G","Piney Woods",58199,"G - Piney Woods"
"Anderson",2020-04-01,1,1,0,0,NA,NA,NA,NA,-8,14,NA,NA,-27,11,"Non-Metro","G","Piney Woods",58199,"G - Piney Woods"
"Anderson",2020-04-02,1,0,0,0,NA,NA,NA,NA,-22,3,NA,NA,-30,11,"Non-Metro","G","Piney Woods",58199,"G - Piney Woods"
"Anderson",2020-04-03,1,0,0,0,NA,NA,NA,NA,-29,6,NA,NA,-28,15,"Non-Metro","G","Piney Woods",58199,"G - Piney Woods"
"Anderson",2020-04-04,1,0,0,0,NA,NA,NA,NA,-45,-11,NA,NA,-26,NA,"Non-Metro","G","Piney Woods",58199,"G - Piney Woods"
"Anderson",2020-04-05,1,0,0,0,NA,NA,NA,NA,-39,-6,NA,NA,-26,NA,"Non-Metro","G","Piney Woods",58199,"G - Piney Woods"
"Anderson",2020-04-06,1,0,0,0,NA,NA,NA,NA,-31,-2,NA,NA,-28,12,"Non-Metro","G","Piney Woods",58199,"G - Piney Woods"
"Anderson",2020-04-07,1,0,0,0,NA,NA,1,1,-26,-6,NA,NA,-33,11,"Non-Metro","G","Piney Woods",58199,"G - Piney Woods"
"Anderson",2020-04-08,1,0,0,0,NA,NA,1,0,-24,3,NA,NA,-35,12,"Non-Metro","G","Piney Woods",58199,"G - Piney Woods"
