County,Date,TPR,Tests,Cases_100K_7Day_MA,Transmission_Level,Community_Level
Anderson,2020-08-19,0.143,,14.0682730824574,,
Anderson,2020-08-26,0.193,,8.39160148778158,,
Anderson,2020-09-02,0.284,,12.8342140401365,,
Anderson,2020-09-09,0.232,1157,62.1965757329694,,
Anderson,2020-09-16,0.285,1258,23.2003099956314,,
Anderson,2020-09-23,0.11,344,7.40435425392492,,
Anderson,2020-09-30,0.125,361,3.20855351003413,,
Anderson,2020-10-07,0.126,564,7.65116606238909,,
Anderson,2020-10-14,0.103,855,2.22130627617748,,
Anderson,2020-10-21,0.083,1006,3.94898893542663,,
Anderson,2020-10-28,0.085,1448,8.63841329624575,,
Anderson,2020-11-04,0.083,1610,7.40435425392492,,
Anderson,2020-11-11,0.091,1728,19.498132868669,,
Anderson,2020-11-18,0.125,1932,16.536391167099,,
Anderson,2020-11-25,0.117,2289,25.1748044633447,,
Anderson,2020-12-02,0.112,2698,30.6046642495564,,
Anderson,2020-12-09,0.109,2358,25.1748044633447,,
Anderson,2021-06-15,,578,1.72768265924915,,
Anderson,2021-06-22,,908,2.46811808464164,,
Anderson,2021-07-06,,422,1.95688014598326,,
Anderson,2021-07-13,,692,1.95688014598326,,
Anderson,2021-09-06,0.116,730,45.008243357615,High,
Anderson,2021-09-07,0.1,738,43.7851932663754,High,
Anderson,2021-09-08,0.08,696,48.6773936313336,High,
Anderson,2021-09-09,0.084,963,43.2959732298796,High,
Anderson,2021-09-10,0.078,1111,35.2238426276987,High,
Anderson,2021-09-13,0.096,1286,23.2379517335512,High,
Anderson,2021-09-14,0.111,1216,19.5688014598326,High,
Anderson,2021-09-15,0.136,1221,14.9212111131223,High,
Anderson,2021-09-16,0.141,959,19.0795814233368,High,
Anderson,2021-09-17,0.128,792,19.0795814233368,High,
Anderson,2021-09-20,0.102,548,13.9427710401307,High,
Anderson,2021-09-21,0.081,554,14.1873810583786,High,
Anderson,2021-09-22,0.077,539,12.4751109306433,High,
Anderson,2021-09-23,0.068,614,8.80596065692467,High,
Anderson,2021-09-24,0.065,635,8.31674062042885,High,
Anderson,2021-09-27,0.052,555,9.53979071166839,High,
Anderson,2021-09-28,0.052,628,10.0290107481642,High,
Anderson,2021-09-29,0.047,820,9.53979071166839,High,
Anderson,2021-09-30,0.048,858,9.29518069342048,High,
Anderson,2021-10-01,0.053,1019,10.2736207664121,High,
Anderson,2021-10-05,0.133,998,11.9858908941475,High,
Anderson,2021-10-06,0.133,629,11.2520608394037,High,
Anderson,2021-10-07,0.136,867,10.2736207664121,High,
Anderson,2021-10-08,0.133,671,21.7702916240638,High,
Anderson,2021-10-11,0.126,698,22.5041216788075,High,
Anderson,2021-10-12,0.137,723,22.0149016423117,High,
Anderson,2021-10-13,0.121,757,22.7487316970554,High,
Anderson,2021-10-14,0.121,450,23.2379517335512,High,
Anderson,2021-10-15,0.07,435,11.7412808758996,High,
Anderson,2021-10-18,0.024,441,10.0290107481642,Substantial,
Anderson,2021-10-19,0.023,588,9.05057067517257,Substantial,
Anderson,2021-10-20,0.026,910,9.29518069342048,Substantial,
Anderson,2021-10-21,0.025,1967,8.07213060218094,High,
Anderson,2021-10-22,0.029,2013,8.31674062042885,High,
Anderson,2021-10-25,0.058,2028,6.6044704926935,High,
Anderson,2021-10-26,0.063,1849,11.9858908941475,High,
Anderson,2021-10-27,0.06,1506,11.2520608394037,High,
Anderson,2021-10-28,0.068,414,11.0074508211558,Substantial,
Anderson,2021-10-29,0.045,350,8.80596065692467,Substantial,
Anderson,2021-11-01,0.036,343,9.05057067517257,High,
Anderson,2021-11-02,0.055,395,3.1799302372228,High,
Anderson,2021-11-03,0.048,384,2.69071020072698,High,
Anderson,2021-11-05,0.015,365,3.1799302372228,High,
Anderson,2021-11-08,0.008,374,2.93532021897489,Substantial,
Anderson,2021-11-09,0.006,421,2.69071020072698,Substantial,
Anderson,2021-11-10,0.004,656,2.44610018247907,Substantial,
Anderson,2021-11-11,0.004,969,1.95688014598326,Substantial,
Anderson,2021-11-12,0.012,967,1.95688014598326,Substantial,
Anderson,2021-11-15,0.059,963,1.22305009123954,Moderate,
Anderson,2021-11-16,0.056,849,1.71227012773535,Moderate,
Anderson,2021-11-17,0.062,604,2.20149016423117,Moderate,
Anderson,2021-11-22,0.088,204,3.66915027371861,Substantial,
Anderson,2021-11-23,0.09,177,2.69071020072698,Substantial,
